종목코드,분석종가,시간외종가,변동률
079550,950000,954000,0.42
476060,22900,23250,1.53
010130,1642000,1649000,0.43
439260,92300,92500,0.22
282330,138200,138400,0.14
307950,441000,447000,1.36
035420,215000,216500,0.7
294870,22950,23250,1.31
036570,261500,262500,0.38
100840,57500,57900,0.7
114810,18000,18100,0.56
006800,68700,69400,1.02
044490,54500,55000,0.92
023160,46600,46800,0.43
039490,453000,456500,0.77
425420,65200,65500,0.46
310210,306000,307500,0.49
257720,45150,45250,0.22
064350,231000,234500,1.52
011170,92200,93100,0.98
445090,31600,31850,0.79
218410,93100,94500,1.5
032500,29950,30100,0.5
012450,1454000,1460000,0.41
004990,29000,29150,0.52
011200,20950,21150,0.95
375500,98300,98600,0.31
009420,51800,52400,1.16
272210,126100,127100,0.79
003230,1301000,1304000,0.23
087010,283000,287500,1.59
006650,157200,157500,0.19
052400,59100,59500,0.68
001120,54900,55300,0.73
458870,52500,52400,-0.19
012330,432500,436000,0.81
011780,132200,132700,0.38
323410,24950,25100,0.6
161390,62200,62300,0.16
001820,62900,63400,0.79
028300,61900,62800,1.45
295310,87100,88100,1.15
032640,16430,16480,0.3
105560,157400,157500,0.06
475150,54300,55000,1.29
000720,171400,172400,0.58
018260,169800,170900,0.65
035250,17160,17200,0.23
010950,115400,115800,0.35
138930,18740,18850,0.59
445680,90700,91600,0.99
114090,11810,11870,0.51
035720,48450,48600,0.31
051900,254000,254500,0.2
377300,54900,55200,0.55
047810,171700,172000,0.17
003490,24550,24650,0.41
030000,19750,19780,0.15
347700,41550,41850,0.72
000270,152600,153600,0.66
128940,494500,496000,0.3
138040,114700,114900,0.17
180640,114900,115200,0.26
103140,100600,100900,0.3
251270,50000,50300,0.6
326030,102400,102900,0.49
021240,86100,86400,0.35
030200,61100,61300,0.33
120110,90000,95200,5.78
029780,53000,53400,0.75
000120,103000,103300,0.29
007340,41300,41650,0.85
316140,33200,33400,0.6
084370,136000,136200,0.15
101490,104300,105700,1.34
096770,130400,131100,0.54
052690,192100,192700,0.31
000210,67300,67800,0.74
001430,72500,73900,1.93
373220,464000,468500,0.97
066970,204000,205500,0.74
082920,54000,57200,5.93
017670,98000,98700,0.71
100090,23600,23700,0.42
356860,82500,82800,0.36
126340,132000,133100,0.83
045100,34950,35050,0.29
000810,461000,462500,0.33
005380,524000,528000,0.76
200710,59400,59900,0.84
017800,98600,98200,-0.41
112610,73900,74700,1.08
397030,63200,63700,0.79
207940,1509000,1518000,0.6
083650,98500,98700,0.2
051910,379500,380000,0.13
003540,39300,39600,0.76
032830,250000,248500,-0.6
394800,13090,13140,0.38
000880,131800,132100,0.23
347850,81800,82500,0.86
005930,224500,225000,0.22
011210,84800,85500,0.83
002380,552000,555000,0.54
271560,141400,141700,0.21
006360,40750,41000,0.61
005070,63200,63700,0.79
000100,94100,94400,0.32
003550,95500,95700,0.21
097950,234000,234500,0.21
047050,81300,81800,0.62
005830,171300,170600,-0.41
028260,312000,313000,0.32
068270,204000,205000,0.49
064400,66900,67300,0.6
042660,133500,134100,0.45
005090,62200,62900,1.13
078350,32700,32800,0.31
376900,88200,88700,0.57
175330,27500,27700,0.73
352820,250000,252500,1.0
004020,43550,43900,0.8
192080,57100,57400,0.53
319400,31400,30500,-2.87
298020,517000,521000,0.77
002790,30650,30750,0.33
095610,88500,89700,1.36
018290,17120,17300,1.05
259960,276000,278000,0.72
003160,34800,35100,0.86
016360,112700,113200,0.44
456160,81800,82400,0.73
078930,76500,76400,-0.13
139480,106100,106500,0.38
361610,27100,27350,0.92
036460,38300,38350,0.13
001040,219500,220000,0.23
034230,16080,16210,0.81
036810,45300,45500,0.44
372320,62400,62100,-0.48
267250,284500,286500,0.7
017960,51600,52100,0.97
086390,19400,19520,0.62
086790,124000,124400,0.32
071050,260500,262500,0.77
005940,35250,35450,0.57
278280,68200,68300,0.15
005490,417500,419500,0.48
022100,35600,35850,0.7
003670,249500,250500,0.4
066570,130000,130900,0.69
214370,109500,110400,0.82
460930,20900,21050,0.72
015760,45850,45950,0.22
098070,46400,46650,0.54
085660,17780,17960,1.01
085620,17300,17240,-0.35
008930,38750,38900,0.39
068760,57900,58400,0.86
001720,204500,206000,0.73
003570,56300,57000,1.24
092790,16630,16910,1.68
0008Z0,41750,41850,0.24
489790,88800,89100,0.34
290650,72400,73900,2.07
437730,57400,58400,1.74
306200,162600,163800,0.74
448900,99900,102500,2.6
356680,13470,12930,-4.01
161000,16800,15680,-6.67
389470,64900,65900,1.54
042520,33150,33400,0.75
031980,117300,117500,0.17
328130,38200,38500,0.79
189300,141000,140800,-0.14
358570,16390,16590,1.22
115180,41000,41150,0.37
028050,54300,55000,1.29
082270,25350,25600,0.99
124500,54000,53200,-1.48
005690,18930,18960,0.16
099320,184300,185000,0.38
389260,24750,24800,0.2
005290,60800,61200,0.66
005440,15500,15560,0.39
171090,114500,116100,1.4
348370,47850,49150,2.72
015750,9320,9390,0.75
005850,64100,64600,0.78
093370,13130,13280,1.14
226950,196500,195400,-0.56
011790,124700,125500,0.64
466100,54400,54900,0.92
014680,303000,307000,1.32
