date,action,code,name,ret_pct_gross,ret_pct_net,realized_pl,cash,invested_total,total_assets,open_positions
2026-03-03,ENTER,383310,에코프로에이치엔,0,0,0,6666667.0,3333333.0,10000000.0,1
2026-03-03,ENTER,322310,오로스테크놀로지,0,0,0,3333333.0,6666667.0,10000000.0,2
2026-03-03,ENTER,064400,LG씨엔에스,0,0,0,0.0,10000000.0,10000000.0,3
2026-03-04,EXIT,383310,에코프로에이치엔,-5.11,-5.33,-177667.0,3155667.0,6666667.0,9822333.0,2
2026-03-04,EXIT,322310,오로스테크놀로지,-5.09,-5.31,-177000.0,6312000.0,3333333.0,9645333.0,1
2026-03-04,EXIT,064400,LG씨엔에스,-4.03,-4.25,-141667.0,9503667.0,0,9503667.0,0
2026-03-26,ENTER,298020,효성티앤씨,0,0,0,6335778.0,3167889.0,9503667.0,1
2026-03-30,ENTER,356860,티엘비,0,0,0,3167889.0,6335778.0,9503667.0,2
2026-03-31,EXIT,356860,티엘비,-15.05,-15.27,-483737.0,5852041.0,3167889.0,9019930.0,1
2026-04-02,ENTER,389260,대명에너지,0,0,0,2845398.0,6174532.0,9019930.0,2
2026-04-03,ENTER,054920,한컴위드,0,0,0,0.0,9019930.0,9019930.0,3
2026-04-06,EXIT,389260,대명에너지,19.72,19.5,586295.0,3592939.0,6013287.0,9606225.0,2
2026-04-07,ENTER,289930,웨이비스,0,0,0,390864.0,9215362.0,9606225.0,3
2026-04-09,EXIT,298020,효성티앤씨,4.34,4.12,130517.0,3689270.0,6047473.0,9736743.0,2
2026-04-10,ENTER,373220,LG에너지솔루션,0,0,0,443689.0,9293054.0,9736743.0,3
2026-04-16,EXIT,054920,한컴위드,16.7,16.48,468922.0,3758008.0,6447656.0,10205664.0,2
2026-04-16,ENTER,036200,유니셈,0,0,0,356120.0,9849544.0,10205664.0,3
2026-04-21,EXIT,289930,웨이비스,-2.96,-3.18,-101826.0,3456369.0,6647469.0,10103838.0,2
2026-04-21,ENTER,451760,컨텍,0,0,0,88423.0,10015415.0,10103838.0,3
2026-04-23,EXIT,373220,LG에너지솔루션,18.58,18.36,595889.0,3929893.0,6769834.0,10699727.0,2
2026-04-24,ENTER,096770,SK이노베이션,0,0,0,363317.0,10336410.0,10699727.0,3
2026-04-30,EXIT,036200,유니셈,9.2,8.98,305490.0,4070695.0,6934522.0,11005216.0,2
2026-05-01,EXIT,451760,컨텍,17.4,17.18,578613.0,8017254.0,3566576.0,11583829.0,1
2026-05-04,EXIT,096770,SK이노베이션,14.52,14.3,510020.0,12093850.0,0,12093850.0,0
2026-05-04,ENTER,089010,켐트로닉스,0,0,0,8062566.0,4031283.0,12093850.0,1
2026-05-06,EXIT,089010,켐트로닉스,10.16,9.94,400710.0,12494559.0,0,12494559.0,0
2026-05-06,ENTER,100130,동국S&C,0,0,0,8329706.0,4164853.0,12494559.0,1
2026-05-06,ENTER,419530,SAMG엔터,0,0,0,4164853.0,8329706.0,12494559.0,2
2026-05-06,ENTER,092460,한라IMS,0,0,0,0.0,12494559.0,12494559.0,3
2026-05-08,EXIT,100130,동국S&C,-9.04,-9.26,-385665.0,3779188.0,8329706.0,12108894.0,2
2026-05-08,ENTER,042510,라온시큐어,0,0,0,0.0,12108894.0,12108894.0,3
2026-05-11,EXIT,419530,SAMG엔터,-10.38,-10.6,-441474.0,3723379.0,7944041.0,11667419.0,2
2026-05-12,ENTER,078930,GS,0,0,0,0.0,11667419.0,11667419.0,3
2026-05-14,EXIT,092460,한라IMS,9.89,9.67,402741.0,4567594.0,7502566.0,12070161.0,2
2026-05-14,EXIT,078930,GS,-7.62,-7.84,-291913.0,7999060.0,3779188.0,11778248.0,1
2026-05-14,ENTER,087010,펩트론,0,0,0,4072978.0,7705270.0,11778248.0,2
2026-05-18,EXIT,042510,라온시큐어,-15.03,-15.25,-576326.0,7275839.0,3926083.0,11201922.0,1
2026-05-19,EXIT,087010,펩트론,-8.07,-8.29,-325472.0,10876449.0,0,10876449.0,0
2026-05-26,ENTER,321370,센서뷰,0,0,0,7250966.0,3625483.0,10876449.0,1
2026-05-26,ENTER,090360,로보스타,0,0,0,3625483.0,7250966.0,10876449.0,2
2026-05-27,ENTER,064400,LG씨엔에스,0,0,0,0.0,10876449.0,10876449.0,3
2026-06-02,EXIT,321370,센서뷰,-15.06,-15.28,-553974.0,3071509.0,7250966.0,10322476.0,2
2026-06-02,EXIT,090360,로보스타,43.09,42.87,1554245.0,8251237.0,3625483.0,11876720.0,1
2026-06-01,EXIT,064400,LG씨엔에스,21.22,21.0,761351.0,12638072.0,0,12638072.0,0
2026-06-05,ENTER,007660,이수페타시스,0,0,0,8425381.0,4212691.0,12638072.0,1
2026-06-09,EXIT,007660,이수페타시스,-22.36,-22.58,-951226.0,11686846.0,0,11686846.0,0
2026-06-18,ENTER,089030,테크윙,0,0,0,7791231.0,3895615.0,11686846.0,1
2026-06-25,EXIT,089030,테크윙,-15.2,-15.42,-600704.0,11086142.0,0,11086142.0,0
2026-07-03,ENTER,037710,광주신세계,0,0,0,7390762.0,3695381.0,11086142.0,1
2026-07-10,ENTER,161890,한국콜마,0,0,0,3695381.0,7390762.0,11086142.0,2
2026-07-17,EXIT_FINAL,037710,광주신세계,-0.34,-0.56,-20694.0,7370067.0,3695381.0,11065448.0,1
2026-07-20,EXIT_FINAL,161890,한국콜마,-3.21,-3.43,-126752.0,10938697.0,0,10938697.0,0
