date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct
20260227,309710,아이티켐,기초 의약물질 제조업,🏆 최강,65.71,37200.0,42900.0,35300.0,LOSS,35300.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33
20260302,309710,아이티켐,기초 의약물질 제조업,🏆 최강,65.71,37200.0,42900.0,35300.0,LOSS,35300.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33
20260313,003310,대주산업,동물용 사료 및 조제식품 제조업,🏆 최강,57.78,4140.0,4945.0,3515.0,LOSS,3515.0,8,ohlc_low_touch,2026-03-16,-15.1,-15.32
20260317,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,76.35,56300.0,70500.0,47850.0,WIN,70500.0,3,ohlc_high_touch,2026-03-18,25.22,25.0
20260318,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,67.63,55700.0,70500.0,47300.0,WIN,70500.0,2,ohlc_high_touch,2026-03-19,26.57,26.35
20260319,448900,한국피아이엠,자동차 신품 부품 제조업,🏆 최강,63.75,112500.0,178400.0,95600.0,LOSS,95600.0,2,ohlc_low_touch,2026-03-23,-15.02,-15.24
20260320,226950,올릭스,자연과학 및 공학 연구개발업,🏆 최강,60.44,186900.0,217000.0,169500.0,LOSS,169500.0,1,ohlc_low_touch,2026-03-23,-9.31,-9.53
20260323,278470,에이피알,기타 화학제품 제조업,🏆 최강,76.8,324500.0,377000.0,290500.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260324,298020,효성티앤씨,화학섬유 제조업,🏆 최강,44.14,392000.0,440000.0,333000.0,OPEN,409000.0,10,ohlc_horizon_close,2026-03-26,4.34,4.12
20260326,098070,한텍,일반 목적용 기계 제조업,🏆 최강,66.71,45900.0,62200.0,39000.0,OPEN,45250.0,10,ohlc_horizon_close,2026-03-27,-1.42,-1.64
20260327,356860,티엘비,전자부품 제조업,🏆 최강,67.57,73100.0,82600.0,62100.0,LOSS,62100.0,2,ohlc_low_touch,2026-03-30,-15.05,-15.27
20260330,078350,한양디지텍,반도체 제조업,🏆 최강,69.98,29650.0,35500.0,25200.0,OPEN,28450.0,10,ohlc_horizon_close,2026-03-31,-4.05,-4.27
20260331,078350,한양디지텍,반도체 제조업,🏆 최강,69.03,27950.0,35500.0,23750.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260401,001780,알루코,1차 비철금속 제조업,🏆 최강,77.49,2415.0,2740.0,2105.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260402,001780,알루코,1차 비철금속 제조업,🏆 최강,72.72,2385.0,2740.0,2075.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260403,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,8,ohlc_high_touch,2026-04-06,23.92,23.7
20260406,289930,웨이비스,반도체 제조업,🏆 최강,48.8,19600.0,21300.0,16660.0,OPEN,19020.0,10,ohlc_horizon_close,2026-04-07,-2.96,-3.18
20260408,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,66.91,4850.0,6010.0,4120.0,WIN,6010.0,5,ohlc_high_touch,2026-04-09,23.92,23.7
20260409,373220,LG에너지솔루션,일차전지 및 이차전지 제조업,🏆 최강,61.07,414500.0,491000.0,376500.0,WIN,491500.0,9,ohlc_gap_up,2026-04-10,18.58,18.36
20260410,175330,JB금융지주,기타 금융업,🏆 최강,72.85,30950.0,38500.0,27750.0,OPEN,28700.0,10,ohlc_horizon_close,2026-04-13,-7.27,-7.49
20260413,175330,JB금융지주,기타 금융업,🏆 최강,60.06,31150.0,38500.0,27750.0,LOSS,27750.0,10,ohlc_low_touch,2026-04-14,-10.91,-11.13
20260414,139130,iM금융지주,기타 금융업,🏆 최강,65.66,18290.0,22000.0,16900.0,OPEN,19280.0,10,ohlc_horizon_close,2026-04-15,5.41,5.19
20260415,252990,샘씨엔에스,전자부품 제조업,🏆 최강,66.53,10650.0,13010.0,9260.0,WIN,13010.0,3,ohlc_high_touch,2026-04-16,22.16,21.94
20260416,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,76.39,99500.0,113400.0,92000.0,OPEN,99400.0,8,ohlc_horizon_close,2026-04-17,-0.1,-0.32
20260417,096770,SK이노베이션,석유 정제품 제조업,🏆 최강,61.48,129400.0,149000.0,118000.0,OPEN,133000.0,7,ohlc_horizon_close,2026-04-20,2.78,2.56
20260420,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,60.62,102200.0,116500.0,94600.0,LOSS,94600.0,4,ohlc_low_touch,2026-04-21,-7.44,-7.66
20260421,310210,보로노이,자연과학 및 공학 연구개발업,🏆 최강,66.45,308000.0,371500.0,261500.0,OPEN,299500.0,5,ohlc_horizon_close,2026-04-22,-2.76,-2.98
20260422,310210,보로노이,자연과학 및 공학 연구개발업,🏆 최강,62.33,298000.0,371500.0,253000.0,OPEN,299500.0,4,ohlc_horizon_close,2026-04-23,0.5,0.28
20260423,307180,아이엘,전구 및 조명장치 제조업,🏆 최강,83.63,5670.0,6580.0,4815.0,OPEN,6140.0,3,ohlc_horizon_close,2026-04-24,8.29,8.07
20260424,044490,태웅,기타 금속 가공제품 제조업,🏆 최강,66.7,53300.0,67500.0,45300.0,OPEN,52800.0,1,ohlc_horizon_close,2026-04-28,-0.94,-1.16
20260427,044490,태웅,기타 금속 가공제품 제조업,🏆 최강,66.97,54500.0,67500.0,46400.0,OPEN,52800.0,1,ohlc_horizon_close,2026-04-28,-3.12,-3.34
