date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct,tp2,tp3,tp1_hit,tp1_day,tp2_hit,tp2_day,tp3_hit,tp3_day,stop_hit,stop_day,tp1_before_stop,tp2_before_stop,tp3_before_stop,max_high_pct,min_low_pct,max_close_pct
20260227,383310,에코프로에이치엔,기타 화학제품 제조업,🏆 최강,53.73,38150.0,44000.0,36200.0,LOSS,36200.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33,45000.0,0.0,False,0,False,0,False,0,True,1,False,False,False,3.15,-23.98,-6.55
20260227,322310,오로스테크놀로지,특수 목적용 기계 제조업,🏆 최강,57.08,28500.0,32850.0,27050.0,LOSS,27050.0,1,ohlc_low_touch,2026-03-03,-5.09,-5.31,33600.0,0.0,True,9,True,9,False,0,True,1,False,False,False,18.95,-18.07,15.79
20260227,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,59.96,74500.0,83500.0,71500.0,LOSS,71500.0,1,ohlc_low_touch,2026-03-03,-4.03,-4.25,85000.0,0.0,False,0,False,0,False,0,True,1,False,False,False,-2.15,-22.68,-8.46
20260302,383310,에코프로에이치엔,기타 화학제품 제조업,🏆 최강,53.73,38150.0,44000.0,36200.0,LOSS,36200.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33,45000.0,0.0,False,0,False,0,False,0,True,1,False,False,False,3.15,-23.98,-6.55
20260302,322310,오로스테크놀로지,특수 목적용 기계 제조업,🏆 최강,57.08,28500.0,32850.0,27050.0,LOSS,27050.0,1,ohlc_low_touch,2026-03-03,-5.09,-5.31,33600.0,0.0,True,9,True,9,False,0,True,1,False,False,False,18.95,-18.07,15.79
20260302,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,59.96,74500.0,83500.0,71500.0,LOSS,71500.0,1,ohlc_low_touch,2026-03-03,-4.03,-4.25,85000.0,0.0,False,0,False,0,False,0,True,1,False,False,False,-2.15,-22.68,-8.46
20260317,380540,옵티코어,마그네틱 및 광학 매체 제조업,🏆 최강,55.79,4360.0,5250.0,3705.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,5720.0,6740.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260324,298020,효성티앤씨,화학섬유 제조업,🏆 최강,44.14,392000.0,440000.0,333000.0,OPEN,409000.0,10,ohlc_horizon_close,2026-03-26,4.34,4.12,511000.0,583000.0,False,0,False,0,False,0,False,0,False,False,False,6.51,-7.4,4.34
20260327,356860,티엘비,전자부품 제조업,🏆 최강,67.57,73100.0,82600.0,62100.0,LOSS,62100.0,1,ohlc_low_touch,2026-03-30,-15.05,-15.27,92900.0,105100.0,False,0,False,0,False,0,True,1,False,False,False,8.95,-20.88,3.76
20260401,001780,알루코,1차 비철금속 제조업,🏆 최강,77.49,2415.0,2740.0,2105.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,2960.0,3255.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260401,389260,대명에너지,건물 건설업,🏆 최강,57.61,21550.0,25800.0,18310.0,WIN,25800.0,2,ohlc_high_touch,2026-04-02,19.72,19.5,28950.0,33300.0,True,2,False,0,False,0,False,0,True,False,False,28.07,-2.32,26.68
20260401,054920,한컴위드,소프트웨어 개발 및 공급업,🏆 최강,48.76,5150.0,6010.0,4375.0,WIN,6010.0,9,ohlc_high_touch,2026-04-03,16.7,16.48,6980.0,0.0,True,9,True,10,False,0,False,0,True,True,False,51.46,-13.2,29.71
