시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,BLOCK_REASON
KOSPI,대원전선,006340,절연선 및 케이블 제조업,6510,7946.57,5017.6,794657437690.0,85.3,96.6,64.15,72.85,0,2,0,19.67,73.14,76.66,76.66,78.6,124.87,56.12,,,0.0,0.0,1,68.27,11.8,-1.86,1,0,5.53,0.91,4165.0,3955.0,4795.0,4900.0,v1_sl_first_gap_at_open,5.04,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(5.0%)/급등(19.7%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,4742.6,5628,15.67,0.927,9.91,3.15,False,O,▲,4466,▲,O,X,0,0,0,0.0,절연선 및 케이블 제조업,기타,11.653740458015266,11.101374045801526,7.0,96.4,70.0,70.0,4,1,43.6,73.8,96.4,61.7,61.7,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSDAQ,우리기술,032820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",17150,5695.36,28601.7,569535656400.0,85.3,85.0,58.37,107.59,0,0,0,1.3,25.92,83.42,104.41,373.76,338.06,84.35,,,0.016,0.016,1,327.84,12.0,26.62,0,0,1.47,0.87,11370.0,10800.0,13080.0,13370.0,v1_sl_first_gap_at_open,5.01,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,11889.0,15054,13.92,0.5115,1.03,1.04,False,O,▲,14981,▲,O,X,0,0,0,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,12.127857142857142,6.221428571428571,8.0,91.6,77.84375601043178,77.84375601043178,6,1,76.4,81.9,91.6,80.8,80.8,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,현대바이오,048410,기타 화학제품 제조업,20000,4492.8,19208.2,449280213670.0,78.9,87.3,79.44,119.33,0,0,0,12.55,73.46,110.97,239.56,331.5,316.67,219.5,,,0.0,0.0,1,239.81,12.0,52.44,1,0,2.83,0.9,11700.0,11110.0,13470.0,13770.0,v1_sl_first_gap_at_open,5.04,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭(1.3%)/급등(12.5%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,12026.0,16420,21.8,0.7701,3.45,2.74,False,O,▲,14809,▲,O,X,0,0,0,0.0,기타 화학제품 제조업,화학·소재,3.7831914893617022,1.6378723404255318,11.0,95.9,65.5,65.5,6,1,83.5,68.8,95.9,82.3,82.3,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,흥구석유,024060,기타 전문 도매업,21750,3607.18,3262.5,360718288625.0,73.5,92.3,45.48,72.81,0,0,0,-0.46,52.52,58.76,77.99,80.95,80.5,57.93,,,0.075,0.075,1,3.23,12.0,9.09,1,0,7.72,0.8,15700.0,14910.0,18070.0,18470.0,v1_sl_first_gap_at_open,5.03,6.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,16050.0,20076,8.34,1.0209,2.19,2.95,False,O,▲,17747,▲,O,X,0,0,0,0.0,기타 전문 도매업,기타,11.653740458015266,11.101374045801526,7.0,92.1,79.5,79.5,6,1,82.0,100.0,92.1,88.5,88.5,[연속급등: 5일 수익률 40%+ 과열]
KOSPI,현대지에프홀딩스,005440,기타 금융업,18750,1668.62,29232.1,166861928715.0,97.6,96.2,64.4,99.76,0,0,0,20.19,34.6,86.94,121.89,131.77,154.07,101.35,,,0.0,0.0,1,125.97,12.0,12.49,1,0,1.62,0.93,11980.0,11370.0,13810.0,14120.0,v1_sl_first_gap_at_open,5.09,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(-2.9%)/급등(20.2%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,11578.0,15969,17.41,0.2467,5.93,2.27,False,O,▲,15528,▲,O,X,0,0,0,0.0,기타 금융업,금융,9.20217391304348,15.306304347826087,4.0,95.3,76.0,76.0,6,1,79.2,84.4,95.3,83.7,83.7,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,유투바이오,221800,기타 과학기술 서비스업,19970,1515.31,3181.7,151531229925.0,78.8,75.5,138.53,297.2,0,0,0,-19.31,129.8,315.18,297.02,218.5,540.06,276.96,,,0.0,0.0,1,278.18,12.0,-3.63,1,0,1.39,0.63,8790.0,8350.0,10110.0,10330.0,v1_sl_first_gap_at_open,5.01,6.0,3.0,NORMAL+WARN:ATR%=20.4% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:갭(7.9%)/급등(-19.3%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,15014.0,17414,14.67,1.809,2.27,2.09,False,O,▲,16799,▲,O,X,0,0,0,0.0,기타 과학기술 서비스업,서비스 기타,14.963333333333335,25.119999999999997,2.0,97.3,66.40932557424473,66.40932557424473,4,1,31.8,77.8,97.3,56.4,56.4,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,현대ADM,187660,자연과학 및 공학 연구개발업,15670,1509.26,8691.6,150926044435.0,95.6,97.9,201.09,278.0,0,0,0,29.93,175.88,422.33,493.56,542.21,718.28,473.5,,,0.0,0.0,1,360.93,12.0,12.3,0,0,2.21,1.0,5460.0,5190.0,6270.0,6410.0,v1_sl_first_gap_at_open,4.95,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(0.0%)/급등(29.9%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,8637.5,9415,66.42,1.1758,0.6,2.67,False,O,▲,9810,▲,O,X,0,0,0,0.0,자연과학 및 공학 연구개발업,기타,11.653740458015266,11.101374045801526,7.0,95.1,69.60671999806408,69.60671999806408,6,1,85.0,73.3,95.1,84.1,84.1,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,삼화콘덴서,001820,전자부품 제조업,60700,1458.38,6309.8,145838175300.0,86.2,93.0,66.03,93.0,0,0,0,6.49,63.17,89.98,93.93,112.98,133.91,73.39,,,0.0,0.0,1,87.13,12.0,-0.5,0,0,0.94,0.8,38400.0,36450.0,44250.0,45250.0,v1_sl_first_gap_at_open,5.08,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭(9.3%)/급등(6.5%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,48245.0,54974,10.41,0.8882,5.67,2.12,False,O,▲,46402,▲,O,X,0,0,0,0.0,전자부품 제조업,IT/전기전자,7.544189189189189,8.899864864864865,9.0,95.6,28.0,28.0,2,0,28.8,27.1,95.6,41.7,41.7,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,한화갤러리아,452260,종합 소매업,3085,1329.84,5980.6,132983785174.0,85.4,90.9,39.96,68.85,0,0,0,8.82,38.65,42.49,72.83,193.53,172.05,52.29,,,0.0,0.0,1,88.98,12.0,19.48,0,0,1.8,0.91,2315.0,2195.0,2675.0,2735.0,v1_sl_first_gap_at_open,5.18,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,2106.0,2750,12.18,0.5653,1.86,2.21,False,O,▲,2723,▲,O,X,0,0,0,0.0,종합 소매업,유통·소비재,7.154761904761905,35.79142857142857,1.0,91.5,70.90725811281672,70.90725811281672,6,1,81.2,82.8,91.5,83.7,83.7,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,이지홀딩스,035810,동물용 사료 및 조제식품 제조업,8530,1262.77,5503.2,126276782205.0,91.9,97.9,51.96,64.79,0,0,0,10.49,55.09,57.67,78.64,88.72,123.3,58.58,,,0.0,0.0,1,1.45,10.3,6.62,1,0,4.08,0.83,5890.0,5590.0,6790.0,6940.0,v1_sl_first_gap_at_open,5.09,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭(6.1%)/급등(10.5%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,6962.0,8295,2.83,0.743,14.01,1.12,False,O,▲,6453,▲,O,X,0,0,0,0.0,동물용 사료 및 조제식품 제조업,유통·소비재,7.154761904761905,35.79142857142857,1.0,76.8,23.5,23.5,6,1,82.4,34.1,76.8,69.2,69.2,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
