시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSDAQ,폴라리스AI파마,041910,의약품 제조업,8920,2364.17,1204.3,236416893055.0,71.6,98.5,33.21,41.85,0,0,0,8.91,46.47,34.54,35.56,36.81,37.87,26.57,9.58,-11.15,0.371,0.371,0,-0.35,12.0,-7.94,1,0,17.11,0.71,7030.0,6020.0,10200.0,11400.0,12920.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,14.37,6.0,3.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,6607.0,8008,11.39,0.7843,13.23,2.09,False,O,▲,6730,▲,O,X,0,0,0,2.69,250,0,1,1,1,0.0,의약품 제조업,바이오·의약품,8.727333333333332,1.9840000000000013,7.0,83.8,28.0,28.0,4,1,50.6,18.7,83.8,44.5,44.5,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,센서뷰,321370,전자부품 제조업,4565,2042.76,2357.8,204275687052.0,79.2,91.3,65.61,96.33,0,0,0,24.73,60.18,114.82,38.33,345.37,258.32,29.34,318.14,209.3,0.0,0.0,1,24.7,12.0,-21.38,0,0,2.79,0.94,2895.0,2460.0,4755.0,5140.0,6270.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,15.03,6.0,4.3,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(1.6%)/급등(24.7%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,2450.8,2923,56.14,1.0363,3.69,2.49,False,O,▲,3364,▲,O,X,0,0,0,1.64,249,0,1,1,1,0.0,전자부품 제조업,IT/전기전자,20.905211267605633,13.804225352112676,2.0,38.5,58.0,58.0,4,1,54.1,68.4,38.5,56.7,56.7,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,SKAI,357880,소프트웨어 개발 및 공급업,5320,1772.12,2657.7,177211520386.0,84.1,94.5,96.14,137.16,0,0,0,10.83,106.6,128.33,245.9,184.64,125.9,236.91,157.41,76.88,0.0,0.0,1,142.96,12.0,34.52,1,0,1.87,0.82,2850.0,2420.0,6160.0,7450.0,9090.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.09,6.0,7.7,NORMAL+PM_BLOCK_INTRADAY+EF:갭(-2.1%)/급등(10.8%)/VI → 50% 분할+ENTRY:split,split,50.0,,1,1,3213.5,3039,75.03,1.1588,3.12,2.73,False,O,▲,3657,▲,O,X,0,0,0,-2.08,250,0,1,1,1,0.0,소프트웨어 개발 및 공급업,IT/전기전자,20.905211267605633,13.804225352112676,2.0,54.2,38.41942905001545,38.41942905001545,6,1,90.7,46.7,54.2,65.8,65.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,오르비텍,046120,기타 과학기술 서비스업,10000,1738.11,3289.6,173810916505.0,69.3,85.3,57.07,79.82,0,0,0,17.92,94.93,66.67,105.76,148.45,180.5,96.77,121.22,131.48,0.0,0.0,1,137.73,12.0,-9.26,0,0,3.06,0.89,6690.0,5680.0,10650.0,12520.0,14890.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.1,6.0,3.9,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(0.7%)/급등(17.9%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,6601.0,6281,59.21,1.2009,2.28,3.09,False,O,▲,6959,▲,O,X,0,0,0,0.71,250,0,1,1,1,0.0,기타 과학기술 서비스업,서비스 기타,7.852307692307692,14.99769230769231,4.0,65.7,67.26197454778523,67.26197454778523,4,1,53.4,94.7,65.7,72.4,72.4,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,RF시스템즈,474610,기타 금속 가공제품 제조업,10910,1580.19,1500.4,158018688285.0,75.9,89.3,47.19,66.91,0,1,0,8.02,47.23,71.0,48.44,159.14,116.47,39.45,131.91,67.45,0.197,0.197,1,47.25,12.0,-13.78,1,0,2.95,0.77,7780.0,6610.0,12560.0,14860.0,17780.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.04,6.0,4.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,6503.0,8089,34.86,0.8452,6.75,2.26,False,O,▲,8554,▲,O,X,0,0,0,-1.88,250,0,1,1,1,0.0,기타 금속 가공제품 제조업,기타,9.503363636363636,12.604545454545455,5.0,27.2,28.0,28.0,4,1,51.6,20.2,27.2,34.2,34.2,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,대한광통신,010170,절연선 및 케이블 제조업,7270,1298.01,9595.4,129800774335.0,67.4,72.0,50.07,116.19,0,0,0,-1.76,71.26,69.27,131.53,221.54,359.25,122.54,194.31,310.23,0.03,0.03,1,118.31,12.0,14.38,1,0,3.31,0.72,5090.0,4320.0,8900.0,10770.0,13150.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.13,5.0,4.9,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,5086.0,4307,68.76,0.8452,0.55,2.18,False,O,▲,6774,▲,O,X,0,0,0,2.7,250,0,1,1,1,0.0,절연선 및 케이블 제조업,기타,9.503363636363636,12.604545454545455,5.0,54.4,46.86176425030526,46.86176425030526,6,1,90.8,70.9,54.4,75.6,75.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,폴라리스AI,039980,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1936,976.41,1409.0,97640527240.0,61.0,97.4,23.98,55.71,0,0,0,-5.33,51.49,29.67,10.38,-3.05,-20.66,1.39,-30.28,-69.68,0.705,0.581,0,-3.3,12.0,-20.39,0,0,2.59,0.69,1640.0,1393.0,2270.0,2970.0,,SWING_20D,80,SWING_120D,45,,0,v1_sl_first_gap_at_open,15.06,6.0,2.6,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,1473.6,1896,2.08,1.3418,4.83,1.06,False,O,▼,1532,▲,O,X,0,0,0,1.47,250,0,-1,-1,1,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT/전기전자,20.905211267605633,13.804225352112676,2.0,87.9,25.0,25.0,6,1,25.4,20.8,87.9,36.1,36.1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,빛과전자,069540,통신 및 방송 장비 제조업,1678,858.91,1629.6,85890577851.0,69.3,92.7,46.5,61.46,0,0,0,18.5,72.28,52.55,38.91,136.01,86.86,29.92,108.78,37.84,0.0,0.0,1,5.57,12.0,-16.57,1,0,4.48,0.87,1203.0,1022.0,1800.0,1988.0,2370.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,15.05,6.0,3.3,NORMAL+PM_BLOCK_INTRADAY+EF:극단갭(0.3%)/급등(18.5%) → 진입 보류+ENTRY:hold,hold,0.0,,1,1,1039.4,1385,21.12,1.154,5.75,2.65,False,O,▲,1221,▲,O,X,0,0,0,0.28,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,IT/전기전자,20.905211267605633,13.804225352112676,2.0,71.1,47.0,47.0,4,1,53.0,80.2,71.1,67.5,67.5,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,앱클론,174900,의료용품 및 기타 의약 관련제품 제조업,88500,800.81,17634.1,80081079200.0,71.4,81.2,35.41,62.81,0,1,0,-0.67,40.25,43.2,38.07,122.92,612.56,29.08,95.69,563.54,0.038,0.038,1,130.83,12.0,-2.83,1,0,1.23,0.84,68600.0,58300.0,95800.0,99100.0,112400.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.01,5.0,2.6,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,59640.0,58314,51.76,0.6842,2.06,1.47,False,O,▲,78116,▲,O,X,0,0,0,1.01,250,0,1,1,1,0.0,의료용품 및 기타 의약 관련제품 제조업,기타,9.503363636363636,12.604545454545455,5.0,57.6,82.5,82.5,4,1,43.0,100.0,57.6,68.7,68.7,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,에이치엠넥스,036170,반도체 제조업,5250,444.0,3221.7,44400214680.0,87.7,96.5,70.89,163.82,0,0,0,-4.2,51.95,107.1,203.29,510.47,490.55,194.3,483.24,441.53,0.015,0.015,1,222.73,12.0,48.98,1,0,1.58,0.66,3225.0,2740.0,7120.0,8840.0,11010.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.04,6.0,8.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,,1,1,3434.5,2553,105.6,0.5152,1.63,1.9,False,O,▲,4956,▲,O,X,0,0,0,4.74,250,0,1,1,1,0.0,반도체 제조업,반도체,16.530952380952378,18.55809523809524,1.0,59.7,60.640595738838165,60.640595738838165,6,1,84.6,70.8,59.7,74.1,74.1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
