시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,SK하이닉스,000660,반도체 제조업,1292000,58814.38,9208114.6,5881438282900.0,87.0,75.2,22.0,56.75,0,0,0,5.73,10.81,24.23,48.0,61.5,127.46,38.18,31.73,73.88,0.0,0.0,1,48.71,9.6,33.75,1,0,0.87,0.95,1112000.0,985000.0,1317000.0,1360000.0,1461000.0,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,v1_sl_first_gap_at_open,11.42,4.0,1.6,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,1103600.0,959875,34.6,-0.1087,1.03,1.14,False,O,▲,1273046,▲,O,X,1003884,394060,1397944,2.54,250,0,1,1,1,0.0,반도체 제조업,반도체,19.75485714285714,43.56771428571428,1.0,24.1,OK,36.35467910087954,36.35467910087954,2,0,80.1,44.4,24.1,54.6,54.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,한미반도체,042700,특수 목적용 기계 제조업,373500,18495.34,355991.1,1849534448750.0,87.7,85.3,31.73,37.23,0,0,0,26.4,30.14,35.08,43.38,113.67,160.28,33.56,83.9,106.7,0.0,0.0,1,200.52,9.2,15.67,1,0,2.43,0.96,297500.0,261500.0,379500.0,434500.0,505000.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,12.1,4.0,2.3,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,hold,0.0,,1,1,288400.0,258499,44.49,0.2557,5.85,3.4,False,O,▲,307038,▲,O,X,210281,41085,251366,3.21,250,0,1,1,1,0.0,특수 목적용 기계 제조업,반도체,19.75485714285714,43.56771428571428,1.0,52.5,OK,61.60257791052103,61.60257791052103,6,1,94.4,72.4,52.5,77.2,77.2,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,제주반도체,080220,반도체 제조업,58400,8551.1,20114.6,855109914250.0,87.0,89.2,35.7,50.73,0,0,0,8.15,35.81,41.06,57.62,83.94,185.57,47.8,54.17,131.99,0.041,0.041,1,25.61,12.0,19.17,1,0,4.14,0.85,45200.0,38400.0,62600.0,70600.0,80600.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.04,5.0,2.6,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,46165.0,45600,28.07,0.4101,4.36,2.71,False,O,▲,49433,▲,O,X,0,0,0,1.67,250,0,1,1,1,0.0,반도체 제조업,반도체,19.75485714285714,43.56771428571428,1.0,53.0,OK,28.0,28.0,6,1,92.8,33.5,53.0,61.1,61.1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,고영,098460,특수 목적용 기계 제조업,43500,7148.29,29864.8,714828731725.0,87.0,92.4,44.51,67.41,0,0,0,2.84,37.01,58.76,66.99,36.15,167.2,57.17,6.38,113.62,0.0,0.0,1,128.02,11.2,13.37,1,0,2.7,0.94,31600.0,26950.0,44800.0,50400.0,57500.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,14.72,5.0,2.8,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,34780.0,33641,29.3,0.5218,3.73,2.83,False,O,▲,36407,▲,O,X,0,0,0,2.25,250,0,1,1,1,0.0,특수 목적용 기계 제조업,조선·기계·설비,14.058311688311688,27.71727272727273,3.0,27.6,OK,56.0,56.0,6,1,94.1,66.2,27.6,69.6,69.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,대우건설,047040,건물 건설업,33200,7486.38,136421.3,748638382525.0,89.3,78.1,33.1,101.06,0,0,0,1.22,18.15,39.79,91.46,590.95,773.68,81.64,561.18,720.1,0.033,0.033,1,84.01,12.0,46.68,1,0,1.8,0.86,26200.0,22250.0,36200.0,37550.0,44800.0,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,v1_sl_first_gap_at_open,15.08,4.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,24775.0,17603,88.6,-0.2075,0.48,1.45,False,O,▲,34398,▲,X,X,0,0,0,1.98,250,0,1,1,1,0.0,건물 건설업,건설·부동산,8.737777777777778,22.243333333333332,6.0,87.3,OK,25.0,25.0,4,1,90.4,26.5,87.3,64.2,64.2,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,대원전선,006340,절연선 및 케이블 제조업,10170,6331.37,7974.7,633137480605.0,87.7,97.4,63.41,89.61,0,0,0,12.75,56.94,87.99,100.59,179.01,179.4,90.77,149.24,125.82,0.0,0.0,1,173.47,12.0,12.26,1,0,7.17,0.92,6530.0,5550.0,10660.0,12630.0,15130.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.01,5.0,4.2,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,7109.0,6710,51.55,0.8176,2.81,2.84,False,O,▲,7910,▲,O,X,0,0,0,3.44,250,0,1,1,1,0.0,절연선 및 케이블 제조업,기타,8.452571428571428,12.648571428571428,11.0,59.5,OK,31.029311972058228,31.029311972058228,6,1,93.8,30.5,59.5,61.6,61.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,두산에너빌리티,034020,일반 목적용 기계 제조업,128900,5099.27,825683.3,509927192950.0,89.7,83.7,21.76,42.34,0,0,0,1.42,16.13,29.81,36.84,37.71,43.7,27.02,7.94,-9.88,0.0,0.0,1,34.18,7.6,9.33,1,0,1.07,0.96,111200.0,100900.0,130300.0,144300.0,162100.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,9.26,4.0,1.9,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,111525.0,100230,28.6,0.2332,0.98,2.06,False,O,▲,122627,▲,O,X,0,0,0,2.52,250,0,1,1,1,0.0,일반 목적용 기계 제조업,조선·기계·설비,14.058311688311688,27.71727272727273,3.0,37.5,OK,82.79198901878054,82.79198901878054,4,1,82.8,96.0,37.5,79.0,79.0,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,SK스퀘어,402340,기타 금융업,789000,4209.24,1041151.7,420924341500.0,91.7,76.4,28.82,68.43,0,0,0,8.83,12.55,36.03,54.71,66.81,180.78,44.89,37.04,127.2,0.0,0.0,1,156.06,10.8,29.78,1,0,0.77,0.95,643000.0,561000.0,806000.0,901000.0,1020000.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,12.75,4.0,2.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,651500.0,573439,37.59,-0.1152,0.95,0.92,False,O,▲,766840,▲,O,X,37872,8679,46551,3.03,250,0,1,1,1,0.0,기타 금융업,금융,7.032105263157895,14.404473684210526,9.0,55.7,OK,39.23846739262535,39.23846739262535,2,0,51.6,39.6,55.7,47.6,47.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,삼성전기,009150,전자부품 제조업,794000,4156.33,593067.9,415632815500.0,90.8,87.7,32.96,92.7,0,0,0,0.76,16.76,39.79,85.08,186.64,252.89,75.26,156.87,199.31,0.012,0.012,1,206.52,11.2,45.52,1,0,0.93,0.95,627000.0,544000.0,816000.0,874000.0,964000.0,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,v1_sl_first_gap_at_open,13.24,4.0,2.3,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,660400.0,451352,75.92,-0.1405,0.74,1.13,False,O,▲,815796,▲,X,X,61932,3970,65902,0.51,250,0,1,1,1,0.0,전자부품 제조업,IT/전기전자,4.268910891089109,25.288712871287128,5.0,48.2,OK,37.2959995128077,37.2959995128077,2,0,80.9,41.0,48.2,58.4,58.4,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,LS ELECTRIC,010120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",255500,4012.1,383250.0,401209888000.0,95.9,81.6,42.46,63.35,0,0,0,12.8,38.71,42.58,64.84,137.9,190.67,55.02,108.13,137.09,0.0,0.0,1,173.65,10.1,27.69,1,0,1.48,0.95,188300.0,162300.0,261500.0,304500.0,359000.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,13.81,4.0,2.8,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입 + 당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,split,50.0,,1,1,206400.0,157749,61.97,0.5033,1.49,1.19,False,O,▲,215817,▲,O,X,0,0,0,8.83,250,0,1,1,1,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,16.87625,26.76,2.0,49.0,OK,75.0,75.0,6,1,87.8,77.3,49.0,75.8,75.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
