시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,LG이노텍,011070,전자부품 제조업,953000,2748.14,225547.5,274814366000.0,36.8,57.2,-18.16,50.6,0,0,0,-0.42,-25.72,-11.1,-8.72,197.35,249.72,-17.25,133.16,,0.303,0.062,1,260.22,12.0,-4.1,0,0,0.91,0.02,0,0,0,,0,-1,1352100.0,911511,4.55,-0.8821,0.43,-3.02,True,O,▲,1086394,▼,X,X,4.7,250,0,1,1,1,953000.0,907000.0,1788000.0,2196000.0,2713000.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,4.83,4.0,18.2,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,전자부품 제조업,IT/전기전자,-15.040188679245283,-15.611509433962263,11.0,0.13873482236546245,-0.03837138367217023,0.1917808219178082,OK,54.7,OK,5.988822651922604,5.988822651922604,0,0,6.9,6.7,54.7,16.4,16.4,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,서산,079650,"시멘트, 석회, 플라스터 및 그 제품 제조업",5690,1727.29,1138.0,172729379165.0,73.9,50.5,133.46,350.05,0,0,0,-29.93,99.65,481.21,373.77,281.88,295.41,395.42,304.1,,0.085,0.085,1,307.4,12.0,2.31,1,0,1.06,0.51,0,0,0,,1,1,5325.1,4248,33.93,1.7724,5.91,-0.8,False,O,▲,5536,▲,O,X,19.95,248,0,1,1,1,2560.0,2175.0,10300.0,12850.0,16080.0,hold,0.0,NORMAL+WARN:ATR%=25.9% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,15.04,6.0,20.1,normal,7,v1_sl_first_gap_at_open,NORMAL+WARN:ATR%=25.9% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",기타,-6.325479452054794,-3.473698630136986,4.0,0.31939492844589507,1.2702046838682546,0.12147505422993492,OK,69.9,OK,27.0,27.0,4,1,59.4,33.6,69.9,55.0,55.0,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][갭과대: 갭 15%+ 비정상]
KOSDAQ,성호전자,043260,전자부품 제조업,28750,704.99,20390.3,70499433500.0,28.9,36.0,-29.03,63.01,0,2,0,-4.33,-28.12,-36.88,-32.51,-37.64,270.49,-10.86,-15.42,,0.706,0.024,0,-32.46,12.0,-9.87,0,0,1.49,0.02,0,0,0,,0,-1,44835.0,44001,-34.66,-1.0436,0.49,-3.21,True,X,▲,33759,▼,X,X,7.99,250,0,1,1,1,28750.0,27450.0,57700.0,59600.0,,split,50.0,SWING+WARN:ATR%=23.8% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입+ENTRY:split,4.52,5.0,22.3,normal,7,v1_sl_first_gap_at_open,SWING+WARN:ATR%=23.8% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입+ENTRY:split,SWING_20D,80,SWING_120D,45,,0,0.0,전자부품 제조업,IT/전기전자,-15.040188679245283,-15.611509433962263,11.0,0.21416149068322982,0.006201509511999499,0.0,OK,86.1,OK,5.0,5.0,2,0,6.2,0.0,86.1,20.6,20.6,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSPI,삼화콘덴서,001820,전자부품 제조업,131900,645.18,13711.0,64517699950.0,55.9,64.8,-3.24,68.96,0,0,0,-3.01,-30.62,-1.05,4.77,135.12,334.6,-3.76,70.93,,0.301,0.197,1,122.1,12.0,27.11,0,0,1.46,0.36,0,0,0,,0,1,102400.0,120831,9.16,-1.3901,0.27,-2.99,False,O,▲,164684,▼,X,X,8.09,250,0,1,1,1,131900.0,118200.0,196800.0,218500.0,236500.0,split,50.0,SWING+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입+ENTRY:split,10.39,5.0,4.7,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입+ENTRY:split,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,전자부품 제조업,IT/전기전자,-15.040188679245283,-15.611509433962263,11.0,0.1867215422939456,0.1838799014340026,0.07537688442211055,OK,55.1,OK,5.0,5.0,6,1,61.7,0.6,55.1,45.1,45.1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,삼기에너지솔루션즈,419050,자동차 신품 부품 제조업,1887,418.37,1079.3,41836741127.0,67.1,95.4,34.71,48.19,0,0,0,29.96,43.5,44.27,14.5,21.59,9.01,36.15,43.81,,0.296,0.296,0,-0.38,12.0,-11.92,0,0,9.23,1.0,0,0,0,,1,1,1332.5,1787,5.59,0.5674,14.08,2.74,False,O,▲,1326,▲,O,X,19.97,250,2,1,1,1,1471.0,1250.0,1887.0,2125.0,,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 연속 상한가 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,15.02,6.0,1.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 연속 상한가 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,SWING_60D,60,,0,0.0,자동차 신품 부품 제조업,2차전지,-7.760000000000001,-23.287777777777777,12.0,0.06544780074191839,0.022844141693599804,0.0,OK,50.3,OK,64.0,64.0,4,1,55.0,51.2,50.3,53.1,53.1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][갭과대: 갭 15%+ 비정상][상한가연속: 연속 상한가 2회+]
KOSPI,금호타이어,073240,고무제품 제조업,4480,404.55,12869.3,40455493531.0,46.1,62.3,-4.4,18.01,0,0,0,1.13,-6.28,-0.88,-6.28,-28.32,-26.56,-14.81,-92.51,,0.974,0.3,0,-4.71,12.0,-2.99,1,1,0.55,0.25,0,0,0,,0,-1,5091.5,5171,-13.38,-0.3494,7.32,-3.87,False,X,▼,4623,▼,X,X,18.28,250,0,-1,-1,1,4480.0,4090.0,5240.0,6400.0,7650.0,hold,0.0,SWING+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,8.71,5.0,1.9,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,SWING_20D,80,SWING_60D,60,SWING_120D,45,0.0,고무제품 제조업,화학·소재,-11.431875,-14.2484375,8.0,0.06513073979591837,-0.01658911747042766,0.0,OK,61.7,OK,10.730341356641231,10.730341356641231,4,1,0.0,0.0,61.7,12.3,12.3,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[갭과대: 갭 15%+ 비정상]
KOSDAQ,로킷헬스케어,376900,의료용품 및 기타 의약 관련제품 제조업,40000,353.81,6349.5,35381385750.0,37.9,27.4,-18.36,46.38,0,0,0,-16.67,-11.7,-20.79,-32.55,-67.74,-35.79,-10.9,-45.52,,1.0,0.009,0,-43.27,12.0,-17.27,0,0,0.87,0.15,0,0,0,,0,-1,52845.0,87304,-54.18,-0.042,3.89,-3.3,False,X,▼,41558,▼,X,X,16.25,250,0,-1,-1,1,40000.0,34000.0,60000.0,153800.0,,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,15.0,5.0,3.3,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,SWING_20D,80,SWING_60D,60,,0,0.0,의료용품 및 기타 의약 관련제품 제조업,기타,-6.325479452054794,-3.473698630136986,4.0,0.15732142857142858,-0.00224300781486565,0.0125,OK,69.0,OK,4.5,4.5,0,0,0.0,0.0,69.0,13.8,13.8,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[갭과대: 갭 15%+ 비정상]
KOSPI,HL만도,204320,자동차 신품 부품 제조업,48950,323.19,22985.5,32318603725.0,45.2,62.5,-17.59,58.65,0,0,0,-3.83,-28.85,-2.1,-21.18,-4.39,-9.85,-29.71,-68.58,,0.995,0.138,0,-21.1,12.0,2.21,1,0,1.27,0.05,0,0,0,,0,-1,76615.0,62494,-21.67,-1.5409,0.45,-3.32,True,X,▼,61289,▼,X,X,1.38,250,0,-1,-1,1,48950.0,47050.0,79100.0,87800.0,98900.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,3.88,5.0,15.9,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,자동차 신품 부품 제조업,자동차·모빌리티,-17.875,-13.395833333333334,10.0,0.15059098205165622,0.04565860257424191,0.18666666666666668,OK,51.5,OK,6.327553304413849,6.327553304413849,6,1,18.3,0.0,51.5,20.4,20.4,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSPI,미래에셋생명,085620,보험업,22550,318.19,30483.1,31819277615.0,54.7,83.0,-3.89,107.12,0,0,0,13.77,-29.53,-23.17,51.34,25.91,143.52,42.81,-38.28,,0.262,0.075,1,39.5,12.0,42.42,1,0,2.92,0.39,0,0,0,,0,1,18540.0,24792,-9.04,-2.5946,0.46,-0.3,False,O,▲,27873,▼,X,X,0.0,250,0,1,1,1,21200.0,18000.0,37300.0,39900.0,43900.0,split,50.0,NORMAL+WARN:ATR%=21.2% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,15.09,5.0,5.0,normal,7,v1_sl_first_gap_at_open,NORMAL+WARN:ATR%=21.2% > 20% — 이상치 의심+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,보험업,금융,-8.79638888888889,-13.926388888888889,7.0,0.2365536902122268,0.4783862541232711,0.1527777777777778,OK,67.6,OK,5.0,5.0,6,1,70.8,10.6,67.6,55.1,55.1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,네패스아크,330860,"그외 기타 전문, 과학 및 기술 서비스업",36150,250.64,4404.5,25063879450.0,47.7,56.1,-18.83,60.44,0,0,0,-13.62,-31.53,-23.09,-26.45,43.17,138.77,-4.8,65.39,,0.412,0.149,1,61.46,12.0,5.6,1,0,1.59,0.1,0,0,0,,0,1,34095.0,39598,-8.71,-1.49,1.7,-3.16,True,O,▲,49517,▼,X,X,3.94,250,0,1,1,1,36150.0,33850.0,63500.0,74900.0,89400.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,6.36,6.0,11.9,normal,7,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,"그외 기타 전문, 과학 및 기술 서비스업",서비스 기타,-11.9115,-21.3755,14.0,0.19610748863860897,0.028251221928541615,0.0,OK,77.2,OK,31.434342511477702,31.434342511477702,6,1,56.2,39.9,77.2,56.3,56.3,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,[급락종목: 5일 -25% 이하 급락]
