시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_RAW_SCORE,ML_TRUSTED,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,ML_EFFECTIVE_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,한미약품,128940,의약품 제조업,540000,2599.94,69179.4,259994058750.0,89.1,82.5,39.04,47.64,0,0,0,29.96,35.51,37.58,37.76,10.43,-9.09,37.67,29.04,-15.27,0.021,0.021,1,6.52,10.6,23.84,1,0,1.14,1.0,0,0,0,,1,1,394275.0,437652,23.39,0.2858,4.81,3.25,False,O,▲,423706,▲,O,X,5.42,250,1,1,-1,1,408000.0,375000.0,481000.0,540000.0,578000.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.09,4.0,2.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,BB_UPPER,12,SWING_20D,5,SWING_60D,2,0.0,의약품 제조업,바이오·의약품,2.64,15.132,2.0,43.5,0,0.052876984126984126,0.05502001953688402,0.0,OK,0.0,UNVALIDATED_MODEL,70.0,70.0,0.0,6,1,79.2,74.9,0.0,77.1,77.1,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,한미사이언스,008930,기타 금융업,56500,2166.63,38641.2,216663064850.0,87.5,90.5,34.94,54.16,0,0,0,25.7,27.54,26.54,63.29,74.65,20.21,63.2,93.26,14.03,0.0,0.0,1,6.86,12.0,33.97,1,0,2.33,0.96,0,0,0,,1,1,40215.0,40433,39.74,0.0448,9.91,4.03,False,O,▲,47624,▲,O,X,1.33,250,0,1,1,1,43950.0,40400.0,53300.0,57500.0,66200.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.08,5.0,2.6,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,BB_UPPER,12,SWING_20D,5,FIBO_1.272,2,0.0,기타 금융업,금융,-2.399375,4.60625,10.0,24.2,0,0.063653603034134,0.10239560001620047,0.08264462809917356,OK,0.0,UNVALIDATED_MODEL,61.13021680666689,61.13021680666689,0.0,6,1,94.4,67.9,0.0,81.2,81.2,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,아이티센글로벌,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",37900,1155.76,8794.5,115576482575.0,79.5,85.8,49.5,75.65,0,0,0,16.44,40.37,66.96,80.05,-20.71,-35.98,71.35,7.51,-4.43,0.654,0.094,0,-0.96,12.0,33.14,1,0,1.76,0.89,0,0,0,,1,1,27160.0,30840,22.89,0.4047,5.57,1.54,False,O,▼,30900,▲,O,X,8.76,250,0,-1,-1,1,26600.0,24450.0,34950.0,40450.0,49200.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.08,5.0,3.9,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,BB_UPPER,12,SWING_20D,5,SWING_60D,2,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT/전기전자,-2.207333333333333,13.661999999999999,5.0,45.1,0,0.08744817188088956,0.02098174107422306,0.4857142857142857,OK,0.0,UNVALIDATED_MODEL,24.111335989651774,24.111335989651774,0.0,6,1,65.4,0.0,0.0,32.7,32.7,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열]
KOSDAQ,네오이뮨텍,950220,자연과학 및 공학 연구개발업,3050,779.74,1043.5,77974032560.0,97.5,99.5,86.85,123.1,0,0,0,7.02,88.16,99.48,134.44,21.76,3.92,125.74,49.98,35.47,0.0,0.0,1,8.35,12.0,31.21,1,0,0.18,0.75,0,0,0,,1,1,2337.5,2561,19.05,1.0966,15.56,-2.47,False,O,▲,2190,▲,O,X,24.56,250,0,1,1,1,1714.0,1576.0,2235.0,3705.0,4410.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,8.05,6.0,3.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,ATR_2x,23,SWING_20D,2,FIBO_1.272,2,0.0,자연과학 및 공학 연구개발업,기타,-2.3064912280701755,9.706140350877194,6.0,27.8,0,0.08526932084309133,0.2265121888560002,0.1712707182320442,OK,0.0,UNVALIDATED_MODEL,42.0,42.0,0.0,4,1,29.9,40.7,0.0,35.3,35.3,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열][갭과대: 갭 15%+ 비정상][RSI극단: RSI 85+ 극단과열]
KOSPI,코스맥스,192820,기타 화학제품 제조업,286000,605.34,32459.6,60533929500.0,89.9,84.7,30.67,60.87,0,0,0,5.54,15.56,39.17,60.31,62.32,51.32,60.22,80.93,45.14,0.0,0.0,1,61.12,12.0,15.3,1,0,1.69,0.98,0,0,0,,1,1,215970.0,198511,44.07,0.0931,1.36,2.58,False,O,▲,269200,▲,O,X,0.18,250,0,1,1,1,230000.0,211000.0,288000.0,328000.0,379000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,8.26,5.0,3.1,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,12,FIBO_1.272,2,FIBO_1.618,2,0.0,기타 화학제품 제조업,화학·소재,-4.026363636363636,9.33090909090909,8.0,24.6,0,0.06218781218781219,0.10197141835917173,0.08888888888888889,OK,0.0,UNVALIDATED_MODEL,84.0,84.0,0.0,6,1,90.8,89.3,0.0,90.0,90.0,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,코오롱티슈진,950160,기초 의약물질 제조업,20350,504.76,17291.4,50476354250.0,62.3,58.1,6.23,102.96,0,0,0,-1.93,-28.72,15.23,35.67,-81.6,-80.62,26.97,-53.38,-49.07,0.507,0.124,1,21.6,12.0,54.66,1,0,2.36,0.44,0,0,0,,1,1,17719.0,27176,-25.12,-1.4479,0.51,-1.58,False,X,▼,26128,▼,X,X,-11.37,250,0,-1,-1,1,20350.0,18720.0,31850.0,116500.0,149000.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,8.01,5.0,7.1,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,12,SWING_60D,2,SWING_120D,2,0.0,기초 의약물질 제조업,기타,-2.3064912280701755,9.706140350877194,6.0,69.5,0,0.18065988065988067,0.5828910928891645,0.04,OK,0.0,UNVALIDATED_MODEL,25.0,25.0,0.0,6,1,70.9,36.8,0.0,53.8,53.8,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[급락종목: 5일 -25% 이하 급락]
KOSDAQ,미래에셋벤처투자,100790,기타 금융업,15880,510.79,8435.5,51078930745.0,61.4,79.6,8.66,55.43,0,0,0,9.52,-9.26,11.91,18.6,-71.74,-25.62,9.9,-43.52,5.93,0.988,0.041,0,-44.27,12.0,43.0,1,0,1.76,0.57,0,0,0,,1,1,12634.0,29384,-45.96,-0.8251,2.64,-3.31,False,X,▼,16737,▼,X,X,22.28,250,0,-1,-1,1,16800.0,15460.0,20300.0,57100.0,70700.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,7.98,5.0,2.6,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류+ENTRY:hold,SWING_20D,23,SWING_60D,2,SWING_120D,2,0.0,기타 금융업,금융,-2.399375,4.60625,10.0,66.4,0,0.11541921554516013,0.023247453088396274,0.12735849056603774,OK,0.0,UNVALIDATED_MODEL,21.281310862079053,21.281310862079053,0.0,6,1,71.9,3.6,0.0,37.8,37.8,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[갭과대: 갭 15%+ 비정상]
KOSPI,신풍제약,019170,의약품 제조업,10550,207.94,5530.2,20794403150.0,77.1,89.9,27.5,35.82,0,0,0,29.93,20.02,24.7,34.05,0.38,-13.03,33.96,18.99,-19.21,0.586,0.413,0,-4.21,9.8,26.94,1,0,2.79,1.0,0,0,0,,1,1,8293.0,9039,16.71,0.025,12.07,2.54,False,O,▲,8834,▲,O,X,21.92,250,1,1,-1,1,8690.0,7990.0,9760.0,10550.0,11020.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,8.06,5.0,1.5,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 12%+ 진입 보류 + 당일 15%+ 급등 진입 보류+ENTRY:hold,BB_UPPER,23,SWING_20D,5,VP_RESISTANCE,5,0.0,의약품 제조업,바이오·의약품,2.64,15.132,2.0,36.9,0,0.04881516587677725,0.015223310491007338,0.0,OK,0.0,UNVALIDATED_MODEL,55.42786738075135,55.42786738075135,0.0,6,1,90.0,24.6,0.0,57.3,57.3,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[갭과대: 갭 15%+ 비정상]
KOSDAQ,쿠콘,294570,기타 정보 서비스업,26550,133.92,2679.4,13391534925.0,87.1,95.1,33.28,59.39,0,0,0,-1.12,27.95,36.01,47.17,6.84,-20.98,38.47,35.06,10.57,0.555,0.296,1,2.04,12.0,50.54,1,0,2.51,0.86,0,0,0,,1,1,22161.0,23113,14.87,0.414,5.44,0.84,False,O,▼,23388,▲,O,X,-2.79,250,0,-1,-1,1,20900.0,19240.0,25850.0,28700.0,35600.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,7.94,6.0,3.0,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,BB_UPPER,12,SWING_20D,5,SWING_120D,2,0.0,기타 정보 서비스업,서비스 기타,1.85,13.195500000000001,4.0,13.6,0,0.062389023405972556,0.005996330918898392,0.6935483870967742,OK,0.0,UNVALIDATED_MODEL,56.0,56.0,0.0,6,1,67.9,51.2,0.0,59.6,59.6,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,탑코미디어,134580,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2785,102.09,1372.8,10209480115.0,91.4,93.8,85.36,137.38,0,0,0,18.26,40.02,107.99,154.57,103.28,42.09,145.87,131.5,73.64,0.0,0.0,1,41.72,12.0,46.12,1,0,5.55,0.88,0,0,0,,1,1,1808.1999999999998,1918,45.15,0.4538,6.78,2.14,False,O,▲,2226,▲,O,X,6.16,250,0,1,1,1,1578.0,1451.0,2120.0,3060.0,3665.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,8.05,6.0,4.3,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,ATR_2x,23,SWING_20D,2,FIBO_1.272,2,0.0,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서비스 기타,1.85,13.195500000000001,4.0,76.4,0,0.09653757373685559,0.028316352963569436,0.46218487394957986,OK,0.0,UNVALIDATED_MODEL,34.0,34.0,0.0,6,1,93.2,27.8,0.0,60.5,60.5,0.5,0.5,0.0,STRUCT+TIMING+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
