종목코드,종목명
005930,삼성전자
000660,SK하이닉스
402340,SK스퀘어
005935,삼성전자우
009150,삼성전기
005380,현대차
373220,LG에너지솔루션
032830,삼성생명
207940,삼성바이오로직스
105560,KB금융
000270,기아
028260,삼성물산
329180,HD현대중공업
012450,한화에어로스페이스
055550,신한지주
012330,현대모비스
034730,SK
034020,두산에너빌리티
068270,셀트리온
006400,삼성SDI
086790,하나금융지주
035420,NAVER
010120,LS ELECTRIC
267260,HD현대일렉트릭
066570,LG전자
000810,삼성화재
042660,한화오션
009540,HD한국조선해양
298040,효성중공업
005490,POSCO홀딩스
015760,한국전력
316140,우리금융지주
096770,SK이노베이션
006800,미래에셋증권
010130,고려아연
017670,SK텔레콤
010140,삼성중공업
000150,두산
042700,한미반도체
011200,HMM
138040,메리츠금융지주
051910,LG화학
033780,KT&G
267250,HD현대
064350,현대로템
018260,삼성에스디에스
010950,S-Oil
024110,기업은행
035720,카카오
196170,알테오젠
079550,LIG디펜스앤에어로스페이스
011070,LG이노텍
047810,한국항공우주
003550,LG
086280,현대글로비스
278470,에이피알
003670,포스코퓨처엠
030200,KT
272210,한화시스템
071050,한국금융지주
000720,현대건설
307950,현대오토에버
247540,에코프로비엠
086520,에코프로
005940,NH투자증권
259960,크래프톤
005830,DB손해보험
323410,카카오뱅크
006260,LS
047050,포스코인터내셔널
277810,레인보우로보틱스
443060,HD현대마린솔루션
161390,한국타이어앤테크놀로지
003490,대한항공
0126Z0,삼성에피스홀딩스
016360,삼성증권
028050,삼성E&A
352820,하이브
078930,GS
003230,삼양식품
039490,키움증권
036930,주성엔지니어링
005387,현대차2우B
180640,한진칼
090430,아모레퍼시픽
007660,이수페타시스
064400,LG씨엔에스
267270,HD건설기계
047040,대우건설
000880,한화
241560,두산밥캣
000500,가온전선
021240,코웨이
032640,LG유플러스
326030,SK바이오팜
353200,대덕전자
001440,대한전선
377300,카카오페이
000100,유한양행
058470,리노공업
062040,산일전기
029780,삼성카드
240810,원익IPS
138930,BNK금융지주
034220,LG디스플레이
009830,한화솔루션
004170,신세계
271560,오리온
128940,한미약품
036570,NC
088980,맥쿼리인프라
175330,JB금융지주
000990,DB하이텍
005385,현대차우
010060,OCI홀딩스
319660,피에스케이
454910,두산로보틱스
011790,SKC
082740,한화엔진
298380,에이비엘바이오
039030,이오테크닉스
028300,HLB
088350,한화생명
001040,CJ
000250,삼천당제약
018880,한온시스템
111770,영원무역
002380,KCC
141080,리가켐바이오
004020,현대제철
214450,파마리서치
051900,LG생활건강
440110,파두
222800,심텍
052690,한전기술
023530,롯데쇼핑
066970,엘앤에프
001450,현대해상
403870,HPSP
103590,일진전기
036460,한국가스공사
108490,로보티즈
011780,금호석유화학
095340,ISC
214370,케어젠
035250,강원랜드
022100,포스코DX
251270,넷마블
069960,현대백화점
336260,두산퓨얼셀
483650,달바글로벌
095610,테스
145020,휴젤
031210,서울보증보험
006360,GS건설
347850,디앤디파마텍
383220,F&F
214150,클래시스
097950,CJ제일제당
139130,iM금융지주
028670,팬오션
084370,유진테크
080220,제주반도체
017800,현대엘리베이터
475150,SK이터닉스
012750,에스원
178320,서진시스템
004800,효성
011170,롯데케미칼
131290,티에스이
005850,에스엘
302440,SK바이오사이언스
450080,에코프로머티
031980,피에스케이홀딩스
014680,한솔케미칼
009420,한올바이오파마
026960,동서
009970,영원무역홀딩스
375500,DL이앤씨
087010,펩트론
279570,케이뱅크
237690,에스티팜
310210,보로노이
003690,코리안리
001720,신영증권
161890,한국콜마
000240,한국앤컴퍼니
081660,미스토홀딩스
067310,하나마이크론
018670,SK가스
319400,현대무벡스
226950,올릭스
257720,실리콘투
007340,DN오토모티브
008930,한미사이언스
005440,현대지에프홀딩스
004990,롯데지주
489790,한화비전
005290,동진쎄미켐
357780,솔브레인
139480,이마트
071970,HD현대마린엔진
064760,티씨케이
204320,HL만도
004370,농심
085620,미래에셋생명
030000,제일기획
263750,펄어비스
089970,브이엠
007070,GS리테일
051600,한전KPS
282330,BGF리테일
192820,코스맥스
322000,HD현대에너지솔루션
089030,테크윙
098460,고영
112610,씨에스윈드
032820,우리기술
439260,대한조선
008770,호텔신라
058610,에스피지
002790,아모레퍼시픽홀딩스
073240,금호타이어
457190,이수스페셜티케미컬
103140,풍산
140860,파크시스템스
462870,시프트업
950160,코오롱티슈진
000120,CJ대한통운
000155,두산우
020150,롯데에너지머티리얼즈
068760,셀트리온제약
00680K,미래에셋증권2우B
281820,케이씨텍
290650,엘앤씨바이오
010170,대한광통신
120110,코오롱인더
023590,다우기술
395400,SK리츠
420770,기가비스
041510,에스엠
001740,SK네트웍스
011210,현대위아
035900,JYP Ent.
060370,LS마린솔루션
140410,메지온
229640,LS에코에너지
131970,두산테스나
007390,네이처셀
001120,LX인터내셔널
007810,코리아써키트
001800,오리온홀딩스
006040,동원산업
009155,삼성전기우
082920,비츠로셀
083650,비에이치아이
089860,롯데렌탈
096530,씨젠
006280,녹십자
097230,HJ중공업
069620,대웅제약
030530,원익홀딩스
020560,아시아나항공
0009K0,에임드바이오
183300,코미코
298020,효성티앤씨
012630,HDC
043260,성호전자
294870,IPARK현대산업개발
415640,KB발해인프라
001430,세아베스틸지주
005070,코스모신소재
192080,더블유게임즈
218410,RFHIC
078600,대주전자재료
181710,NHN
007310,오뚜기
003540,대신증권
017960,한국카본
127120,제이에스링크
093370,후성
004000,롯데정밀화학
437730,삼현
361610,SK아이이테크놀로지
039200,오스코텍
082640,동양생명
000815,삼성화재우
066575,LG전자우
003380,하림지주
003570,SNT다이내믹스
006340,대원전선
030610,교보증권
195940,HK이노엔
031330,에스에이엠티
166090,하나머티리얼즈
458870,씨어스
100090,SK오션플랜트
323280,태성
000210,DL
000080,하이트진로
077970,STX엔진
300720,한일시멘트
496320,본시스템즈
475830,오름테라퓨틱
330590,롯데리츠
003240,태광산업
347700,스피어
003090,대웅
491000,리브스메드
003530,한화투자증권
009450,경동나비엔
034230,파라다이스
