REC_DATE,NO_BUY_DAY,OFFICIAL_BUY_N,RULE_A_STRUCT90_TIMING60,RULE_B_FINAL80_ENTRY_CLEAN,RULE_C_HIGH_STRUCT_LOW_TIMING_RECOVERY,RULE_D_ROUTE_ARMED_CLEAN_ENTRY
20260226,1,0,0,0,0,0
20260227,1,0,0,0,0,0
20260302,1,0,0,0,0,0
20260303,1,0,0,0,0,0
20260304,1,0,0,0,0,0
20260305,1,0,0,0,0,0
20260306,1,0,0,0,0,0
20260309,1,0,0,0,0,0
20260310,1,0,0,0,0,0
20260311,1,0,0,0,0,0
20260312,1,0,0,0,0,0
20260313,1,0,0,0,0,0
20260316,1,0,0,0,0,0
20260317,1,0,0,0,0,0
20260318,1,0,0,0,0,0
20260319,1,0,0,0,0,0
20260320,1,0,0,0,0,0
20260323,1,0,0,0,0,0
20260324,1,0,0,0,0,0
20260325,1,0,0,0,0,0
20260326,1,0,0,0,0,0
20260327,1,0,0,0,0,0
20260330,1,0,0,0,0,0
20260331,1,0,0,0,0,0
20260401,1,0,0,0,0,0
20260402,1,0,0,0,0,0
20260403,1,0,0,0,0,0
20260406,1,0,0,0,0,0
20260407,1,0,0,0,0,0
20260408,1,0,0,0,0,0
20260409,1,0,0,0,0,0
20260410,1,0,0,0,0,0
20260413,1,0,0,0,0,0
20260414,1,0,0,0,0,0
20260415,1,0,0,0,0,0
20260416,1,0,0,0,0,0
20260417,1,0,0,0,0,0
20260420,1,0,0,0,0,0
20260421,1,0,0,0,0,0
20260422,1,0,0,0,0,0
20260423,1,0,0,0,0,0
20260424,1,0,0,0,0,0
20260427,1,0,0,0,0,0
20260428,1,0,0,0,0,0
20260429,1,0,0,0,0,0
20260430,1,0,0,0,0,0
20260501,1,0,0,0,0,0
20260504,1,0,0,0,0,0
20260505,1,0,0,0,0,0
20260506,1,0,0,0,0,0
20260507,1,0,0,0,0,0
20260508,1,0,0,0,0,0
20260511,1,0,0,0,0,0
20260512,1,0,0,0,0,0
20260513,1,0,0,0,0,0
20260514,1,0,0,0,0,0
20260515,1,0,0,0,0,0
20260518,1,0,0,0,0,0
20260519,1,0,0,0,0,0
20260520,1,0,0,0,0,0
20260521,1,0,0,0,0,2
20260522,1,0,0,0,0,4
20260525,1,0,0,0,0,4
20260526,1,0,0,1,0,1
20260527,1,0,3,0,0,1
20260528,1,0,1,0,0,2
20260529,1,0,1,0,0,0
20260601,1,0,0,0,0,0
20260602,1,0,0,0,0,0
20260603,1,0,0,0,0,0
20260604,1,0,0,0,0,0
20260605,1,0,0,0,0,0
20260608,1,0,0,0,0,0
20260609,1,0,0,0,0,0
20260610,1,0,0,0,0,0
20260611,1,0,0,0,0,0
20260612,1,0,0,0,0,0
20260615,1,0,0,0,0,0
20260616,1,0,0,0,0,0
20260617,1,0,0,0,0,0
20260618,1,0,1,0,0,0
20260619,1,0,0,0,0,0
20260622,1,0,0,0,0,0
20260623,1,0,0,0,0,0
20260624,1,0,0,0,0,0
20260625,1,0,0,0,0,0
20260626,1,0,1,1,1,0
20260629,1,0,0,0,0,0
20260630,1,0,0,0,0,0
20260701,1,0,0,0,0,0
20260702,1,0,0,0,0,0
20260703,1,0,0,0,0,0
20260706,1,0,0,0,0,0
20260707,1,0,0,0,0,0
20260708,1,0,0,0,0,0
20260709,1,0,0,0,0,0
20260710,1,0,0,0,0,0
20260713,1,0,0,0,0,0
20260714,1,0,0,0,0,0
20260715,1,0,0,0,0,0
20260716,1,0,0,0,0,6
20260717,1,0,0,0,0,6
20260720,1,0,0,0,0,16
20260721,1,0,0,0,0,29
20260722,1,0,0,0,0,20
