RULE_ID,REC_DATE,종목코드,종목명,FILL_STATUS,FILL_DAY,FILL_DATE,ENTRY_USED,RET_5D,MDD_5D,ALPHA_5D
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260522,003690,코리안리,FILLED,1,20260526,14520.0,-11.71,-12.26,-20.92
RULE_A_STRUCT90_TIMING60,20260527,230240,에치에프알,FILLED,1,20260528,32900.0,3.34,-15.5,-2.21
RULE_A_STRUCT90_TIMING60,20260527,092460,한라IMS,FILLED,1,20260528,21650.0,-13.12,-17.64,-18.67
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260527,230240,에치에프알,FILLED,1,20260528,32900.0,3.34,-15.5,-2.21
RULE_A_STRUCT90_TIMING60,20260528,018880,한온시스템,FILLED,3,20260602,5100.0,-13.53,-17.25,-5.52
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260528,018880,한온시스템,FILLED,3,20260602,5100.0,-13.53,-17.25,-5.52
RULE_A_STRUCT90_TIMING60,20260529,036570,NC,FILLED,1,20260601,289500.0,-7.77,-11.57,7.07
RULE_A_STRUCT90_TIMING60,20260618,033160,엠케이전자,FILLED,1,20260619,30000.0,-26.67,-27.67,-25.32
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260716,352820,하이브,FILLED,1,20260720,208500.0,1.68,-7.72,-1.58
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260716,071050,한국금융지주,FILLED,1,20260720,229000.0,-6.99,-10.48,-10.25
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260716,039490,키움증권,FILLED,1,20260720,322000.0,-7.3,-10.09,-10.56
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260716,047810,한국항공우주,FILLED,1,20260720,149200.0,5.97,-8.71,2.71
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260716,047050,포스코인터내셔널,FILLED,1,20260720,50900.0,10.61,-3.54,7.35
RULE_D_ROUTE_ARMED_CLEAN_ENTRY,20260716,006220,제주은행,FILLED,1,20260720,9660.0,-4.24,-7.45,-7.5
