종목코드,종목명,시장,종가
095570,AJ네트웍스,KOSPI,4670
006840,AK홀딩스,KOSPI,8950
027410,BGF,KOSPI,4025
282330,BGF리테일,KOSPI,112600
138930,BNK금융지주,KOSPI,15320
001460,BYC,KOSPI,45700
001465,BYC우,KOSPI,26200
001040,CJ,KOSPI,174200
079160,CJ CGV,KOSPI,6050
00104K,CJ4우(전환),KOSPI,156400
000120,CJ대한통운,KOSPI,94700
011150,CJ씨푸드,KOSPI,2865
011155,CJ씨푸드1우,KOSPI,15170
001045,CJ우,KOSPI,88400
097950,CJ제일제당,KOSPI,208500
097955,CJ제일제당 우,KOSPI,138300
000480,CR홀딩스,KOSPI,5020
000590,CS홀딩스,KOSPI,79400
012030,DB,KOSPI,1491
005830,DB손해보험,KOSPI,123700
016610,DB증권,KOSPI,10570
000990,DB하이텍,KOSPI,65300
000300,DH오토넥스,KOSPI,1984
001530,DI동일,KOSPI,20300
015590,DKME,KOSPI,515
000210,DL,KOSPI,38850
000215,DL우,KOSPI,24900
375500,DL이앤씨,KOSPI,41600
37550L,DL이앤씨2우(전환),KOSPI,31100
37550K,DL이앤씨우,KOSPI,22700
007340,DN오토모티브,KOSPI,27750
004840,DRB동일,KOSPI,4805
155660,DSR,KOSPI,3890
069730,DSR제강,KOSPI,3895
017860,DS단석,KOSPI,19030
092780,DYP,KOSPI,3330
017940,E1,KOSPI,86900
365550,ESR켄달스퀘어리츠,KOSPI,4255
383220,F&F,KOSPI,76700
007700,F&F홀딩스,KOSPI,21150
114090,GKL,KOSPI,14480
078930,GS,KOSPI,55800
006360,GS건설,KOSPI,19520
001250,GS글로벌,KOSPI,2360
007070,GS리테일,KOSPI,22300
078935,GS우,KOSPI,47900
499790,GS피앤엘,KOSPI,46500
012630,HDC,KOSPI,17800
039570,HDC랩스,KOSPI,8530
089470,HDC현대EP,KOSPI,4345
294870,HDC현대산업개발,KOSPI,20650
009540,HD한국조선해양,KOSPI,422500
267250,HD현대,KOSPI,200500
267270,HD현대건설기계,KOSPI,105000
443060,HD현대마린솔루션,KOSPI,188600
071970,HD현대마린엔진,KOSPI,83500
322000,HD현대에너지솔루션,KOSPI,55700
042670,HD현대인프라코어,KOSPI,16320
267260,HD현대일렉트릭,KOSPI,825000
329180,HD현대중공업,KOSPI,524000
097230,HJ중공업,KOSPI,22300
014790,HL D&I,KOSPI,2695
003580,HLB글로벌,KOSPI,2130
204320,HL만도,KOSPI,52200
060980,HL홀딩스,KOSPI,48000
011200,HMM,KOSPI,20800
035000,HS애드,KOSPI,9220
002460,HS화성,KOSPI,13700
487570,HS효성,KOSPI,63600
298050,HS효성첨단소재,KOSPI,191000
003560,IHQ,KOSPI,10760
015360,INVENI,KOSPI,69800
175330,JB금융지주,KOSPI,24450
234080,JW생명과학,KOSPI,14340
001060,JW중외제약,KOSPI,28000
001067,JW중외제약2우B,KOSPI,60400
001065,JW중외제약우,KOSPI,29700
096760,JW홀딩스,KOSPI,3770
008970,KBI동양철관,KOSPI,1862
105560,KB금융,KOSPI,123700
415640,KB발해인프라,KOSPI,9710
432320,KB스타리츠,KOSPI,3440
002380,KCC,KOSPI,420500
344820,KCC글라스,KOSPI,27000
009070,KCTC,KOSPI,6280
009440,KC그린홀딩스,KOSPI,756
119650,KC코트렐,KOSPI,918
092220,KEC,KOSPI,679
003620,KG모빌리티,KOSPI,3690
016380,KG스틸,KOSPI,5450
001390,KG케미칼,KOSPI,5660
033180,KH 필룩스,KOSPI,5310
001940,KISCO홀딩스,KOSPI,26200
025000,KPX케미칼,KOSPI,52900
092230,KPX홀딩스,KOSPI,76900
000040,KR모터스,KOSPI,498
044450,KSS해운,KOSPI,9590
030200,KT,KOSPI,54200
033780,KT&G,KOSPI,150000
058850,KTcs,KOSPI,2880
058860,KTis,KOSPI,2805
093050,LF,KOSPI,18780
003550,LG,KOSPI,84600
034220,LG디스플레이,KOSPI,12050
051900,LG생활건강,KOSPI,266000
051905,LG생활건강우,KOSPI,114200
064400,LG씨엔에스,KOSPI,65400
373220,LG에너지솔루션,KOSPI,418000
003555,LG우,KOSPI,69100
032640,LG유플러스,KOSPI,15230
011070,LG이노텍,KOSPI,280000
066570,LG전자,KOSPI,93100
066575,LG전자우,KOSPI,49950
037560,LG헬로비전,KOSPI,2380
051910,LG화학,KOSPI,354000
051915,LG화학우,KOSPI,180400
079550,LIG넥스원,KOSPI,377500
006260,LS,KOSPI,192800
010120,LS ELECTRIC,KOSPI,479000
000680,LS네트웍스,KOSPI,3290
229640,LS에코에너지,KOSPI,36000
108320,LX세미콘,KOSPI,51000
001120,LX인터내셔널,KOSPI,34400
108670,LX하우시스,KOSPI,29800
108675,LX하우시스우,KOSPI,17130
383800,LX홀딩스,KOSPI,8150
38380K,LX홀딩스1우,KOSPI,8780
023150,MH에탄올,KOSPI,5000
035420,NAVER,KOSPI,231500
181710,NHN,KOSPI,29500
400760,NH올원리츠,KOSPI,3530
005940,NH투자증권,KOSPI,21150
005945,NH투자증권우,KOSPI,19350
338100,NH프라임리츠,KOSPI,4425
034310,NICE,KOSPI,14070
030190,NICE평가정보,KOSPI,17950
008260,NI스틸,KOSPI,3625
004250,NPC,KOSPI,3980
004255,NPC우,KOSPI,2535
456040,OCI,KOSPI,60400
010060,OCI홀딩스,KOSPI,105200
178920,PI첨단소재,KOSPI,16150
001340,PKC,KOSPI,5860
005490,POSCO홀딩스,KOSPI,308000
010950,S-Oil,KOSPI,83800
010955,S-Oil우,KOSPI,48400
034120,SBS,KOSPI,19310
003080,SB성보,KOSPI,2830
005090,SGC에너지,KOSPI,23900
001380,SG글로벌,KOSPI,1910
004060,SG세계물산,KOSPI,354
001770,SHD,KOSPI,17950
002360,SH에너지화학,KOSPI,395
009160,SIMPAC,KOSPI,5470
033530,SJG세종,KOSPI,9110
123700,SJM,KOSPI,3750
025530,SJM홀딩스,KOSPI,3810
034730,SK,KOSPI,254000
011790,SKC,KOSPI,109200
018670,SK가스,KOSPI,240500
001740,SK네트웍스,KOSPI,4615
006120,SK디스커버리,KOSPI,59900
006125,SK디스커버리우,KOSPI,39750
210980,SK디앤디,KOSPI,12680
395400,SK리츠,KOSPI,5770
302440,SK바이오사이언스,KOSPI,52000
326030,SK바이오팜,KOSPI,132200
402340,SK스퀘어,KOSPI,281000
361610,SK아이이테크놀로지,KOSPI,28450
100090,SK오션플랜트,KOSPI,19430
03473K,SK우,KOSPI,192500
096770,SK이노베이션,KOSPI,109800
096775,SK이노베이션우,KOSPI,75500
475150,SK이터닉스,KOSPI,21400
001510,SK증권,KOSPI,647
001515,SK증권우,KOSPI,2105
285130,SK케미칼,KOSPI,72900
28513K,SK케미칼우,KOSPI,29950
017670,SK텔레콤,KOSPI,53000
000660,SK하이닉스,KOSPI,530000
003570,SNT다이내믹스,KOSPI,45800
064960,SNT모티브,KOSPI,33750
100840,SNT에너지,KOSPI,40150
036530,SNT홀딩스,KOSPI,59900
005610,SPC삼립,KOSPI,54600
011810,STX,KOSPI,3530
465770,STX그린로지스,KOSPI,6240
077970,STX엔진,KOSPI,37800
002820,SUN&L,KOSPI,2680
084870,TBH글로벌,KOSPI,1255
002710,TCC스틸,KOSPI,15720
069260,TKG휴켐스,KOSPI,19980
007980,TP,KOSPI,1911
002900,TYM,KOSPI,6310
024070,WISCOM,KOSPI,1965
037270,YG PLUS,KOSPI,6570
139130,iM금융지주,KOSPI,14180
000500,가온전선,KOSPI,90700
000860,강남제비스코,KOSPI,12840
035250,강원랜드,KOSPI,18390
011420,갤럭시아에스엠,KOSPI,1883
002100,경농,KOSPI,9410
009450,경동나비엔,KOSPI,56300
267290,경동도시가스,KOSPI,21850
012320,경동인베스트,KOSPI,52500
000050,경방,KOSPI,10850
214390,경보제약,KOSPI,6350
012610,경인양행,KOSPI,3550
009140,경인전자,KOSPI,20650
013580,계룡건설,KOSPI,20850
012200,계양전기,KOSPI,1549
012205,계양전기우,KOSPI,3340
002140,고려산업,KOSPI,2510
010130,고려아연,KOSPI,1370000
002240,고려제강,KOSPI,20400
009290,광동제약,KOSPI,6100
017040,광명전기,KOSPI,1260
017900,광전자,KOSPI,1804
037710,광주신세계,KOSPI,31800
030610,교보증권,KOSPI,9650
339770,교촌에프앤비,KOSPI,4415
007690,국도화학,KOSPI,32100
001140,국보,KOSPI,2110
002720,국제약품,KOSPI,4350
083420,그린케미칼,KOSPI,6810
014530,극동유화,KOSPI,3460
014280,금강공업,KOSPI,6890
014285,금강공업우,KOSPI,11210
008870,금비,KOSPI,52600
001570,금양,KOSPI,9900
002990,금호건설,KOSPI,4125
002995,금호건설우,KOSPI,29700
011780,금호석유화학,KOSPI,121000
011785,금호석유화학우,KOSPI,62400
214330,금호에이치티,KOSPI,543
001210,금호전기,KOSPI,609
073240,금호타이어,KOSPI,6010
092440,기신정기,KOSPI,2290
000270,기아,KOSPI,120800
024110,기업은행,KOSPI,20750
013700,까뮤이앤씨,KOSPI,1192
004540,깨끗한나라,KOSPI,1936
004545,깨끗한나라우,KOSPI,11180
001260,남광토건,KOSPI,8210
008350,남선알미늄,KOSPI,1030
008355,남선알미우,KOSPI,12390
004270,남성,KOSPI,892
003920,남양유업,KOSPI,49800
003925,남양유업우,KOSPI,33400
025860,남해화학,KOSPI,6770
005720,넥센,KOSPI,6300
005725,넥센우,KOSPI,4650
002350,넥센타이어,KOSPI,8090
002355,넥센타이어1우B,KOSPI,3810
092790,넥스틸,KOSPI,9320
251270,넷마블,KOSPI,49050
090350,노루페인트,KOSPI,8660
090355,노루페인트우,KOSPI,13530
000320,노루홀딩스,KOSPI,22550
000325,노루홀딩스우,KOSPI,31300
006280,녹십자,KOSPI,164800
005250,녹십자홀딩스,KOSPI,17170
005257,녹십자홀딩스2우,KOSPI,26800
004370,농심,KOSPI,428000
072710,농심홀딩스,KOSPI,92500
058730,다스코,KOSPI,3355
030210,다올투자증권,KOSPI,3545
023590,다우기술,KOSPI,38500
145210,다이나믹디자인,KOSPI,848
483650,달바글로벌,KOSPI,158100
019680,대교,KOSPI,1885
019685,대교우B,KOSPI,1255
006370,대구백화점,KOSPI,6310
008060,대덕,KOSPI,10890
00806K,대덕1우,KOSPI,9340
