종목코드,종목명,시장,종가,시가,저가,고가
005930,삼성전자,KOSPI,266000,254000,251000,270000
000660,SK하이닉스,KOSPI,1601000,1590000,1557000,1614000
005935,삼성전자우,KOSPI,189300,175600,175600,191900
402340,SK스퀘어,KOSPI,1089000,1100000,1040000,1149000
373220,LG에너지솔루션,KOSPI,482000,476000,466000,486500
005380,현대차,KOSPI,550000,545000,541000,564000
034020,두산에너빌리티,KOSPI,127000,127900,126100,130000
012450,한화에어로스페이스,KOSPI,1433000,1473000,1405000,1473000
207940,삼성바이오로직스,KOSPI,1480000,1497000,1469000,1498000
009150,삼성전기,KOSPI,912000,971000,898500,971000
329180,HD현대중공업,KOSPI,648000,679000,644000,679000
028260,삼성물산,KOSPI,375500,348000,340000,386000
000270,기아,KOSPI,154600,154300,154000,158800
032830,삼성생명,KOSPI,298000,280500,270000,308000
105560,KB금융,KOSPI,158900,162100,158000,162400
006400,삼성SDI,KOSPI,698000,707000,677000,707000
267260,HD현대일렉트릭,KOSPI,1389000,1354000,1337000,1420000
010120,LS ELECTRIC,KOSPI,315500,305500,298500,328500
006800,미래에셋증권,KOSPI,83800,75500,73200,87800
055550,신한지주,KOSPI,97300,97900,97300,99900
068270,셀트리온,KOSPI,194700,202000,194700,202500
298040,효성중공업,KOSPI,4597000,4247000,4231000,4640000
005490,POSCO홀딩스,KOSPI,506000,518000,497500,519000
042660,한화오션,KOSPI,130200,133400,129500,133900
012330,현대모비스,KOSPI,432500,431500,427000,441500
034730,SK,KOSPI,520000,519000,498500,600000
042700,한미반도체,KOSPI,394500,395500,378500,397500
010130,고려아연,KOSPI,1747000,1635000,1605000,1786000
086790,하나금융지주,KOSPI,125500,129500,125500,129600
035420,NAVER,KOSPI,208000,210500,207500,213000
009540,HD한국조선해양,KOSPI,452500,466500,451000,469500
051910,LG화학,KOSPI,423500,436000,413000,436000
000150,두산,KOSPI,1790000,1820000,1738000,1900000
015760,한국전력,KOSPI,45050,46500,45000,46550
064350,현대로템,KOSPI,262000,265000,256500,271500
010140,삼성중공업,KOSPI,31850,33000,31600,33000
003670,포스코퓨처엠,KOSPI,288500,275000,272000,294500
066570,LG전자,KOSPI,154900,147400,147000,157000
096770,SK이노베이션,KOSPI,146700,148500,139500,148700
316140,우리금융지주,KOSPI,32600,33450,32600,33550
272210,한화시스템,KOSPI,122200,120000,118700,126000
267250,HD현대,KOSPI,285500,299500,285500,300500
247540,에코프로비엠,KOSDAQ GLOBAL,228500,218000,214000,229500
086520,에코프로,KOSDAQ GLOBAL,162800,157500,155900,163300
079550,LIG디펜스앤에어로스페이스,KOSPI,979000,966000,948000,998000
000810,삼성화재,KOSPI,480500,494000,473500,494000
017670,SK텔레콤,KOSPI,95500,98900,95200,98900
035720,카카오,KOSPI,46300,47100,46200,47900
033780,KT&G,KOSPI,175400,179600,175200,179700
196170,알테오젠,KOSDAQ GLOBAL,363500,373000,361000,373000
011200,HMM,KOSPI,20550,20850,20550,20900
138040,메리츠금융지주,KOSPI,111600,115100,111600,117600
000720,현대건설,KOSPI,163700,161000,159100,165800
024110,기업은행,KOSPI,21600,22100,21600,22150
047810,한국항공우주,KOSPI,176600,187400,175900,187400
006260,LS,KOSPI,531000,552000,530000,587000
086280,현대글로비스,KOSPI,220000,225000,220000,229000
071050,한국금융지주,KOSPI,291500,279000,266500,297000
003550,LG,KOSPI,103000,102500,102000,105300
278470,에이피알,KOSPI,422000,428000,411000,429000
011070,LG이노텍,KOSPI,632000,618000,595000,640000
030200,KT,KOSPI,58500,60000,58500,60500
047050,포스코인터내셔널,KOSPI,83600,88500,82900,88500
010950,S-Oil,KOSPI,122000,124900,121000,125000
005940,NH투자증권,KOSPI,38450,38750,37150,39350
277810,레인보우로보틱스,KOSDAQ,702000,690000,666000,725000
259960,크래프톤,KOSPI,284000,290000,283000,291000
016360,삼성증권,KOSPI,149500,161100,142100,163000
047040,대우건설,KOSPI,32200,32150,29450,33700
018260,삼성에스디에스,KOSPI,170000,170200,167800,175500
001440,대한전선,KOSPI,69200,62600,60000,74000
0126Z0,삼성에피스홀딩스,KOSPI,515000,533000,515000,533000
039490,키움증권,KOSPI,484500,463000,451500,492500
307950,현대오토에버,KOSPI,441000,449000,437500,455000
323410,카카오뱅크,KOSPI,25000,24750,24650,26050
443060,HD현대마린솔루션,KOSPI,260500,264000,251500,267000
007660,이수페타시스,KOSPI,151600,154100,149000,154300
352820,하이브,KOSPI,246500,255000,245500,255500
005830,DB손해보험,KOSPI,162000,165200,161600,167300
028050,삼성E&A,KOSPI,53000,55200,52750,55600
000880,한화,KOSPI,140600,140000,139100,147800
062040,산일전기,KOSPI,319500,329000,305000,330000
003230,삼양식품,KOSPI,1294000,1301000,1285000,1333000
000250,삼천당제약,KOSDAQ,406000,410000,399000,410000
003490,대한항공,KOSPI,24550,24550,24350,24700
267270,HD건설기계,KOSPI,187700,191400,181300,191400
058470,리노공업,KOSDAQ GLOBAL,116700,119600,111200,120400
950160,코오롱티슈진,KOSDAQ,103600,104600,100200,108800
005387,현대차2우B,KOSPI,250500,251000,249500,256500
066970,엘앤에프,KOSPI,212500,218500,206000,219000
377300,카카오페이,KOSPI,63300,59500,55600,64200
009830,한화솔루션,KOSPI,48100,49350,47650,49450
028300,HLB,KOSDAQ,61700,61500,60500,63600
326030,SK바이오팜,KOSPI,98500,99300,98000,100800
090430,아모레퍼시픽,KOSPI,130000,134500,130000,134600
161390,한국타이어앤테크놀로지,KOSPI,59500,62600,59500,62700
180640,한진칼,KOSPI,109700,111900,109700,114300
078930,GS,KOSPI,76900,78700,75700,79600
298380,에이비엘바이오,KOSDAQ,127600,130900,126800,130900
082740,한화엔진,KOSPI,84500,88400,81400,88500
000990,DB하이텍,KOSPI,162000,160100,154000,165000
000100,유한양행,KOSPI,87800,90100,87800,90100
241560,두산밥캣,KOSPI,72600,74200,72500,75100
052690,한전기술,KOSPI,182000,186300,181000,186300
454910,두산로보틱스,KOSPI,104700,108600,104200,108600
103590,일진전기,KOSPI,142200,145300,135800,146700
032640,LG유플러스,KOSPI,15400,16050,15400,16110
141080,리가켐바이오,KOSDAQ GLOBAL,176800,181500,175000,181800
064400,LG씨엔에스,KOSPI,67000,66600,65900,68000
034220,LG디스플레이,KOSPI,12760,12540,12450,13010
240810,원익IPS,KOSDAQ GLOBAL,129000,123100,119500,129200
010060,OCI홀딩스,KOSPI,337500,349000,331000,349000
001040,CJ,KOSPI,215500,226000,215000,226000
087010,펩트론,KOSDAQ,269500,267000,253500,280000
353200,대덕전자,KOSPI,125400,119100,115500,127900
011790,SKC,KOSPI,161200,140000,134500,161200
000500,가온전선,KOSPI,367000,297500,293000,375000
029780,삼성카드,KOSPI,51600,52600,51600,52700
036930,주성엔지니어링,KOSDAQ GLOBAL,127600,129400,123500,129400
039030,이오테크닉스,KOSDAQ GLOBAL,479000,470500,423500,479000
005385,현대차우,KOSPI,252500,251000,249500,258000
021240,코웨이,KOSPI,83200,85900,83000,87600
450080,에코프로머티,KOSPI,83200,85200,81700,85300
036570,NC,KOSPI,261500,263500,260000,267500
138930,BNK금융지주,KOSPI,18130,18250,18010,18490
004020,현대제철,KOSPI,41900,43550,41900,43650
128940,한미약품,KOSPI,434500,442000,432500,442500
018880,한온시스템,KOSPI,5410,4960,4750,5580
002380,KCC,KOSPI,623000,590000,588000,649000
271560,오리온,KOSPI,139200,141000,139200,142000
095340,ISC,KOSDAQ GLOBAL,256000,255000,241000,257000
214370,케어젠,KOSDAQ,101000,106400,99800,107200
088980,맥쿼리인프라,KOSPI,11250,11300,11220,11300
022100,포스코DX,KOSPI,34550,35400,34200,35450
310210,보로노이,KOSDAQ,283000,291500,274500,291500
336260,두산퓨얼셀,KOSPI,78300,60000,59000,78500
175330,JB금융지주,KOSPI,26550,27100,26550,27350
403870,HPSP,KOSDAQ GLOBAL,56600,56200,54500,58000
088350,한화생명,KOSPI,5250,5120,5010,5420
108490,로보티즈,KOSDAQ,310000,316000,303500,319500
489790,한화비전,KOSPI,89700,92000,86900,92000
004800,효성,KOSPI,258500,231000,228500,265000
011170,롯데케미칼,KOSPI,100800,107400,98900,107500
020150,롯데에너지머티리얼즈,KOSPI,78500,80000,73000,81300
051900,LG생활건강,KOSPI,267500,277500,266000,278500
251270,넷마블,KOSPI,48450,49350,48450,49450
440110,파두,KOSDAQ,78800,84800,75800,85500
004170,신세계,KOSPI,410000,406000,399000,423000
017800,현대엘리베이터,KOSPI,97000,99900,96600,100100
023530,롯데쇼핑,KOSPI,131800,133600,131200,135600
457190,이수스페셜티케미컬,KOSPI,121800,123000,118300,123100
012510,더존비즈온,KOSPI,120000,120000,120000,120100
032820,우리기술,KOSDAQ,21250,21600,20800,21850
357780,솔브레인,KOSDAQ GLOBAL,466000,459500,450500,470500
111770,영원무역,KOSPI,81500,84200,81100,85200
375500,DL이앤씨,KOSPI,93100,91500,89800,94200
214150,클래시스,KOSDAQ GLOBAL,55100,56500,54200,56500
319400,현대무벡스,KOSDAQ,32150,32400,31000,32450
178320,서진시스템,KOSDAQ,59500,61400,56700,61600
011780,금호석유화학,KOSPI,140100,143000,140000,143200
263750,펄어비스,KOSDAQ GLOBAL,54700,57100,54200,57400
035250,강원랜드,KOSPI,16410,16920,16410,16930
222800,심텍,KOSDAQ GLOBAL,93800,91200,87200,94700
036460,한국가스공사,KOSPI,37850,38900,37600,38900
001720,신영증권,KOSPI,212500,216000,205000,216000
214450,파마리서치,KOSDAQ GLOBAL,336000,342000,325000,342000
097950,CJ제일제당,KOSPI,230000,240000,230000,240500
302440,SK바이오사이언스,KOSPI,44100,42900,42550,45000
226950,올릭스,KOSDAQ,167400,174000,163500,174000
071970,HD현대마린엔진,KOSPI,100100,106000,99000,106000
064760,티씨케이,KOSDAQ GLOBAL,299500,311000,288000,311000
439260,대한조선,KOSPI,86500,89900,85400,89900
014680,한솔케미칼,KOSPI,293000,290000,285000,301500
00680K,미래에셋증권2우B,KOSPI,23800,21500,20950,24250
031210,서울보증보험,KOSPI,46400,47350,46400,47350
084370,유진테크,KOSDAQ,138700,135700,133400,149400
347850,디앤디파마텍,KOSDAQ,71900,73500,70700,73800
145020,휴젤,KOSDAQ GLOBAL,255000,266000,254500,266500
237690,에스티팜,KOSDAQ GLOBAL,150000,152500,148700,152500
083650,비에이치아이,KOSDAQ,98800,99000,96000,99000
139130,iM금융지주,KOSPI,18980,19110,18980,19550
005290,동진쎄미켐,KOSDAQ,59100,61100,58200,61100
006360,GS건설,KOSPI,35450,36650,35200,36650
319660,피에스케이,KOSDAQ GLOBAL,104500,106000,100300,106600
383220,F&F,KOSPI,78500,75500,73400,80200
028670,팬오션,KOSPI,5620,5770,5380,5770
100790,미래에셋벤처투자,KOSDAQ,55300,53500,50700,58600
004990,롯데지주,KOSPI,29350,30000,29250,30200
005850,에스엘,KOSPI,62800,63300,62300,65100
007340,DN오토모티브,KOSPI,49500,50600,48450,51100
067310,하나마이크론,KOSDAQ,43500,44400,42200,44850
043260,성호전자,KOSDAQ,40600,45050,39550,45500
120110,코오롱인더,KOSPI,95600,96000,91500,99300
0009K0,에임드바이오,KOSDAQ,44250,46200,44250,46250
098460,고영,KOSDAQ,41600,39350,39100,42350
139480,이마트,KOSPI,103300,105300,102000,105300
000155,두산우,KOSPI,713000,727000,693000,739000
010170,대한광통신,KOSDAQ,18270,18470,17700,19280
058610,에스피지,KOSDAQ,127900,130000,125000,130500
