종목코드,종목명,시장,종가,시가,저가,고가
005930,삼성전자,KOSPI,290500,290000,281500,304000
000660,SK하이닉스,KOSPI,2187000,2351000,2187000,2448000
402340,SK스퀘어,KOSPI,1530000,1582000,1525000,1682000
005935,삼성전자우,KOSPI,188700,195000,187400,200500
009150,삼성전기,KOSPI,1942000,2081000,1904000,2086000
005380,현대차,KOSPI,478000,474000,457000,501000
373220,LG에너지솔루션,KOSPI,357500,348500,339000,363500
032830,삼성생명,KOSPI,369000,371500,352500,381000
028260,삼성물산,KOSPI,404000,409500,397000,424500
207940,삼성바이오로직스,KOSPI,1406000,1397000,1353000,1450000
329180,HD현대중공업,KOSPI,587000,610000,580000,615000
105560,KB금융,KOSPI,167000,161700,158700,173800
012450,한화에어로스페이스,KOSPI,1144000,1118000,1096000,1197000
000270,기아,KOSPI,144400,142900,137600,148700
034020,두산에너빌리티,KOSPI,86300,87300,84100,89400
034730,SK,KOSPI,680000,713000,670000,715000
055550,신한지주,KOSPI,103300,95800,94000,105000
012330,현대모비스,KOSPI,485000,483500,461000,509000
068270,셀트리온,KOSPI,176700,174600,169000,183200
006400,삼성SDI,KOSPI,471000,486000,459500,493500
010120,LS ELECTRIC,KOSPI,240500,249500,232000,253500
267260,HD현대일렉트릭,KOSPI,975000,1007000,932000,1084000
086790,하나금융지주,KOSPI,121700,116400,113700,125000
042660,한화오션,KOSPI,104500,115100,103700,115900
298040,효성중공업,KOSPI,3456000,3591000,3401000,3749000
035420,NAVER,KOSPI,201000,195700,191000,204500
066570,LG전자,KOSPI,188800,185000,182100,198600
000810,삼성화재,KOSPI,627000,623000,597000,636000
009540,HD한국조선해양,KOSPI,362000,359500,350000,370000
005490,POSCO홀딩스,KOSPI,316500,311000,301500,325000
015760,한국전력,KOSPI,38500,37350,36500,39350
000150,두산,KOSPI,1450000,1523000,1402000,1549000
010130,고려아연,KOSPI,1076000,1098000,1051000,1108000
006800,미래에셋증권,KOSPI,39950,42100,39600,42100
316140,우리금융지주,KOSPI,30550,29350,28550,30850
064350,현대로템,KOSPI,194900,189600,186500,202500
042700,한미반도체,KOSPI,219500,243000,215500,243500
011070,LG이노텍,KOSPI,864000,864000,848000,915000
010140,삼성중공업,KOSPI,22950,23650,22400,23750
051910,LG화학,KOSPI,281500,277000,267500,289000
196170,알테오젠,KOSDAQ GLOBAL,351500,361000,349000,368500
017670,SK텔레콤,KOSPI,86400,86000,85200,88500
011200,HMM,KOSPI,19150,18740,18270,19590
033780,KT&G,KOSPI,174900,169000,165300,175600
138040,메리츠금융지주,KOSPI,106500,107000,105000,108800
079550,LIG디펜스앤에어로스페이스,KOSPI,746000,772000,736000,785000
024110,기업은행,KOSPI,20800,20150,19930,21150
267250,HD현대,KOSPI,206000,209000,195300,217500
096770,SK이노베이션,KOSPI,94300,97900,92200,98000
035720,카카오,KOSPI,35250,34800,33800,36350
018260,삼성에스디에스,KOSPI,200500,203500,198800,215500
278470,에이피알,KOSPI,407000,417000,397500,433500
047810,한국항공우주,KOSPI,153300,155800,151800,160900
003550,LG,KOSPI,98200,94400,93200,101400
086280,현대글로비스,KOSPI,195400,197700,187100,201500
003670,포스코퓨처엠,KOSPI,162400,169000,159500,169000
272210,한화시스템,KOSPI,73300,78000,72300,78400
307950,현대오토에버,KOSPI,501000,505000,488000,530000
030200,KT,KOSPI,54200,53700,52600,54600
000720,현대건설,KOSPI,114400,118500,111700,119400
071050,한국금융지주,KOSPI,224500,227000,217250,233500
010950,S-Oil,KOSPI,107700,110000,105500,111900
247540,에코프로비엠,KOSDAQ GLOBAL,125500,129800,122600,130800
006260,LS,KOSPI,385000,385000,373000,412500
086520,에코프로,KOSDAQ GLOBAL,86900,92800,86300,92800
259960,크래프톤,KOSPI,242500,246500,236000,249500
036930,주성엔지니어링,KOSDAQ GLOBAL,227500,226000,210500,252000
323410,카카오뱅크,KOSPI,21950,21300,20500,22200
003490,대한항공,KOSPI,28550,27650,26850,29700
005940,NH투자증권,KOSPI,28900,29700,28250,29700
0126Z0,삼성에피스홀딩스,KOSPI,417000,417000,404500,430500
443060,HD현대마린솔루션,KOSPI,216000,224000,215500,228000
016360,삼성증권,KOSPI,108700,110000,106200,112400
028050,삼성E&A,KOSPI,49000,50900,47750,51700
005830,DB손해보험,KOSPI,145500,136500,133100,147200
277810,레인보우로보틱스,KOSDAQ,484000,503000,477000,505000
352820,하이브,KOSPI,212500,205000,203000,222000
047050,포스코인터내셔널,KOSPI,51500,51000,49550,53400
007660,이수페타시스,KOSPI,121400,129000,117200,133800
180640,한진칼,KOSPI,132200,125600,122200,135400
003230,삼양식품,KOSPI,1147000,1173000,1156000,1225000
039490,키움증권,KOSPI,324500,339500,319500,341500
161390,한국타이어앤테크놀로지,KOSPI,67300,63400,61700,68000
064400,LG씨엔에스,KOSPI,78300,74900,73500,82300
047040,대우건설,KOSPI,18350,19190,18150,19590
005387,현대차2우B,KOSPI,212000,217500,208000,219500
950160,코오롱티슈진,KOSDAQ,87100,92000,86500,93000
000880,한화,KOSPI,102700,102200,95500,108500
062040,산일전기,KOSPI,237500,254500,234500,255500
078930,GS,KOSPI,76600,72500,70900,78500
090430,아모레퍼시픽,KOSPI,119300,113600,112800,123400
004170,신세계,KOSPI,732000,757000,725000,765000
021240,코웨이,KOSPI,98700,95300,92400,100500
326030,SK바이오팜,KOSPI,87400,87000,83500,89200
001440,대한전선,KOSPI,33700,35150,33350,35800
353200,대덕전자,KOSPI,131000,145000,131000,145000
240810,원익IPS,KOSDAQ GLOBAL,131600,154400,131200,155300
028300,HLB,KOSDAQ,47250,49000,47150,49200
241560,두산밥캣,KOSPI,63600,63900,62600,66000
032640,LG유플러스,KOSPI,14380,14180,13960,14490
009830,한화솔루션,KOSPI,34900,36300,32850,37350
267270,HD건설기계,KOSPI,121900,125200,118300,125900
058470,리노공업,KOSDAQ GLOBAL,75100,81800,74400,81800
036570,NC,KOSPI,265000,257000,253000,274000
138930,BNK금융지주,KOSPI,18230,17460,16970,18650
128940,한미약품,KOSPI,435500,417000,404000,467500
029780,삼성카드,KOSPI,48200,47450,46400,49000
000100,유한양행,KOSPI,70100,70400,68100,72800
271560,오리온,KOSPI,140900,138000,136900,145300
377300,카카오페이,KOSPI,40400,40700,39500,42350
034220,LG디스플레이,KOSPI,10980,11000,10670,11570
298380,에이비엘바이오,KOSDAQ GLOBAL,97000,101700,96500,102900
454910,두산로보틱스,KOSPI,83300,87000,81600,87100
319660,피에스케이,KOSDAQ,185900,201500,179300,209000
141080,리가켐바이오,KOSDAQ GLOBAL,142900,148500,140400,150800
000990,DB하이텍,KOSPI,116800,128000,115600,128000
005385,현대차우,KOSPI,213500,218500,209000,220000
011790,SKC,KOSPI,98300,101000,97000,103500
175330,JB금융지주,KOSPI,26000,25000,23950,25950
000250,삼천당제약,KOSDAQ,204000,202500,201000,214500
023530,롯데쇼핑,KOSPI,167900,185500,163000,185500
001040,CJ,KOSPI,161400,159900,150000,167900
088980,맥쿼리인프라,KOSPI,9940,10020,9920,10050
039030,이오테크닉스,KOSDAQ,384000,425500,378000,425500
222800,심텍,KOSDAQ GLOBAL,124700,144000,123000,144500
000500,가온전선,KOSPI,280000,273000,270000,326000
082740,한화엔진,KOSPI,52700,58000,52000,58000
066970,엘앤에프,KOSPI,107100,112800,105000,112900
087010,펩트론,KOSDAQ,178300,180200,177000,188700
052690,한전기술,KOSPI,107200,112900,106900,113600
010060,OCI홀딩스,KOSPI,218500,245000,215500,252000
002380,KCC,KOSPI,469500,460000,445500,489000
069960,현대백화점,KOSPI,184100,192200,182800,194900
084370,유진테크,KOSDAQ,177400,189300,174200,194000
214370,케어젠,KOSDAQ,73000,74200,71100,76800
018880,한온시스템,KOSPI,3800,3755,3600,3880
347850,디앤디파마텍,KOSDAQ,86700,92400,85700,93900
088350,한화생명,KOSPI,4400,4300,4185,4520
440110,파두,KOSDAQ,76000,80000,74700,81000
103590,일진전기,KOSPI,79300,82500,78100,84000
214450,파마리서치,KOSDAQ GLOBAL,360500,360500,356500,378500
004020,현대제철,KOSPI,28050,28300,27100,29000
336260,두산퓨얼셀,KOSPI,56500,58100,55900,60200
111770,영원무역,KOSPI,82300,76900,73400,89000
051900,LG생활건강,KOSPI,245000,236000,230500,248500
403870,HPSP,KOSDAQ GLOBAL,43700,48350,43500,50800
012510,더존비즈온,KOSPI,120000,0,0,0
095610,테스,KOSDAQ GLOBAL,177800,197700,174600,199200
022100,포스코DX,KOSPI,22400,22250,21200,23100
108490,로보티즈,KOSDAQ,229000,243500,227000,244000
145020,휴젤,KOSDAQ,268500,274000,267500,286000
310210,보로노이,KOSDAQ,182300,189500,179100,204000
178320,서진시스템,KOSDAQ,51800,55200,51300,57200
095340,ISC,KOSDAQ,151700,165600,147800,165600
009420,한올바이오파마,KOSPI,61500,61300,59800,65200
226950,올릭스,KOSDAQ GLOBAL,156800,166900,156000,171600
035250,강원랜드,KOSPI,14780,14340,14200,15030
251270,넷마블,KOSPI,38400,38650,36900,39200
214150,클래시스,KOSDAQ GLOBAL,47900,47750,47000,51000
080220,제주반도체,KOSDAQ,89700,96300,88500,96700
001450,현대해상,KOSPI,36150,34650,33600,37200
383220,F&F,KOSPI,80200,78800,76000,82600
036460,한국가스공사,KOSPI,32900,32400,31850,33750
031980,피에스케이홀딩스,KOSDAQ,141100,152000,136900,155400
014680,한솔케미칼,KOSPI,276000,303000,273500,303000
097950,CJ제일제당,KOSPI,196700,188900,186100,202000
011780,금호석유화학,KOSPI,117000,116000,111400,119900
302440,SK바이오사이언스,KOSPI,37400,36000,35200,38500
004800,효성,KOSPI,173600,183000,168100,183000
450080,에코프로머티,KOSPI,40350,41200,39100,41700
031210,서울보증보험,KOSPI,40600,40200,40200,41750
483650,달바글로벌,KOSPI,228500,247500,220500,258500
067310,하나마이크론,KOSDAQ,42500,48350,41800,48550
064760,티씨케이,KOSDAQ GLOBAL,251000,268500,246000,281000
085620,미래에셋생명,KOSPI,20750,20250,19620,21900
012750,에스원,KOSPI,73600,73000,71000,76800
017800,현대엘리베이터,KOSPI,71800,72600,70500,74500
139130,iM금융지주,KOSPI,17270,16980,16460,17700
131290,티에스이,KOSDAQ,258500,263000,242500,269000
011170,롯데케미칼,KOSPI,63000,63500,61400,65700
237690,에스티팜,KOSDAQ GLOBAL,129700,130400,128400,135900
161890,한국콜마,KOSPI,118800,109000,107800,123000
028670,팬오션,KOSPI,4970,4800,4710,5080
005850,에스엘,KOSPI,57500,57400,54800,59300
319400,현대무벡스,KOSDAQ,23600,24550,23300,24600
001720,신영증권,KOSPI,159300,160000,156800,164800
005290,동진쎄미켐,KOSDAQ,50900,54000,50300,54100
026960,동서,KOSPI,25300,24200,23650,26200
006360,GS건설,KOSPI,29650,29250,28500,31500
489790,한화비전,KOSPI,49450,52000,49300,52700
375500,DL이앤씨,KOSPI,64200,66200,63300,66800
089970,브이엠,KOSDAQ,99700,109400,96700,109400
081660,미스토홀딩스,KOSPI,45950,43700,43250,50000
