종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
460940,피앤에스로보틱스,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,12430,126.42,1632.2,12430,11550,13740,15050,96.3,93.5,96.9,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,24.8,48.51,20.24,57.76,34.76,2,1.0,1.0,1.0,1.0,0.65,0.03,0.86,53.1,75.6,1.13,-90.2198,0.0946,0.39,1.49,9961,1,29.39,0,1,1,1,False,7.99,-6.12,65.51,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,3.585636363636364,6.0,1.4886363636363635,0.0,1,🌪️ 에너지 응축 시작 (2일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),1,1,20251217,20251217,18.84,7.75,65.51,57.76,12160,12430,-2.1721641190667773,20251218,20251217
352820,하이브,KOSPI,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,미디어·콘텐츠,304000,771.98,129388.3,303000,282000,345500,387500,92.9,96.1,89.2,🔻 REV (역추세 반등),④ 바닥 반등 시도,5.74,-2.72,2.51,-13.65,-33.42,11,1.0,1.0,1.0,0.93,0.37,0.9,0.66,55.6,62.7,3.3,1073.5454,0.0629,1.3,-0.24,314600,-1,7.72,1,1,1,1,False,1.67,2.7,5.19,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,4.986,3.0,1.8863636363636365,0.33003300330033,-1,🌪️ 11일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (강력 매수),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),4,2,20251217,20251217,18.84,7.75,5.19,-13.65,305500,303000,0.8250825082508184,20251218,20251217
226950,올릭스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,136300,1243.05,27518.8,134200,124800,148400,162500,92.8,98.8,87.6,🔥 SQZ (폭발대기),① 강한 상승 추세,2.02,239.48,-2.54,59.08,225.73,2,0.86,1.0,1.0,0.65,0.83,1.0,0.72,57.7,60.5,4.59,396.2055,0.2253,0.99,0.4,112050,1,21.77,0,1,1,1,False,2.71,12.27,66.83,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,3.585636363636364,6.0,1.0521739130434782,1.564828614008942,1,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (강력 매수),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),1,3,20251217,20251217,18.84,7.75,66.83,59.08,130400,134200,-2.8315946348733245,20251218,20251217
278470,에이피알,KOSPI,기타 화학제품 제조업,기타 화학제품 제조업,화학·소재,256500,941.72,96009.6,256500,238500,278500,300000,90.9,92.3,87.7,↩️ PULL (눌림),③ 박스 / 중립,14.25,81.66,11.02,-0.64,50.96,2,1.0,0.98,1.0,1.0,0.2,1.0,0.7,45.0,39.8,1.67,166.8439,-0.0382,0.65,0.03,226350,1,13.16,0,1,1,1,False,1.79,4.69,18.2,4,,"20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",1.8,1.209642857142857,9.0,1.2222222222222223,0.0,1,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. ✅ 20일선 눌림목 구간. (강력 매수),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),3,4,20251217,20251217,18.84,7.75,18.2,-0.64,243500,256500,-5.0682261208577,20251218,20251217
021240,코웨이,KOSPI,그외 기타 개인 서비스업,그외 기타 개인 서비스업,서비스 기타,90000,139.07,64718.2,90000,83700,97600,105200,89.5,82.0,90.6,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,2.74,-7.5,-0.49,-28.57,-38.2,30,0.99,0.97,1.0,1.0,0.36,0.05,0.8,50.3,62.0,2.78,582.7099,0.1778,0.65,1.03,92230,-1,8.15,1,1,1,1,False,6.38,4.17,-9.73,4,,"RSI적정, MACD상승, 20선근접, 자금유입, MACD>Sig",1.8,0.5161904761904762,10.0,1.2063492063492065,0.0,-1,🌪️ 30일 연속 응축 중! 폭발 임박. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),4,5,20251217,20251217,18.84,7.75,-9.73,-28.57,89700,90000,-0.33333333333332993,20251218,20251217
000990,DB하이텍,KOSPI,반도체 제조업,반도체 제조업,반도체,65500,155.49,28495.5,65500,60900,71100,76600,86.9,78.7,87.8,↩️ PULL (눌림),③ 박스 / 중립,-0.3,39.36,-3.53,-3.52,8.66,3,1.0,0.98,1.0,1.0,0.21,0.07,0.72,58.4,78.4,1.4,-160.5707,-0.0616,0.63,0.2,59565,1,11.21,0,1,1,1,True,-1.06,-0.15,15.32,5,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,-2.9210000000000003,16.0,1.2173913043478262,0.0,1,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💰 외국인/기관 수급 집중. ✅ 20일선 눌림목 구간.,61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),3,6,20251217,20251217,18.84,7.75,15.32,-3.52,64000,65500,-2.2900763358778664,20251218,20251217
220100,퓨쳐켐,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,31150,228.0,6977.8,31150,28950,33800,36400,85.7,86.0,90.8,↩️ PULL (눌림),② 상승 후 조정,1.8,96.9,-2.76,63.97,83.15,5,0.99,0.97,1.0,1.0,0.37,0.17,0.7,49.3,57.3,-1.12,-484.2644,-0.1743,0.61,-0.59,25280,1,16.46,0,1,1,0,False,-4.74,-1.74,71.72,3,,"RSI적정, 정배열(단), 장기추세(120↑)",1.8,4.758695652173913,4.0,1.2045454545454546,0.0,1,🌪️ 5일 연속 응축 중! 폭발 임박. 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),2,7,20251217,20251217,18.84,7.75,71.72,63.97,30350,31150,-2.5682182985553803,20251218,20251217
005490,POSCO홀딩스,KOSPI,1차 철강 제조업,1차 철강 제조업,철강·금속,313500,771.83,253724.8,313500,296000,334000,354500,85.2,86.5,80.4,↩️ PULL (눌림),⑤ 하락 / 약세,0.0,19.2,-3.23,-8.26,-11.5,16,0.96,0.75,0.8,1.0,0.11,0.9,0.77,50.4,49.2,0.56,-276.518,-0.0033,0.9,-0.58,296450,1,7.16,1,1,1,1,True,-0.32,1.62,10.58,4,,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",1.8,7.962857142857142,2.0,1.1714285714285717,0.0,1,🌪️ 16일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),5,8,20251217,20251217,18.84,7.75,10.58,-8.26,303000,313500,-3.349282296650713,20251218,20251217
222800,심텍,KOSDAQ,전자부품 제조업,전자부품 제조업,IT/전기전자,52100,401.46,19361.4,52100,48450,56500,60900,85.0,84.3,90.3,↩️ PULL (눌림),② 상승 후 조정,-5.96,116.63,-10.52,52.31,102.88,10,0.99,0.97,1.0,1.0,0.35,0.4,0.72,47.1,49.3,-2.0,-528.9963,-0.2709,0.88,-1.3,47780,1,18.09,0,1,1,0,False,-5.1,-8.92,60.06,3,,"RSI적정, 정배열(단), 장기추세(120↑)",1.8,0.2388372093023257,11.0,1.2054794520547945,0.0,1,🌪️ 10일 연속 응축 중! 폭발 임박. 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),2,9,20251217,20251217,18.84,7.75,60.06,52.31,51700,52100,-0.7677543186180413,20251218,20251217
114090,GKL,KOSPI,유원지 및 기타 오락관련 서비스업,유원지 및 기타 오락관련 서비스업,서비스 기타,14560,115.62,9006.2,14560,13200,16200,17830,84.3,73.8,85.7,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,2.54,-2.54,-0.69,-34.92,-33.24,4,0.99,1.0,0.54,1.0,0.33,0.02,0.54,57.2,63.9,0.24,45.6306,0.0332,2.51,-0.92,15599,-1,8.65,1,1,1,1,True,1.61,-2.61,-16.08,5,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 자금유입, MACD>Sig",2.5,0.5161904761904762,10.0,1.2058823529411764,0.0,-1,🌪️ 에너지 응축 시작 (4일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,61.7,58.0,65.8,🌤 중립,1.유통·소비재(+16.1%) / 2.철강·금속(+8.0%) / 3.미디어·콘텐츠(+5.0%) / 4.바이오·의약품(+4.8%) / 5.건설·부동산(+3.7%),4,10,20251217,20251217,18.84,7.75,-16.08,-34.92,14750,14560,1.3049450549450503,20251218,20251217
