종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%,오늘종가,전일추천매수가,전일→오늘_수익률%,검증기준일,비교대상추천일
347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,89300,845.1,38877.1,89300,83000,103900,118400,89.0,93.6,92.6,0.0,뉴스없음,↩️ PULL (눌림),⑤ 하락 / 약세,-9.43,196.38,-13.75,80.73,179.6,3,0.91,0.94,1.0,1.0,0.54,0.83,0.66,41.1,44.4,-2.12,91429,-2.33,,-1283.339,0.0493,0.46,-0.54,74790,1,17.02,0,1,1,0,True,-0.78,2.29,87.03,5,★,"OBV매집, MACD상승, 정배열(단), 장기추세(120↑)",1.8,27,241.1,90873,▲,X,O,3.1292857142857144,21.218367346938777,3.0,2.3174603174603177,0.0,1,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속.  (강력 매수),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),5,1,20251224,20251224,18.33,6.3,87.03,80.73,94900,89300,6.270996640537518,20251226,20251224
240810,원익IPS,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,63100,210.09,30971.9,63100,58600,72000,80800,88.8,80.5,90.3,0.0,뉴스없음,↩️ PULL (눌림),① 강한 상승 추세,2.94,137.66,-1.38,31.17,120.88,10,0.78,0.81,1.0,1.0,0.63,0.12,0.7,54.4,53.1,2.75,60188,4.84,,100.6991,0.2166,0.8,-0.99,67380,-1,11.12,0,1,1,1,False,-1.25,0.0,37.47,10,★,"HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, VWAP상회",1.8,39,246.1,60750,▲,O,O,7.873818181818182,19.66090909090909,2.0,1.9777777777777776,0.0,-1,🌪️ 10일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속.  (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),1,2,20251224,20251224,18.33,6.3,37.47,31.17,67900,63100,7.60697305863709,20251226,20251224
010170,대한광통신,KOSDAQ,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,2290,185.8,3022.5,2290,2125,2760,3225,87.4,87.0,93.2,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,21.68,121.68,17.36,44.66,104.9,1,1.0,1.0,1.0,1.0,0.46,0.09,0.73,47.3,58.8,-0.83,2266,1.05,,-15.5875,-0.1645,0.68,-0.02,1870,1,23.1,0,1,1,0,False,0.22,5.53,50.96,6,★,"HMA돌파, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,1091,249.8,2283,▼,O,X,3.1292857142857144,21.218367346938777,3.0,2.8484848484848486,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),2,3,20251224,20251224,18.33,6.3,50.96,44.66,2240,2290,-2.183406113537123,20251226,20251224
226950,올릭스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,129300,697.76,26105.5,129300,120200,149400,169400,84.9,88.5,88.0,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,-1.3,240.71,-5.62,28.25,223.93,7,0.87,0.9,1.0,1.0,0.38,0.67,0.72,54.8,62.4,-0.44,131496,-1.67,,-1175.5484,-0.2382,0.57,-1.2,112050,1,21.38,0,1,1,0,True,-5.14,-2.56,34.55,5,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,19,245.7,134654,▼,X,X,3.1292857142857144,21.218367346938777,3.0,2.208791208791209,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. ✅ 20일선 눌림목 구간. (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),2,4,20251224,20251224,18.33,6.3,34.55,28.25,134800,129300,4.253673627223509,20251226,20251224
005490,POSCO홀딩스,KOSPI,1차 철강 제조업,1차 철강 제조업,철강·금속,314000,1359.26,254129.5,314000,296000,349500,384500,84.8,85.4,80.3,0.0,뉴스없음,🔺 Watch (상승 준비),③ 박스 / 중립,-1.1,13.77,-4.83,-4.77,-19.21,21,0.78,0.65,0.84,1.0,0.31,1.0,0.66,54.9,57.3,1.12,306200,2.55,,-751.7652,0.0103,1.7,-0.57,296450,1,6.64,1,1,1,1,False,0.16,-0.16,13.56,8,★,"HMA돌파, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,7,219.8,306450,▼,O,X,3.494,15.274,5.0,1.9722222222222223,0.0,1,🌪️ 21일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 📈 상승 모멘텀 개선. ✅ 20일선 눌림목 구간. (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),3,5,20251224,20251224,18.33,6.3,13.56,-4.77,308000,314000,-1.9108280254777066,20251226,20251224
413630,씨피시스템,KOSDAQ,플라스틱제품 제조업,플라스틱제품 제조업,기타,4550,163.82,1657.9,4550,4230,5340,6120,84.2,90.8,94.6,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,14.47,244.44,10.15,46.13,227.66,0,0.97,1.0,1.0,1.0,0.76,0.07,0.81,48.1,74.5,1.38,4631,-1.77,,-26.4654,0.2821,0.65,0.86,3658,1,23.76,0,0,0,1,False,8.08,4.12,52.43,7,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",2.0,549,249.8,4277,▲,O,X,3.1292857142857144,21.218367346938777,3.0,2.46875,0.0,1,💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),5,6,20251224,20251224,18.33,6.3,52.43,46.13,4375,4550,-3.8461538461538436,20251226,20251224
004370,농심,KOSPI,기타 식품 제조업,기타 식품 제조업,유통·소비재,444500,231.09,27037.3,444500,420000,504000,563000,84.0,76.2,83.9,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,-0.67,11.68,-4.4,-19.77,-21.3,1,0.96,0.77,0.78,1.0,0.28,0.14,0.73,70.1,67.1,2.35,436819,1.76,,940.441,0.1056,2.18,1.6,420000,1,5.21,1,1,1,1,True,3.61,2.18,-1.44,8,★,"HMA추세↑, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,5,222.2,431818,▲,O,X,-1.410909090909091,13.004545454545456,7.0,2.4285714285714284,0.0,1,🌪️ 에너지 응축 시작 (1일차). 🧱 구조적 지지선(Swing Low) 근접. 💪 매수세 장악(Power Buying). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),4,7,20251224,20251224,18.33,6.3,-1.44,-19.77,433000,444500,-2.5871766029246346,20251226,20251224
047810,한국항공우주,KOSPI,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",기타,113800,931.85,110926.7,112700,104800,128600,144300,82.2,85.5,75.6,0.0,뉴스없음,🔻 REV (역추세 반등),④ 바닥 반등 시도,3.17,26.73,-0.56,-13.93,-6.25,15,0.65,0.75,1.0,0.77,0.39,0.93,0.76,64.7,72.2,3.98,111499,2.06,,280.6137,0.112,1.31,0.87,102190,1,10.5,0,1,1,1,False,6.65,4.31,4.4,10,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,22,247.9,111792,▲,O,X,3.1292857142857144,21.218367346938777,3.0,1.6444444444444444,0.9760425909494232,1,🌪️ 15일 연속 응축 중! 폭발 임박. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),4,8,20251224,20251224,18.33,6.3,4.4,-13.93,110100,112700,-2.3070097604259043,20251226,20251224
476060,온코닉테라퓨틱스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,18940,459.9,8426.4,18940,17610,22750,26500,81.1,88.7,90.0,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,21.1,254.88,16.78,37.73,238.1,0,1.0,1.0,1.0,1.0,0.5,0.4,0.75,49.4,53.9,1.62,18867,0.39,,-43.9583,-0.0096,0.55,0.51,14599,1,27.17,0,0,0,1,False,5.4,15.7,44.03,7,★,"HMA추세↑, HMA돌파, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",2.0,131,248.1,18920,▲,O,X,3.1292857142857144,21.218367346938777,3.0,2.8646616541353382,0.0,1,📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),2,9,20251224,20251224,18.33,6.3,44.03,37.73,21800,18940,15.100316789862722,20251226,20251224
075580,세진중공업,KOSPI,선박 및 보트 건조업,선박 및 보트 건조업,조선·기계·설비,18200,146.61,10346.6,18200,16920,20150,22050,80.6,69.5,81.3,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,-0.71,58.26,-4.44,-34.84,25.28,5,0.6,0.62,1.0,1.0,0.45,0.05,0.66,58.3,59.0,1.9,18291,-0.5,,158.8793,0.1913,1.55,-0.37,19483,-1,10.02,0,1,1,1,False,5.45,0.66,-16.51,7,★,"HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), MACD>Sig",1.8,137,249.3,17879,▲,O,X,7.873818181818182,19.66090909090909,2.0,1.5234375,0.0,-1,🌪️ 5일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,56.1,53.0,59.2,🌤 중립,1.자동차·모빌리티(+15.2%) / 2.조선·기계·설비(+14.9%) / 3.기타(+14.0%) / 4.IT/전기전자(+11.6%) / 5.철강·금속(+10.6%),4,10,20251224,20251224,18.33,6.3,-16.51,-34.84,17640,18200,-3.076923076923077,20251226,20251224
