시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,근거,RS_slope20,RS_high50,VCP_ok,Pivot_near,Vol_breakout,UDVR_50,UDVR_ok,OBV_high,Weekly_pos,Regime_good,EBS_PLUS,HitProb_%(heuristic),추천매수가,추천매도가1,추천매도가2,손절가
기타,삼성전자우,005935,84400,5133.84,688682.6,76.3,12.14,396.5242,143.56012,1.29,8.34,12.53,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0671,True,False,True,True,3.11,True,True,True,True,82.8,64.5,76490,78940,80900,73010
기타,현대차,005380,290000,10388.62,593797.5,86.7,20.32,3720.8178,1488.78013,2.83,14.85,19.34,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.1145,True,False,True,True,2.88,True,True,True,True,80.6,62.5,247350,259990,270100,233790
기타,삼성전기,009150,245000,2161.03,182999.6,78.0,15.35,1930.4636,744.82809,1.59,10.36,18.36,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0536,True,False,True,True,2.09,True,True,True,True,80.6,62.5,217580,227940,236230,206020
기타,LG이노텍,011070,241000,996.95,57037.7,84.1,15.96,2147.3175,470.05623,2.79,11.06,15.04,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0495,True,False,True,True,2.52,True,True,True,True,80.6,62.5,212830,222820,230820,201600
KOSDAQ,오름테라퓨틱,475830,46000,227.43,9732.9,74.2,26.33,1044.0717,138.53933,1.81,35.29,43.08,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.1925,True,False,True,True,1.72,True,True,True,True,80.6,62.5,37780,40520,42710,35320
KOSDAQ,유일로보틱스,388720,87400,757.57,10223.0,64.5,11.86,375.4067,370.69554,1.94,9.94,9.94,6,"RSI 45~65, MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.022,False,False,True,True,2.27,True,True,True,True,74.7,57.2,80940,86550,91030,75790
KOSDAQ,오르비텍,046120,4300,402.94,1180.3,64.2,13.31,43.0538,6.06589,3.1,1.53,19.61,6,"RSI 45~65, MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0395,False,False,True,True,2.61,True,True,True,True,74.7,57.2,4000,4400,4730,3680
기타,삼성전기우,009155,106700,54.78,3101.8,73.8,13.6,788.2474,257.66881,1.23,9.89,17.12,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.036,False,False,True,True,1.93,True,True,True,True,72.5,55.2,95920,99900,103080,91110
기타,대원전선,006340,3650,1005.22,2736.7,67.7,14.45,50.6263,10.19566,2.12,14.96,17.17,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0358,False,False,True,True,3.8,True,True,True,True,70.3,53.3,3290,3490,3640,3090
기타,현대차2우B,005387,220000,946.64,76920.6,91.1,20.31,3435.0559,1020.44968,2.04,15.3,22.97,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0919,False,False,True,True,1.5,True,True,True,True,70.3,53.3,186170,192800,198100,177370
기타,현대차우,005385,217000,628.99,50649.9,91.1,20.15,3150.4998,1047.02658,1.92,14.94,21.7,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0975,False,False,True,True,1.71,True,True,True,True,70.3,53.3,183840,190280,195430,175200
기타,현대차3우B,005389,214500,94.54,4992.4,94.9,19.17,3028.6531,925.56658,1.44,13.91,19.83,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0835,False,False,True,True,1.98,True,True,True,True,70.3,53.3,183280,189830,195070,174600
기타,삼성전자,005930,107500,57442.55,6363610.8,75.4,12.21,329.7184,235.02176,1.3,8.81,9.81,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0638,True,False,True,False,2.73,True,True,True,True,70.0,53.0,97450,100730,103360,92930
기타,하이브,352820,341000,1873.18,143554.3,77.1,19.02,6516.1929,1281.74432,1.0,18.4,26.53,3,"MACD↑, 상승구조, MACD>0",0.0469,False,False,True,True,1.33,True,True,True,True,68.1,51.3,292620,304850,314630,277900
기타,SKC,011790,127700,897.62,48357.8,72.4,16.99,1747.2985,446.03856,0.67,14.22,16.3,3,"MACD↑, 상승구조, MACD>0",0.0742,False,False,True,True,1.44,True,True,True,True,68.1,51.3,112410,118940,124170,105880
KOSDAQ,LS마린솔루션,060370,28900,310.28,15097.0,68.0,16.12,556.7903,41.01735,0.57,14.46,21.94,3,"MACD↑, 상승구조, MACD>0",0.0854,False,False,True,True,1.7,True,True,True,True,68.1,51.3,25630,27110,28300,24140
KOSDAQ,알테오젠,196170,488500,2582.68,261375.8,68.5,6.93,4011.726,1029.55306,1.45,9.53,12.82,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.0991,False,True,True,True,1.33,True,False,True,True,67.4,50.7,465480,482720,496520,443140
기타,이수페타시스,007660,113900,2378.5,83613.1,91.4,32.65,3004.3207,311.68302,0.28,21.69,34.16,3,"MACD↑, 상승구조, MACD>0",0.2951,True,False,True,False,2.26,True,True,True,True,65.6,49.0,89080,95510,100650,83290
