시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,우리금융지주,316140,26200,883.02,192328.0,50.0,1.7,43.1566,10.31034,1.54,2.75,1.35,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",26020,27050,28080,24990
KOSPI,기업은행,024110,20150,322.59,160681.3,61.4,3.86,82.5291,28.82912,1.47,5.44,3.17,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",19600,20200,20800,18990
KOSDAQ,펄어비스,263750,36750,115.96,23611.1,50.3,3.87,88.4871,110.1791,1.76,5.3,5.15,7,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, MACD>sig, 과열아님",35730,37150,38560,34320
KOSPI,한국전력,015760,46250,2880.82,296908.4,56.1,7.13,91.4425,48.91666,1.39,2.55,7.56,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",43600,45330,47060,41880
KOSPI,LG,003550,85300,466.64,131551.0,64.1,6.77,321.2967,66.74019,1.36,3.52,2.65,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",80690,83880,87080,77490
KOSPI,NH투자증권,005940,21950,450.78,78217.6,59.1,7.55,68.4737,106.01931,2.02,4.77,6.04,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",20610,21430,22250,19800
KOSPI,삼성증권,016360,78400,433.68,70011.2,53.7,2.74,-286.8848,253.65248,1.26,0.77,-0.25,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",77070,80130,83180,74020
KOSDAQ,코오롱티슈진,950160,47550,408.01,39571.7,57.7,5.74,112.6362,141.1065,2.57,6.02,0.85,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",45420,47220,49020,43620
KOSPI,KT&G,033780,139000,368.86,166623.1,51.7,1.61,234.1989,203.96609,0.93,3.96,2.36,6,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, MACD>sig, 과열아님",138160,142550,146930,133780
KOSDAQ,큐알티,405100,16500,350.97,2027.7,51.7,1.3,-140.0612,89.23196,10.67,3.25,-0.96,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, 상승구조, 과열아님",16450,17100,17760,15800
KOSPI,CJ,001040,176500,324.1,51497.4,55.9,3.4,175.8005,636.98199,1.24,1.61,2.08,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",172400,179220,186050,165570
KOSPI,코오롱,002020,47400,303.09,5984.9,51.2,4.03,2.5864,99.24287,3.07,3.16,0.85,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",46020,47840,49660,44200
KOSPI,대웅제약,069620,151700,238.97,17576.8,63.9,8.81,1020.3376,568.05708,3.16,5.71,8.28,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",140810,146390,151960,135230
KOSDAQ,클래시스,214150,49900,220.32,32687.3,59.5,3.72,199.3599,161.70707,1.41,4.18,-1.58,6,초입,"RSI 45~65, MACD상승, MA20 근처, 거래량증가, MACD>sig, 과열아님",48590,50520,52440,46670
KOSPI,신영증권,001720,155000,200.6,25482.0,63.2,9.85,995.5826,599.67705,3.69,1.04,9.15,6,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",142510,148160,153800,136870
