시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2
KOSPI,한국화장품,123690,11010,252.06,1769.1,46.6,76.9,3.91,13.8614,57.86779,1.78,9.66,8.37,9,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",10810,10280,11600,12130
KOSPI,고려아연,010130,1128000,248.32,218192.0,59.3,66.6,4.48,3088.269,229.17889,0.57,-0.62,10.16,9,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",1101000,1047000,1182000,1236000
KOSPI,HL만도,204320,39350,151.53,18477.6,54.8,61.7,5.13,157.3259,54.5402,1.31,6.64,9.0,9,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",38200,36300,41000,42850
KOSDAQ,NHN KCP,060250,16410,80.89,6590.4,57.3,63.0,2.23,35.7397,15.36038,0.9,-1.97,11.33,9,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",16370,15570,17580,18380
KOSDAQ,하나기술,299030,31500,71.19,2518.4,51.6,74.9,3.02,-211.1949,138.60363,1.93,-2.17,12.3,9,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",31200,29650,33500,35000
KOSDAQ,인투셀,287840,61300,577.78,9101.6,53.2,61.6,7.91,-297.1679,201.93799,1.38,10.65,11.45,8,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",57900,55100,62200,65000
KOSPI,금강공업,014280,5870,106.71,1721.6,58.6,88.4,5.69,22.012,18.18882,1.05,4.82,14.42,8,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",5670,5390,6080,6360
KOSPI,한전KPS,051600,52200,81.03,23490.0,56.0,62.1,1.57,65.4927,1.8914,0.71,-0.38,6.1,8,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",52200,49850,55700,58100
KOSDAQ,미래나노텍,095500,12250,70.47,3798.7,57.1,70.0,1.29,60.6985,-85.97524,0.58,-2.23,15.46,8,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",12250,11730,13030,13550
KOSPI,한국전력,015760,48150,2411.9,309105.7,56.4,63.5,4.1,-58.4258,-90.53239,0.78,1.58,9.18,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",47200,44850,50600,53000
KOSDAQ,한국피아이엠,448900,47950,1315.16,2879.1,64.9,82.3,40.38,778.9533,552.83612,3.21,40.62,50.79,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",34850,33150,37400,39100
KOSDAQ,알테오젠,196170,541000,1311.85,289466.3,54.4,62.0,3.11,418.2555,-1575.05724,0.46,-2.35,2.46,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",535000,509000,575000,601000
KOSPI,셀트리온,068270,187400,1193.09,432820.9,64.0,66.2,3.77,730.698,-152.53606,0.64,-4.44,8.39,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",184200,175200,197800,207000
KOSPI,POSCO홀딩스,005490,310500,877.81,251296.8,49.3,64.0,-0.89,-599.8435,-467.89556,0.71,-1.11,3.85,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",310500,287000,346000,369500
KOSDAQ,에스비비테크,389500,31000,863.44,1963.5,57.3,85.6,22.88,312.5836,458.08181,9.96,32.76,30.53,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",25750,24450,27600,28900
KOSPI,롯데에너지머티리얼즈,020150,41200,720.89,21574.6,72.1,80.5,29.79,730.0323,136.26674,2.24,11.5,67.14,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",32400,30800,34750,36350
KOSPI,KT&G,033780,145600,630.29,171774.0,69.6,82.6,5.15,740.7101,103.78302,1.45,2.03,7.22,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",141200,134300,151600,158500
KOSPI,롯데관광개발,032350,21950,426.14,17458.9,64.5,77.0,15.04,351.9646,43.48944,1.26,20.01,23.94,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",19460,18510,20900,21850
KOSDAQ,YTN,040300,3380,401.92,1611.5,64.0,83.4,4.23,-29.5705,-5.00252,2.21,-3.7,-10.58,7,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",3310,3145,3550,3715
KOSPI,한미약품,128940,445500,325.68,57073.0,57.1,62.7,0.34,-3647.6223,-1616.25723,0.29,-5.81,1.48,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",445500,430500,468000,482500
KOSPI,SK바이오팜,326030,126500,231.71,99066.3,64.7,67.0,4.17,109.5593,-204.75334,0.49,-1.4,9.05,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",123900,117800,133000,139000
KOSDAQ,한국비엔씨,256840,5540,216.88,3789.1,56.9,74.3,3.26,18.3533,-1.67105,0.72,7.57,9.49,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",5470,5200,5870,6140
KOSDAQ,ISC,095340,80300,172.19,17021.2,49.7,70.2,-0.12,435.5022,-444.81875,0.78,8.51,4.97,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",80300,67800,99000,111500
KOSPI,코오롱인더,120110,41050,162.77,11296.6,62.3,74.6,6.16,537.6435,-274.14821,1.38,-2.26,19.16,7,★,"RSI적정, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",39450,37500,42350,44250
KOSPI,현대백화점,069960,95600,149.63,21633.1,73.8,75.7,8.68,620.9049,10.17905,1.21,5.17,4.6,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",89700,85300,96300,100700
KOSDAQ,한양디지텍,078350,20700,145.55,3155.6,46.3,60.3,-9.9,-353.6068,-238.70667,1.33,-9.61,-6.76,7,★,"RSI적정, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",20700,15840,28000,32850
KOSDAQ,엔젤로보틱스,455900,29700,140.88,4509.4,36.9,68.7,1.63,-252.056,185.18362,1.39,7.8,7.03,7,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",29700,28350,31750,33100
KOSDAQ,석경에이티,357550,51000,135.56,2782.1,59.2,85.7,8.86,278.7874,331.68578,11.23,8.97,7.14,7,★,"RSI적정, MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",47800,45450,51300,53600
KOSPI,LG유플러스,032640,15600,131.61,67053.2,62.4,60.1,1.57,14.0901,-5.40467,0.81,0.26,-0.7,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",15600,14900,16650,17350
KOSDAQ,토모큐브,475960,42000,113.64,5595.1,47.1,47.1,3.16,427.6184,51.23614,0.8,5.0,9.52,7,★,"RSI적정, MACD상승, 20선근접, 장기추세(120↑), 에너지응축(Sqz), MACD>Sig, 과열X",41550,39500,44600,46600
KOSDAQ,에스티팜,237690,99800,99.38,20660.3,48.2,65.6,0.21,-97.6674,-151.32072,0.48,-4.13,4.18,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",99800,96600,104600,107800
KOSDAQ,오름테라퓨틱,475830,55500,89.68,11743.0,62.5,67.5,9.42,47.0232,-225.60327,0.48,6.53,8.4,7,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",51700,49200,55500,58100
KOSDAQ,조이시티,067000,2030,89.46,1419.0,55.8,82.3,9.86,33.4012,8.02212,1.78,27.03,10.81,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",1885,1792,2025,2115
KOSPI,코오롱,002020,51300,73.4,6477.4,60.2,68.7,8.76,384.8824,44.69772,0.63,9.38,16.33,7,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",48100,45750,51600,54000
KOSDAQ,펄어비스,263750,37750,62.01,24253.6,63.4,61.8,3.3,162.7765,-115.59648,0.73,-3.45,5.15,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",37300,35450,40000,41850
KOSPI,금호석유화학,011780,115500,51.51,30066.7,49.5,66.8,-0.92,-282.0494,-184.81528,0.48,-5.25,3.4,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",115500,105900,129900,139600
KOSDAQ,에스피지,058610,46100,3582.27,10223.8,70.3,89.5,37.43,1214.687,557.25373,5.05,55.22,48.71,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",34200,32550,36750,38400
KOSDAQ,로킷헬스케어,376900,64700,2566.0,10133.0,76.1,76.9,55.11,2195.188,538.98884,2.33,53.86,83.29,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",42550,40450,45700,47750
KOSPI,이수페타시스,007660,122100,2312.65,89632.7,53.3,58.5,6.18,187.6548,-686.97372,0.95,9.9,17.4,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), MACD>Sig, 과열X",117300,111500,125900,131700
KOSDAQ,온코닉테라퓨틱스,476060,17140,1534.83,7625.6,71.8,69.4,9.78,105.2585,142.25945,2.7,18.53,24.38,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",15930,15150,17100,17880
KOSDAQ,코오롱티슈진,950160,65000,1493.79,54093.8,79.3,89.4,30.47,1510.1294,409.83667,3.56,20.82,46.89,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",50800,48350,54600,57000
KOSDAQ,올릭스,226950,133000,718.5,26752.7,62.9,75.7,7.96,78.5301,-677.77785,0.45,-4.39,9.92,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",125700,119500,134900,141100
KOSPI,신한지주,055550,77000,698.57,373831.1,57.1,69.0,0.3,-393.3015,-45.93349,0.69,-3.27,-0.52,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",77000,74500,80800,83300
KOSDAQ,삼현,437730,28800,649.25,9131.8,40.1,54.3,-0.2,-452.5472,241.36694,2.69,3.41,7.46,6,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 과열X",28800,24150,35800,40500
KOSPI,한국항공우주,047810,106600,570.11,103908.5,46.8,50.2,2.02,484.7976,-160.66736,0.76,3.39,9.9,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, 과열X",106600,101400,114400,119600
KOSDAQ,케어젠,214370,78200,529.58,42005.1,77.4,69.8,20.68,1017.084,778.13263,4.23,28.62,20.68,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",66100,62900,71000,74200
KOSPI,일동제약,249420,30650,513.64,9697.1,57.8,76.7,11.35,295.9947,-25.66074,0.4,4.79,9.07,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",28100,26700,30150,31500
KOSPI,아모레퍼시픽,090430,134400,507.26,78614.3,71.8,77.3,7.87,1127.446,187.05418,1.04,5.49,6.25,6,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",127100,120900,136400,142700
