시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2
KOSDAQ,리노공업,058470,기타,63100,1742.13,48089.7,63.6,70.7,10.05,121.6621,459.59077,4.39,10.9,10.51,8,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",59100,54900,64000,69400
KOSPI,한국항공우주,047810,기타,108600,1142.66,105858.0,62.6,53.4,3.73,265.6708,88.39705,1.39,-3.47,6.68,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig, 과열X",107800,100300,116900,126700
KOSPI,삼성물산,028260,기타,228500,1061.8,388396.4,59.6,58.1,3.03,-911.0115,747.54929,1.28,6.53,1.33,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",228500,212500,247500,268500
KOSDAQ,온코닉테라퓨틱스,476060,기타,15420,535.81,6860.3,54.1,65.0,1.0,97.9647,-48.15023,0.92,3.01,15.33,8,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",15420,14340,16720,18120
KOSPI,일동제약,249420,기타,28750,459.09,9096.0,50.9,63.9,2.57,53.0831,-152.40367,0.37,-2.87,9.32,8,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",28750,26750,31150,33800
KOSDAQ,동아화성,041930,기타,6350,386.32,1003.3,61.0,95.2,5.96,27.0963,42.34424,16.39,9.86,11.01,8,★,"RSI적정, MACD상승, 거래량↑, 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",6170,5740,6690,7250
KOSPI,고려아연,010130,기타,1138000,358.98,220126.3,62.9,70.1,5.25,1396.7243,1636.81415,0.89,6.36,9.21,8,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig, 과열X",1114000,1036000,1207000,1309000
KOSPI,한솔케미칼,014680,기타,231000,251.21,26184.3,55.3,54.1,3.04,-1406.0105,1133.56265,1.5,2.67,3.59,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",231000,214500,250500,271500
KOSDAQ,브이엠,089970,기타,24300,156.34,5855.2,52.8,63.2,-2.09,-458.3963,36.71075,1.23,-2.02,-4.52,8,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",24300,22600,26350,28550
KOSDAQ,RF머트리얼즈,327260,기타,18120,147.56,1528.1,50.8,65.1,2.39,-294.1976,149.99844,3.05,5.96,-6.21,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",18120,16850,19640,21300
KOSDAQ,NHN KCP,060250,기타,16350,131.56,6566.3,59.2,70.9,1.88,63.3785,-16.65576,1.33,3.81,4.67,8,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",16350,15210,17720,19210
KOSDAQ,에이디테크놀로지,200710,기타,23900,89.32,3212.4,53.3,61.1,1.66,45.2024,111.82694,1.39,0.63,5.75,8,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",23900,22250,25900,28100
KOSDAQ,에스티아이,039440,기타,24750,55.6,3917.9,58.9,60.7,4.72,11.4401,20.76416,0.77,-1.39,4.87,8,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",24350,22650,26400,28600
KOSPI,현대위아,011210,기타,56500,52.55,15365.2,53.6,69.3,0.5,-147.8081,39.59079,0.76,4.44,-0.18,8,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",56500,52500,61200,66400
KOSPI,이수페타시스,007660,기타,140700,6245.32,103286.8,66.8,72.4,18.78,541.2206,695.97,2.05,13.74,20.88,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), MACD>Sig",122000,113500,132300,143400
KOSPI,한국전력,015760,기타,51500,4656.87,330611.5,65.6,66.2,9.83,24.9726,153.72519,1.38,4.04,3.94,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",48300,44900,52400,56700
KOSPI,SK스퀘어,402340,기타,290500,2093.13,385031.2,57.9,74.5,1.63,-4498.6242,789.80892,0.97,2.47,-6.74,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",290500,270000,315000,341500
KOSDAQ,고영,098460,기타,19100,889.42,13113.1,59.5,73.5,3.62,-149.4864,42.32484,0.41,4.37,-2.7,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",18990,17660,20600,22300
KOSPI,신한지주,055550,기타,77500,743.77,376258.6,55.9,69.4,0.6,-419.898,42.42806,0.69,1.44,-0.64,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",77500,72100,84000,91100
KOSPI,KT&G,033780,기타,140200,457.81,165403.3,56.2,77.0,0.68,401.8332,-411.71592,1.01,-0.64,2.34,7,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",140200,132200,149800,160200
KOSDAQ,한스바이오메드,042520,기타,31100,445.39,4206.7,51.2,58.1,1.72,-221.0905,-283.01635,1.33,-3.42,1.97,7,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",31100,28900,33700,36550
KOSPI,코오롱모빌리티그룹,450140,기타,10490,418.01,6585.3,50.0,67.7,7.66,-119.4482,123.24855,1.4,5.96,-14.51,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",10040,9330,10880,11790
KOSPI,삼영,003720,기타,6920,358.47,2352.8,76.7,86.5,24.05,119.1274,19.73301,1.84,8.46,24.91,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",5750,5340,6230,6750
KOSDAQ,티엘비,356860,기타,68200,340.44,6705.9,52.3,63.9,0.86,-1026.8605,253.65628,0.79,0.74,-5.01,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",68200,63400,73900,80100
KOSDAQ,오스코텍,039200,기타,53200,328.28,20353.3,62.1,70.6,9.74,470.8002,-199.23673,1.23,0.38,20.5,7,★,"RSI적정, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",49950,46450,54100,58700
KOSPI,LG이노텍,011070,기타,236000,318.66,55854.4,51.1,65.8,-2.07,-3479.6259,151.96824,0.66,-0.42,-6.35,7,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",236000,219500,256000,277500
KOSDAQ,오름테라퓨틱,475830,기타,59100,245.35,12504.7,71.7,76.8,12.83,-26.6287,39.69204,1.29,3.87,17.26,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",54000,50200,58500,63400
KOSDAQ,토모큐브,475960,기타,43150,238.09,5748.3,55.6,49.4,6.12,440.8528,125.48593,1.61,11.79,14.61,7,★,"RSI적정, MACD상승, 거래량↑, 장기추세(120↑), 에너지응축(Sqz), MACD>Sig, 과열X",41900,38950,45400,49200
KOSDAQ,비나텍,126340,기타,63500,207.9,4072.7,59.7,64.3,16.25,758.2788,539.974,1.73,25.74,19.59,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",56300,52300,61000,66100
KOSDAQ,에스비비테크,389500,기타,28800,161.76,1824.2,60.5,85.9,12.34,552.4832,19.83661,1.53,24.68,21.26,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",26400,24550,28600,31050
KOSDAQ,하나머티리얼즈,166090,기타,43100,150.99,8524.2,57.5,66.5,6.1,-42.6963,183.86002,1.24,4.99,10.51,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",41850,38900,45350,49150
KOSDAQ,플리토,300080,기타,18020,148.32,2974.3,66.8,73.9,11.78,-46.5329,104.5631,2.57,8.42,9.68,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",16610,15440,18000,19510
KOSDAQ,에이팩트,200470,기타,4715,137.24,1997.4,45.1,78.4,-2.04,-80.8703,40.32519,4.86,4.43,0.75,7,★,"RSI적정, MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",4715,4385,5110,5540
KOSPI,KCC,002380,기타,408000,121.58,36256.8,50.7,61.9,-2.9,-2959.9708,425.14078,1.07,-1.09,-1.57,7,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",408000,379500,442500,479500
KOSDAQ,동운아나텍,094170,기타,23850,109.25,4987.0,65.2,63.3,20.23,293.3985,129.22483,1.97,11.71,23.58,7,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",20450,19000,22150,24000
