시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,RR1,Now%,LDY_SCORE,ROUTE,AI_COMMENT,기준일,시총기준일
KOSPI,삼성전자우,005935,전기전자,78100,1453.61,637276.2,,61.3,2.61,25.7814,130.25692,0.69,1.03,6.99,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",78100,72600,86300,94500,1.490909090909091,0.0,84.6,🔺 Watch (상승 준비),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251203,20251203
KOSPI,HD현대일렉트릭,267260,전기전자,820000,1472.71,295586.5,,40.4,1.26,-7974.9211,4442.42419,0.97,2.89,4.73,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",820000,763000,889000,964000,1.2105263157894737,0.0,82.9,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251203,20251203
KOSPI,두산에너빌리티,034020,기계,78400,3027.31,502199.9,,35.9,1.8,-206.6587,280.32775,0.86,0.9,5.38,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",78400,72900,85000,92100,1.2,0.0,81.0,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251203,20251203
KOSPI,엘앤에프,066970,기타,126900,1734.17,50126.9,,36.8,0.8,-938.0793,128.62992,0.75,2.26,0.71,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",126900,118000,137600,149100,1.202247191011236,0.0,80.0,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251203,20251203
KOSPI,두산,000150,기계,896000,957.11,145096.8,,38.4,-1.8,-14644.0266,4639.48561,0.76,4.92,-1.21,3,,"MACD상승, 정배열(단), 장기추세(120↑)",896000,833000,971000,1053000,1.1904761904761905,0.0,80.0,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251203,20251203
KOSPI,한화에어로스페이스,012450,기타,866000,2714.75,446539.1,,40.9,-4.15,-5194.2636,3793.39771,1.29,-0.57,-4.31,1,,"MACD상승, 거래량↑",866000,805000,939000,1018000,1.1967213114754098,0.0,79.5,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,현대로템,064350,기타,174600,1100.48,190562.4,,36.8,-6.84,-1088.6294,587.44277,0.95,-2.68,-6.53,0,,MACD상승,174600,162400,189300,205000,1.2049180327868851,0.0,79.4,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251203,20251203
KOSPI,SK하이닉스,000660,전기전자,552000,14302.46,4018573.1,,43.4,-2.32,-7587.6426,1656.93237,0.59,5.34,-1.78,3,,"MACD상승, 정배열(단), 장기추세(120↑)",552000,513000,598000,649000,1.1794871794871795,0.0,79.3,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,기아,000270,운수장비,118600,1262.1,463029.8,,42.0,3.55,59.7541,298.98696,1.39,4.77,3.58,6,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",118000,112300,126400,134900,1.4736842105263157,0.5084745762711864,79.1,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
KOSPI,SK,034730,서비스업,267000,724.4,193582.2,,61.4,2.7,-919.7132,770.10207,0.88,6.37,2.69,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",267000,248500,289500,313500,1.2162162162162162,0.0,79.1,🔺 Watch (관찰·돌파예상),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251203,20251203
