시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,RR1,Now%,LDY_SCORE,ROUTE,AI_COMMENT,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,KB금융,105560,금융업,130700,1259.32,498571.0,,67.3,3.1,409.7408,51.59963,0.89,4.73,8.46,20.35,27.92,-7.57,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",130600,123000,141900,153200,1.486842105263158,0.0765696784073507,87.8,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다.  (매수 유효),20251205,20251205,27.92,13.97,20.35,27.92,-7.57
KOSPI,삼성전자우,005935,전기전자,80100,1844.81,653595.7,,69.4,4.75,301.5708,141.76282,0.87,6.8,10.79,40.28,27.92,12.36,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",78800,73500,86600,94400,1.471698113207547,1.6497461928934012,86.4,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251205,20251205,27.92,13.97,40.28,27.92,12.36
KOSPI,효성중공업,298040,전기전자,2012000,1796.05,187609.9,,45.5,-0.58,-26585.245,14260.00117,1.54,5.84,5.34,63.31,27.92,35.39,5,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",2012000,1871000,2181000,2364000,1.198581560283688,0.0,86.4,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251205,20251205,27.92,13.97,63.31,27.92,35.39
KOSPI,SK하이닉스,000660,전기전자,544000,17188.52,3960332.9,,40.7,-2.99,-6166.8469,769.0962,0.74,2.64,4.41,98.9,27.92,70.98,3,,"MACD상승, 정배열(단), 장기추세(120↑)",544000,506000,590000,639000,1.2105263157894737,0.0,86.2,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251205,20251205,27.92,13.97,98.9,27.92,70.98
KOSPI,삼성SDI,006400,전기전자,307500,1160.75,247800.5,,42.4,0.74,-1863.9291,579.74611,0.92,2.67,6.59,54.14,27.92,26.22,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",307500,286000,333500,361500,1.2093023255813953,0.0,86.2,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251205,20251205,27.92,13.97,54.14,27.92,26.22
KOSPI,LG에너지솔루션,373220,전기전자,426000,1850.65,996840.0,,39.1,-2.75,-3461.8327,1558.34266,1.33,4.41,0.12,24.2,27.92,-3.72,4,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑)",426000,396000,462000,501000,1.2,0.0,85.3,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251205,20251205,27.92,13.97,24.2,27.92,-3.72
KOSPI,한화에어로스페이스,012450,기타,895000,1686.06,461492.4,,39.8,-0.15,1456.8585,4410.82978,0.89,5.05,2.99,-2.72,27.92,-30.64,2,,"MACD상승, 20선근접, MACD>Sig",895000,832000,970000,1052000,1.1904761904761905,0.0,84.9,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251205,20251205,27.92,13.97,-2.72,27.92,-30.64
KOSPI,현대로템,064350,기타,182000,1469.28,198639.0,,43.8,-1.51,404.6494,874.72833,1.26,3.59,-0.44,-11.22,27.92,-39.14,2,,"MACD상승, 거래량↑, MACD>Sig",182000,169300,197300,214000,1.204724409448819,0.0,84.4,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251205,20251205,27.92,13.97,-11.22,27.92,-39.14
KOSPI,HD현대일렉트릭,267260,전기전자,832000,1090.6,299912.2,,42.1,3.14,-2830.7924,3458.10457,0.8,7.35,10.79,60.93,27.92,33.01,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",831000,773000,901000,976000,1.206896551724138,0.12033694344163659,84.4,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251205,20251205,27.92,13.97,60.93,27.92,33.01
KOSPI,NAVER,035420,서비스업,249500,1427.68,391347.3,,43.5,-1.76,-1212.4682,442.03522,0.6,2.25,-4.95,8.95,27.92,-18.97,3,,"MACD상승, 정배열(단), 장기추세(120↑)",249500,232000,270500,293000,1.2,0.0,84.0,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251205,20251205,27.92,13.97,8.95,27.92,-18.97
KOSDAQ,휴림로봇,090710,기타,5460,569.01,6522.4,,64.4,1.36,5.0374,2.15957,1.04,2.44,9.75,109.6,13.97,95.63,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5460,5080,6030,6610,1.5,0.0,83.3,🔺 Watch (관찰·돌파예상),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251205,20251205,27.92,13.97,109.6,13.97,95.63
KOSPI,산일전기,062040,기타,149100,699.85,45393.8,,65.4,4.6,186.1351,441.03331,1.28,3.97,12.7,39.74,27.92,11.82,7,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",146800,136500,162200,177700,1.4951456310679612,1.5667574931880108,82.9,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251205,20251205,27.92,13.97,39.74,27.92,11.82
KOSPI,LG화학,051910,화학,381500,1043.64,269309.8,,46.3,-1.19,-2960.8387,712.71165,0.86,2.01,3.95,38.98,27.92,11.06,3,,"MACD상승, 정배열(단), 장기추세(120↑)",381500,355000,413500,448500,1.2075471698113207,0.0,82.6,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251205,20251205,27.92,13.97,38.98,27.92,11.06
KOSPI,두산,000150,기계,928000,894.93,150278.8,,39.5,2.23,-6819.5791,4806.11267,0.74,5.94,8.54,60.28,27.92,32.36,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",928000,863000,1006000,1090000,1.2,0.0,82.5,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251205,20251205,27.92,13.97,60.28,27.92,32.36
KOSPI,두산에너빌리티,034020,기계,80400,3042.02,515011.2,,52.4,4.23,263.6961,229.28117,0.95,5.24,9.99,30.1,27.92,2.18,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",79400,73900,86100,93400,1.2181818181818183,1.2594458438287155,81.0,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251205,20251205,27.92,13.97,30.1,27.92,2.18
KOSPI,카카오,035720,서비스업,61500,1320.43,272066.3,,48.1,1.91,196.4939,116.71875,0.65,4.77,4.77,5.13,27.92,-22.79,4,★,"MACD상승, 20선근접, 장기추세(120↑), MACD>Sig",61500,57700,66000,70900,1.1842105263157894,0.0,80.7,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251205,20251205,27.92,13.97,5.13,27.92,-22.79
KOSPI,삼성중공업,010140,기타,25450,906.28,223960.0,,50.5,-0.15,-147.6666,88.24544,1.03,3.46,0.39,20.62,27.92,-7.3,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",25450,23650,27600,29900,1.1944444444444444,0.0,80.5,🔺 Watch (관찰·돌파예상),📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251205,20251205,27.92,13.97,20.62,27.92,-7.3
KOSPI,한미반도체,042700,전기전자,119100,1026.68,113516.8,,48.3,-4.06,-919.5929,130.42753,0.8,-3.64,-0.83,43.67,27.92,15.75,3,,"MACD상승, 정배열(단), 장기추세(120↑)",119100,110800,129100,139900,1.2048192771084338,0.0,79.8,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251205,20251205,27.92,13.97,43.67,27.92,15.75
KOSPI,삼성바이오로직스,207940,의약품,1641000,896.66,759634.5,,18.6,-5.06,-15027.9832,1358.84375,0.87,2.12,-8.68,8.25,27.92,-19.67,3,,"MACD상승, 정배열(단), 장기추세(120↑)",1641000,1527000,1777000,1925000,1.1929824561403508,0.0,79.1,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251205,20251205,27.92,13.97,8.25,27.92,-19.67
KOSDAQ,로보스타,090360,기타,74400,781.21,7254.0,,65.0,3.98,505.0293,-43.00788,1.53,4.79,17.35,156.99,13.97,143.02,6,★,"20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",73700,68500,81400,89200,1.4807692307692308,0.9497964721845319,77.9,🔺 Watch (상승 준비),💸 자금 유입이 꾸준히 이어지고 있습니다. ,20251205,20251205,27.92,13.97,156.99,13.97,143.02
KOSPI,대한전선,001440,기타,23250,704.65,43349.0,,45.9,-0.87,-235.1622,81.12482,0.71,4.73,3.33,52.96,27.92,25.04,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",23250,21600,25200,27300,1.1818181818181819,0.0,77.9,🔺 Watch (관찰·돌파예상),📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,52.96,27.92,25.04
KOSPI,SK스퀘어,402340,기타,302000,1155.16,400273.4,,53.3,1.33,-462.9739,-539.08605,0.64,1.34,13.53,97.64,27.92,69.72,3,,"20선근접, 정배열(단), 장기추세(120↑)",302000,281000,327500,355000,1.2142857142857142,0.0,77.7,↩️ PULL (눌림),✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,97.64,27.92,69.72
