시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,SK하이닉스,000660,반도체 제조업,577000,23860.5,4200573.6,,48.6,3.16,-3372.083,2794.76396,1.04,7.25,10.96,108.3,29.05,79.25,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",576000,536000,624000,677000,반도체 제조업,반도체,1.2,0.1736111111111111,87.1,83.7,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251208,20251208,29.05,13.34,108.3,29.05,79.25
KOSPI,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1987000,1184.21,185278.8,,52.8,-1.16,-18022.7631,8562.48191,1.0,10.02,4.41,65.03,29.05,35.98,3,,"MACD상승, 정배열(단), 장기추세(120↑)",1987000,1848000,2154000,2335000,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.2014388489208634,0.0,86.3,79.3,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251208,20251208,29.05,13.34,65.03,29.05,35.98
KOSPI,삼성SDI,006400,일차전지 및 이차전지 제조업,314000,1575.14,253038.6,,52.8,2.88,-1048.1646,815.76452,1.22,5.02,11.74,57.08,29.05,28.03,5,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",314000,293000,339000,366500,일차전지 및 이차전지 제조업,2차전지,1.1904761904761905,0.0,85.6,81.3,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251208,20251208,29.05,13.34,57.08,29.05,28.03
KOSPI,LG에너지솔루션,373220,일차전지 및 이차전지 제조업,451500,2636.67,1056510.0,,49.2,3.24,-641.1521,2820.68064,1.71,9.32,9.59,31.44,29.05,2.39,5,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",450500,419000,488500,529000,일차전지 및 이차전지 제조업,2차전지,1.2063492063492063,0.22197558268590456,84.5,79.8,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251208,20251208,29.05,13.34,31.44,29.05,2.39
KOSPI,한화오션,042660,선박 및 보트 건조업,114000,2177.45,349311.3,,29.8,-3.04,-855.0748,734.2315,1.29,8.57,-4.04,2.8,29.05,-26.25,3,,"MACD상승, 거래량↑, 장기추세(120↑)",114000,106000,123600,134000,선박 및 보트 건조업,조선·기계·설비,1.2,0.0,83.8,77.2,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),20251208,20251208,29.05,13.34,2.8,29.05,-26.25
KOSPI,NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",249000,1158.23,390563.1,,48.4,-1.75,-889.9597,322.50847,0.5,2.47,-4.6,9.21,29.05,-19.84,3,,"MACD상승, 정배열(단), 장기추세(120↑)",249000,231500,270000,292500,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷/플랫폼·게임,1.2,0.0,83.6,76.6,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251208,20251208,29.05,13.34,9.21,29.05,-19.84
KOSPI,두산,000150,기타 금융업,890000,1012.8,144125.1,,39.1,-1.7,-6043.2833,776.29591,0.86,6.84,4.22,49.33,29.05,20.28,3,,"MACD상승, 정배열(단), 장기추세(120↑)",890000,828000,965000,1046000,기타 금융업,금융,1.2096774193548387,0.0,83.6,78.6,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251208,20251208,29.05,13.34,49.33,29.05,20.28
KOSPI,LG화학,051910,기초 화학물질 제조업,386500,911.36,272839.4,,53.5,0.24,-2087.974,872.8647,0.74,3.9,7.81,40.29,29.05,11.24,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",386500,359500,419000,454000,기초 화학물질 제조업,화학·소재,1.2037037037037037,0.0,83.5,81.1,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251208,20251208,29.05,13.34,40.29,29.05,11.24
KOSPI,HD현대중공업,329180,선박 및 보트 건조업,543000,984.02,482038.0,,55.4,-1.79,-3221.8017,1496.94045,0.58,5.44,-1.63,6.26,29.05,-22.79,3,,"MACD상승, 정배열(단), 장기추세(120↑)",543000,505000,589000,638000,선박 및 보트 건조업,조선·기계·설비,1.2105263157894737,0.0,81.7,77.3,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251208,20251208,29.05,13.34,6.26,29.05,-22.79
KOSPI,삼성중공업,010140,선박 및 보트 건조업,25900,947.64,227920.0,,58.9,1.85,-55.4669,92.19965,1.05,7.02,3.39,21.88,29.05,-7.17,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",25900,24100,28100,30450,선박 및 보트 건조업,조선·기계·설비,1.2222222222222223,0.0,81.7,76.6,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),20251208,20251208,29.05,13.34,21.88,29.05,-7.17
