시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,REGIME_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1978000,1976.72,184439.6,54.9,61.2,0.66,-7183.2032,4376.46361,1.66,7.03,-1.1,42.71,22.92,19.79,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI)",1978000,1840000,2186000,2393000,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.5072463768115942,0.0,92.4,87.4,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (강력 매수 추천),1,20251211,20251211,22.92,11.97,42.71,22.92,19.79
KOSPI,한미반도체,042700,특수 목적용 기계 제조업,121000,1999.56,115327.8,51.5,72.4,-0.97,-118.8743,124.79697,1.56,4.22,-2.65,34.44,22.92,11.52,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI)",121000,112500,133700,146400,특수 목적용 기계 제조업,반도체,1.4941176470588236,0.0,91.6,86.2,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (강력 매수 추천),1,20251211,20251211,22.92,11.97,34.44,22.92,11.52
KOSPI,한미약품,128940,의약품 제조업,450000,986.45,57649.5,52.3,53.3,0.94,-3820.1992,1887.09443,2.13,4.65,0.11,54.11,22.92,31.19,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",450000,418500,497000,544000,의약품 제조업,바이오·의약품,1.492063492063492,0.0,89.3,88.0,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),1,20251211,20251211,22.92,11.97,54.11,22.92,31.19
KOSDAQ,온코닉테라퓨틱스,476060,자연과학 및 공학 연구개발업,18000,1167.48,8008.2,53.2,53.9,4.91,-146.1372,44.11965,1.28,-5.66,1.41,102.82,11.97,90.85,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",17670,16440,19530,21400,자연과학 및 공학 연구개발업,기타,1.5121951219512195,1.8675721561969438,89.2,80.4,🔺 Watch (상승 준비),① 강한 상승 추세,📈 상승 추세가 견고하게 유지되고 있습니다.  (매수 유효),1,20251211,20251211,22.92,11.97,102.82,11.97,90.85
KOSPI,일진전기,103590,절연선 및 케이블 제조업,56800,2123.82,27085.3,60.4,71.7,3.4,-221.7865,224.00591,5.13,6.77,3.46,46.39,22.92,23.47,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI)",56600,52600,62500,68500,절연선 및 케이블 제조업,기타,1.475,0.35335689045936397,83.9,86.4,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (매수 유효),1,20251211,20251211,22.92,11.97,46.39,22.92,23.47
KOSDAQ,피앤에스로보틱스,460940,의료용 기기 제조업,12110,110.39,1590.2,56.3,62.9,1.63,-159.4722,4.00304,0.45,-7.91,1.17,72.14,11.97,60.17,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",12110,11260,13380,14650,의료용 기기 제조업,기타,1.4941176470588236,0.0,77.7,85.1,↩️ PULL (눌림),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,1,20251211,20251211,22.92,11.97,72.14,11.97,60.17
KOSPI,HD현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",846000,1424.9,304958.8,68.9,66.8,5.18,3538.6261,261.19661,1.1,6.02,6.02,44.62,22.92,21.7,5,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",828000,770000,898000,973000,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1.206896551724138,2.1739130434782608,75.0,71.0,🔼 BRK (돌파),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,1,20251211,20251211,22.92,11.97,44.62,22.92,21.7
KOSDAQ,보성파워텍,006910,"구조용 금속제품, 탱크 및 증기발생기 제조업",5290,101.89,2599.0,59.9,60.2,1.96,-2.2456,4.00847,1.15,0.38,-1.31,25.36,11.97,13.39,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",5290,4920,5850,6400,"구조용 금속제품, 탱크 및 증기발생기 제조업",기타,1.5135135135135136,0.0,73.0,72.2,🔺 Watch (상승 준비),① 강한 상승 추세,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,1,20251211,20251211,22.92,11.97,25.36,11.97,13.39
KOSPI,파미셀,005690,기초 의약물질 제조업,16560,147.75,9938.8,51.2,40.8,-2.95,-146.6758,2.98007,0.26,-2.93,-1.66,39.86,22.92,16.94,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",16560,15400,17950,19460,기초 의약물질 제조업,기타,1.1982758620689655,0.0,70.9,78.6,↩️ PULL (눌림),① 강한 상승 추세,📈 상승 추세가 견고하게 유지되고 있습니다. ,1,20251211,20251211,22.92,11.97,39.86,22.92,16.94
KOSDAQ,티씨케이,064760,기타 비금속 광물제품 제조업,146400,77.03,17092.2,60.3,45.7,-1.64,390.1103,44.11612,1.1,1.39,1.53,22.0,11.97,10.03,4,★,"RSI적정, MACD상승, 장기추세(120↑), MACD>Sig",146400,136200,158700,172000,기타 비금속 광물제품 제조업,반도체,1.2058823529411764,0.0,69.0,69.9,🔺 Watch (상승 준비),① 강한 상승 추세,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,1,20251211,20251211,22.92,11.97,22.0,11.97,10.03
