종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,BB_BW,BB_SQUEEZE,Above_MA20,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
298040,효성중공업,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,1962000,1834.31,182947.6,1962000,1825000,2168000,2374000,97.0,94.0,🔁 MR (반전),① 강한 상승 추세,54.2,59.5,0.26,-5141.7959,2041.40714,1.52,16.81,0,1,-2.49,3.21,35.78,22.72,13.06,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",1.8118181818181818,12.0,1.5036496350364963,0.0,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (강력 매수 추천),78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,35.78,22.72,13.06
226950,올릭스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,131200,1043.46,26390.6,131200,122000,142200,154200,94.1,88.9,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,50.6,50.1,0.9,-524.8947,91.62199,0.88,20.82,0,1,9.7,1.94,50.63,10.66,39.97,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",5.643875968992248,7.0,1.1956521739130435,0.0,📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (강력 매수 추천),78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,50.63,10.66,39.97
000150,두산,KOSPI,기타 금융업,기타 금융업,금융,872000,1062.62,141210.2,872000,811000,945000,1025000,92.8,90.4,🔁 MR (반전),① 강한 상승 추세,52.5,29.8,-1.32,-6783.6987,566.89526,0.98,16.58,0,0,-6.03,-0.46,42.48,22.72,19.76,4,★,"RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",2.2256249999999995,11.0,1.1967213114754098,0.0,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (강력 매수 추천),78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,42.48,22.72,19.76
000660,SK하이닉스,KOSPI,반도체 제조업,반도체 제조업,반도체,571000,15118.28,4156893.5,570000,530000,618000,670000,90.6,91.1,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,64.2,47.9,3.19,-236.8878,171.14778,0.68,17.43,0,1,4.96,7.74,73.82,22.72,51.1,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",-1.3828571428571428,15.0,1.2,0.17543859649122806,🚀 상승 에너지가 폭발적으로 증가하는 중입니다.  (강력 매수 추천),78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,73.82,22.72,51.1
195870,해성디에스,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,52700,116.78,8959.0,52700,49000,58200,63800,87.9,92.8,↩️ PULL (눌림),① 강한 상승 추세,60.8,61.1,0.87,-349.0023,9.71895,0.91,16.73,0,1,-0.19,7.88,107.48,22.72,84.76,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",8.00531914893617,3.0,1.4864864864864864,0.0,💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,107.48,22.72,84.76
381620,제닉스로보틱스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,15750,208.08,2066.1,15670,14570,17310,18960,85.0,88.0,🔺 Watch (상승 준비),① 강한 상승 추세,59.9,73.0,3.55,-7.1462,29.03419,1.15,17.56,0,1,0.25,-2.36,29.52,10.66,18.86,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",6.1534375,6.0,1.490909090909091,0.5105296745373326,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다.  (매수 유효),78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,29.52,10.66,18.86
161390,한국타이어앤테크놀로지,KOSPI,고무제품 제조업,고무제품 제조업,화학·소재,61500,249.75,76183.2,61500,57500,67500,73500,84.2,90.4,🔁 MR (반전),① 강한 상승 추세,61.5,55.0,2.63,-615.7107,65.85297,1.26,11.7,0,1,-2.07,0.0,50.92,22.72,28.2,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",2.95962962962963,9.0,1.5,0.0,📈 상승 추세가 견고하게 유지되고 있습니다.  (매수 유효),78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,50.92,22.72,28.2
267250,HD현대,KOSPI,기타 금융업,기타 금융업,금융,209500,388.42,165490.5,209500,194800,227000,246000,83.7,90.9,🔺 Watch (상승 준비),① 강한 상승 추세,56.9,51.6,1.89,-338.1933,274.47064,1.04,17.13,0,1,0.48,6.62,41.08,22.72,18.36,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",2.2256249999999995,11.0,1.1904761904761905,0.0,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다. (매수 유효),78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,41.08,22.72,18.36
010950,S-Oil,KOSPI,석유 정제품 제조업,석유 정제품 제조업,기타,81600,118.3,91867.6,81600,76200,88100,95100,78.6,87.2,🔺 Watch (상승 준비),① 강한 상승 추세,50.3,39.2,-0.83,-498.4777,115.02794,0.43,19.58,0,0,1.37,6.39,37.84,22.72,15.12,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",5.643875968992248,7.0,1.2037037037037037,0.0,🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,37.84,22.72,15.12
001440,대한전선,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,24000,1346.72,44747.4,23500,21850,25450,27600,78.1,75.7,🔼 BRK (돌파),① 강한 상승 추세,67.5,61.2,5.26,-71.3234,111.46058,1.85,14.4,0,1,3.23,8.11,45.72,22.72,23.0,5,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI)",5.643875968992248,7.0,1.1818181818181819,2.127659574468085,💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,78.5,75.7,81.5,🔥 과열,1.철강·금속(+14.7%) / 2.유통·소비재(+10.0%) / 3.IT/전기전자(+8.0%) / 4.바이오·의약품(+7.0%) / 5.2차전지(+6.9%),1,20251212,20251212,22.72,10.66,45.72,22.72,23.0
