종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),SECTOR_RET_5D,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
139130,iM금융지주,KOSPI,기타 금융업,기타 금융업,금융,14730,1120.9,23870.7,14730,13830,16080,17430,95.3,100.0,91.4,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,4.32,18.6,-0.02,-13.48,-11.96,13,1.0,0.96,0.92,1.0,0.44,0.94,0.8,57.4,51.3,2.42,14370,2.5,,5.8132,0.0989,0.88,0.66,13767,1,5.43,1,1,1,1,False,3.59,0.68,3.22,7,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, VWAP상회",1.8,169,248.9,1.6223684210526317,4.0,1.5,0.0,1,🌪️ 13일 연속 응축 중! 폭발 임박. 🚀 단기 모멘텀 가속.  (강력 매수),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),4,1,20251219,20251219,16.7,6.04,3.22,-13.48
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,441000,549.39,56496.5,441000,410000,487500,534000,90.8,89.4,89.1,↩️ PULL (눌림),⑤ 하락 / 약세,-1.01,51.81,-5.35,5.63,21.25,5,1.0,1.0,1.0,1.0,0.25,0.41,0.75,44.7,53.0,0.28,440685,0.07,,-1770.3314,0.001,1.27,-1.35,404850,1,9.36,1,1,1,1,False,-1.01,3.52,22.33,6,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,5,220.5,3.2100000000000004,3.0,1.5,0.0,1,🌪️ 5일 연속 응축 중! 폭발 임박. 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),5,2,20251219,20251219,16.7,6.04,22.33,5.63
034020,두산에너빌리티,KOSPI,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,77400,2814.07,495794.3,77400,71900,84000,90500,87.2,85.3,84.8,↩️ PULL (눌림),② 상승 후 조정,5.88,19.63,1.54,10.6,-10.93,3,0.96,0.89,1.0,1.0,0.14,1.0,0.78,56.0,48.4,0.87,76283,1.46,,-102.2324,-0.0989,0.94,0.14,83970,-1,10.38,0,1,1,1,False,-2.89,-3.73,27.3,4,,"RSI적정, 20선근접, 장기추세(120↑), VWAP상회",1.8,32,247.7,-2.7871929824561406,12.0,1.2,0.0,-1,🌪️ 에너지 응축 시작 (3일차). 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),2,3,20251219,20251219,16.7,6.04,27.3,10.6
271560,오리온,KOSPI,기타 식품 제조업,기타 식품 제조업,유통·소비재,106000,106.72,41908.3,106000,99900,113300,120500,87.1,80.9,86.9,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,1.15,-1.76,-3.19,-19.0,-32.32,4,0.96,0.72,0.84,1.0,0.43,0.01,0.65,50.0,44.1,1.74,105338,0.63,,249.1307,0.0907,0.39,-0.04,99960,1,6.29,1,1,1,1,False,2.12,1.83,-2.3,5,★,"RSI적정, MACD상승, 20선근접, 정배열(단), MACD>Sig, VWAP상회",1.8,23,243.8,3.7046666666666668,2.0,1.1967213114754098,0.0,1,🌪️ 에너지 응축 시작 (4일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),4,4,20251219,20251219,16.7,6.04,-2.3,-19.0
021240,코웨이,KOSPI,그외 기타 개인 서비스업,그외 기타 개인 서비스업,서비스 기타,88700,195.98,63783.4,88700,82400,96200,103700,87.0,78.9,87.9,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,0.57,-8.93,-3.77,-32.7,-39.49,32,0.95,0.89,1.0,1.0,0.31,0.09,0.8,57.4,63.1,1.14,89464,-0.85,,541.9779,0.0748,0.75,0.55,92230,-1,8.47,1,1,1,1,False,2.9,0.91,-16.0,4,,"RSI적정, MACD상승, 20선근접, 자금유입, MACD>Sig",1.8,28,248.4,-0.7638095238095237,9.0,1.1904761904761905,0.0,-1,🌪️ 32일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),4,5,20251219,20251219,16.7,6.04,-16.0,-32.7
071050,한국금융지주,KOSPI,기타 금융업,기타 금융업,금융,162700,512.13,90666.2,162700,151300,176400,190100,87.0,82.5,86.0,↩️ PULL (눌림),⑤ 하락 / 약세,6.27,14.34,1.93,-13.27,-16.22,5,0.96,0.88,1.0,1.0,0.2,0.38,0.76,53.4,50.9,1.03,161090,1.0,,-91.3101,-0.0514,1.26,0.23,175040,-1,8.11,1,1,1,1,False,-2.81,-0.79,3.43,5,★,"RSI적정, 20선근접, 거래량↑, 장기추세(120↑), VWAP상회",1.8,15,244.1,1.6223684210526317,4.0,1.2017543859649122,0.0,-1,🌪️ 5일 연속 응축 중! 폭발 임박. 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),5,6,20251219,20251219,16.7,6.04,3.43,-13.27
047810,한국항공우주,KOSPI,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",기타,108800,923.4,106052.9,108800,102100,116800,124700,86.2,83.5,83.9,↩️ PULL (눌림),⑤ 하락 / 약세,2.06,14.89,-2.28,-17.7,-15.67,12,0.95,0.77,0.92,1.0,0.21,0.76,0.73,53.1,59.2,0.23,110050,-1.14,,-217.3023,-0.1593,1.36,-1.89,102190,1,9.36,1,1,1,1,True,-5.47,2.45,-1.0,5,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",1.8,22,239.4,0.4430701754385964,6.0,1.1940298507462686,0.0,1,🌪️ 12일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ✅ 20일선 눌림목 구간. (매수 유효),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),5,7,20251219,20251219,16.7,6.04,-1.0,-17.7
000990,DB하이텍,KOSPI,반도체 제조업,반도체 제조업,반도체,65300,215.29,28408.5,65300,60700,70800,76300,85.5,77.2,86.1,↩️ PULL (눌림),③ 박스 / 중립,5.49,41.19,1.15,-4.88,10.63,5,0.96,0.88,1.0,1.0,0.21,0.11,0.79,53.0,71.7,1.01,65679,-0.58,,-273.8292,-0.095,0.91,0.24,59565,1,10.29,0,1,1,1,True,-3.4,0.77,11.82,5,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,38,248.1,-2.078888888888889,11.0,1.1956521739130435,0.0,1,🌪️ 5일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💰 외국인/기관 수급 집중. ✅ 20일선 눌림목 구간.,59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),3,8,20251219,20251219,16.7,6.04,11.82,-4.88
042520,한스바이오메드,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,기타,31400,381.71,4247.3,31400,29200,34700,38000,83.0,87.6,94.1,🔁 MR (반전),① 강한 상승 추세,-9.64,248.12,-15.58,90.46,231.96,0,1.0,1.0,1.0,1.0,0.7,0.26,0.59,56.9,50.2,1.9,32528,-3.47,,111.7749,0.0381,2.0,0.06,25460,1,32.28,0,0,0,1,False,-6.13,11.35,96.5,7,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), MACD>Sig",2.0,79,248.1,0.4430701754385964,6.0,1.5,0.0,1,📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),1,9,20251219,20251219,16.7,6.04,96.5,90.46
347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,92300,2580.05,40183.2,92300,85800,102000,111700,82.8,100.0,96.0,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,-2.12,194.13,-8.06,116.28,177.97,0,1.0,1.0,1.0,1.0,0.8,1.0,0.78,48.9,56.1,-0.94,93341,-1.12,,-1302.3876,0.1935,1.23,0.36,74790,1,25.85,0,0,0,0,False,5.25,-3.75,122.32,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",2.0,27,249.2,0.4430701754385964,6.0,1.4923076923076923,0.0,1,📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),59.1,53.6,64.7,🌤 중립,1.미디어·콘텐츠(+4.0%) / 2.유통·소비재(+3.7%) / 3.바이오·의약품(+3.2%) / 4.금융(+1.6%) / 5.철강·금속(+0.9%),5,10,20251219,20251219,16.7,6.04,122.32,116.28
