종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,TOTAL_SCORE,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,91800,1396.99,39965.5,91800,85300,106500,121100,98.1,100.0,96.5,0.0,뉴스없음,↩️ PULL (눌림),① 강한 상승 추세,-1.5,220.67,-1.84,69.64,201.38,6,0.9,0.93,1.0,1.0,0.75,1.0,0.74,58.7,63.2,0.42,92859,-1.14,,-563.959,0.2468,0.69,-0.38,75860,1,18.02,0,1,1,1,False,-0.11,0.55,78.94,O,▲,10,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,27,247.9,93037,▲,X,O,3.304639175257732,17.68154639175258,3.0,2.2615384615384615,0.0,1,🌪️ 6일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),77.5,91.9,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),1,1,20251230,20251230,22.82,9.3,78.94,69.64
460940,피앤에스로보틱스,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,12340,195.38,1620.4,12340,11470,14520,16690,94.9,92.8,94.6,0.0,뉴스없음,🔺 Watch (상승 준비),① 강한 상승 추세,2.92,77.94,2.58,56.67,58.65,10,1.0,1.0,1.0,1.0,0.53,0.13,0.78,53.9,77.6,0.34,12170,1.39,,-134.9845,0.0322,0.91,-0.52,9961,1,19.56,0,1,1,1,False,0.08,-6.52,65.97,O,▲,11,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회",1.8,202,249.3,11796,▼,O,O,3.304639175257732,17.68154639175258,3.0,2.5057471264367814,0.0,1,🌪️ 10일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),79.9,90.4,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),1,2,20251230,20251230,22.82,9.3,65.97,56.67
199430,케이엔알시스템,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",기타,27100,117.18,2953.1,27100,25200,31650,36200,92.1,85.1,93.7,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,18.86,138.56,18.52,72.82,119.27,4,0.95,0.98,1.0,1.0,0.54,0.03,0.69,54.2,67.2,2.55,28152,-3.74,,134.7195,-0.0237,0.77,-0.84,22650,1,19.61,0,1,1,1,False,-0.55,0.74,82.12,O,▲,8,★,"주봉20선↑, 주봉추세우상향, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,92,249.3,28081,▲,X,X,3.304639175257732,17.68154639175258,3.0,2.3947368421052633,0.0,1,🌪️ 에너지 응축 시작 (4일차). 📉 매도세 우위. 💸 자금 유입 지속.  (매수 유효),57.4,81.7,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),2,3,20251230,20251230,22.82,9.3,82.12,72.82
090360,로보스타,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,80100,696.78,7809.8,79700,74100,91600,103600,91.8,92.6,89.1,0.0,뉴스없음,🔥 SQZ (폭발대기),① 강한 상승 추세,13.78,190.22,13.44,66.17,170.93,4,0.76,0.83,1.0,0.9,0.71,0.82,0.8,53.8,82.3,3.54,80878,-0.96,,303.9658,0.1411,1.07,0.95,65260,1,17.31,0,1,1,1,False,3.49,-2.08,75.47,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,31,247.1,77877,▲,O,X,4.989310344827586,13.487586206896552,6.0,1.9166666666666667,0.5018820577164366,1,🌪️ 에너지 응축 시작 (4일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (강력 매수),24.5,71.6,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),1,4,20251230,20251230,22.82,9.3,75.47,66.17
417970,모델솔루션,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,26200,59.91,1675.9,25950,24100,31800,37600,87.7,85.8,85.4,0.0,뉴스없음,🔥 SQZ (폭발대기),① 강한 상승 추세,28.12,135.4,27.78,102.16,116.11,2,1.0,1.0,1.0,0.82,0.84,0.0,0.68,54.2,71.8,4.02,27687,-5.37,,-38.9855,0.2999,0.44,0.67,20285,1,26.2,0,1,1,1,False,2.14,-0.19,111.46,O,▲,8,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입",1.8,96,249.1,26468,▲,X,X,4.989310344827586,13.487586206896552,6.0,2.6666666666666665,0.9633911368015413,1,🌪️ 에너지 응축 시작 (2일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (매수 유효),24.7,68.8,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),1,5,20251230,20251230,22.82,9.3,111.46,102.16
220100,퓨쳐켐,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,30850,179.32,6917.7,30850,28650,35650,40450,87.1,86.0,93.3,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,-5.8,97.12,-6.14,58.73,77.83,1,0.87,0.9,1.0,1.0,0.64,0.11,0.72,52.9,51.1,-0.36,30101,2.49,,-406.6913,0.1782,0.58,-0.01,25895,1,17.18,0,1,1,0,False,2.32,-1.75,68.03,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,81,249.9,29531,▲,O,X,2.5142105263157895,10.315263157894737,9.0,2.1818181818181817,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),90.0,88.0,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),1,6,20251230,20251230,22.82,9.3,68.03,58.73
476060,온코닉테라퓨틱스,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,19550,717.02,8697.8,19470,18100,23350,27200,85.5,100.0,91.9,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,-1.56,253.85,-1.9,39.37,234.56,0,1.0,1.0,1.0,0.92,0.71,0.85,0.88,60.3,76.3,3.41,20989,-6.86,,158.0366,0.3727,0.8,1.88,16482,1,33.24,0,0,0,1,False,3.33,-4.87,48.67,O,▲,11,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",2.0,128,249.2,20270,▲,X,O,3.304639175257732,17.68154639175258,3.0,2.6206896551724137,0.4108885464817668,1,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (강력 매수),43.5,72.9,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),1,7,20251230,20251230,22.82,9.3,48.67,39.37
348340,뉴로메카,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,32900,184.23,3744.3,32900,30550,37650,42400,84.2,75.7,84.5,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,12.29,40.3,11.95,17.73,21.01,1,0.81,0.84,1.0,1.0,0.29,0.12,0.62,47.2,60.0,2.17,33154,-0.77,,-71.4992,-0.0006,1.75,-1.2,28035,1,18.06,0,1,1,1,False,-2.23,-5.05,27.03,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입",1.8,75,246.8,32141,▲,O,X,4.989310344827586,13.487586206896552,6.0,2.021276595744681,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💸 자금 유입 지속. ,61.5,77.4,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),2,8,20251230,20251230,22.82,9.3,27.03,17.73
195870,해성디에스,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,55700,144.75,9469.0,55500,51600,63400,71100,83.8,74.9,84.2,0.0,뉴스없음,🔺 Watch (상승 준비),② 상승 후 조정,5.69,89.46,-1.8,58.32,51.48,2,0.75,0.8,1.0,0.93,0.46,0.06,0.7,53.7,67.6,3.3,55594,0.19,장악형,-18.5819,-0.0781,0.93,-1.1,47210,1,16.79,0,1,1,1,False,-2.62,11.4,81.14,O,▲,9,★,"주봉20선↑, 주봉추세우상향, RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, VWAP상회, 패턴(장악형)",1.8,45,249.8,55955,▲,X,X,2.1177083333333333,14.414375,7.0,1.8780487804878048,0.36036036036036034,1,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. 💸 자금 유입 지속. ,81.1,83.0,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),2,9,20251230,20251230,22.82,9.3,81.14,58.32
475400,씨메스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,33100,148.76,3873.3,33100,30900,39150,45150,83.6,81.9,89.1,0.0,뉴스없음,↩️ PULL (눌림),② 상승 후 조정,1.69,43.91,1.35,13.98,24.62,3,1.0,1.0,0.99,1.0,0.26,0.07,0.57,47.3,66.6,-6.06,35714,-7.32,,-341.4083,-0.2027,0.58,-1.41,30910,1,20.29,0,1,1,0,True,-10.9,-13.8,23.28,O,▲,8,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,75,248.2,35297,▼,X,O,4.989310344827586,13.487586206896552,6.0,2.75,0.0,1,🌪️ 에너지 응축 시작 (3일차). 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. 📉 과매도 기술적 반등 기대. (매수 유효),86.9,84.6,56.1,42.2,68.6,🌤 중립,1.철강·금속(+12.9%) / 2.자동차·모빌리티(+12.0%) / 3.기타(+11.9%) / 4.유통·소비재(+11.1%) / 5.반도체(+11.0%),2,10,20251230,20251230,22.82,9.3,23.28,13.98
