종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,ML_REASON,TOTAL_SCORE,MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
298380,에이비엘바이오,KOSDAQ,기초 의약물질 제조업,기초 의약물질 제조업,기타,195500,2206.98,,195500,181800,223000,250500,92.7,92.0,91.1,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,-2.2,216.34,-4.05,99.28,194.87,1,0.81,0.83,1.0,1.0,0.62,1.0,0.8,44.2,50.3,1.45,195982,-0.25,,-1732.4003,0.257,0.99,0.29,172740,1,13.25,0,1,1,1,False,4.55,2.68,111.58,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",1.8,12,234.6,193494,▲,O,O,6.614880952380952,16.10452380952381,7.0,2.0072992700729926,0.0,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),66.6,,84.9,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),5,1,20260102,20260102,25.84,12.3,111.58,99.28
347850,디앤디파마텍,KOSDAQ,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,기타,88900,705.5,,88900,82600,103400,117900,91.9,99.8,94.5,0.0,뉴스없음,🔺 Watch (상승 준비),① 강한 상승 추세,-4.72,206.25,-6.57,64.44,184.78,7,0.93,0.97,1.0,1.0,0.61,1.0,0.67,52.0,58.9,-2.52,92935,-4.34,,-817.4072,0.1418,0.47,-0.23,75860,1,18.11,0,1,1,0,True,0.11,-7.78,76.74,O,▲,8,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, MACD상승, 정배열(단), 장기추세(120↑)",1.8,28,248.9,93032,▼,X,O,6.614880952380952,16.10452380952381,7.0,2.3015873015873014,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 🚀 단기 모멘텀 가속.  (강력 매수),93.9,,92.5,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),1,2,20260102,20260102,25.84,12.3,76.74,64.44
090360,로보스타,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,79800,103.45,,79800,74200,91600,103400,91.6,85.9,92.4,0.0,뉴스없음,🔺 Watch (상승 준비),① 강한 상승 추세,10.22,182.98,8.37,67.03,161.51,5,0.85,0.88,1.0,1.0,0.63,0.02,0.72,54.1,82.1,2.66,81200,-1.72,,251.5999,0.1021,0.36,0.86,65260,1,16.34,0,1,1,1,False,1.4,5.7,79.33,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,31,247.4,78769,▲,O,X,10.29156862745098,23.30627450980392,3.0,2.107142857142857,0.0,1,🌪️ 5일 연속 응축 중! 폭발 임박. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (매수 유효),20.7,,70.3,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),1,3,20260102,20260102,25.84,12.3,79.33,67.03
031330,에스에이엠티,KOSDAQ,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,조선·기계·설비,3970,151.47,,3945,3670,4615,5280,89.1,85.9,87.9,0.0,뉴스없음,🔼 BRK (돌파),⑤ 하락 / 약세,3.39,33.0,1.54,6.03,11.53,1,0.87,0.96,1.0,0.94,0.43,0.1,0.7,55.8,70.0,3.59,4000,-0.76,,13.2037,0.1839,2.12,1.67,3568,1,10.89,0,1,1,1,False,4.47,6.86,18.33,O,▲,11,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,633,249.7,3823,▲,O,X,10.29156862745098,23.30627450980392,3.0,2.15,0.6337135614702154,1,🌪️ 에너지 응축 시작 (1일차). 💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속.  (매수 유효),88.8,,89.0,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),5,4,20260102,20260102,25.84,12.3,18.33,6.03
001440,대한전선,KOSPI,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,23800,762.56,,23700,22000,27050,30350,87.7,87.9,84.2,0.0,뉴스없음,🔥 SQZ (폭발대기),① 강한 상승 추세,4.39,53.25,-3.49,27.51,12.39,7,0.73,0.81,1.0,0.96,0.43,1.0,0.78,56.1,58.2,3.43,23064,3.19,,6.7531,0.1379,0.68,1.06,25545,-1,11.3,0,1,1,1,False,4.85,0.42,53.35,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, VWAP상회",1.8,105,248.8,22811,▲,O,X,6.614880952380952,16.10452380952381,7.0,1.8055555555555556,0.42194092827004215,-1,🌪️ 7일 연속 응축 중! 폭발 임박. 🚀 단기 모멘텀 가속.  (매수 유효),80.2,,85.4,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),1,5,20260102,20260102,25.84,12.3,53.35,27.51
353200,대덕전자,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,47950,240.31,,47950,44550,54700,61400,87.5,81.1,87.6,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,0.95,174.47,-6.93,43.89,133.61,6,0.8,0.84,1.0,1.0,0.46,0.24,0.73,44.3,34.0,0.98,47176,1.64,,-219.3796,0.1241,0.7,-0.06,41395,1,10.33,0,1,1,1,False,1.7,6.56,69.73,O,▲,8,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,52,249.3,46891,▲,O,X,9.32,22.93195652173913,4.0,1.9852941176470589,0.0,1,🌪️ 6일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (매수 유효),84.6,,86.6,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),5,6,20260102,20260102,25.84,12.3,69.73,43.89
006910,보성파워텍,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 금속제품, 탱크 및 증기발생기 제조업",기타,5410,108.52,,5400,5020,6160,6920,85.8,79.6,85.3,0.0,뉴스없음,🔥 SQZ (폭발대기),③ 박스 / 중립,4.24,67.49,2.39,3.92,46.02,25,0.78,0.82,1.0,0.98,0.4,0.03,0.77,55.2,64.8,3.17,5236,3.31,,10.9076,0.0738,0.88,0.49,4875,1,13.79,0,1,1,1,False,2.66,8.2,16.22,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회",1.8,462,249.5,5190,▲,O,X,6.614880952380952,16.10452380952381,7.0,1.9230769230769231,0.1851851851851852,1,🌪️ 25일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,89.9,,87.0,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),3,7,20260102,20260102,25.84,12.3,16.22,3.92
128940,한미약품,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,443000,161.85,,443000,413000,503000,563000,85.4,78.7,85.1,0.0,뉴스없음,🔺 Watch (상승 준비),④ 바닥 반등 시도,3.02,55.99,-4.86,-5.13,15.13,12,0.81,0.8,0.99,1.0,0.35,0.12,0.78,56.7,67.4,0.94,447117,-0.92,,214.2695,0.0782,0.96,-0.22,404850,1,8.09,1,1,1,1,True,0.68,1.49,20.71,O,▲,9,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,5,221.5,447110,▲,X,X,4.963846153846154,6.10153846153846,10.0,2.0,0.0,1,🌪️ 12일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,86.3,,85.7,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),4,8,20260102,20260102,25.84,12.3,20.71,-5.13
071050,한국금융지주,KOSPI,기타 금융업,기타 금융업,금융,165000,182.97,,165000,153800,187300,209500,84.2,75.0,84.9,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,1.41,20.97,-6.47,-12.05,-19.89,12,0.8,0.8,1.0,1.0,0.34,0.15,0.81,53.4,57.2,1.96,162465,1.56,,506.6727,0.0863,0.94,0.63,175040,-1,7.74,1,1,1,1,False,2.42,0.61,13.79,O,▲,11,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, OBV매집, RSI적정, MACD상승, 20선근접, 장기추세(120↑), MACD>Sig, VWAP상회",1.8,15,247.5,161893,▲,O,O,0.07238095238095248,-1.8852380952380952,12.0,1.9910714285714286,0.0,-1,🌪️ 12일 연속 응축 중! 폭발 임박. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,22.8,,65.8,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),4,9,20260102,20260102,25.84,12.3,13.79,-12.05
028260,삼성물산,KOSPI,기타 전문 도매업,기타 전문 도매업,기타,245000,466.47,,245000,227500,279500,313500,83.4,88.9,85.0,0.0,뉴스없음,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,9.13,50.58,1.25,6.88,9.72,1,0.8,0.84,1.0,1.0,0.33,0.61,0.93,47.5,48.1,-0.01,240447,1.89,,-1477.4281,0.0158,1.11,1.74,221400,1,7.79,1,1,1,0,True,1.87,0.82,32.72,O,▲,9,★,"주봉20선↑, 주봉추세우상향, HMA돌파, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), VWAP상회",1.8,10,245.0,239957,▼,O,X,6.614880952380952,16.10452380952381,7.0,1.9714285714285715,0.0,1,🌪️ 에너지 응축 시작 (1일차). 🧱 구조적 지지선(Swing Low) 근접. 💪 매수세 장악(Power Buying). 📈 상승 모멘텀 개선. ✅ 20일선 눌림목 구간. (매수 유효),42.9,,71.3,63.4,51.9,73.8,🌤 중립,1.철강·금속(+29.7%) / 2.유통·소비재(+23.3%) / 3.조선·기계·설비(+18.1%) / 4.IT/전기전자(+17.5%) / 5.자동차·모빌리티(+16.7%),5,10,20260102,20260102,25.84,12.3,32.72,6.88
