종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,NEWS_SCORE,NEWS_REASON,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,VWAP,VWAP_GAP,캔들패턴,MACD_Hist,MACD_Slope_PCT,거래강도,V_POWER,SUPERTREND_VAL,SUPERTREND_DIR,BB_BW,BB_SQUEEZE_BW,TTM_SQUEEZE,BB_SQUEEZE,Above_MA20,IS_SWING_SUPPORT,ret_5d_%,ret_10d_%,ret_60d_%,주봉20선_상회,주봉추세,EBS,통과,근거,ATR_MULT,추천수량,추천금액(만원),HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RR1,Now%,ST_DIR,AI_COMMENT,ML_SCORE,TOTAL_SCORE,켈리_수량,켈리_금액(원),MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
009150,삼성전기,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,272000,3631.86,,270000,251000,315500,361000,88.6,89.6,84.9,0.0,특이사항 없음,🔼 BRK (돌파),⑤ 하락 / 약세,3.82,98.4,-5.75,6.66,55.05,1,0.85,0.94,1.0,0.92,0.34,1.0,0.58,68.1,61.4,3.78,269309,1.0,장악형,184.0939,0.1046,2.25,0.59,240850,1,11.48,0,1,1,1,False,6.67,6.88,33.66,O,▲,12,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig, VWAP상회, 패턴(장악형)",1.8,6,183.2,266523,▲,O,X,7.801304347826086,15.787681159420288,4.0,2.0714285714285716,0.7407407407407408,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💸 자금 유입 지속. 🚀 단기 모멘텀 가속.  (매수 유효),44.20000076293945,75.3,6,1831703,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),5,1,20260108,20260108,27.0,9.71,33.66,6.66
005850,에스엘,KOSPI,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차·모빌리티,43700,118.85,,43700,40600,49850,56000,86.2,79.3,86.3,0.0,특이사항 없음,🔺 Watch (관찰·돌파예상),③ 박스 / 중립,-5.41,35.5,-14.98,2.29,-7.85,2,0.82,0.83,1.0,1.0,0.38,0.03,0.74,55.2,56.7,1.38,43179,1.2,,-202.6746,0.1488,1.34,0.18,40280,1,7.53,1,1,1,1,False,1.98,0.23,29.29,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,35,155.6,42526,▲,O,X,10.924545454545454,9.236818181818181,6.0,1.9838709677419355,0.0,1,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. 🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간.,46.099998474121094,74.2,35,1555691,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),3,2,20260108,20260108,27.0,9.71,29.29,2.29
458870,씨어스테크놀로지,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,114400,123.13,,114400,108200,130200,145900,82.6,79.4,88.7,0.0,특이사항 없음,↩️ PULL (눌림),② 상승 후 조정,-0.95,274.47,-2.7,62.58,256.53,7,1.0,0.81,0.76,1.0,0.47,0.03,0.67,46.2,50.1,-3.05,120220,-4.84,,-1082.2197,-0.2563,0.52,-1.72,108220,1,16.23,0,1,1,0,True,-12.07,-2.72,72.29,O,▲,5,★,"주봉20선↑, 주봉추세우상향, RSI적정, 정배열(단), 장기추세(120↑)",1.8,17,198.5,122542,▼,X,X,8.62061403508772,18.731754385964912,2.0,2.5483870967741935,0.0,1,🌪️ 7일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. ,62.900001525878906,76.7,17,1985443,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),2,3,20260108,20260108,27.0,9.71,72.29,62.58
089970,브이엠,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,28600,246.52,,28600,26550,32900,37200,82.4,80.8,87.6,0.0,특이사항 없음,↩️ PULL (눌림),② 상승 후 조정,1.6,168.8,-0.15,27.46,150.86,2,0.86,0.89,1.0,1.0,0.37,0.14,0.67,57.6,70.3,-1.81,30969,-7.65,,-56.9302,-0.0762,1.61,-1.55,25830,1,19.66,0,1,1,0,False,-5.3,-4.51,37.17,O,▲,9,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입",1.8,61,175.1,30792,▲,X,O,6.351186440677966,18.93271186440678,3.0,2.097560975609756,0.0,1,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. ✅ 20일선 눌림목 구간. (매수 유효),61.0,76.0,61,1751162,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),2,4,20260108,20260108,27.0,9.71,37.17,27.46
011070,LG이노텍,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,283000,782.14,,283000,263000,331000,378500,82.2,93.7,89.3,0.0,특이사항 없음,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,-1.22,79.91,-10.79,24.18,36.56,0,0.99,1.0,1.0,1.0,0.47,0.63,0.69,53.3,52.1,1.25,272651,3.8,,-1823.1044,0.1529,2.03,0.81,258400,1,11.8,0,0,0,1,False,4.43,0.89,51.18,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), VWAP상회",1.8,6,174.2,268970,▲,O,X,7.801304347826086,15.787681159420288,4.0,2.4,0.0,1,🚀 단기 모멘텀 가속. ✅ 20일선 눌림목 구간. (강력 매수),54.79999923706055,74.0,6,1741666,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),1,5,20260108,20260108,27.0,9.71,51.18,24.18
100660,서암기계공업,KOSDAQ,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,4880,310.87,,4800,4320,6250,7690,82.0,77.0,81.6,0.0,특이사항 없음,🔼 BRK (돌파),① 강한 상승 추세,27.92,36.5,26.17,14.15,18.56,1,1.0,1.0,0.37,0.81,0.48,0.2,0.34,60.1,87.3,4.66,5083,-4.01,,-5.8881,0.0595,3.23,-0.5,4309,1,16.42,0,1,1,1,False,8.69,10.91,23.86,O,▲,10,★,"주봉20선↑, 주봉추세우상향, HMA추세↑, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입",2.5,499,239.8,4661,▲,O,X,6.351186440677966,18.93271186440678,3.0,2.4464285714285716,1.6666666666666667,1,🌪️ 에너지 응축 시작 (1일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,78.4000015258789,80.9,499,2397827,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),1,6,20260108,20260108,27.0,9.71,23.86,14.15
080580,오킨스전자,KOSDAQ,전자부품 제조업,전자부품 제조업,IT/전기전자,10530,69.34,,10530,9790,12100,13660,82.0,79.4,78.5,0.0,특이사항 없음,🔺 Watch (관찰·돌파예상),④ 바닥 반등 시도,8.22,63.51,6.47,-11.21,45.57,5,0.87,0.88,1.0,1.0,0.41,0.0,0.74,53.5,49.5,2.62,10877,-3.2,,27.9311,0.071,1.06,-0.01,8676,1,17.81,0,1,1,1,False,2.23,7.78,-1.5,O,▲,8,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",1.8,192,202.8,10656,▲,X,X,7.801304347826086,15.787681159420288,4.0,2.1216216216216215,0.0,1,🌪️ 5일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 🚀 단기 모멘텀 가속. ,74.0999984741211,79.6,192,2027898,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),4,7,20260108,20260108,27.0,9.71,-1.5,-11.21
000250,삼천당제약,KOSDAQ,의약품 제조업,의약품 제조업,바이오·의약품,245000,749.39,,241500,224500,275500,309500,81.5,78.0,78.4,0.0,특이사항 없음,🔥 SQZ (폭발대기),① 강한 상승 추세,17.79,52.55,16.04,10.98,34.61,1,0.61,0.73,1.0,0.84,0.47,0.6,0.77,58.8,61.7,4.44,248919,-1.57,,2038.5883,0.1263,1.42,1.14,211050,1,17.7,0,1,1,1,False,5.38,4.48,20.69,O,▲,10,★,"주봉20선↑, 주봉추세우상향, RSI적정, MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입, MACD>Sig",1.8,6,152.0,245916,▲,X,X,5.833684210526316,4.6078947368421055,7.0,1.4878048780487805,1.4492753623188406,1,🌪️ 에너지 응축 시작 (1일차). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ,55.0,73.6,6,1520000,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),1,8,20260108,20260108,27.0,9.71,20.69,10.98
090360,로보스타,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,72100,179.56,,72100,67000,82400,92700,81.3,78.0,87.2,0.0,특이사항 없음,↩️ PULL (눌림),② 상승 후 조정,-7.56,162.18,-9.31,39.1,144.24,9,0.83,0.84,1.0,1.0,0.41,0.08,0.59,45.0,70.1,-6.78,77399,-6.85,,-667.0403,-0.3063,0.47,-2.69,65260,1,17.0,0,1,1,0,False,-9.99,-6.85,48.81,O,▲,8,★,"주봉20선↑, 주봉추세우상향, OBV매집, RSI적정, 정배열(단), 장기추세(120↑), 자금유입",1.8,23,167.3,78443,▼,X,O,6.351186440677966,18.93271186440678,3.0,2.019607843137255,0.0,1,🌪️ 9일 연속 응축 중! 폭발 임박. 📉 매도세 우위. 💰 외국인/기관 수급 집중. 📉 과매도 기술적 반등 기대.,62.0,75.5,23,1673300,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),2,9,20260108,20260108,27.0,9.71,48.81,39.1
277810,레인보우로보틱스,KOSDAQ,특수 목적용 기계 제조업,특수 목적용 기계 제조업,조선·기계·설비,447000,1186.78,,447000,418000,501000,555000,80.8,85.7,81.9,0.0,특이사항 없음,↩️ PULL (눌림),② 상승 후 조정,0.34,66.17,-1.41,20.23,48.23,5,0.77,0.71,0.97,1.0,0.29,1.0,0.72,46.9,54.9,-4.58,470075,-4.91,,-5115.8359,-0.25,1.0,-1.53,418000,1,13.81,0,1,1,0,True,-4.99,-5.4,29.94,O,▲,5,★,"주봉20선↑, 주봉추세우상향, RSI적정, 정배열(단), 장기추세(120↑)",1.8,3,139.6,475225,▼,X,X,6.351186440677966,18.93271186440678,3.0,1.8620689655172413,0.0,1,🌪️ 5일 연속 응축 중! 폭발 임박. 🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위.  (매수 유효),55.0,73.1,3,1395648,56.4,43.0,69.3,🌤 중립,1.철강·금속(+16.1%) / 2.기타(+14.7%) / 3.조선·기계·설비(+13.9%) / 4.IT/전기전자(+12.6%) / 5.반도체(+12.5%),2,10,20260108,20260108,27.0,9.71,29.94,20.23
