종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_5d_%,ret_10d_%,ret_60d_%,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,EBS,ENG_SCORE,MOM_SCORE,RR1,Now%,AI_COMMENT,켈리_수량,켈리_금액(원),추천수량,추천금액(만원),MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
272210,한화시스템,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,76900,15246.52,0.0,76900,69000,92700,101970.00000000001,91.0,100.0,85.0,89.9,89.9,79.0,73.69999694824219,0.0,특이사항 없음,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,59.05,43.74,48.36,20.56,0.51,0,1.0,1.0,0.25,1.0,0.79,1.0,1.0,81.9,84.5,38.51,45.92,0,0,39.06,30.78,49.32,15.69,1,0,2.08,0.99,1,1,57230.0,68873,11.65,0.2807,5.93,4.08,False,O,▲,61382,▲,O,X,7.4117460317460315,19.624126984126985,2.0,8,82.7,79.5,2.0,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의. (매수 유효),30,2375000,30.0,237.5,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,1,20260109,20260109,28.76,11.79,49.32,20.56
354320,알멕,KOSDAQ,1차 비철금속 제조업,1차 비철금속 제조업,철강·금속,36900,797.58,0.0,36900,33650,43350,47685.00000000001,88.1,98.5,81.2,77.6,77.6,67.4,89.5,0.0,특이사항 없음,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,83.58,54.72,81.8,63.51,36.14,2,0.99,0.87,0.48,1.0,1.0,0.7,1.0,94.7,99.5,70.19,78.6,0,0,82.67,83.58,75.3,0.57,1,0,27.46,1.0,1,1,24100.0,29855,23.6,0.9962,7.6,2.66,False,O,▲,24854,▲,O,X,10.571538461538463,21.98076923076923,1.0,7,43.5,100.0,1.9846153846153847,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,56,2082480,56.0,208.2,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,2,20260109,20260109,28.76,11.79,75.3,63.51
101170,우림피티에스,KOSDAQ,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,18470,2330.59,0.0,18470,14520,26400,29040.000000000004,87.1,96.0,81.2,82.4,82.4,73.2,78.5,0.0,특이사항 없음,,↩️ PULL (눌림),② 상승 후 조정,55.86,268.66,54.08,145.81,250.08,0,1.0,1.0,0.0,1.0,0.4,1.0,0.92,72.8,91.6,36.3,85.82,0,0,6.39,73.26,157.6,14.89,1,0,3.25,0.83,1,1,11721.0,16889,9.36,-0.2738,3.64,1.32,False,O,▲,17580,▲,O,X,5.072241379310345,19.69,3.0,8,87.9,40.0,2.007594936708861,0.0,💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의. (매수 유효),113,2093669,113.0,209.4,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),2,3,20260109,20260109,28.76,11.79,157.6,145.81
234030,싸이닉솔루션,KOSDAQ,반도체 제조업,반도체 제조업,반도체,11480,2000.1,0.0,11480,10060,14320,15752.000000000002,86.9,98.0,79.4,76.0,76.0,60.7,87.19999694824219,0.0,특이사항 없음,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,15.96,-15.28,14.18,24.55,-33.86,0,1.0,1.0,0.07,1.0,0.93,1.0,0.97,77.1,86.0,25.09,33.06,0,0,26.43,30.16,36.34,0.37,0,0,4.17,0.9,1,1,8181.0,10387,10.51,0.5415,6.35,2.07,False,O,▲,9474,▲,O,X,4.4714285714285715,15.612857142857143,6.0,7,30.3,93.2,2.0,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,170,1955000,170.0,195.5,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,4,20260109,20260109,28.76,11.79,36.34,24.55
041920,메디아나,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,14250,398.09,0.0,14250,11950,18850,20735.0,86.3,94.1,81.1,78.8,78.8,77.5,86.5,0.0,특이사항 없음,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,122.31,140.3,120.53,175.8,121.72,0,1.0,1.0,0.0,1.0,1.0,0.35,0.79,79.0,85.8,47.99,77.53,0,0,50.16,80.38,187.59,14.62,0,0,4.17,0.91,1,1,9785.0,12449,14.47,0.5626,2.13,2.19,False,O,▲,11809,▲,O,X,7.949459459459459,15.482972972972972,5.0,7,68.7,100.0,2.0,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,146,2082500,146.0,208.2,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,5,20260109,20260109,28.76,11.79,187.59,175.8
208370,셀바스헬스케어,KOSDAQ,의료용 기기 제조업,의료용 기기 제조업,기타,6650,1299.66,0.0,6650,5270,9400,10340.0,85.8,100.0,76.4,72.0,72.0,60.7,86.5999984741211,0.0,특이사항 없음,,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,53.76,52.7,51.98,66.73,34.12,1,1.0,1.0,0.0,1.0,0.22,1.0,0.87,68.0,91.9,15.61,29.19,1,0,17.49,12.71,78.52,25.09,0,0,3.05,0.73,1,1,4503.0,6207,7.12,0.0464,4.29,2.09,False,O,▲,5952,▲,O,X,7.949459459459459,15.482972972972972,5.0,7,66.0,21.5,1.9927536231884058,0.0,🌪️ 에너지 응축 시작 (1일차). 💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,259,1726036,259.0,172.6,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),1,6,20260109,20260109,28.76,11.79,78.52,66.73
010170,대한광통신,KOSDAQ,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타,3330,1522.44,0.0,3330,2755,4480,4928.0,85.8,89.9,83.1,79.2,79.2,67.3,92.19999694824219,0.0,특이사항 없음,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,66.33,246.88,64.55,157.19,228.3,0,1.0,1.0,0.0,1.0,0.64,1.0,0.83,71.3,68.7,37.74,63.42,0,0,24.11,54.45,168.98,5.57,1,0,2.02,0.93,1,1,2248.2,3009,10.64,0.1469,3.11,1.14,False,O,▲,2908,▲,O,X,7.949459459459459,15.482972972972972,5.0,7,61.3,63.9,2.0,0.0,💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,670,2232500,670.0,223.2,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,7,20260109,20260109,28.76,11.79,168.98,157.19
014910,성문전자,KOSPI,전자부품 제조업,전자부품 제조업,IT/전기전자,2710,549.05,0.0,2710,2350,3425,3767.5000000000005,85.4,91.7,81.2,74.6,74.6,69.1,96.5,0.0,특이사항 없음,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,134.02,116.63,123.33,106.48,73.4,0,0.99,1.0,0.03,1.0,1.0,0.48,1.0,88.3,98.2,87.14,138.76,0,0,60.36,143.27,135.24,0.46,1,0,19.81,0.78,1,1,1898.1999999999998,2373,14.16,0.515,5.68,2.26,False,O,▲,2143,▲,O,X,7.4117460317460315,19.624126984126985,2.0,7,47.8,100.0,1.9861111111111112,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,768,2083216,768.0,208.3,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,8,20260109,20260109,28.76,11.79,135.24,106.48
317240,TS트릴리온,KOSDAQ,기타 화학제품 제조업,기타 화학제품 제조업,화학·소재,371,63.05,0.0,371,304,505,555.5,84.9,100.0,74.8,70.9,70.9,75.8,84.0,0.0,특이사항 없음,,🔺 Watch (관찰·돌파예상),① 강한 상승 추세,51.43,49.6,49.65,67.44,31.02,0,1.0,1.0,0.0,1.0,0.54,0.06,0.62,58.5,82.1,25.91,46.31,0,0,16.67,33.94,79.23,16.1,1,0,0.9,0.82,1,1,276.0,344,7.83,0.1011,1.19,1.9,False,O,▲,334,▲,O,X,1.8561290322580646,-1.9829032258064514,9.0,7,87.7,53.7,2.0,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,4339,1610000,4339.0,161.0,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),1,9,20260109,20260109,28.76,11.79,79.23,67.44
012860,모베이스전자,KOSDAQ,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차·모빌리티,2540,946.83,0.0,2540,2365,2890,3179.0000000000005,84.8,100.0,74.7,76.8,76.8,63.7,69.80000305175781,0.0,특이사항 없음,,🔺 Watch (관찰·돌파예상),⑤ 하락 / 약세,85.13,69.22,83.35,83.59,50.64,1,1.0,0.69,0.84,1.0,1.0,0.83,1.0,98.0,99.8,72.12,76.72,0,0,78.87,84.06,95.38,3.81,0,0,24.81,1.0,1,1,1904.9,2096,21.14,0.8468,10.08,4.35,False,O,▲,1664,▲,O,X,12.037037037037036,13.702962962962964,4.0,7,34.3,100.0,2.0,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,630,1602500,630.0,160.2,62.0,48.6,76.0,🌤 중립,1.철강·금속(+17.4%) / 2.IT/전기전자(+14.7%) / 3.조선·기계·설비(+13.8%) / 4.자동차·모빌리티(+13.0%) / 5.기타(+12.5%),5,10,20260109,20260109,28.76,11.79,95.38,83.59
