종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),상태,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_60d_%,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,EBS,ENG_SCORE,MOM_SCORE,RR1,Now%,AI_COMMENT,켈리_수량,켈리_금액(원),추천수량,추천금액(만원),MKT_BREADTH_ALL_%,MKT_BREADTH_KOSPI_%,MKT_BREADTH_KOSDAQ_%,MKT_TEMP,TOP_SECTORS_5D,REGIME_RANK,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
034020,두산에너빌리티,KOSPI,일반 목적용 기계 제조업,일반 목적용 기계 제조업,조선·기계·설비,94000,9596.16,0.0,WAIT,False,False,True,94000,87700,106600,117260.00000000001,71.0,55.2,77.8,73.3,73.3,74.5,88.30000305175781,0.0,특이사항 없음,🚀급등시동,WAIT,⑤ 하락 / 약세,24.83,53.09,0.93,-18.64,-14.29,0,1.0,0.67,0.87,1.0,0.05,1.0,0.49,66.8,70.3,5.48,23.55,0,0,2.17,4.44,5.03,5.03,19.97,1,0,1.18,0.83,1,1,83470.0,93247,0.81,-0.1421,1.21,-0.65,True,O,▲,94512,▼,X,X,11.96253164556962,9.646202531645569,4.0,7,84.0,4.6,2.0,0.0,🧱 구조적 지지선(Swing Low) 근접. 📉 매도세 우위. 💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.,19,1834999,19.0,183.5,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),5,1,20260129,20260129,23.67,27.32,5.03,-18.64
012450,한화에어로스페이스,KOSPI,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",기타,1300000,2944.14,0.0,WAIT,False,False,True,1300000,1205000,1490000,1639000.0000000002,63.4,40.6,73.1,71.5,71.5,74.9,76.9000015258789,0.0,특이사항 없음,🚀급등시동,WAIT,③ 박스 / 중립,38.15,38.45,14.25,1.09,-28.93,0,1.0,0.73,0.77,1.0,0.0,1.0,0.38,62.6,71.9,7.31,40.3,0,0,0.93,0.85,0.46,24.76,31.13,1,0,1.47,0.79,1,1,1127500.0,1272885,2.13,-0.2769,0.87,-1.44,False,O,▲,1306330,▼,X,X,12.718518518518518,-0.470814814814815,10.0,7,86.9,0.4,2.0,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.,1,1482499,1.0,148.2,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),3,2,20260129,20260129,23.67,27.32,24.76,1.09
225570,넥슨게임즈,KOSDAQ,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,IT/전기전자,13490,67.67,0.0,ATTACK,True,True,False,13490,12450,15560,17116.0,73.6,90.0,66.6,61.5,61.5,64.0,78.5,0.0,특이사항 없음,📦박스돌파,ATTACK,④ 바닥 반등 시도,12.32,-0.81,-13.5,-29.0,-51.49,4,0.99,0.77,0.69,1.0,0.32,0.04,0.65,70.5,77.2,7.33,12.14,0,0,1.43,11.58,7.66,-1.68,1.7,0,1,2.04,0.91,1,1,12130.0,12970,4.0,0.2554,1.49,2.8,False,O,▼,12778,▲,O,X,14.996631578947369,9.572842105263158,2.0,6,44.0,32.2,1.9903846153846154,0.0,💪 매수세 장악(Power Buying). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,73,988550,73.0,98.9,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,3,20260129,20260129,23.67,27.32,-1.68,-29.0
006260,LS,KOSPI,기타 금융업,기타 금융업,금융,236500,788.46,0.0,WAIT,False,False,True,236500,211500,286500,315150.0,70.3,78.3,66.9,56.7,56.7,55.9,90.69999694824219,0.0,특이사항 없음,,WAIT,⑤ 하락 / 약세,18.31,45.99,-5.59,-14.93,-21.39,1,1.0,1.0,0.21,1.0,0.06,0.52,0.39,70.3,73.9,8.74,17.45,0,0,7.99,8.99,6.53,8.74,8.0,1,0,1.26,0.8,1,1,197550.0,229272,3.15,-0.0756,1.61,-0.55,False,O,▲,229049,▲,O,X,9.786585365853659,-8.745121951219513,12.0,5,61.7,6.0,2.0,0.0,📉 매도세 우위. 💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.💰 외국인/기관 수급 집중. ⚠️ 단기 급등 조정 주의.,4,1017500,4.0,101.8,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),5,4,20260129,20260129,23.67,27.32,8.74,-14.93
064350,현대로템,KOSPI,철도장비 제조업,철도장비 제조업,기타,226500,2545.23,0.0,WAIT,False,False,True,226500,204500,270000,297000.0,69.4,70.0,69.1,61.2,61.2,50.6,87.5999984741211,0.0,특이사항 없음,,WAIT,④ 바닥 반등 시도,20.54,16.75,-3.36,-31.03,-50.63,0,0.98,0.96,0.33,1.0,0.14,1.0,0.55,55.3,52.6,5.95,17.68,0,0,1.57,9.69,3.19,-7.36,8.17,0,0,1.27,0.88,1,1,193470.0,216722,4.51,0.111,1.31,0.85,False,O,▲,214278,▲,O,X,12.718518518518518,-0.470814814814815,10.0,6,44.5,13.8,1.9772727272727273,0.0,🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,5,1167873,5.0,116.8,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,5,20260129,20260129,23.67,27.32,-7.36,-31.03
062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인프라·에너지,147100,676.68,0.0,ATTACK,True,True,False,147100,134500,172200,189420.00000000003,69.1,76.0,66.2,64.8,64.8,66.3,69.30000305175781,0.0,특이사항 없음,🚀급등시동,ATTACK,④ 바닥 반등 시도,13.07,24.24,-10.83,-36.47,-43.14,2,0.99,0.85,0.53,1.0,0.05,0.45,0.63,64.7,71.1,3.72,11.18,1,0,-2.19,3.81,1.66,-12.8,8.45,1,0,1.34,0.83,1,1,127230.0,144587,1.74,0.0393,1.67,0.52,False,O,▲,145117,▲,O,X,9.36,14.096428571428572,1.0,6,63.2,5.4,1.992063492063492,0.0,🌪️ 에너지 응축 시작 (2일차). 📉 매도세 우위. 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. 🌪️ 에너지 응축 시작 (2일차). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ,6,959641,6.0,96.0,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,6,20260129,20260129,23.67,27.32,-12.8,-36.47
034730,SK,KOSPI,기타 금융업,기타 금융업,금융,324000,1364.24,0.0,WAIT,False,False,True,324000,297500,377000,414700.00000000006,68.3,73.5,66.1,55.5,55.5,60.8,90.80000305175781,0.0,특이사항 없음,,WAIT,③ 박스 / 중립,26.32,71.88,2.42,4.39,4.5,0,1.0,0.82,0.6,1.0,0.14,0.9,0.39,73.5,62.5,11.62,18.91,0,0,6.06,11.15,7.46,28.06,12.9,1,0,1.22,0.92,1,1,280900.0,305456,6.07,0.0728,1.71,1.37,False,O,▲,302391,▲,O,X,9.786585365853659,-8.745121951219513,12.0,5,69.9,14.0,2.0,0.0,💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,2,957499,2.0,95.7,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),3,7,20260129,20260129,23.67,27.32,28.06,4.39
009420,한올바이오파마,KOSPI,의약품 제조업,의약품 제조업,바이오·의약품,53700,426.22,0.0,ATTACK,True,True,False,53700,46750,67600,74360.0,67.7,68.0,67.5,64.2,64.2,70.3,75.0999984741211,0.0,특이사항 없음,🚀급등시동,ATTACK,① 강한 상승 추세,22.74,108.95,-1.16,12.8,41.57,0,1.0,1.0,0.04,1.0,0.3,0.28,0.47,56.8,62.3,8.71,23.05,0,0,2.29,12.11,13.17,36.47,7.19,1,0,1.4,0.86,1,1,44287.5,52034,3.2,0.1788,1.12,1.79,False,O,▲,51059,▲,O,X,16.951904761904764,-3.809047619047619,11.0,6,61.0,29.7,2.0,0.0,💪 매수세 장악(Power Buying). 💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.💸 자금 유입 지속. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,19,1062500,19.0,106.2,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),1,8,20260129,20260129,23.67,27.32,36.47,12.8
108320,LX세미콘,KOSPI,반도체 제조업,반도체 제조업,반도체,55000,83.57,0.0,WAIT,False,False,True,55000,52100,60800,66880.0,67.7,90.0,58.1,63.9,63.9,70.5,44.400001525878906,0.0,특이사항 없음,📦박스돌파,WAIT,④ 바닥 반등 시도,11.9,2.23,-12.0,-26.32,-65.15,3,1.0,0.53,1.0,1.0,0.24,0.06,0.62,70.3,80.3,6.69,9.89,0,1,0.55,8.06,7.0,-2.65,2.57,1,1,1.11,0.89,1,1,49660.0,53100,3.58,0.1794,1.8,1.48,False,O,▲,52562,▲,O,X,18.31962962962963,3.635555555555556,6.0,6,64.2,24.1,2.0,0.0,🔇 변동성 축소 (BW 9.9%). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.🔇 변동성 축소 (BW 9.9%). 💰 외국인/기관 수급 집중. 🚀 단기 모멘텀 가속. ⚠️ 단기 급등 조정 주의.,0,0,,,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,9,20260129,20260129,23.67,27.32,-2.65,-26.32
105560,KB금융,KOSPI,기타 금융업,기타 금융업,금융,137800,1583.88,0.0,WAIT,False,False,True,137800,129600,154100,169510.0,67.4,60.0,70.6,63.4,63.4,56.4,87.4000015258789,0.0,특이사항 없음,,WAIT,④ 바닥 반등 시도,10.51,30.0,-13.39,-6.89,-37.38,0,0.99,0.59,0.96,1.0,0.06,1.0,0.53,68.1,57.2,5.23,17.0,0,0,-0.07,2.3,5.92,16.78,4.01,1,1,0.9,0.73,1,1,126100.0,138165,-0.26,0.0018,1.25,0.28,False,O,▲,139568,▲,X,X,9.786585365853659,-8.745121951219513,12.0,6,63.2,5.6,1.9878048780487805,0.0,📉 매도세 우위. ⚠️ 단기 급등 조정 주의.↗️ 약한 플러스 모멘텀. ⚠️ 단기 급등 조정 주의.,9,1287423,9.0,128.7,92.2,88.9,94.8,🔥 과열,1.인프라·에너지(+12.2%) / 2.IT/전기전자(+11.7%) / 3.철강·금속(+11.5%) / 4.조선·기계·설비(+10.6%) / 5.서비스 기타(+9.8%),4,10,20260129,20260129,23.67,27.32,16.78,-6.89
