종목코드,종목명,시장,업종,업종_상세,업종_대분류,종가,거래대금(억원),시가총액(억원),상태,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,추천매수가,손절가,추천매도가1,추천매도가2,FINAL_SCORE,TRIGGER_SCORE,TOTAL_SCORE,RANK_SCORE,LDY_SCORE,ENTRY_SCORE,ML_SCORE,NEWS_SCORE,NEWS_REASON,TRIGGER,ROUTE,REGIME,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,TTM_SQUEEZE_CNT,NORM_RR,NORM_T1,NORM_SL,NORM_NEAR,NORM_MOM,NORM_LIQ,NORM_TEC,RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_60d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,개인순매수,메이저순매수,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,RAW_TRIGGER_SCORE,EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
055550,신한지주,KOSPI,기타 금융업,기타 금융업,금융,93600,2344.18,0.0,WAIT,False,False,True,93600,87400,106000,116600.00000000001,88.8,85.93077785460295,88.8,83.5,83.5,,85.0,0.0,특이사항 없음,,WAIT,,20.31,34.87,9.35,-3.93,-23.83,0,,,,,,,,74.7,75.2,11.98,20.85,0,0,2.97,11.03,11.56,20.0,0.0,0.0,1,19.88,7.8,6.91,1,0,1.24,1.0,1,1,79110.0,88940,5.24,0.2033,1.74,1.01,False,O,▲,89200,▲,O,X,0.0,0.0,0.0,0.0,5.019736842105263,8.838157894736844,8.0,85.93077785460295,6,83.5,100.0,85.0,1,20260206,20260206,23.93,22.22,20.0,-3.93
008930,한미사이언스,KOSPI,기타 금융업,기타 금융업,금융,46450,161.52,0.0,WAIT,False,False,True,42400,37350,52500,57750.00000000001,88.2,90.0,88.2,86.5,86.5,,74.5,0.0,특이사항 없음,,WAIT,,20.96,9.81,10.0,-6.63,-48.89,0,,,,,,,,70.4,79.1,15.05,29.73,0,0,0.98,9.29,14.98,17.3,0.0,0.0,1,12.27,12.0,7.09,1,0,1.88,0.87,1,1,36932.5,44715,3.88,0.2438,1.34,1.22,False,O,▲,44240,▲,O,X,0.0,0.0,0.0,0.0,5.019736842105263,8.838157894736844,8.0,90.0,6,86.5,100.0,74.5,2,20260206,20260206,23.93,22.22,17.3,-6.63
425420,티에프이,KOSDAQ,전자부품 제조업,전자부품 제조업,IT/전기전자,42400,103.41,0.0,WAIT,False,False,True,42400,37500,52200,57420.00000000001,86.2,84.0,86.2,86.3,86.3,,65.4000015258789,0.0,특이사항 없음,,WAIT,,11.29,25.44,-2.72,-12.66,-7.68,0,,,,,,,,71.8,87.9,14.7,29.32,0,0,2.54,9.56,22.72,9.56,0.181,0.181,1,9.77,12.0,8.46,1,0,1.75,0.94,1,1,33200.0,39475,7.41,0.3306,1.43,2.03,False,O,▲,39990,▲,O,X,0.0,0.0,0.0,0.0,-0.3746341463414634,14.639756097560976,6.0,84.0,6,86.3,100.0,65.4,3,20260206,20260206,23.93,22.22,9.56,-12.66
081660,미스토홀딩스,KOSPI,생활용품 도매업,생활용품 도매업,기타,50500,141.82,0.0,WAIT,False,False,True,50500,47100,57300,63030.00000000001,78.4,90.0,78.4,81.8,81.8,,37.5,0.0,특이사항 없음,,WAIT,,19.53,36.12,8.57,0.15,-22.58,0,,,,,,,,74.6,91.2,10.61,19.61,0,0,-0.59,7.56,9.43,24.08,0.02,0.02,1,20.96,7.3,6.49,1,1,1.15,0.87,1,1,45025.0,48944,3.18,0.1923,2.15,1.27,False,O,▲,48377,▲,O,X,0.0,0.0,0.0,0.0,3.0907236842105266,7.204473684210526,11.0,90.0,8,81.8,100.0,37.5,4,20260206,20260206,23.93,22.22,24.08,0.15
025860,남해화학,KOSPI,"비료, 농약 및 살균, 살충제 제조업","비료, 농약 및 살균, 살충제 제조업",기타,7120,77.43,0.0,WAIT,False,False,True,7120,6770,7810,8591.0,77.6,76.0,77.6,72.6,72.6,,57.900001525878906,0.0,특이사항 없음,,WAIT,,9.54,-6.44,-1.42,-13.03,-65.14,0,,,,,,,,70.1,78.3,5.87,8.82,0,1,2.3,3.79,5.17,10.9,0.059,0.059,1,5.49,6.0,1.69,1,1,1.53,0.79,1,1,6435.0,6943,2.54,0.0947,5.37,1.53,False,O,▲,6889,▲,O,X,0.0,0.0,0.0,0.0,3.0907236842105266,7.204473684210526,11.0,76.0,8,72.6,99.1,57.9,5,20260206,20260206,23.93,22.22,10.9,-13.03
033790,피노,KOSDAQ,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,IT/전기전자,6040,61.51,0.0,WAIT,False,False,True,6040,5060,8000,8800.0,85.4,76.0,85.4,82.6,82.6,,73.30000305175781,0.0,특이사항 없음,🚀급등시동,WAIT,,12.9,26.62,-1.11,35.69,-6.5,2,,,,,,,,62.2,75.1,10.83,27.35,0,0,-2.42,13.53,9.03,57.91,0.081,0.081,1,5.05,12.0,6.61,1,0,1.36,0.76,1,1,4489.0,5911,2.18,0.4138,1.58,1.65,False,O,▲,5860,▲,O,X,0.0,0.0,0.0,0.0,-0.3746341463414634,14.639756097560976,6.0,76.0,8,82.6,98.2,73.3,6,20260206,20260206,23.93,22.22,57.91,35.69
489790,한화비전,KOSPI,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,IT/전기전자,66800,1926.98,0.0,WAIT,False,False,True,58800,50300,75700,83270.0,86.3,73.77840437223327,86.3,79.5,79.5,,85.5999984741211,0.0,특이사항 없음,,WAIT,,36.33,17.81,25.37,10.61,-40.89,0,,,,,,,,66.4,77.2,19.35,36.2,0,0,7.57,8.09,23.48,34.54,0.0,0.0,1,24.25,12.0,7.39,0,0,1.65,0.88,1,1,49410.0,62940,6.13,0.1591,2.09,1.77,False,O,▲,63076,▲,O,X,0.0,0.0,0.0,0.0,-0.3746341463414634,14.639756097560976,6.0,73.77840437223327,8,79.5,98.0,85.6,7,20260206,20260206,23.93,22.22,34.54,10.61
000120,CJ대한통운,KOSPI,도로 화물 운송업,도로 화물 운송업,기타,108800,182.62,0.0,WAIT,False,False,True,108800,99800,126800,139480.0,85.9,74.14075140214462,85.9,83.8,83.8,,73.5999984741211,0.0,특이사항 없음,🚀급등시동,WAIT,,16.36,28.61,5.4,-6.81,-30.09,1,,,,,,,,67.7,76.1,8.08,14.3,0,0,-0.55,4.82,5.94,17.12,0.02,0.02,1,29.98,9.2,4.39,1,1,1.25,0.75,1,1,94460.0,107064,1.62,0.1627,1.8,0.33,False,O,▲,104736,▲,O,X,0.0,0.0,0.0,0.0,3.0907236842105266,7.204473684210526,11.0,74.14075140214462,10,83.8,97.6,73.6,8,20260206,20260206,23.93,22.22,17.12,-6.81
000815,삼성화재우,KOSPI,기타,기타,기타,389000,77.37,0.0,WAIT,False,False,True,389000,371000,425000,467500.00000000006,76.2,69.73508607357452,76.2,70.1,70.1,,59.70000076293945,0.0,특이사항 없음,,WAIT,,8.06,15.26,-2.9,-17.94,-43.44,0,,,,,,,,66.9,59.6,4.72,9.49,0,1,1.3,3.6,5.14,5.99,0.0,0.0,1,3.92,6.0,1.97,1,1,1.07,0.96,1,1,358200.0,378169,2.86,0.123,1.27,0.32,False,O,▲,380889,▲,O,X,0.0,0.0,0.0,0.0,3.0907236842105266,7.204473684210526,11.0,69.73508607357452,8,70.1,97.5,59.7,9,20260206,20260206,23.93,22.22,5.99,-17.94
192080,더블유게임즈,KOSPI,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,IT/전기전자,55600,91.86,0.0,WAIT,False,False,True,55600,52200,62400,68640.0,86.3,68.61153836939073,86.3,82.0,82.0,,82.0,0.0,특이사항 없음,🚀급등시동,WAIT,,4.71,3.93,-6.25,-15.76,-54.77,0,,,,,,,,67.4,70.8,6.46,10.09,0,0,6.72,3.93,5.9,8.17,0.0,0.0,1,5.77,6.6,2.43,1,1,1.31,0.98,1,1,47120.0,52926,5.05,0.0694,3.33,1.1,False,O,▲,53115,▲,O,X,0.0,0.0,0.0,0.0,-0.3746341463414634,14.639756097560976,6.0,68.61153836939073,10,82.0,96.2,82.0,10,20260206,20260206,23.93,22.22,8.17,-15.76
