종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),상태,ROUTE,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,ML_SCORE,EBS,TOTAL_SCORE,LDY_SCORE,RANK_SCORE,NEWS_SCORE,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,REGIME,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,ret_20d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,업종,MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_60d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,개인순매수,메이저순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,TRIGGER_SCORE,RAW_TRIGGER_SCORE,LDY_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_초과수익(α)_%
005930,삼성전자,KOSPI,IT/전기전자,181200,62579.51,0.0,WAIT,WAIT,False,False,True,82.2,77.0,100.0,79.8,79.80000305175781,8,82.2,82.2,82.2,0.0,181200,165600,212500,233750.00000000003,,1.01,1.09,172798,78.03,특이사항 없음,,0,6.06,69.3,12.96,21.69,158.86,7.93,45.99,84.12,통신 및 방송 장비 제조업,59.1,24.24,0,0,1.46,14.25,12.9,85.28,0.012,0.012,1,9.4,0,0,1.22,0.92,1,1,154740.0,4.86,0.1742,False,O,▲,171267,▲,O,X,0.0,0.0,0.0,0.0,통신 및 방송 장비 제조업,9.977,12.653,4.0,86.28527209097476,86.28527209097476,1,20260213,20260213,39.29,25.88,85.28,45.99
114810,한솔아이원스,KOSDAQ,조선·기계·설비,18170,142.94,0.0,OVERHEAT,OVERHEAT,False,False,False,85.5,83.5,100.0,77.1,77.0999984741211,6,85.5,85.5,85.5,0.0,14210,11790,19060,20966.0,,2.75,1.03,16494,35.32,특이사항 없음,,0,9.93,74.3,34.23,62.23,107.89,46.36,2.71,67.52,특수 목적용 기계 제조업,80.9,66.61,0,0,0.0,50.91,28.59,28.59,0.015,0.015,1,12.0,1,0,2.06,0.9,1,1,13873.0,10.16,0.6856,False,O,▲,16170,▲,O,X,0.0,0.0,0.0,0.0,특수 목적용 기계 제조업,7.522794117647059,12.439558823529412,8.0,83.14381157350718,83.14381157350718,2,20260213,20260213,39.29,25.88,28.59,2.71
002380,KCC,KOSPI,화학·소재,563000,364.76,0.0,WAIT,WAIT,False,False,True,81.5,77.8,100.0,74.3,74.30000305175781,6,81.5,81.5,81.5,0.0,507000,455500,609000,669900.0,,2.6,1.67,539694,48.48,특이사항 없음,,0,6.02,71.2,16.63,28.25,51.34,14.49,-2.81,-23.4,기타 화학제품 제조업,74.7,31.69,0,0,1.26,21.73,15.13,36.48,0.017,0.017,1,9.9,1,0,1.44,0.76,1,1,487600.0,4.32,0.3552,False,O,▲,524337,▲,O,X,0.0,0.0,0.0,0.0,기타 화학제품 제조업,6.274,14.620750000000001,6.0,90.0,90.0,3,20260213,20260213,39.29,25.88,36.48,-2.81
071050,한국금융지주,KOSPI,금융,257500,1355.86,0.0,OVERHEAT,OVERHEAT,False,False,False,78.9,74.8,100.0,69.9,69.9000015258789,8,78.9,78.9,78.9,0.0,221000,191800,279500,307450.0,,1.06,1.56,240965,62.33,특이사항 없음,,0,10.3,69.9,22.39,40.94,94.93,27.18,25.77,20.19,기타 금융업,71.6,39.94,0,0,4.46,25.3,19.49,65.06,0.0,0.0,1,12.0,0,0,1.28,0.92,1,1,199180.0,6.86,0.2314,False,O,▲,235323,▲,O,X,0.0,0.0,0.0,0.0,기타 금융업,11.931777777777778,13.536,3.0,78.0,78.0,4,20260213,20260213,39.29,25.88,65.06,25.77
017670,SK텔레콤,KOSPI,IT/전기전자,86500,3547.02,0.0,OVERHEAT,OVERHEAT,False,False,False,81.8,80.5,100.0,67.6,67.5999984741211,6,81.8,81.8,81.8,0.0,73700,64900,91100,100210.00000000001,,2.02,1.81,79079,62.12,특이사항 없음,,0,23.13,74.8,23.28,56.42,55.3,42.66,24.85,-19.44,전기 통신업,81.1,40.92,0,0,10.9,25.0,19.31,64.14,0.0,0.0,1,11.6,0,0,1.71,0.94,1,1,69110.0,9.38,0.0693,False,O,▲,78341,▲,O,X,0.0,0.0,0.0,0.0,전기 통신업,9.977,12.653,4.0,76.54250553217872,76.54250553217872,5,20260213,20260213,39.29,25.88,64.14,24.85
010820,퍼스텍,KOSPI,기타,5200,285.05,0.0,ATTACK,ATTACK,True,True,False,87.4,90.6,100.0,65.3,65.30000305175781,8,87.4,87.4,87.4,0.0,5200,4570,6460,7106.000000000001,,1.93,1.84,4981,6.99,특이사항 없음,,1,8.54,71.2,12.64,31.81,29.03,18.05,-6.47,-45.71,무기 및 총포탄 제조업,84.2,19.78,1,0,4.1,13.41,17.25,32.82,0.0,0.0,1,10.9,0,0,2.16,0.88,1,1,4171.5,4.38,0.1028,False,O,▲,4847,▲,O,X,0.0,0.0,0.0,0.0,무기 및 총포탄 제조업,7.600676691729324,7.282857142857143,10.0,79.5,79.5,6,20260213,20260213,39.29,25.88,32.82,-6.47
005935,삼성전자우,KOSPI,IT/전기전자,127600,8392.94,0.0,WAIT,WAIT,False,False,True,84.0,85.4,100.0,63.7,63.70000076293945,8,84.0,84.0,84.0,0.0,127600,116000,150800,165880.0,,1.51,1.48,120098,64.8,특이사항 없음,,0,3.79,65.4,11.0,14.75,122.3,0.99,32.91,47.56,전기전자,72.0,17.23,0,0,4.5,13.52,8.69,72.2,0.0,0.0,1,9.7,0,0,1.42,0.91,1,1,105930.0,6.25,0.1789,False,O,▲,118284,▲,O,X,0.0,0.0,0.0,0.0,전기전자,9.977,12.653,4.0,84.0,84.0,7,20260213,20260213,39.29,25.88,72.2,32.91
032640,LG유플러스,KOSPI,IT/전기전자,17170,184.29,0.0,WAIT,WAIT,False,False,True,72.3,71.8,100.0,46.0,46.0,8,72.3,72.3,72.3,0.0,17170,15990,19520,21472.0,,1.27,0.99,16654,14.06,특이사항 없음,,0,2.3,72.1,7.87,15.0,11.49,1.24,-25.73,-63.25,전기 통신업,62.4,14.76,0,0,0.0,10.7,7.31,13.56,0.0,0.0,1,7.8,1,1,1.13,0.85,1,1,15234.5,3.1,0.2086,False,O,▲,16404,▲,O,X,0.0,0.0,0.0,0.0,전기 통신업,9.977,12.653,4.0,78.54456728595243,78.54456728595243,8,20260213,20260213,39.29,25.88,13.56,-25.73
160980,싸이맥스,KOSDAQ,조선·기계·설비,20050,147.72,0.0,WAIT,WAIT,False,False,True,76.2,72.0,98.2,67.0,67.0,6,76.2,76.2,76.2,0.0,18220,15640,23400,25740.000000000004,,0.65,1.88,19960,9.61,특이사항 없음,,0,15.68,70.0,15.57,33.22,63.54,17.35,-5.89,23.17,특수 목적용 기계 제조업,80.5,39.94,0,0,-5.42,15.1,10.9,19.99,0.081,0.081,1,12.0,1,0,0.88,0.77,1,1,16996.0,0.45,0.1474,False,O,▲,19326,▲,O,X,0.0,0.0,0.0,0.0,특수 목적용 기계 제조업,7.522794117647059,12.439558823529412,8.0,76.0,76.0,9,20260213,20260213,39.29,25.88,19.99,-5.89
015860,일진홀딩스,KOSPI,금융,8230,54.22,0.0,ARMED,ARMED,True,False,False,80.5,85.4,96.8,49.7,49.70000076293945,10,80.5,80.5,80.5,0.0,8230,7420,9850,10835.0,,2.5,3.01,7847,14.88,특이사항 없음,,2,3.85,63.3,9.78,21.21,49.91,7.45,-36.41,-24.83,기타 금융업,73.4,14.69,1,0,6.06,15.1,5.51,2.88,0.013,0.013,1,10.1,0,0,1.38,0.86,1,1,6652.0,4.88,0.1116,False,O,▲,7699,▲,O,X,0.0,0.0,0.0,0.0,기타 금융업,11.931777777777778,13.536,3.0,64.17237289922768,64.17237289922768,10,20260213,20260213,39.29,25.88,2.88,-36.41
016360,삼성증권,KOSPI,서비스 기타,101000,1284.11,0.0,WAIT,WAIT,False,False,True,78.6,78.8,96.3,60.4,60.400001525878906,6,78.6,78.6,78.6,0.0,101000,91800,119400,131340.0,,0.25,2.04,97437,30.21,,,0,3.99,71.0,13.03,20.81,48.53,7.05,-9.47,-26.21,금융 지원 서비스업,83.5,24.79,0,0,4.02,13.87,11.48,29.82,0.026,0.026,1,10.5,0,0,1.13,0.85,1,1,84440.0,3.66,0.1191,False,O,▲,96289,▲,O,X,0.0,0.0,0.0,0.0,금융 지원 서비스업,18.355,21.36195652173913,2.0,73.2119807978197,73.2119807978197,11,20260213,20260213,39.29,25.88,29.82,-9.47
282330,BGF리테일,KOSPI,유통·소비재,139400,148.33,0.0,OVERHEAT,OVERHEAT,False,False,False,88.2,89.4,96.0,76.8,76.80000305175781,6,88.2,88.2,88.2,0.0,139400,129400,159300,175230.0,,1.44,1.41,135117,26.76,,,0,5.59,86.1,13.69,21.01,16.75,7.25,-11.63,-57.99,종합 소매업,80.1,25.77,0,0,1.09,13.89,14.83,27.66,0.0,0.0,1,7.3,0,0,2.17,0.87,1,1,122090.0,3.17,0.2854,False,O,▲,133155,▲,O,X,0.0,0.0,0.0,0.0,종합 소매업,6.287826086956522,39.44130434782608,1.0,90.0,90.0,12,20260213,20260213,39.29,25.88,27.66,-11.63
352820,하이브,KOSPI,미디어·콘텐츠,390000,2562.59,0.0,ARMED,ARMED,True,False,False,74.4,75.6,95.4,49.7,49.70000076293945,10,74.4,74.4,74.4,0.0,390000,357500,455000,500500.00000000006,,1.62,1.48,381962,33.01,,,1,2.82,54.3,4.56,15.9,35.65,2.14,-6.64,-39.09,오디오물 출판 및 원판 녹음업,49.0,9.8,1,1,2.5,9.7,4.28,32.65,0.018,0.018,1,7.3,0,0,1.15,0.77,1,1,344200.0,2.1,0.1338,False,O,▲,375026,▲,O,X,0.0,0.0,0.0,0.0,오디오물 출판 및 원판 녹음업,14.731666666666667,-5.628333333333333,13.0,63.11805432728925,63.11805432728925,13,20260213,20260213,39.29,25.88,32.65,-6.64
024110,기업은행,KOSPI,금융,26150,551.92,0.0,OVERHEAT,OVERHEAT,False,False,False,76.3,79.2,95.3,48.4,48.400001525878906,6,76.3,76.3,76.3,0.0,23650,22200,26500,29150.000000000004,,1.26,1.4,25051,25.96,,,0,6.17,94.1,16.18,27.56,35.49,13.8,-8.87,-39.25,은행 및 저축기관,85.9,30.89,0,0,0.0,13.7,18.06,30.42,0.017,0.017,1,6.5,1,0,1.35,0.9,1,1,23475.0,4.39,0.2223,False,O,▲,25003,▲,O,X,0.0,0.0,0.0,0.0,은행 및 저축기관,11.931777777777778,13.536,3.0,90.0,90.0,14,20260213,20260213,39.29,25.88,30.42,-8.87
139130,iM금융지주,KOSPI,금융,20800,299.78,0.0,OVERHEAT,OVERHEAT,False,False,False,76.2,77.4,95.2,53.8,53.79999923706055,6,76.2,76.2,76.2,0.0,17080,15660,19910,21901.0,,1.46,1.75,19588,44.82,,,0,11.04,98.1,27.86,47.41,48.15,33.65,9.71,-26.59,기타 금융업,94.8,52.78,0,0,2.72,18.86,34.19,49.0,0.02,0.02,1,8.4,1,0,1.5,0.91,1,1,17789.0,6.18,0.2671,False,O,▲,19517,▲,O,X,0.0,0.0,0.0,0.0,기타 금융업,11.931777777777778,13.536,3.0,90.0,90.0,15,20260213,20260213,39.29,25.88,49.0,9.71
138930,BNK금융지주,KOSPI,금융,22050,580.31,0.0,OVERHEAT,OVERHEAT,False,False,False,73.6,75.8,95.1,45.5,45.5,6,73.6,73.6,73.6,0.0,18380,16830,21500,23650.000000000004,,1.44,1.96,20854,42.34,,,0,11.69,96.2,25.97,47.59,51.34,33.83,9.7,-23.4,기타 금융업,95.9,47.84,0,0,2.8,19.19,32.75,48.99,0.022,0.022,1,8.3,1,0,1.37,0.91,1,1,18977.0,5.73,0.2189,False,O,▲,20613,▲,O,X,0.0,0.0,0.0,0.0,기타 금융업,11.931777777777778,13.536,3.0,90.0,90.0,16,20260213,20260213,39.29,25.88,48.99,9.7
105560,KB금융,KOSPI,금융,167900,2974.95,0.0,OVERHEAT,OVERHEAT,False,False,False,77.1,76.1,94.7,62.5,62.5,6,77.1,77.1,77.1,0.0,150700,138000,176100,193710.00000000003,,1.97,1.16,160638,44.45,,,0,3.93,78.2,16.99,28.27,53.47,14.51,-2.23,-21.27,기타 금융업,73.7,33.37,0,0,-0.36,12.46,24.19,37.06,0.03,0.03,1,8.3,0,0,1.12,0.94,1,1,144510.0,4.52,0.2822,False,O,▲,160338,▲,O,X,0.0,0.0,0.0,0.0,기타 금융업,11.931777777777778,13.536,3.0,89.86561677487595,89.86561677487595,17,20260213,20260213,39.29,25.88,37.06,-2.23
009450,경동나비엔,KOSPI,기타,67600,92.7,0.0,OVERHEAT,OVERHEAT,False,False,False,69.1,67.1,93.3,51.0,51.0,6,69.1,69.1,69.1,0.0,67600,63100,76600,84260.0,,1.94,1.64,66322,18.98,,,0,2.01,75.0,14.17,20.28,-12.44,6.52,-23.54,-87.18,가정용 기기 제조업,68.0,24.4,0,0,-2.03,14.19,16.96,15.75,0.492,0.238,1,7.4,0,0,1.4,0.85,1,1,60030.0,1.93,0.2865,False,O,▼,63486,▲,O,X,0.0,0.0,0.0,0.0,가정용 기기 제조업,7.600676691729324,7.282857142857143,10.0,79.5,79.5,18,20260213,20260213,39.29,25.88,15.75,-23.54
005090,SGC에너지,KOSPI,기타,39650,150.76,0.0,OVERHEAT,OVERHEAT,False,False,False,79.5,80.3,92.8,64.0,64.0,6,79.5,79.5,79.5,0.0,26500,22800,34000,37400.0,,2.82,2.79,33692,71.31,,,0,2.69,97.1,56.98,89.26,69.44,75.5,34.23,-5.3,전기업,91.8,87.78,0,0,13.45,38.64,81.88,73.52,0.0,0.0,1,12.0,1,0,2.82,0.96,1,1,27975.0,17.68,0.387,False,O,▲,33169,▲,O,X,0.0,0.0,0.0,0.0,전기업,7.600676691729324,7.282857142857143,10.0,87.15710624812128,87.15710624812128,19,20260213,20260213,39.29,25.88,73.52,34.23
003160,디아이,KOSPI,기타,35950,426.92,0.0,WAIT,WAIT,False,False,True,77.1,74.8,92.5,68.8,68.80000305175781,8,77.1,77.1,77.1,0.0,35950,30050,47750,52525.00000000001,,0.34,1.2,35999,64.73,,,0,2.55,58.2,10.45,17.68,175.9,3.92,-1.29,101.16,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",77.2,37.68,0,0,0.84,21.25,4.35,38.0,0.032,0.032,1,12.0,0,0,1.38,0.6,1,1,29190.0,-0.14,0.1001,False,O,▲,34956,▲,O,X,0.0,0.0,0.0,0.0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",7.600676691729324,7.282857142857143,10.0,70.0,70.0,20,20260213,20260213,39.29,25.88,38.0,-1.29
034730,SK,KOSPI,금융,349500,1317.96,0.0,WAIT,WAIT,False,False,True,81.3,85.6,92.4,57.1,57.099998474121094,8,81.3,81.3,81.3,0.0,349500,314500,419500,461450.00000000006,🚀급등시동,0.85,1.38,339862,56.73,,,0,4.39,68.5,10.73,16.89,91.72,3.13,-6.65,16.98,기타 금융업,84.8,25.06,0,0,2.04,10.95,4.8,32.64,0.013,0.013,1,11.3,1,0,1.51,0.83,1,1,290450.0,2.84,0.0544,False,O,▲,340692,▲,O,X,0.0,0.0,0.0,0.0,기타 금융업,11.931777777777778,13.536,3.0,69.18503532291584,69.18503532291584,21,20260213,20260213,39.29,25.88,32.64,-6.65
187660,현대ADM,KOSDAQ,기타,7380,1938.47,0.0,OVERHEAT,OVERHEAT,False,False,False,86.7,85.0,89.3,89.4,89.4000015258789,6,86.7,86.7,86.7,0.0,3610,2460,5910,6501.000000000001,,2.92,2.31,5149,126.41,,,0,14.11,86.4,114.75,194.61,244.86,178.74,147.96,204.49,자연과학 및 공학 연구개발업,95.3,138.8,0,0,29.93,145.59,118.34,173.84,0.0,0.0,1,12.0,1,0,2.29,1.0,1,1,4293.5,43.31,1.1712,False,O,▲,4583,▲,O,X,0.0,0.0,0.0,0.0,자연과학 및 공학 연구개발업,7.600676691729324,7.282857142857143,10.0,84.0,84.0,22,20260213,20260213,39.29,25.88,173.84,147.96
002900,TYM,KOSPI,조선·기계·설비,8400,147.76,0.0,OVERHEAT,OVERHEAT,False,False,False,77.2,79.4,89.3,58.7,58.70000076293945,6,77.2,77.2,77.2,0.0,7390,6570,9020,9922.0,,1.6,2.26,7752,28.3,,,0,13.52,77.8,19.39,38.39,35.48,24.63,-4.46,-39.26,특수 목적용 기계 제조업,70.7,34.96,0,0,5.79,14.91,18.98,34.83,0.0,0.0,1,11.2,1,0,1.6,0.92,1,1,6689.0,8.35,0.1418,False,O,▲,7785,▲,O,X,0.0,0.0,0.0,0.0,특수 목적용 기계 제조업,7.522794117647059,12.439558823529412,8.0,84.0,84.0,23,20260213,20260213,39.29,25.88,34.83,-4.46
023410,유진기업,KOSDAQ,기타,4690,58.0,0.0,OVERHEAT,OVERHEAT,False,False,False,79.2,86.6,89.3,46.9,46.900001525878906,6,79.2,79.2,79.2,0.0,4220,3905,4855,5340.5,,1.97,2.61,4471,38.03,,,0,9.45,84.1,16.63,30.82,37.34,14.95,12.06,-3.03,"시멘트, 석회, 플라스터 및 그 제품 제조업",85.4,32.45,0,0,4.34,12.2,17.4,37.94,0.0,0.0,1,8.1,1,0,2.3,0.88,1,1,4045.0,4.89,0.0894,False,O,▲,4472,▲,O,X,0.0,0.0,0.0,0.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",7.600676691729324,7.282857142857143,10.0,84.0,84.0,24,20260213,20260213,39.29,25.88,37.94,12.06
175330,JB금융지주,KOSPI,금융,34650,643.98,0.0,OVERHEAT,OVERHEAT,False,False,False,82.5,82.4,88.2,77.2,77.19999694824219,6,82.5,82.5,82.5,0.0,28200,25400,33850,37235.0,,1.75,2.29,32815,45.09,,,0,8.68,97.0,28.92,44.68,54.0,30.92,8.79,-20.74,기타 금융업,90.9,53.18,0,0,1.76,22.01,37.77,48.08,0.034,0.034,1,9.8,1,0,1.92,0.89,1,1,28845.0,5.59,0.3001,False,O,▲,32219,▲,O,X,0.0,0.0,0.0,0.0,기타 금융업,11.931777777777778,13.536,3.0,84.20851410596839,84.20851410596839,25,20260213,20260213,39.29,25.88,48.08,8.79
003240,태광산업,KOSPI,화학·소재,1100000,100.21,0.0,WAIT,WAIT,False,False,True,72.7,71.4,86.4,63.0,63.0,6,72.7,72.7,72.7,0.0,929000,814000,1158000,1273800.0,,1.24,1.9,1071445,37.8,,,0,19.58,73.4,24.36,47.85,19.7,34.09,-1.45,-55.04,화학섬유 제조업,61.1,52.22,0,0,-7.33,19.31,26.0,37.84,0.109,0.109,1,12.0,1,0,1.44,0.78,1,1,877900.0,2.67,0.2934,False,O,▲,1037181,▲,O,X,0.0,0.0,0.0,0.0,화학섬유 제조업,6.274,14.620750000000001,6.0,70.0,70.0,26,20260213,20260213,39.29,25.88,37.84,-1.45
039130,하나투어,KOSPI,서비스 기타,50700,92.0,0.0,WAIT,WAIT,False,False,True,60.6,62.1,85.8,31.1,31.100000381469727,8,60.6,60.6,60.6,0.0,50700,47850,56400,62040.00000000001,,1.42,1.32,50067,3.63,,,0,1.01,73.3,7.6,10.22,-6.11,-3.54,-30.14,-80.85,여행사 및 기타 여행보조 서비스업,83.4,18.6,0,0,-0.78,4.75,9.5,9.15,0.158,0.158,1,6.7,1,1,1.44,0.88,1,1,44995.0,1.26,0.1037,False,O,▲,50489,▲,O,X,0.0,0.0,0.0,0.0,여행사 및 기타 여행보조 서비스업,18.355,21.36195652173913,2.0,67.64146041318091,67.64146041318091,27,20260213,20260213,39.29,25.88,9.15,-30.14
094820,일진파워,KOSDAQ,기타,17290,411.36,0.0,ARMED,ARMED,True,False,False,82.4,85.7,85.2,69.9,69.9000015258789,10,82.4,82.4,82.4,0.0,17290,14400,23100,25410.000000000004,,0.51,1.02,17212,7.52,,,1,9.38,59.4,6.81,24.39,75.18,8.52,43.46,34.81,전기 및 통신 공사업,76.6,22.95,1,0,1.59,7.19,12.13,69.34,0.033,0.033,1,12.0,0,0,1.37,0.69,1,1,13703.0,0.45,0.0534,False,O,▲,16896,▲,O,X,0.0,0.0,0.0,0.0,전기 및 통신 공사업,7.600676691729324,7.282857142857143,10.0,50.90315441791595,50.90315441791595,28,20260213,20260213,39.29,25.88,69.34,43.46
000390,삼화페인트,KOSPI,화학·소재,9630,388.14,0.0,OVERHEAT,OVERHEAT,False,False,False,74.4,68.2,85.1,82.3,82.30000305175781,8,74.4,74.4,74.4,0.0,8150,6650,11150,12265.000000000002,,-0.61,1.43,10763,5.47,,,0,3.22,66.2,24.05,43.52,59.44,29.76,31.15,-15.3,기타 화학제품 제조업,80.0,86.27,0,0,-3.6,31.74,38.36,70.44,0.038,0.038,1,12.0,1,0,1.38,0.4,1,1,8916.0,-10.53,0.2792,False,O,▲,10255,▲,X,X,0.0,0.0,0.0,0.0,기타 화학제품 제조업,6.274,14.620750000000001,6.0,60.0,60.0,29,20260213,20260213,39.29,25.88,70.44,31.15
090460,비에이치,KOSPI,IT/전기전자,20850,105.55,0.0,WAIT,WAIT,False,False,True,79.8,84.1,83.3,63.4,63.400001525878906,8,79.8,79.8,79.8,0.0,20850,18830,24900,27390.000000000004,,2.38,0.95,20594,15.68,,,0,5.65,69.4,14.85,27.44,25.91,13.68,-6.74,-48.83,전자부품 제조업,87.6,39.8,0,0,-4.79,22.65,14.25,32.55,0.008,0.008,1,11.9,1,0,1.83,0.74,1,1,17736.0,1.24,0.3162,False,O,▲,20583,▲,O,X,0.0,0.0,0.0,0.0,전자부품 제조업,9.977,12.653,4.0,60.88218780058989,60.88218780058989,30,20260213,20260213,39.29,25.88,32.55,-6.74
