LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,켈리_금액(원),추천수량,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR
1,439260,대한조선,KOSPI,조선·기계·설비,95300,308.96,36715.6,25.0,241.3,ATTACK,ATTACK,1,True,True,False,87.30000000000001,86.4,92.3,100.0,47.5,0.9,73.5,79.9,52.5,34.4,1.36,1.5,RR1.4 + 진입적정 + 돌입,0,93900.0,84700.0,109700.0,121900.0,🚀급등시동/📦박스돌파,1.21,2.01,88704,40.83,"[뉴스]대한조선, 실적 청신호와 함께 이달 들어 주가가 크게 상승하며 긍정적인 투자 심리를 형성하고 있다.",4,6.38,63.0,7.4,TIMING 강점,STRUCT 보조,,기술적 돌파 조건 충족,NORMAL,60.6,선박 및 보트 건조업,30896478350.0,59.0,13.33,0,0,5.89,6.01,7.32,6.72,35.75,18.83,-4.15,2.8,-40.47,0.116,0.116,1,8.1,1,1,2.12,0.92,137400.0,SWING_60D,60,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,9.8,5.0,1.7,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,84070.0,7.44,0.11,False,O,▲,90409,▲,O,X,0,0,0,0.33,176,0,1,0,0,0.0,선박 및 보트 건조업,12.425342465753424,6.825068493150685,6.0,47.5,OK,81.9198653054317,81.9198653054317,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,breakout,95.4,5.0,70,20260422,20260422," 📢재료: [뉴스]대한조선, 실적 청신호와 함께 이달 들어 주가가 크게 상승하며 긍정적인 투자 심리를 형성하고 있다.",87.30000000000001,87.30000000000001,87.30000000000001,32.95,32.95,FRESH,0.673,,False,MATURE,137420.0,2412974.0,25.0,,,,,True,15.1,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
2,417200,LS머트리얼즈,KOSDAQ,IT/전기전자,25150,2093.47,17014.6,87.0,190.1,ATTACK,ATTACK,1,True,True,False,87.1,87.1,94.4,100.0,46.8,0.0,22.1,80.4,53.2,33.5,0.04,15.6,3축고점 + 돌입,0,21750.0,18480.0,25450.0,27000.0,,1.33,3.11,20272,14.58,특이사항 없음,0,9.49,69.6,21.43,TIMING 강점,STRUCT 보조,,기술적 돌파 조건 충족,NORMAL,60.6,전자부품 제조업,209346614450.0,82.0,34.52,0,0,10.55,10.79,23.59,19.76,87.69,124.75,8.89,54.74,65.45,0.042,0.042,1,12.0,0,0,2.46,0.96,30800.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,15.03,5.0,1.1,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,split,50.0,1,1,19240.5,24.06,0.0914,False,O,▲,22913,▲,O,X,0,0,0,2.42,250,0,1,1,1,0.0,전자부품 제조업,8.927999999999999,18.005499999999998,3.0,46.8,OK,76.81236055415802,76.81236055415802,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260422,20260422,,87.1,87.1,87.1,32.95,32.95,FRESH,0.671,,False,MATURE,137420.0,1901175.0,87.0,,,,,True,1.2,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
3,126730,코칩,KOSDAQ,IT/전기전자,20350,78.03,1784.7,0.0,,ATTACK,ATTACK,1,True,True,False,79.8,79.8,100.0,89.7,19.5,0.0,18.1,69.7,80.5,0.0,0.16,1.5,진입적정 + 돌입,0,20050.0,17620.0,20800.0,23750.0,,1.31,4.35,19046,21.52,특이사항 없음,0,6.95,73.9,12.45,STRUCT 강점,TIMING 보조,RSI 과열,기술적 돌파 조건 충족,NORMAL,60.6,전자부품 제조업,7803276330.0,86.3,24.03,0,0,5.99,7.73,16.49,0.99,22.59,37.78,-9.88,-10.36,-21.52,0.101,0.101,1,10.3,1,0,2.45,0.9,25100.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,12.12,6.0,0.3,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,20792.0,6.85,0.0849,False,O,▲,19117,▲,O,X,0,0,0,1.09,250,0,1,1,1,0.0,전자부품 제조업,8.927999999999999,18.005499999999998,3.0,19.5,OK,70.0,70.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260422,20260422,,79.8,79.8,79.8,32.95,32.95,FRESH,0.598,,False,MATURE,137420.0,0.0,,,,,,True,2.2,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
4,033160,엠케이전자,KOSDAQ,IT/전기전자,26900,257.56,6295.3,95.0,203.6,ATTACK,ATTACK,1,True,True,False,79.7,79.7,93.8,64.4,82.2,0.0,21.6,80.1,29.4,63.3,0.12,26.6,3축고점 + 돌입,0,21250.0,18070.0,28000.0,30950.0,,1.35,0.68,16566,180.84,특이사항 없음,0,32.41,70.8,32.85,STRUCT 강점,AI 보조,RSI 과열,기술적 돌파 조건 충족,NORMAL,60.6,전자부품 제조업,25755703075.0,82.0,78.1,0,0,0.56,19.29,30.58,53.98,195.28,166.07,43.11,162.33,106.77,0.011,0.011,1,12.0,0,0,3.65,0.92,33450.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,14.96,5.0,2.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,18333.0,62.38,0.1737,False,O,▲,26226,▲,O,X,0,0,0,-0.19,250,0,1,1,1,0.0,전자부품 제조업,8.927999999999999,18.005499999999998,3.0,82.2,OK,36.78232636645916,36.78232636645916,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260422,20260422,,79.7,79.7,79.7,32.95,32.95,FRESH,0.597,,False,MATURE,137420.0,2035711.0,95.0,,,,,True,4.1,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
5,005850,에스엘,KOSPI,자동차·모빌리티,64000,90.71,29727.1,31.0,202.4,ATTACK,ATTACK,1,True,True,False,79.1,79.1,100.0,81.1,33.3,0.0,62.3,71.5,66.7,16.6,2.2,0.0,RR2.2 + 진입적정 + 돌입,0,64000.0,57900.0,77400.0,84900.0,,-0.32,0.85,60972,45.36,특이사항 없음,0,2.82,73.1,9.81,STRUCT 강점,TIMING 보조,RSI 과열,기술적 돌파 조건 충족,NORMAL,60.6,자동차 신품 부품 제조업,9071496550.0,67.5,20.88,0,0,-1.39,9.4,8.66,4.92,3.56,77.78,-5.95,-29.39,18.48,0.081,0.081,1,8.3,1,0,2.18,0.92,94400.0,SWING_60D,60,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,9.53,5.0,2.2,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,56050.0,4.97,0.2612,False,O,▲,61801,▲,O,X,0,0,0,-0.31,250,0,1,1,1,0.0,자동차 신품 부품 제조업,7.997894736842106,-4.332105263157895,12.0,33.3,OK,64.20681668818585,64.20681668818585,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260422,20260422,,79.1,79.1,79.1,32.95,32.95,FRESH,0.591,,False,MATURE,137420.0,2024067.0,31.0,,,,,True,20.9,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
6,114190,강원에너지,KOSDAQ,IT/전기전자,15830,98.82,4135.3,110.0,175.3,ATTACK,ATTACK,1,True,True,False,78.7,78.7,96.0,75.9,49.8,0.0,66.7,73.9,46.2,42.2,1.75,0.0,RR1.8 + 진입적정 + 돌입,0,15830.0,13810.0,19360.0,20250.0,🚀급등시동,0.5,1.12,15850,-0.92,특이사항 없음,0,10.01,68.0,12.67,STRUCT 강점,TIMING 보조,,기술적 돌파 조건 충족,NORMAL,60.6,기타 전기장비 제조업,9882470540.0,74.2,28.1,0,0,-0.13,13.4,13.97,19.74,-10.26,12.19,8.87,-43.21,-47.11,0.695,0.391,0,10.0,1,0,4.65,0.91,,SWING_60D,60,SWING_120D,45,,0,v1_sl_first_gap_at_open,12.76,6.0,1.7,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,13531.0,-0.13,0.2462,False,O,▲,14891,▲,O,X,0,0,0,1.7,250,0,1,-1,1,0.0,기타 전기장비 제조업,8.927999999999999,18.005499999999998,3.0,49.8,OK,74.62892687210835,74.62892687210835,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260422,20260422,,78.7,78.7,78.7,32.95,32.95,FRESH,0.587,,False,MATURE,137420.0,1753328.0,110.0,,,,,True,22.3,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
7,307950,현대오토에버,KOSPI,IT/전기전자,444500,312.12,121899.6,4.0,179.1,ATTACK,ATTACK,1,True,True,False,77.0,77.0,98.2,81.8,24.9,0.0,59.2,68.3,73.3,8.4,2.03,0.0,RR2.0 + 진입적정 + 돌입,0,444500.0,396000.0,543000.0,615000.0,🚀급등시동,-0.12,0.96,446266,51.55,특이사항 없음,0,6.16,69.2,11.21,STRUCT 강점,TIMING 보조,,기술적 돌파 조건 충족,NORMAL,60.6,소프트웨어 개발 및 공급업,31212032000.0,59.6,25.66,0,0,0.45,6.85,6.98,9.62,-4.51,181.86,-1.25,-37.46,122.56,0.236,0.236,1,10.0,1,0,2.38,0.89,,SWING_60D,60,RR_LEGACY,35,,0,v1_sl_first_gap_at_open,10.91,4.0,2.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,374500.0,-0.4,0.0601,False,O,▲,436016,▲,O,X,0,0,0,-1.02,250,0,1,1,1,0.0,소프트웨어 개발 및 공급업,8.927999999999999,18.005499999999998,3.0,24.9,OK,61.950803604434654,61.950803604434654,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260422,20260422,,77.0,77.0,77.0,32.95,32.95,FRESH,0.57,,False,MATURE,137420.0,1791370.0,4.0,,,,,True,22.2,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
8,042700,한미반도체,KOSPI,반도체,293500,1987.99,279741.3,0.0,,ATTACK,ATTACK,1,True,True,False,73.6,73.6,100.0,75.6,16.9,0.0,16.4,64.2,83.1,0.0,0.44,0.0,진입적정 + 돌입,0,293500.0,263000.0,307000.0,382000.0,,0.52,1.04,249549,139.56,특이사항 없음,0,11.96,70.3,6.3,STRUCT 강점,TIMING 보조,RSI 과열,기술적 돌파 조건 충족,NORMAL,60.6,특수 목적용 기계 제조업,198799415500.0,55.7,22.08,0,0,-0.51,-0.51,4.63,-2.17,72.24,96.19,-13.04,39.29,36.89,0.104,0.104,1,8.1,1,0,2.12,0.91,441500.0,BB_UPPER,75,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,10.39,4.0,0.4,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,306400.0,17.61,0.0199,False,O,▲,296339,▲,X,X,0,0,0,-1.02,250,0,1,1,1,0.0,특수 목적용 기계 제조업,10.085333333333333,23.23,2.0,16.9,OK,57.402554431598304,57.402554431598304,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260422,20260422,,73.6,73.6,73.6,32.95,32.95,FRESH,0.536,,False,MATURE,137420.0,0.0,,,,,,True,4.6,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
9,042510,라온시큐어,KOSDAQ,IT/전기전자,13190,128.79,1478.0,232.0,250.0,ARMED,ARMED,2,True,False,False,83.8,83.8,87.3,77.0,90.3,0.0,80.6,84.9,13.3,83.4,0.93,22.5,밸런스우수 + 3축고점 + 대기,0,10770.0,9150.0,16960.0,19540.0,,1.54,0.85,13265,0.05,특이사항 없음,0,3.66,67.0,28.56,AI 강점,STRUCT 보조,,스퀴즈/품질 대기,NORMAL,60.6,소프트웨어 개발 및 공급업,12878959375.0,66.6,97.46,0,0,-3.16,11.21,51.26,44.95,47.37,31.24,34.08,14.42,-28.06,0.061,0.061,1,12.0,1,0,4.76,0.57,22850.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.04,6.0,3.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,11580.0,-0.57,0.0031,False,O,▲,14085,▲,X,X,0,0,0,1.32,236,0,1,1,1,0.0,소프트웨어 개발 및 공급업,8.927999999999999,18.005499999999998,3.0,90.3,OK,49.00209168340287,49.00209168340287,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260422,20260422,,83.8,83.8,83.8,32.95,32.95,FRESH,0.638,,False,MATURE,137420.0,2500000.0,232.0,,,,,True,28.6,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
10,011930,신성이엔지,KOSPI,반도체,4130,2861.64,8501.5,646.0,233.6,ARMED,ARMED,2,True,False,False,82.0,82.0,90.1,70.9,88.0,0.0,23.1,83.0,19.2,76.0,0.79,14.2,3축고점 + 대기,0,3615.0,3070.0,4970.0,5420.0,,0.33,1.14,3160,71.51,특이사항 없음,0,28.25,70.5,19.99,STRUCT 강점,AI 보조,RSI 과열,스퀴즈/품질 대기,NORMAL,60.6,반도체 제조업,286163888902.0,87.5,70.72,0,0,4.96,0.24,23.1,49.91,150.3,111.69,39.04,117.35,52.39,0.041,0.041,1,12.0,0,0,2.21,0.67,5880.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.08,5.0,2.5,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,2862.0,30.67,-0.4661,False,O,▲,4274,▲,X,X,0,0,0,0.25,250,0,1,1,1,0.0,반도체 제조업,10.085333333333333,23.23,2.0,88.0,OK,43.67141051993715,43.67141051993715,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260422,20260422,,82.0,82.0,82.0,32.95,32.95,FRESH,0.62,,False,MATURE,137420.0,2335793.0,646.0,,,,,True,20.3,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
