LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,켈리_금액(원),추천수량,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON
1,002790,아모레퍼시픽홀딩스,KOSPI,화학·소재,30100,87.05,23013.9,0.0,,ARMED,ARMED,2,True,False,False,79.0,79.0,91.5,88.5,34.8,,19.6,71.6,56.7,29.1,0.02,3.4,돌입,0,29100.0,27050.0,30150.0,35950.0,📦박스돌파,1.72,3.02,30023,9.08,DATA_UNAVAILABLE,4,1.88,71.9,8.37,STRUCT 강점,TIMING 보조,RSI 과열,기술적 돌파 조건 충족,CAUTION,70.2,기타 화학제품 제조업,8705133475.0,74.1,10.57,0,0,8.66,8.08,8.47,2.56,5.06,18.04,-7.24,-24.64,-35.41,0.223,0.098,1,6.0,0,1,2.55,0.99,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,7.04,5.0,0.5,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,26685.0,0.25,0.0885,False,O,▲,28034,▲,O,X,0,0,0,1.44,250,0,1,1,1,0.0,기타 화학제품 제조업,8.634561403508773,12.683508771929825,8.0,34.8,OK,72.4029896333994,72.4029896333994,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260424,20260424,,79.0,79.0,79.0,29.7,29.7,FRESH,0.59,,False,MATURE,153039.0,0.0,,,,,,True,0.2,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
2,003570,SNT다이내믹스,KOSPI,자동차·모빌리티,58300,62.09,19386.3,29.0,169.6,ARMED,ARMED,2,True,False,False,77.6,77.6,100.0,63.4,61.1,,66.6,74.8,38.9,51.4,1.79,0.0,RR1.8 + 진입적정 + 돌입,0,58300.0,51600.0,70300.0,81800.0,🚀급등시동,1.28,0.72,52819,16.17,DATA_UNAVAILABLE,0,12.77,64.4,9.24,STRUCT 강점,TIMING 보조,,기술적 돌파 조건 충족,CAUTION,70.2,자동차 신품 부품 제조업,6208742050.0,86.6,23.51,0,0,2.46,6.19,3.55,17.3,12.77,-5.2,7.5,-16.93,-58.65,0.012,0.012,1,11.7,1,0,2.21,0.89,,ATR_3.5x,45,RR_LEGACY,35,,0,v1_sl_first_gap_at_open,11.49,5.0,1.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,48040.0,10.38,0.0331,False,O,▲,56898,▲,O,X,0,0,0,-0.18,250,0,1,1,1,0.0,자동차 신품 부품 제조업,0.7368421052631579,-4.0552631578947365,13.0,61.1,OK,43.09825398530051,43.09825398530051,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260424,20260424,,77.6,77.6,77.6,29.7,29.7,FRESH,0.576,,False,MATURE,153039.0,1696333.0,29.0,,,,,True,20.6,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
3,425420,티에프이,KOSDAQ,IT/전기전자,63800,155.76,7877.5,0.0,,ARMED,ARMED,2,True,False,False,87.3,87.3,92.8,100.0,50.9,,22.5,81.2,49.1,38.6,0.33,0.0,진입적정 + 3축고점 + 대기,0,63800.0,54200.0,67000.0,80600.0,🚀급등시동,0.13,1.24,52530,61.16,DATA_UNAVAILABLE,1,9.37,65.1,6.72,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,CAUTION,70.2,전자부품 제조업,15575800350.0,53.3,21.85,1,0,2.41,1.75,12.92,-7.54,76.73,62.96,-17.34,47.03,9.51,0.02,0.02,1,12.0,1,0,1.53,0.78,93100.0,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,v1_sl_first_gap_at_open,15.05,5.0,0.3,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,51190.0,21.45,0.0539,False,O,▲,62573,▲,O,X,0,0,0,2.41,250,0,1,1,1,0.0,전자부품 제조업,6.018977272727272,21.11511363636364,6.0,50.9,OK,65.75100782343077,65.75100782343077,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,breakout,97.9,5.0,60,20260424,20260424,,87.3,87.3,87.3,29.7,29.7,FRESH,0.673,,False,MATURE,153039.0,0.0,,,,,,True,5.0,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
4,331920,셀레믹스,KOSDAQ,기타,16000,97.78,1306.3,128.0,205.9,ARMED,ARMED,2,True,False,False,83.8,83.8,100.0,64.5,90.1,,74.3,84.9,35.5,55.6,1.6,0.0,RR1.6 + 진입적정 + 3축고점 + 대기,0,16000.0,13600.0,19840.0,20350.0,,-0.73,1.33,8072,326.05,DATA_UNAVAILABLE,0,57.38,58.5,6.47,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,70.2,기초 의약물질 제조업,9777551175.0,68.1,60.02,0,0,-7.57,0.13,1.33,93.94,444.22,445.14,84.14,414.52,391.69,0.037,0.037,1,12.0,0,0,2.17,0.67,23650.0,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,v1_sl_first_gap_at_open,15.0,6.0,1.6,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,21653.0,98.21,-0.3753,False,O,▲,17782,▼,X,X,0,0,0,0.0,250,0,1,1,1,0.0,기초 의약물질 제조업,5.762608695652174,5.424260869565218,11.0,90.1,OK,49.5,49.5,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260424,20260424,,83.8,83.8,83.8,29.7,29.7,FRESH,0.638,,False,MATURE,153039.0,2058750.0,128.0,,,,,True,24.0,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
5,096350,대창솔루션,KOSDAQ,기타,3220,57.44,1186.7,0.0,,ARMED,ARMED,2,True,False,False,81.1,81.1,84.3,93.7,49.3,,21.3,75.8,44.4,44.5,0.26,1.6,진입적정 + 대기,0,3170.0,2700.0,3355.0,4180.0,,0.69,1.38,2984,34.83,DATA_UNAVAILABLE,3,1.75,60.7,5.86,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,CAUTION,70.2,"구조용 금속제품, 탱크 및 증기발생기 제조업",5743516720.0,59.0,13.04,1,0,4.38,5.23,8.78,-1.98,40.0,12.98,-11.78,10.3,-40.47,0.178,0.178,1,12.0,1,0,2.48,0.73,4830.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,14.83,6.0,0.4,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,2716.0,7.9,0.1934,False,O,▲,3054,▲,O,X,0,0,0,0.49,250,0,1,1,1,0.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",5.762608695652174,5.424260869565218,11.0,49.3,OK,70.0,70.0,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,breakout,94.4,5.0,60,20260424,20260424,,81.1,81.1,81.1,29.7,29.7,FRESH,0.611,,False,MATURE,153039.0,0.0,,,,,,True,4.2,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
6,001740,SK네트웍스,KOSPI,기타,5680,112.3,12568.6,97.0,54.6,ARMED,ARMED,2,True,False,False,80.7,80.7,96.3,98.6,13.8,,18.4,69.6,84.8,0.0,0.55,1.6,진입적정 + 대기,0,5590.0,5020.0,6040.0,6500.0,,1.57,1.51,5468,5.77,DATA_UNAVAILABLE,5,6.1,66.7,6.2,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,CAUTION,70.2,기타 전문 도매업,11229762820.0,60.5,13.59,1,0,3.65,4.6,5.97,5.97,20.72,23.21,-3.83,-8.98,-30.24,0.016,0.016,1,7.5,1,1,1.67,0.68,7000.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,10.2,5.0,0.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,5047.0,3.87,0.0418,False,O,▲,5490,▲,O,X,0,0,0,0.36,250,0,1,1,1,0.0,기타 전문 도매업,5.762608695652174,5.424260869565218,11.0,13.8,OK,62.34689600643207,62.34689600643207,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,breakout,94.4,5.0,60,20260424,20260424,,80.7,80.7,80.7,29.7,29.7,FRESH,0.607,,False,MATURE,153039.0,546000.0,97.0,,,,,True,6.3,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
7,357580,아모센스,KOSDAQ,IT/전기전자,21600,213.88,2531.0,98.0,180.9,ARMED,ARMED,2,True,False,False,80.7,80.7,93.2,74.6,67.9,,22.1,78.6,25.3,68.4,0.21,17.3,대기,0,18410.0,15640.0,22850.0,29900.0,🚀급등시동,1.29,1.49,17625,16.53,DATA_UNAVAILABLE,0,17.5,65.2,23.19,STRUCT 강점,TIMING 보조,5일 급등,스퀴즈/품질 대기,CAUTION,70.2,전자부품 제조업,21387817215.0,73.6,48.47,0,0,11.46,17.52,36.54,11.74,76.33,156.84,1.94,46.63,103.39,0.087,0.087,1,12.0,1,0,2.01,0.88,35050.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,15.05,6.0,1.6,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,split,50.0,1,1,14877.0,22.55,0.4085,False,O,▲,19087,▲,O,X,0,0,0,0.05,250,0,1,1,1,0.0,전자부품 제조업,6.018977272727272,21.11511363636364,6.0,67.9,OK,55.0,55.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260424,20260424,,80.7,80.7,80.7,29.7,29.7,FRESH,0.607,,False,MATURE,153039.0,1809087.0,98.0,,,,,True,5.8,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
8,044490,태웅,KOSDAQ,기타,53300,212.02,10663.9,34.0,183.4,ARMED,ARMED,2,True,False,False,79.5,79.5,74.2,86.6,76.0,,77.7,78.9,12.4,84.5,1.78,0.0,밸런스우수 + RR1.8 + 진입적정 + 대기,0,53300.0,45300.0,67500.0,78400.0,🚀급등시동,0.89,0.83,44896,7.98,DATA_UNAVAILABLE,5,1.39,56.3,10.08,TIMING 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,70.2,기타 금속 가공제품 제조업,21202461400.0,53.8,22.56,1,0,0.57,8.11,18.44,13.53,67.35,65.02,3.73,37.65,11.57,0.09,0.09,1,12.0,1,0,1.82,0.94,,FIBO_1.272,40,FIBO_1.618,25,,0,v1_sl_first_gap_at_open,15.01,5.0,1.8,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,42550.0,18.72,0.128,False,O,▲,50414,▲,O,X,0,0,0,-0.57,250,0,1,1,1,0.0,기타 금속 가공제품 제조업,5.762608695652174,5.424260869565218,11.0,76.0,OK,56.88393393404212,56.88393393404212,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260424,20260424,,79.5,79.5,79.5,29.7,29.7,FRESH,0.595,,False,MATURE,153039.0,1834154.0,34.0,,,,,True,26.6,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
9,091580,상신이디피,KOSDAQ,2차전지,26800,136.71,3572.0,78.0,189.4,ARMED,ARMED,2,True,False,False,78.4,78.4,90.7,70.1,70.4,,21.7,77.1,20.6,74.2,0.75,11.0,대기,0,24150.0,20500.0,31550.0,32300.0,,1.71,0.73,20808,107.99,DATA_UNAVAILABLE,0,20.06,62.1,16.53,STRUCT 강점,AI 보조,5일 급등,스퀴즈/품질 대기,CAUTION,70.2,일차전지 및 이차전지 제조업,13671325350.0,62.6,63.76,0,0,-1.83,17.8,24.94,44.16,80.59,80.23,34.36,50.89,26.78,0.014,0.014,1,12.0,1,0,2.19,0.67,36650.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.11,6.0,2.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,23152.5,28.79,0.1054,False,O,▲,28092,▲,X,X,0,0,0,2.01,250,0,1,1,1,0.0,일차전지 및 이차전지 제조업,13.177692307692308,23.395384615384614,2.0,70.4,OK,42.03042926331074,42.03042926331074,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260424,20260424,,78.4,78.4,78.4,29.7,29.7,FRESH,0.584,,False,MATURE,153039.0,1894054.0,78.0,,,,,True,17.7,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
10,006910,보성파워텍,KOSDAQ,기타,12110,1338.92,5949.6,114.0,121.6,ARMED,ARMED,2,True,False,False,77.2,77.2,92.9,91.9,16.5,,17.8,67.1,76.4,4.5,0.17,14.5,대기,0,10580.0,8990.0,12650.0,13800.0,,2.42,2.28,10778,3.41,DATA_UNAVAILABLE,0,4.49,72.6,20.15,STRUCT 강점,TIMING 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,70.2,"구조용 금속제품, 탱크 및 증기발생기 제조업",133892380145.0,86.1,30.73,0,0,2.02,17.8,24.21,18.96,47.86,115.1,9.16,18.16,61.65,0.086,0.086,1,12.0,1,0,3.86,0.86,15570.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,15.03,5.0,1.3,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,9457.0,12.35,0.3805,False,O,▲,10842,▲,O,X,0,0,0,0.0,250,0,1,1,1,0.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",5.762608695652174,5.424260869565218,11.0,16.5,OK,70.5,70.5,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260424,20260424,,77.2,77.2,77.2,29.7,29.7,FRESH,0.572,,False,MATURE,153039.0,1216231.0,114.0,,,,,True,4.5,2.1.0,DEGRADED,NEWS_OFF,90.0,ARMED,OK,OK,OK,DISABLED,OK,OK,OK,0,6,False,True,True,
