LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR
1,046120,오르비텍,KOSDAQ,서비스 기타,12160,243.49,4004.2,51.0,63.0,ARMED,ARMED,2,True,1,False,79.6,79.6,98.6,73.0,55.0,0.0,67.9,75.5,43.6,45.5,1.08,0.0,RR1.1 + 진입적정 + 대기,0,12160.0,10330.0,14130.0,16410.0,,1.21,0.6,9319,200.46,특이사항 없음,5,3.53,64.4,8.0,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CAUTION,66.5,기타 과학기술 서비스업,24348508295.0,65.3,28.08,1,0,-2.56,9.55,20.28,2.44,163.49,209.81,-7.55,133.21,155.3,0.055,0.055,1,12.0,1,0,3.1,0.56,19720.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,15.05,6.0,1.1,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,9054.5,30.48,0.4049,False,O,▲,11817,▲,O,X,0,0,0,0.64,250,0,1,1,1,0.0,기타 과학기술 서비스업,7.698108108108108,8.209189189189189,12.0,55.0,OK,46.99045250895651,46.99045250895651,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,breakout,86.9,5.0,60,20260427,20260427,,79.6,79.6,79.6,30.28,30.28,FRESH,0.647,,False,0.557,False,MATURE,4068.0,1.077,1.029,1.029,0.063,629845.0,51.0,v22_calibrated,,,,,,True,16.2,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
2,091580,상신이디피,KOSDAQ,2차전지,26050,132.53,3472.0,7.0,18.7,ARMED,ARMED,2,True,1,False,76.8,76.8,93.6,55.1,86.4,0.0,67.3,78.4,38.5,51.9,1.39,0.0,RR1.4 + 진입적정 + 대기,0,26050.0,22100.0,31550.0,34100.0,,0.14,0.7,20956,102.16,특이사항 없음,0,20.06,57.9,11.27,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,66.5,일차전지 및 이차전지 제조업,13252555875.0,58.3,59.99,0,0,-2.8,-4.75,22.3,46.35,80.53,95.42,36.36,50.25,40.91,0.028,0.028,1,12.0,1,0,2.12,0.62,36650.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.16,6.0,1.4,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,23152.5,24.31,-0.4403,False,O,▲,28518,▲,X,X,0,0,0,0.93,250,0,1,1,1,0.0,일차전지 및 이차전지 제조업,7.93923076923077,21.043846153846154,7.0,86.4,OK,36.22989248858643,36.22989248858643,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,76.8,76.8,76.8,30.28,30.28,FRESH,0.643,,False,0.534,False,MATURE,4068.0,1.392,0.937,0.937,0.0187,186758.0,7.0,v22_calibrated,,,,,,True,21.1,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
3,017550,수산세보틱스,KOSPI,조선·기계·설비,3185,92.72,1987.4,0.0,,ARMED,ARMED,2,True,1,False,75.2,75.2,97.7,46.0,88.7,0.0,62.9,77.5,51.7,35.4,1.95,0.0,RR1.9 + 진입적정 + 대기,0,3185.0,2860.0,3820.0,4020.0,,1.24,0.35,2940,7.51,특이사항 없음,0,60.33,70.3,12.5,STRUCT 강점,AI 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,66.5,특수 목적용 기계 제조업,9272136996.0,88.0,83.88,0,0,-5.21,1.27,5.99,68.79,85.17,82.63,58.8,54.89,28.12,0.169,0.169,1,12.0,1,0,4.63,0.68,4575.0,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,v1_sl_first_gap_at_open,10.2,6.0,2.0,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,2466.0,8.31,-0.5431,False,O,▲,3589,▼,X,X,0,0,0,-2.38,250,0,1,1,1,0.0,특수 목적용 기계 제조업,14.058311688311688,27.547272727272727,3.0,88.7,OK,25.0,25.0,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,75.2,75.2,75.2,30.28,30.28,FRESH,0.627,,False,0.522,False,MATURE,4068.0,1.954,0.884,0.884,0.0,0.0,,v22_calibrated,,,,,,True,19.9,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
4,079550,LIG디펜스앤에어로스페이스,KOSPI,기타,950000,2662.59,209000.0,0.0,,ARMED,ARMED,2,True,1,False,74.4,74.4,98.7,52.0,70.7,0.0,62.4,73.8,46.7,41.6,1.17,0.0,RR1.2 + 진입적정 + 대기,0,950000.0,807000.0,1118000.0,1180000.0,,-0.34,0.57,749303,37.71,특이사항 없음,0,44.04,63.4,7.91,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,66.5,무기 및 총포탄 제조업,266259085500.0,60.7,40.89,0,0,-3.94,3.15,1.17,38.48,85.55,85.19,28.49,55.27,30.68,0.018,0.018,1,12.0,1,0,2.11,0.67,1314000.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.05,4.0,1.2,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,828800.0,26.78,0.0202,False,O,▲,975579,▲,X,X,0,0,0,-0.71,250,0,1,1,1,0.0,무기 및 총포탄 제조업,8.452571428571428,12.478571428571428,11.0,70.7,OK,33.08643297632221,33.08643297632221,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,74.4,74.4,74.4,30.28,30.28,FRESH,0.627,,False,0.515,False,MATURE,4068.0,1.175,0.878,0.878,0.0,0.0,,v22_calibrated,,,,,,True,17.7,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
5,038500,삼표시멘트,KOSDAQ,기타,16260,475.44,17547.2,0.0,,ARMED,ARMED,2,True,1,False,74.2,74.2,100.0,43.3,84.5,0.0,60.6,75.9,56.7,29.1,2.81,0.0,RR2.8 + 진입적정 + 대기,0,16260.0,15040.0,19690.0,23500.0,,0.28,0.58,14751,230.61,특이사항 없음,1,10.39,62.3,1.98,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,66.5,기타 비금속 광물제품 제조업,47543708540.0,79.8,23.89,0,0,0.43,3.57,-3.21,7.26,233.54,431.37,-2.73,203.26,376.86,0.217,0.217,1,12.0,1,0,3.36,0.39,28600.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,7.5,5.0,2.8,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,18726.0,10.23,0.0097,True,O,▲,16124,▼,O,X,0,0,0,1.85,249,0,1,1,1,0.0,기타 비금속 광물제품 제조업,8.452571428571428,12.478571428571428,11.0,84.5,OK,38.9425019156576,38.9425019156576,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,74.2,74.2,74.2,30.28,30.28,FRESH,0.627,,False,0.514,False,MATURE,4068.0,2.811,0.878,0.878,0.0,0.0,,v22_calibrated,,,,,,True,21.1,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
6,474610,RF시스템즈,KOSDAQ,기타,14210,115.66,2033.1,0.0,,ARMED,ARMED,2,True,1,False,74.2,74.2,100.0,41.2,88.4,0.0,60.3,76.5,58.8,26.5,1.65,0.0,RR1.6 + 진입적정 + 대기,0,14210.0,12070.0,17750.0,19810.0,,-1.2,0.58,10357,27.73,특이사항 없음,0,30.36,62.3,7.24,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,66.5,기타 금속 가공제품 제조업,11565554100.0,75.3,58.37,0,0,-5.89,-9.89,-1.32,29.18,134.49,201.7,19.19,104.21,147.19,0.064,0.064,1,12.0,1,0,2.73,0.54,21150.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.06,6.0,1.7,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,11287.0,37.2,-0.4208,False,O,▲,16049,▼,X,X,0,0,0,0.53,250,0,1,1,1,0.0,기타 금속 가공제품 제조업,8.452571428571428,12.478571428571428,11.0,88.4,OK,27.70982963105435,27.70982963105435,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,74.2,74.2,74.2,30.28,30.28,FRESH,0.627,,False,0.514,False,MATURE,4068.0,1.654,0.878,0.878,0.0,0.0,,v22_calibrated,,,,,,True,24.9,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
7,388050,지투파워,KOSDAQ,인프라·에너지,14580,166.08,2727.8,0.0,,ARMED,ARMED,2,True,1,False,73.0,73.0,99.9,51.0,63.2,0.0,60.3,71.4,48.9,38.9,0.87,0.0,진입적정 + 대기,0,14580.0,12390.0,16480.0,18000.0,,-0.37,0.39,12227,50.5,특이사항 없음,0,17.59,72.4,10.3,STRUCT 강점,AI 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,66.5,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",16608235205.0,81.3,34.85,0,0,0.07,2.68,16.36,32.79,64.0,67.39,22.8,33.72,12.88,0.02,0.02,1,12.0,1,0,2.31,0.68,18670.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.02,6.0,0.9,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,11469.0,19.24,-0.1715,False,O,▲,14795,▲,X,X,0,0,0,1.65,250,0,1,1,1,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",16.87625,26.59,2.0,63.2,OK,25.0,25.0,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,73.0,73.0,73.0,30.28,30.28,FRESH,0.627,,False,0.504,False,MATURE,4068.0,0.868,0.878,0.868,0.0,0.0,,v22_calibrated,,,,,,True,13.0,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
8,476060,온코닉테라퓨틱스,KOSDAQ,기타,22900,116.67,10279.3,0.0,,ARMED,ARMED,2,True,1,False,74.4,74.4,100.0,63.4,45.0,0.0,60.2,69.5,55.0,31.2,1.04,0.0,RR1.0 + 진입적정 + 대기,0,22900.0,20500.0,25400.0,28900.0,,-1.4,0.99,22645,18.86,특이사항 없음,0,9.42,69.1,4.61,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CAUTION,66.5,자연과학 및 공학 연구개발업,11667002725.0,68.6,25.79,0,0,2.0,-6.34,5.77,0.0,17.74,29.89,-9.99,-12.54,-24.62,0.091,0.091,1,12.0,1,0,2.47,0.59,32450.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,10.48,5.0,1.0,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,25782.0,1.12,-0.2362,False,O,▲,23312,▼,X,X,0,0,0,1.11,250,0,1,1,1,0.0,자연과학 및 공학 연구개발업,8.452571428571428,12.478571428571428,11.0,45.0,OK,53.17476514852324,53.17476514852324,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,74.4,74.4,74.4,30.28,30.28,FRESH,0.627,,False,0.515,False,MATURE,4068.0,1.042,0.878,0.878,0.0,0.0,,v22_calibrated,,,,,,True,10.9,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
9,050890,쏠리드,KOSDAQ,IT/전기전자,16780,814.81,10194.9,0.0,,ARMED,ARMED,2,True,1,False,72.2,72.2,100.0,45.3,70.4,0.0,58.7,71.9,54.7,31.6,2.56,0.0,RR2.6 + 진입적정 + 대기,0,16780.0,15520.0,20000.0,22450.0,,-0.24,0.39,14249,1.54,특이사항 없음,0,28.31,62.4,4.56,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,66.5,통신 및 방송 장비 제조업,81480577665.0,74.5,33.09,0,0,2.13,-1.7,-3.29,24.85,109.75,93.54,14.86,79.47,39.03,0.087,0.087,1,12.0,0,0,2.56,0.57,23550.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,7.51,5.0,2.6,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,12594.0,17.76,-0.2129,True,O,▲,17100,▼,X,X,0,0,0,0.43,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,4.268910891089109,25.11871287128713,5.0,70.4,OK,25.0,25.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,72.2,72.2,72.2,30.28,30.28,FRESH,0.627,,False,0.498,False,MATURE,4068.0,2.556,0.878,0.878,0.0,0.0,,v22_calibrated,,,,,,True,19.2,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
10,368770,파이버프로,KOSDAQ,기타,24450,176.98,8032.9,0.0,,ARMED,ARMED,2,True,1,False,72.6,72.6,100.0,38.5,86.2,0.0,58.3,74.9,61.5,23.1,1.49,0.0,RR1.5 + 진입적정 + 대기,0,24450.0,20750.0,29950.0,33250.0,,-0.92,0.35,20337,61.73,특이사항 없음,0,22.51,67.8,5.65,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,66.5,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",17698418725.0,66.1,35.66,0,0,1.03,-4.86,5.84,24.43,54.75,338.96,14.44,24.47,284.45,0.057,0.057,1,12.0,0,0,2.68,0.54,34900.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.13,5.0,1.5,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,17739.0,20.22,-0.409,False,O,▲,25745,▼,X,X,0,0,0,2.48,250,0,1,1,1,0.0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",8.452571428571428,12.478571428571428,11.0,86.2,OK,25.0,25.0,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260427,20260427,,72.6,72.6,72.6,30.28,30.28,FRESH,0.627,,False,0.501,False,MATURE,4068.0,1.486,0.878,0.878,0.0,0.0,,v22_calibrated,,,,,,True,22.5,,ELITE_SCORE,MATURE,4068,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
