LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON
1,012510,더존비즈온,KOSPI,IT/전기전자,120000,111.97,36473.8,0.0,,ATTACK,ATTACK,1,True,1,False,70.4,70.4,65.6,94.9,30.8,0.0,58.9,63.8,64.1,19.9,3.0,0.0,RR3.0 + 진입적정 + 돌입,0,120000.0,116400.0,130800.0,144300.0,,2.39,3.25,110026,1.17,특이사항 없음,0,-0.84,60.5,0.61,TIMING 강점,STRUCT 보조,,기술적 돌파 조건 충족,CAUTION,49.2,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",11196658950.0,60.4,0.9,0,1,1.1,0.84,0.59,0.76,33.33,34.68,-9.23,3.05,-19.83,0.003,0.003,1,6.0,0,1,3.29,0.95,,FIBO_1.272,40,FIBO_1.618,25,,0,v1_sl_first_gap_at_open,3.0,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,118510.0,9.06,0.0299,True,O,▲,119090,▲,O,X,0,0,0,0.84,250,0,1,1,1,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2.8081111111111112,29.43988888888889,7.0,30.8,OK,67.5,67.5,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,70.4,70.4,70.4,30.28,30.28,FRESH,0.62,,False,0.483,False,MATURE,4069.0,3.0,0.878,0.878,0.0,0.0,,v22_calibrated,,,,,,True,9.0,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
2,089030,테크윙,KOSDAQ,조선·기계·설비,60300,613.27,22343.3,0.0,,ATTACK,ATTACK,1,True,1,False,75.6,75.6,96.2,63.1,59.3,0.0,19.6,72.9,36.9,53.9,0.36,0.0,진입적정 + 돌입,0,60300.0,53400.0,62800.0,74000.0,,1.57,0.7,57176,14.3,특이사항 없음,0,18.23,71.7,11.7,STRUCT 강점,TIMING 보조,RSI 과열,기술적 돌파 조건 충족,CAUTION,49.2,특수 목적용 기계 제조업,61326643700.0,73.2,36.91,0,0,-2.9,5.6,11.25,33.11,36.58,-9.73,23.12,6.3,-64.24,0.212,0.173,1,11.1,1,0,2.94,0.86,82900.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,11.44,5.0,0.4,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,51305.0,5.46,0.1139,False,O,▲,60419,▲,X,X,0,0,0,0.0,250,0,1,-1,1,0.0,특수 목적용 기계 제조업,10.904931506849314,32.65931506849315,3.0,59.3,OK,45.06884447507214,45.06884447507214,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,75.6,75.6,75.6,30.28,30.28,FRESH,0.62,,False,0.525,False,MATURE,4069.0,0.362,0.897,0.362,0.0,0.0,,v22_calibrated,,,,,,True,4.1,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
3,056080,유진로봇,KOSDAQ,조선·기계·설비,27750,398.61,10409.6,0.0,,ATTACK,ATTACK,1,True,1,False,76.5,76.5,100.0,78.9,24.6,0.0,17.4,67.8,75.4,5.8,0.26,0.0,진입적정 + 돌입,0,27750.0,24350.0,28650.0,49450.0,🚀급등시동,1.07,2.63,34794,-16.33,특이사항 없음,1,5.03,59.5,10.61,STRUCT 강점,TIMING 보조,,기술적 돌파 조건 충족,CAUTION,49.2,특수 목적용 기계 제조업,39860997025.0,70.2,18.86,0,0,2.02,9.68,11.45,14.2,-18.38,106.94,4.21,-48.66,52.43,0.376,0.06,0,10.9,1,1,3.45,0.84,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,12.25,5.0,0.3,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,28235.0,-20.25,0.2057,False,O,▲,26082,▲,O,X,0,0,0,2.57,250,0,1,1,1,0.0,특수 목적용 기계 제조업,10.904931506849314,32.65931506849315,3.0,24.6,OK,75.05138884899318,75.05138884899318,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,76.5,76.5,76.5,30.28,30.28,FRESH,0.62,,False,0.532,False,MATURE,4069.0,0.265,0.927,0.265,0.0,0.0,,v22_calibrated,,,,,,True,3.2,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
4,102120,어보브반도체,KOSDAQ,반도체,13750,157.06,2444.9,97.0,134.2,ARMED,ARMED,2,True,1,False,85.0,85.0,95.7,97.1,39.3,0.0,70.4,77.4,57.8,27.8,1.35,0.0,RR1.4 + 진입적정 + 대기,0,13750.0,12230.0,15800.0,16580.0,,1.08,1.22,12929,3.25,특이사항 없음,0,16.89,73.4,13.71,TIMING 강점,STRUCT 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,49.2,반도체 제조업,15705567420.0,77.1,46.0,0,0,-5.76,6.67,13.08,34.41,6.34,9.13,24.42,-23.94,-45.38,0.022,0.022,1,11.8,1,0,2.32,0.63,17400.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,11.05,6.0,1.3,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,12257.0,6.34,0.1459,False,O,▲,14271,▲,X,X,0,0,0,-0.27,250,0,1,1,1,0.0,반도체 제조업,14.27,51.881875,1.0,39.3,OK,63.0,63.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,85.0,85.0,85.0,30.28,30.28,FRESH,0.649,,False,0.6,False,MATURE,4069.0,1.349,1.206,1.206,0.1342,1341762.0,97.0,v22_calibrated,,,,,,True,14.9,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
5,006800,미래에셋증권,KOSPI,서비스 기타,68500,2000.85,383303.3,9.0,65.9,ARMED,ARMED,2,True,1,False,79.8,79.8,98.3,70.6,61.3,0.0,69.5,76.7,37.0,53.8,1.17,0.0,RR1.2 + 진입적정 + 대기,0,68500.0,63700.0,74100.0,77000.0,,-0.65,0.98,60502,204.35,특이사항 없음,0,8.06,51.9,1.81,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CAUTION,49.2,금융 지원 서비스업,200084963050.0,55.6,18.07,0,0,-0.29,-0.44,-5.39,11.2,97.7,161.59,1.21,67.42,107.08,0.104,0.104,1,9.4,1,0,2.0,0.58,79800.0,SWING_20D,80,SWING_60D,60,ATR_3.5x,45,v1_sl_first_gap_at_open,7.01,4.0,1.2,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,60440.0,13.22,-0.1128,True,O,▲,69311,▼,X,X,15413,-1507,13906,0.0,250,0,1,1,1,0.0,금융 지원 서비스업,7.153870967741935,13.568709677419355,11.0,61.3,OK,55.618538066384595,55.618538066384595,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,79.8,79.8,79.8,30.28,30.28,FRESH,0.644,,False,0.558,False,MATURE,4069.0,1.167,1.035,1.035,0.0659,659243.0,9.0,v22_calibrated,,,,,,True,8.2,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
6,368770,파이버프로,KOSDAQ,기타,23450,286.17,7704.3,17.0,40.0,ARMED,ARMED,2,True,1,False,78.1,78.1,99.3,50.7,90.5,0.0,66.1,80.2,48.6,39.3,3.25,0.0,RR3.2 + 진입적정 + 3축고점 + 대기,0,23450.0,21450.0,29950.0,32350.0,,-1.59,0.59,20390,55.11,특이사항 없음,1,15.36,61.6,0.27,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,49.2,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",28616899850.0,65.4,30.06,1,0,-4.09,-9.11,-2.29,26.42,46.47,315.78,16.43,16.19,261.27,0.09,0.09,1,12.0,1,0,2.69,0.4,34900.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,8.53,5.0,3.2,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,17739.0,15.0,-0.4132,False,O,▲,25447,▼,X,X,0,0,0,-0.2,250,0,1,1,1,0.0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",7.818846153846153,14.542115384615384,10.0,90.5,OK,28.197179357514038,28.197179357514038,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,pullback,86.0,7.0,60,20260428,20260428,,78.1,78.1,78.1,30.28,30.28,FRESH,0.626,,False,0.545,False,MATURE,4069.0,3.25,0.979,0.979,0.04,400211.0,17.0,v22_calibrated,,,,,,True,27.7,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
7,439260,대한조선,KOSPI,조선·기계·설비,91900,146.41,35405.7,0.0,,ARMED,ARMED,2,True,1,False,74.0,74.0,87.8,69.7,55.2,0.0,65.7,70.9,32.6,59.3,0.88,0.0,진입적정 + 대기,0,91900.0,85400.0,97600.0,109700.0,,-0.4,0.98,90295,35.81,특이사항 없음,0,3.53,57.5,1.61,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CAUTION,49.2,선박 및 보트 건조업,14641202450.0,55.8,12.0,0,0,-0.43,2.11,1.43,7.23,29.07,24.02,-2.76,-1.21,-30.49,0.208,0.107,1,6.9,1,0,2.26,0.54,121900.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,7.07,5.0,0.9,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,86580.0,1.78,-0.0199,True,O,▲,93971,▲,X,X,0,0,0,0.0,180,0,1,0,0,0.0,선박 및 보트 건조업,10.904931506849314,32.65931506849315,3.0,55.2,OK,51.05522133882107,51.05522133882107,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,74.0,74.0,74.0,30.28,30.28,FRESH,0.623,,False,0.512,False,MATURE,4069.0,0.877,0.878,0.877,0.0,0.0,,v22_calibrated,,,,,,True,6.2,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
8,010170,대한광통신,KOSDAQ,기타,15090,3579.85,23462.8,13.0,20.4,ARMED,ARMED,2,True,1,False,76.9,76.9,97.3,51.0,87.8,0.0,65.5,78.7,46.3,42.1,3.04,0.0,RR3.0 + 진입적정 + 대기,0,15090.0,12820.0,22000.0,23900.0,,0.05,0.48,10272,384.03,특이사항 없음,0,68.28,51.1,0.45,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,49.2,절연선 및 케이블 제조업,357984501690.0,55.8,75.94,0,0,-5.81,-3.89,-25.11,108.43,353.83,627.58,98.44,323.55,573.07,0.12,0.12,1,12.0,0,0,2.25,0.51,27200.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.04,5.0,3.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,12481.0,46.89,-0.3544,False,O,▲,14998,▼,O,X,0,0,0,0.75,250,0,1,1,1,0.0,절연선 및 케이블 제조업,7.818846153846153,14.542115384615384,10.0,87.8,OK,38.5,38.5,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,pullback,84.7,7.0,60,20260428,20260428,,76.9,76.9,76.9,30.28,30.28,FRESH,0.622,,False,0.535,False,MATURE,4069.0,3.044,0.94,0.94,0.0204,203699.0,13.0,v22_calibrated,,,,,,True,45.8,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
9,017550,수산세보틱스,KOSPI,조선·기계·설비,3145,138.68,1962.5,3.0,1.2,ARMED,ARMED,2,True,1,False,75.8,75.8,100.0,45.4,88.2,0.0,62.6,77.9,54.6,31.8,2.37,0.0,RR2.4 + 진입적정 + 대기,0,3145.0,2860.0,3820.0,3995.0,,-0.12,0.5,2949,6.16,특이사항 없음,0,56.33,60.4,8.58,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,49.2,특수 목적용 기계 제조업,13867822533.0,87.2,75.84,0,0,-1.26,-9.89,-0.47,70.83,83.38,81.69,60.84,53.1,27.18,0.191,0.191,1,12.0,1,0,4.12,0.65,4460.0,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,v1_sl_first_gap_at_open,9.06,6.0,2.4,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,2466.0,6.62,-0.7528,False,O,▲,3530,▼,X,X,0,0,0,1.41,250,0,1,1,1,0.0,특수 목적용 기계 제조업,10.904931506849314,32.65931506849315,3.0,88.2,OK,25.25598860308899,25.25598860308899,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,75.8,75.8,75.8,30.28,30.28,FRESH,0.62,,False,0.526,False,MATURE,4069.0,2.368,0.904,0.904,0.0012,12183.0,3.0,v22_calibrated,,,,,,True,21.5,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
10,079550,LIG디펜스앤에어로스페이스,KOSPI,기타,933000,2109.95,205260.0,0.0,,ARMED,ARMED,2,True,1,False,74.1,74.1,100.0,43.8,83.0,0.0,60.6,75.6,56.2,29.8,2.06,0.0,RR2.1 + 진입적정 + 대기,0,933000.0,843000.0,1118000.0,1161000.0,,-0.42,0.48,751655,12.01,특이사항 없음,0,36.79,60.6,4.08,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,49.2,무기 및 총포탄 제조업,210995307500.0,62.1,28.76,0,0,-1.79,2.64,-0.11,52.7,77.04,79.77,42.71,46.76,25.26,0.03,0.03,1,12.0,1,0,2.17,0.62,1314000.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,9.65,4.0,2.1,SWING+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,828800.0,24.13,-0.2045,False,O,▲,975467,▼,X,X,0,0,0,-0.21,250,0,1,1,1,0.0,무기 및 총포탄 제조업,7.818846153846153,14.542115384615384,10.0,83.0,OK,26.08514738496652,26.08514738496652,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260428,20260428,,74.1,74.1,74.1,30.28,30.28,FRESH,0.62,,False,0.513,False,MATURE,4069.0,2.056,0.878,0.878,0.0,0.0,,v22_calibrated,,,,,,True,19.8,,ELITE_SCORE,MATURE,4069,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
