LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON
1,087010,펩트론,KOSDAQ,기타,266500,637.24,62140.7,0.0,,ARMED,ARMED,2,True,1,False,76.9,76.9,73.6,74.7,87.7,0.0,74.9,78.7,14.1,82.4,1.79,0.0,밸런스우수 + RR1.8 + 진입적정 + 대기,1,266500.0,245000.0,305000.0,359000.0,,-0.09,1.54,284787,-6.6,특이사항 없음,5,1.81,54.8,0.18,AI 강점,TIMING 보조,,스퀴즈/품질 대기,CAUTION,46.3,기초 의약물질 제조업,63723711000.0,55.8,14.45,1,0,-6.98,-1.11,-5.83,2.5,4.31,-14.31,-2.4,-10.55,-41.06,0.696,0.429,0,12.0,1,1,2.07,0.32,0,0,0,1,1,226900.0,-6.42,0.1829,False,X,▲,269945,▲,X,X,3.32,250,0,1,-1,1,392500.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,8.07,4.0,1.8,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,SWING_120D,45,0.0,기초 의약물질 제조업,15.605078125,25.927343750000002,3.0,0.07853122487268828,0.009056939281714214,0.0684931506849315,OK,87.7,OK,64.5,64.5,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260513,20260513,,76.9,76.9,76.9,14.86,14.86,FRESH,0.653,,False,0.347,True,MATURE,5934.0,1.791,0.925,0.925,0.0,0.0,,v22_calibrated,,,,,,True,14.4,STABLE,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
2,348340,뉴로메카,KOSDAQ,조선·기계·설비,76200,722.4,9420.0,0.0,,ATTACK,ATTACK,1,True,1,False,84.1,84.1,93.0,92.3,50.0,0.0,21.9,78.4,43.0,46.2,0.55,0.0,진입적정 + 돌입,0,76200.0,64700.0,82500.0,97100.0,,1.32,1.37,71639,16.0,특이사항 없음,3,5.04,59.0,13.16,STRUCT 강점,TIMING 보조,5일 급등,기술적 돌파 조건 충족,CAUTION,46.3,특수 목적용 기계 제조업,72239550950.0,56.3,20.57,1,0,0.66,17.05,15.28,35.11,-14.0,173.12,30.21,-28.86,146.37,0.407,0.191,1,12.0,0,0,2.31,0.75,0,0,0,1,1,55965.0,6.37,0.3827,False,O,▲,67919,▲,O,X,0.53,248,0,1,1,1,139000.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.09,5.0,0.5,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,SWING_120D,45,0.0,특수 목적용 기계 제조업,6.517777777777778,28.688333333333333,4.0,0.07813085864266966,0.05240150653110994,0.11764705882352941,OK,50.0,OK,66.0,66.0,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260513,20260513,,84.1,84.1,84.1,14.86,14.86,FRESH,0.537,,False,0.404,True,MATURE,5934.0,0.548,1.17,0.548,0.0,0.0,,v22_calibrated,,,,,,True,8.3,,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
3,482630,삼양엔씨켐,KOSDAQ,화학·소재,20700,89.84,4530.9,0.0,,ARMED,ARMED,2,True,1,False,80.6,80.6,98.0,74.8,57.2,0.0,69.5,76.7,40.8,49.0,1.13,0.0,RR1.1 + 진입적정 + 대기,0,20700.0,18050.0,23700.0,25000.0,,0.78,0.95,19359,54.89,특이사항 없음,1,5.38,56.0,4.15,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CAUTION,46.3,기타 화학제품 제조업,8983835825.0,72.6,16.47,1,0,-4.83,5.61,0.98,20.91,0.24,122.58,16.01,-14.62,95.83,0.0,0.0,1,12.0,0,0,1.6,0.53,0,0,0,1,1,18488.0,6.93,0.2446,False,O,▲,19824,▲,O,X,-3.45,250,0,1,1,1,,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,12.8,6.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,,0,0.0,기타 화학제품 제조업,-5.82590909090909,7.141818181818182,12.0,0.06128364389233955,-0.0005663250840069756,0.2,OK,57.2,OK,43.89947772017134,43.89947772017134,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260513,20260513,,80.6,80.6,80.6,14.86,14.86,FRESH,0.59,,False,0.376,True,MATURE,5934.0,1.132,1.051,1.051,0.0,0.0,,v22_calibrated,,,,,,True,14.5,,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
4,232680,라온로보틱스,KOSDAQ,조선·기계·설비,17400,150.96,2282.2,0.0,,ARMED,ARMED,2,True,1,False,81.6,81.6,96.1,85.7,44.3,0.0,68.3,75.4,51.8,35.2,0.88,0.0,진입적정 + 대기,0,17400.0,15860.0,18750.0,19930.0,,0.32,2.0,16289,16.22,특이사항 없음,2,6.93,61.4,3.98,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CAUTION,46.3,특수 목적용 기계 제조업,15095989785.0,69.6,15.25,1,0,2.78,0.4,-1.19,16.15,-1.97,119.7,11.25,-16.83,92.95,0.261,0.224,1,12.0,1,0,1.37,0.61,0,0,0,1,1,14913.0,6.82,-0.1069,False,O,▲,17508,▼,X,X,0.0,250,0,1,1,1,21850.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,8.85,6.0,0.9,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,특수 목적용 기계 제조업,6.517777777777778,28.688333333333333,4.0,0.07249589490968801,0.015155838946196447,0.4835164835164835,OK,44.3,OK,60.0,60.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260513,20260513,,81.6,81.6,81.6,14.86,14.86,FRESH,0.576,,False,0.384,True,MATURE,5934.0,0.877,1.085,0.877,0.0,0.0,,v22_calibrated,,,,,,True,7.8,,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
5,008770,호텔신라,KOSPI,유통·소비재,61100,322.42,23980.6,0.0,,ARMED,ARMED,2,True,1,False,79.9,79.9,100.0,53.6,92.2,0.0,68.2,81.9,46.4,42.0,3.54,0.0,RR3.5 + 진입적정 + 3축고점 + 대기,0,61100.0,58500.0,70300.0,72800.0,,-0.58,0.79,54430,32.18,특이사항 없음,0,27.16,63.1,1.68,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,46.3,기타 상품 전문 소매업,32241829400.0,63.5,42.25,0,0,-2.08,-4.38,-7.28,25.85,15.5,32.11,20.95,0.64,5.36,0.119,0.119,1,11.9,0,0,2.17,0.6,4094,-1528,2566,1,1,58415.0,12.25,-0.4819,True,O,▲,66422,▼,X,X,0.16,250,0,1,1,1,78700.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,4.26,5.0,3.5,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,0.0,기타 상품 전문 소매업,6.264444444444444,14.938888888888888,7.0,0.05973813420621931,0.09744015405765204,0.4473684210526316,OK,92.2,OK,40.8109693445664,40.8109693445664,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260513,20260513,,79.9,79.9,79.9,14.86,14.86,FRESH,0.574,,False,0.371,True,MATURE,5934.0,3.538,1.027,1.027,0.0,0.0,,v22_calibrated,,,,,,True,15.1,,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
6,018880,한온시스템,KOSPI,조선·기계·설비,5040,1124.27,51723.6,0.0,,ARMED,ARMED,2,True,1,False,78.1,78.1,97.2,59.9,76.2,0.0,68.2,77.8,37.3,53.4,1.1,0.0,RR1.1 + 진입적정 + 대기,0,5040.0,4295.0,5860.0,6580.0,,0.78,0.58,4722,7.67,특이사항 없음,0,5.47,60.0,11.5,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,46.3,일반 목적용 기계 제조업,112426565003.0,72.3,44.34,0,0,-2.33,-6.84,18.31,29.4,10.28,19.57,24.5,-4.58,-7.18,0.112,0.112,1,12.0,1,0,2.27,0.58,0,0,0,1,1,4178.0,6.73,-0.0263,False,O,▲,5277,▲,X,X,-1.16,250,0,1,1,1,7270.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,14.78,4.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,일반 목적용 기계 제조업,6.517777777777778,28.688333333333333,4.0,0.08723072562358278,0.3312169380383533,0.4074074074074074,OK,76.2,OK,39.00474135308942,39.00474135308942,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260513,20260513,,78.1,78.1,78.1,14.86,14.86,FRESH,0.574,,False,0.356,True,MATURE,5934.0,1.101,0.966,0.966,0.0,0.0,,v22_calibrated,,,,,,True,16.3,,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
7,322000,HD현대에너지솔루션,KOSPI,2차전지,212000,1896.62,23744.0,0.0,,ARMED,ARMED,2,True,1,False,79.3,79.3,98.1,73.1,54.3,0.0,67.6,75.2,43.8,45.2,1.01,0.0,RR1.0 + 진입적정 + 대기,0,212000.0,180200.0,244000.0,289500.0,,-0.16,0.91,139200,100.57,특이사항 없음,0,21.6,65.8,11.52,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CAUTION,46.3,반도체 제조업,189661714250.0,75.1,47.53,0,0,2.42,-0.7,12.35,31.76,168.69,258.11,26.86,153.83,231.36,0.032,0.032,1,12.0,1,0,3.12,0.64,0,0,0,1,1,165700.0,52.3,-0.3365,False,O,▲,214390,▼,X,X,2.9,250,0,1,1,1,347000.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.0,5.0,1.0,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,반도체 제조업,-9.368,18.262999999999998,9.0,0.10414420485175202,0.050866178643657306,0.7916666666666666,OK,54.3,OK,52.51996890319612,52.51996890319612,4,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260513,20260513,,79.3,79.3,79.3,14.86,14.86,FRESH,0.567,,False,0.366,True,MATURE,5934.0,1.006,1.007,1.006,0.0,0.0,,v22_calibrated,,,,,,True,15.1,,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
8,002380,KCC,KOSPI,화학·소재,572000,257.06,50830.6,0.0,,ARMED,ARMED,2,True,1,False,76.3,76.3,84.3,84.6,43.7,0.0,66.7,70.9,40.9,48.9,1.87,0.0,RR1.9 + 진입적정 + 대기,0,572000.0,527000.0,656000.0,692000.0,⚡눌림회복,-1.56,1.11,556704,3.38,특이사항 없음,1,5.43,53.9,0.73,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,CAUTION,46.3,기타 화학제품 제조업,25706185500.0,52.2,16.25,1,0,-1.55,-8.19,3.62,13.49,16.85,36.19,8.59,1.99,9.44,0.157,0.157,1,11.9,1,0,1.2,0.4,0,0,0,1,1,540200.0,2.75,-0.205,True,O,▲,602072,▲,X,X,-2.75,250,0,1,1,1,,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,7.87,4.0,1.9,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,,0,0.0,기타 화학제품 제조업,-5.82590909090909,7.141818181818182,12.0,0.05944055944055944,0.06064481198845785,0.1935483870967742,OK,43.7,OK,57.50960021595223,57.50960021595223,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,pullback,83.3,7.0,60,20260513,20260513,,76.3,76.3,76.3,14.86,14.86,FRESH,0.557,,False,0.342,True,MATURE,5934.0,1.867,0.905,0.905,0.0,0.0,,v22_calibrated,,,,,,True,14.7,,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
9,100590,머큐리,KOSDAQ,IT/전기전자,9280,306.66,1590.5,0.0,,ARMED,ARMED,2,True,1,False,73.3,73.3,88.8,52.2,84.3,0.0,64.7,75.1,36.6,54.3,2.48,0.0,RR2.5 + 진입적정 + 대기,0,9280.0,7880.0,12750.0,13890.0,,0.96,0.76,7681,8.89,특이사항 없음,0,2.69,61.5,14.39,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CAUTION,46.3,통신 및 방송 장비 제조업,30665667690.0,74.9,81.01,0,0,-4.03,4.5,39.97,-18.02,160.67,172.14,-22.92,145.81,145.39,0.182,0.17,1,12.0,0,0,2.1,0.49,0,0,0,1,1,6827.0,20.81,0.3737,False,O,▲,9594,▲,X,X,-3.83,250,0,1,1,1,15380.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.09,6.0,2.5,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,통신 및 방송 장비 제조업,3.911222222222222,20.537,6.0,0.14185652709359606,0.15628291347620266,0.7514450867052023,OK,84.3,OK,34.60228158395745,34.60228158395745,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260513,20260513,,73.3,73.3,73.3,14.86,14.86,FRESH,0.537,,False,0.318,True,MATURE,5934.0,2.479,0.857,0.857,0.0,0.0,,v22_calibrated,,,,,,True,37.4,,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
10,295310,에이치브이엠,KOSDAQ,철강·금속,96000,216.6,11546.2,0.0,,ARMED,ARMED,2,True,1,False,65.4,65.4,54.8,80.7,56.2,0.0,62.5,63.9,25.9,67.6,1.24,0.0,RR1.2 + 진입적정 + 대기,0,96000.0,81600.0,113900.0,122300.0,,1.36,0.88,92187,9.76,특이사항 없음,3,-1.92,54.9,5.14,TIMING 강점,,,스퀴즈/품질 대기,CAUTION,46.3,1차 비철금속 제조업,21660322150.0,52.2,23.11,1,0,-2.24,10.22,10.22,15.38,8.72,320.13,10.48,-6.14,293.38,0.117,0.117,1,12.0,1,0,2.23,0.44,0,0,0,1,1,80360.0,4.14,0.4707,False,O,▲,93622,▲,O,X,-0.92,250,0,1,1,1,130900.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.0,5.0,1.2,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,1차 비철금속 제조업,-1.9004347826086954,10.589565217391305,10.0,0.07819940476190476,-0.0016250921703495442,0.05825242718446602,OK,56.2,OK,52.51828172617742,52.51828172617742,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260513,20260513,,65.4,65.4,65.4,14.86,14.86,FRESH,0.537,,False,0.3,True,MATURE,5934.0,1.243,0.839,0.839,0.0,0.0,,v22_calibrated,,,,,,True,18.6,,ELITE_SCORE,MATURE,5934,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
