LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),KELLY_ENGINE,KELLY_ERROR,추천수량,STRATEGY_SCORE,STRATEGY_HORIZON,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON,ENTRY_RISK_FLAG,ENTRY_RISK_LEVEL,ENTRY_RISK_RULE,ENTRY_RISK_REASON
1,100790,미래에셋벤처투자,KOSDAQ,금융,60800,4053.15,32299.8,0.0,,ATTACK,ATTACK,1,True,1,False,89.1,88.3,99.4,82.1,65.7,0.8,76.2,82.4,33.7,57.9,1.08,0.0,RR1.1 + 진입적정 + 3축고점 + 돌입,1,60800.0,51600.0,70700.0,76800.0,,0.58,1.32,39166,113.94,[뉴스]스페이스X의 조기 IPO 기대감으로 미래에셋벤처투자의 주가가 23% 급등하며 강한 매수 심리를 보였습니다.,0,16.69,49.6,6.31,STRUCT 강점,TIMING 보조,,기술적 돌파 조건 충족,CRITICAL,25.6,기타 금융업,405315318850.0,59.6,36.29,0,0,-9.79,3.23,15.59,31.32,154.93,662.86,38.64,161.51,638.41,0.029,0.029,1,12.0,0,0,2.18,0.64,0,0,0,1,1,42150.0,55.24,0.0395,False,O,▲,60307,▲,O,X,0.0,250,0,1,1,1,88800.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.13,5.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,기타 금융업,-0.39142857142857135,-7.937380952380953,8.0,0.13146146616541354,0.04125393872922994,0.2641509433962264,OK,65.7,OK,60.508980955895076,60.508980955895076,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519, 📢재료: [뉴스]스페이스X의 조기 IPO 기대감으로 미래에셋벤처투자의 주가가 23% 급등하며 강한 매수 심리를 보였습니다.,89.1,89.1,89.1,28.08,-6.58,FRESH,0.573,,False,0.444,True,MATURE,6437.0,1.076,1.194,1.076,0.0,0.0,v22_calibrated,,,,,,,,,True,16.3,AGGRESSIVE,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
2,027360,아주IB투자,KOSDAQ,금융,17280,7127.3,20933.9,0.0,,ARMED,ARMED,2,True,1,False,87.80000000000001,86.9,96.0,83.4,66.2,0.9,76.7,81.9,29.8,62.8,1.03,0.0,RR1.0 + 진입적정 + 3축고점 + 대기,1,17280.0,14680.0,19950.0,22000.0,,0.55,2.02,11326,263.73,[뉴스]스페이스X의 조기 상장 기대감으로 인해 아주IB투자의 주가가 큰 폭으로 상승하며 우주항공 테마의 강세를 이끌었습니다.,0,21.19,47.6,9.17,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CRITICAL,25.6,기타 금융업,712730082175.0,56.3,46.69,0,0,1.59,2.55,11.77,44.84,240.83,787.52,52.16,247.41,763.07,0.06,0.06,1,12.0,0,0,2.69,0.69,0,0,0,1,1,12143.0,52.56,-0.0865,False,O,▲,16092,▲,O,X,2.59,250,0,1,1,1,25500.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.05,5.0,1.0,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,기타 금융업,-0.39142857142857135,-7.937380952380953,8.0,0.13516865079365079,0.05234489826027192,0.684931506849315,OK,66.2,OK,65.5,65.5,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519, 📢재료: [뉴스]스페이스X의 조기 상장 기대감으로 인해 아주IB투자의 주가가 큰 폭으로 상승하며 우주항공 테마의 강세를 이끌었습니다.,87.80000000000001,87.80000000000001,87.80000000000001,28.08,-6.58,FRESH,0.565,,False,0.434,True,MATURE,6437.0,1.027,1.194,1.027,0.0,0.0,v22_calibrated,,,,,,,,,True,15.5,AGGRESSIVE,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
3,214320,이노션,KOSPI,미디어·콘텐츠,21750,127.22,8700.0,0.0,,ATTACK,ATTACK,1,True,1,False,87.0,87.0,100.0,100.0,34.9,0.0,21.0,78.3,65.1,18.6,0.64,0.0,진입적정 + 돌입,0,21750.0,20350.0,22650.0,24900.0,,1.74,2.06,19542,19.87,특이사항 없음,0,3.49,71.1,9.72,STRUCT 강점,TIMING 보조,RSI 과열,기술적 돌파 조건 충족,CRITICAL,25.6,광고업,12721761125.0,80.4,15.35,0,0,2.59,7.14,10.97,16.19,7.67,20.9,-1.25,-20.41,-64.15,0.0,0.0,1,8.1,0,1,2.72,0.78,0,0,0,1,1,18736.0,11.3,0.1287,False,O,▲,20813,▲,O,X,0.0,250,0,1,1,1,25850.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,6.44,5.0,0.6,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,광고업,-3.2300000000000004,-15.528,13.0,0.04073891625615764,2.0,0.35294117647058826,OK,34.9,OK,90.0,90.0,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519,,87.0,87.0,87.0,28.08,-6.58,FRESH,0.535,,False,0.427,True,MATURE,6437.0,0.643,1.194,0.643,0.0,0.0,v22_calibrated,,,,,,,,,True,4.1,,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
4,254490,미래반도체,KOSDAQ,기타,30550,166.67,4410.8,0.0,,ARMED,ARMED,2,True,1,False,82.0,82.0,97.7,45.4,84.7,0.0,61.6,75.9,52.3,34.6,3.76,0.0,RR3.8 + 진입적정 + 대기,0,30550.0,25950.0,47850.0,51200.0,,0.38,0.38,27609,65.41,특이사항 없음,0,46.74,59.1,8.45,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,25.6,기타 전문 도매업,16667025225.0,71.9,115.4,0,0,-3.32,-14.19,4.44,67.21,68.78,103.67,74.53,75.36,79.22,0.144,0.05,1,12.0,0,0,2.04,0.41,0,0,0,1,1,24047.0,10.65,-1.2225,False,O,▲,40822,▼,X,X,-1.27,250,0,1,1,1,56700.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.06,6.0,3.8,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,기타 전문 도매업,-3.7547058823529413,-1.2380672268907564,6.0,0.19289221416880992,0.16316355318854492,0.5,OK,84.7,OK,30.74465758014383,30.74465758014383,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519,,82.0,82.0,82.0,28.08,-6.58,FRESH,0.535,,False,0.388,True,MATURE,6437.0,3.761,1.09,1.09,0.0,0.0,v22_calibrated,,,,,,,,,True,56.6,,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
5,138360,앤로보틱스,KOSDAQ,조선·기계·설비,3375,57.83,2598.5,0.0,,ARMED,ARMED,2,True,1,False,83.0,83.0,100.0,40.9,89.0,0.0,60.2,76.6,59.1,26.1,5.26,0.0,RR5.3 + 진입적정 + 대기,0,3375.0,3070.0,4980.0,5460.0,,-0.29,0.26,3060,108.66,특이사항 없음,0,53.51,45.9,2.06,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,25.6,특수 목적용 기계 제조업,5783133942.0,77.1,77.12,0,0,-5.99,-2.17,-3.71,55.53,55.89,259.42,62.85,62.47,234.97,0.198,0.168,1,12.0,0,0,2.36,0.45,0,0,0,1,1,2903.0,10.27,-0.4085,False,O,▲,3792,▼,X,X,-3.06,249,0,1,1,1,5910.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,9.04,6.0,5.3,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,특수 목적용 기계 제조업,-6.6410526315789475,10.066666666666666,2.0,0.17587301587301588,0.0909536397212483,0.5056179775280899,OK,89.0,OK,25.0,25.0,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519,,83.0,83.0,83.0,28.08,-6.58,FRESH,0.535,,False,0.396,True,MATURE,6437.0,5.262,1.124,1.124,0.0,0.0,v22_calibrated,,,,,,,,,True,47.6,,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
6,006340,대원전선,KOSPI,기타,14080,1094.76,11040.7,0.0,,ARMED,ARMED,2,True,1,False,81.9,81.9,100.0,34.5,91.2,0.0,57.1,75.2,65.5,18.1,2.93,0.0,RR2.9 + 진입적정 + 대기,0,14080.0,11960.0,20300.0,21400.0,,-0.37,0.21,9137,259.26,특이사항 없음,0,110.44,61.5,7.27,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,25.6,절연선 및 케이블 제조업,109475991580.0,82.0,125.31,0,0,-7.06,-12.0,-18.85,127.46,260.1,321.56,110.02,232.02,236.51,0.131,0.088,1,12.0,0,0,4.87,0.56,0,0,0,1,1,12529.0,54.09,-1.1642,False,O,▲,16745,▼,X,X,0.0,250,0,1,1,1,23800.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.06,5.0,2.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,0.0,절연선 및 케이블 제조업,-3.7547058823529413,-1.2380672268907564,6.0,0.19678368506493507,0.09658236974078704,0.5138339920948617,OK,91.2,OK,20.5,20.5,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519,,81.9,81.9,81.9,28.08,-6.58,FRESH,0.535,,False,0.387,True,MATURE,6437.0,2.934,1.086,1.086,0.0,0.0,v22_calibrated,,,,,,,,,True,44.2,,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
7,012200,계양전기,KOSPI,조선·기계·설비,8320,102.28,2264.9,0.0,,ARMED,ARMED,2,True,1,False,79.3,79.3,99.0,35.8,79.5,0.0,55.3,71.4,63.2,21.0,4.46,0.0,RR4.5 + 진입적정 + 대기,0,8320.0,7070.0,13900.0,14270.0,,-0.35,0.2,9247,16.35,특이사항 없음,0,3.33,55.2,4.68,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,25.6,일반 목적용 기계 제조업,10227926760.0,82.5,83.5,0,0,-5.13,-24.29,16.69,24.55,15.56,496.84,7.11,-12.52,411.79,0.41,0.122,1,12.0,1,0,5.05,0.27,0,0,0,1,-1,13581.0,-10.03,-1.4007,False,O,▲,10314,▼,X,X,0.34,247,0,1,1,1,16210.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.02,6.0,4.5,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_120D,45,FIBO_1.272,40,0.0,일반 목적용 기계 제조업,-6.6410526315789475,10.066666666666666,2.0,0.16243131868131866,0.16655580058795166,0.07792207792207792,OK,79.5,OK,25.0,25.0,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519,,79.3,79.3,79.3,28.08,-6.58,FRESH,0.535,,False,0.366,True,MATURE,6437.0,4.464,0.996,0.996,0.0,0.0,v22_calibrated,,,,,,,,,True,67.1,,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
8,142210,유니트론텍,KOSDAQ,자동차·모빌리티,6850,134.98,1421.5,0.0,,ARMED,ARMED,2,True,1,False,76.9,76.9,98.8,41.8,60.5,0.0,54.5,67.0,57.0,28.8,2.13,0.0,RR2.1 + 진입적정 + 대기,0,6850.0,5840.0,9000.0,10120.0,,-0.45,1.25,7033,-6.78,특이사항 없음,0,7.31,63.0,7.1,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,25.6,자동차 부품 및 내장품 판매업,13497811050.0,85.4,53.11,0,0,-4.2,-9.99,17.29,22.98,8.56,33.53,30.3,15.14,9.08,0.397,0.397,0,12.0,1,0,4.2,0.39,0,0,0,1,1,6120.0,-2.61,-0.6236,False,O,▲,7752,▲,X,X,0.14,250,0,1,1,1,11540.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,14.74,6.0,2.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,자동차 부품 및 내장품 판매업,-9.378888888888888,-5.334444444444445,11.0,0.09426485922836288,0.9663019082262027,0.1744186046511628,OK,60.5,OK,49.5,49.5,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519,,76.9,76.9,76.9,28.08,-6.58,FRESH,0.535,,False,0.347,True,MATURE,6437.0,2.129,0.913,0.913,0.0,0.0,v22_calibrated,,,,,,,,,True,31.4,,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
9,223250,드림씨아이에스,KOSDAQ,기타,5820,175.12,1431.7,0.0,,ARMED,ARMED,2,True,1,False,63.6,63.6,69.8,38.6,77.7,0.0,52.1,62.0,39.1,51.1,3.22,0.0,RR3.2 + 진입적정 + 대기,0,5820.0,4945.0,8640.0,9130.0,,0.75,1.01,6881,-14.74,특이사항 없음,0,1.17,57.3,0.72,AI 강점,STRUCT 보조,,스퀴즈/품질 대기,CRITICAL,25.6,자연과학 및 공학 연구개발업,17512359340.0,88.2,64.38,0,0,-9.77,-13.65,19.14,15.48,-1.36,29.91,22.8,5.22,5.46,0.758,0.385,0,12.0,1,0,6.21,0.28,0,0,0,1,1,5507.5,-15.43,-0.9859,False,O,▼,7178,▼,X,X,0.31,250,0,-1,1,1,9810.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.03,6.0,3.2,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,자연과학 및 공학 연구개발업,-3.7547058823529413,-1.2380672268907564,6.0,0.16230976926853216,0.3445675159869577,0.5140845070422535,OK,77.7,OK,44.629552090767476,44.629552090767476,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519,,63.6,63.6,63.6,28.08,-6.58,FRESH,0.535,,False,0.3,True,MATURE,6437.0,3.223,0.824,0.824,0.0,0.0,v22_calibrated,,,,,,,,,True,48.5,,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
10,488280,에스투더블유,KOSDAQ,IT/전기전자,24850,105.87,2684.7,0.0,,ARMED,ARMED,2,True,1,False,74.8,74.8,93.6,23.3,87.4,0.0,49.8,68.1,70.3,12.1,2.69,0.0,RR2.7 + 진입적정 + 대기,0,24850.0,22900.0,30100.0,31900.0,,1.25,0.69,22799,-6.76,특이사항 없음,0,31.17,61.4,2.58,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,25.6,소프트웨어 개발 및 공급업,10586913450.0,86.1,63.06,0,0,-2.36,1.02,-5.33,19.47,19.18,10.94,26.79,25.76,-13.51,0.695,0.361,0,12.0,0,0,2.4,0.57,0,0,0,1,1,21924.0,9.0,-0.7764,True,O,▼,28251,▼,X,X,-1.18,159,0,-1,0,0,36100.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,7.85,6.0,2.7,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,0.0,소프트웨어 개발 및 공급업,-5.661219512195122,4.6329268292682935,4.0,0.12926128197757977,0.03626123140551581,0.796875,OK,87.4,OK,30.86466203865769,30.86466203865769,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260519,20260519,,74.8,74.8,74.8,28.08,-6.58,FRESH,0.535,,False,0.33,True,MATURE,6437.0,2.692,0.847,0.847,0.0,0.0,v22_calibrated,,,,,,,,,True,21.1,,ELITE_SCORE,MATURE,6437,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
