LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,STRATEGY_SCORE,STRATEGY_HORIZON,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON,ENTRY_RISK_FLAG,ENTRY_RISK_LEVEL,ENTRY_RISK_RULE,ENTRY_RISK_REASON,BUY_NOW_SCORE,BUY_NOW_GRADE,BUY_NOW_PASS,BUY_NOW_REASON,BUY_NOW_ELIGIBLE,NO_CHASE_FLAG,PULLBACK_WAIT_FLAG,ANTI_STRUCT_REVERSAL_FLAG,ANTI_STRUCT_REVERSAL_TYPE,ANTI_STRUCT_REVERSAL_SCORE,ANTI_STRUCT_REVERSAL_REASON
1,187870,디바이스,KOSDAQ,조선·기계·설비,23800,200.96,3277.3,66.0,156.7,ARMED,ARMED,2,True,0,False,88.7,88.3,97.6,73.4,81.2,0.4,77.6,84.1,24.2,69.8,1.52,1.5,RR1.5 + 진입적정 + 3축고점 + 대기,1,23450.0,19920.0,29700.0,35000.0,,0.13,2.03,17605,106.95,[뉴스]한컴 AI 에이전트와 모빌린트,0,25.77,58.7,7.16,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,85.2,특수 목적용 기계 제조업,20096174475.0,60.4,61.26,0,0,3.48,-15.3,10.44,37.33,136.32,219.33,39.02,136.65,183.75,0.065,0.065,1,12.0,0,0,2.34,0.56,0,0,0,1,1,19281.0,35.18,-0.9374,False,O,▲,26817,▼,X,X,-2.39,250,0,1,1,1,43100.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.05,6.0,1.8,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,특수 목적용 기계 제조업,4.018888888888889,6.95968253968254,3.0,0.13823529411764707,0.07737504937971164,0.19696969696969696,OK,81.2,OK,49.5,49.5,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522, 📢재료: [뉴스]한컴 AI 에이전트와 모빌린트,88.7,88.7,88.7,31.46,-0.33,FRESH,0.524,,False,0.63,False,MATURE,6926.0,1.771,1.171,1.171,0.1567,1566985.0,66.0,v22_calibrated,,,,,,,,True,24.8,AGGRESSIVE,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,50.0,WATCH,0,VWAP 35↑ · POC 107↑,0,1,1,0,,0.0,S=98≥50
2,003690,코리안리,KOSPI,금융,14520,63.39,25659.9,0.0,,ATTACK,ATTACK,1,True,1,False,64.4,64.4,64.8,78.5,45.8,0.0,60.8,63.0,32.7,59.1,2.12,0.0,RR2.1 + 진입적정 + 돌입,0,14520.0,13350.0,17000.0,18620.0,,2.5,0.75,13009,24.45,특이사항 없음,0,0.61,71.6,13.86,TIMING 강점,STRUCT 보조,RSI 과열,기술적 돌파 조건 충족,CRITICAL,85.2,재 보험업,6339119930.0,74.8,31.01,0,0,-0.14,10.59,19.9,17.76,0.9,31.05,-4.52,-30.56,-73.0,0.0,0.0,1,9.7,0,0,1.79,0.88,0,0,0,1,1,12164.0,11.61,0.1527,False,O,▲,14050,▲,O,X,-1.58,250,0,1,1,1,,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,8.06,5.0,2.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,ATR_3.5x,45,RR_LEGACY,35,,0,0.0,재 보험업,3.195897435897436,-10.102307692307692,9.0,0.0487012987012987,0.1260886605569956,0.5227272727272727,OK,45.8,OK,56.25712934695217,56.25712934695217,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522,,64.4,64.4,64.4,31.46,-0.33,FRESH,0.458,,False,0.435,True,MATURE,6926.0,2.12,0.845,0.845,0.0,0.0,,v22_calibrated,,,,,,,,True,17.1,,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,75.0,BUY,1,,0,0,0,0,,0.0,S=65≥50
3,321370,센서뷰,KOSDAQ,IT/전기전자,3520,191.46,1818.6,0.0,,ARMED,ARMED,2,True,1,False,68.0,68.0,59.3,77.8,79.6,0.0,69.0,72.2,20.3,74.6,1.55,0.0,RR1.6 + 진입적정 + 대기,0,3520.0,2990.0,4340.0,4550.0,,1.49,1.1,3539,4.05,특이사항 없음,0,-1.67,56.6,6.88,AI 강점,TIMING 보조,5일 급등,스퀴즈/품질 대기,CRITICAL,85.2,전자부품 제조업,19146032662.0,70.9,32.11,0,0,-4.86,17.33,9.49,16.17,36.12,276.07,17.86,36.45,240.49,0.391,0.325,1,12.0,1,0,11.19,0.41,0,0,0,1,1,2599.5,-0.55,0.022,False,O,▲,3539,▲,X,X,0.41,250,0,1,1,1,4900.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.06,6.0,1.5,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,SWING_60D,60,0.0,전자부품 제조업,6.802,4.980666666666666,4.0,0.14590097402597402,0.09404641180734745,0.2815533980582524,OK,79.6,OK,61.88518609177765,61.88518609177765,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522,,68.0,68.0,68.0,31.46,-0.33,FRESH,0.5,,False,0.464,False,MATURE,6926.0,1.547,0.845,0.845,0.0,0.0,,v22_calibrated,,,,,,,,True,23.3,,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,85.0,BUY,1,,0,0,0,0,,0.0,S=59≥50
4,195870,해성디에스,KOSPI,IT/전기전자,83500,160.46,14195.0,10.0,87.1,ARMED,ARMED,2,True,1,False,81.8,81.8,93.9,56.9,79.5,0.0,66.8,76.8,37.0,53.7,1.06,0.0,RR1.1 + 진입적정 + 대기,0,83500.0,70900.0,96900.0,110000.0,⚡눌림회복,-0.13,0.52,68876,51.48,특이사항 없음,1,9.22,54.2,1.79,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,85.2,전자부품 제조업,16045604350.0,63.6,20.14,1,0,2.83,-4.68,-4.57,21.9,27.48,69.2,-0.38,-3.98,-34.85,0.015,0.015,1,12.0,0,0,1.49,0.51,0,0,0,1,1,66920.0,21.23,-0.3964,False,O,▲,84317,▼,X,X,0.49,250,0,1,1,1,128400.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.09,5.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,전자부품 제조업,6.802,4.980666666666666,4.0,0.09050470487596236,-0.029252530436305033,0.4,OK,79.5,OK,24.718608918978905,24.718608918978905,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522,,81.8,81.8,81.8,31.46,-0.33,FRESH,0.477,,False,0.574,False,MATURE,6926.0,1.063,1.067,1.063,0.0871,871044.0,10.0,v22_calibrated,,,,,,,,True,16.0,,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,0.0,AVOID,0,RR 1.06 · VWAP 21↑ · POC 51↑,0,0,0,0,,0.0,T=57<70 · S=94≥50
5,017670,SK텔레콤,KOSPI,IT/전기전자,102800,2088.65,220804.2,0.0,,ARMED,ARMED,2,True,1,False,72.6,72.6,86.1,92.9,10.2,0.0,56.1,63.1,82.7,0.0,0.89,0.0,진입적정 + 대기,0,102800.0,93000.0,111500.0,123000.0,,-1.84,1.86,89426,89.47,특이사항 없음,1,4.16,61.9,3.99,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,CRITICAL,85.2,전기 통신업,208865173950.0,58.8,14.1,1,0,0.0,1.48,9.95,2.49,27.07,90.02,-19.79,-4.39,-14.03,0.041,0.041,1,11.2,1,1,0.94,0.57,0,0,0,1,1,92050.0,14.95,-0.0264,False,O,▲,102103,▲,O,X,7.3,250,0,1,1,1,137800.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입+ENTRY:split,9.53,4.0,0.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:갭 7%+ 분할 진입+ENTRY:split,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,전기 통신업,6.802,4.980666666666666,4.0,0.05614230127848805,-0.026287164696729353,0.10344827586206896,OK,10.2,OK,67.0928021082226,67.0928021082226,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522,,72.6,72.6,72.6,31.46,-0.33,FRESH,0.458,,False,0.501,False,MATURE,6926.0,0.888,0.845,0.845,0.0,0.0,,v22_calibrated,,,,,,,,True,8.5,,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,0.0,AVOID,0,RR 0.89 · POC 89↑,0,1,0,0,,0.0,S=86≥50
6,254490,미래반도체,KOSDAQ,기타,32150,199.7,4641.8,22.0,72.1,ARMED,ARMED,2,True,1,False,80.7,80.7,100.0,32.3,88.1,0.0,55.3,73.5,67.7,15.4,3.24,0.0,RR3.2 + 진입적정 + 대기,0,32150.0,27300.0,47850.0,54200.0,,-1.9,0.41,28760,74.07,특이사항 없음,0,53.54,59.3,6.43,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,85.2,기타 전문 도매업,19970364350.0,69.4,95.09,0,0,-6.27,-21.59,4.21,67.45,56.83,121.72,69.14,57.16,86.14,0.118,0.051,1,12.0,0,0,2.03,0.46,0,0,0,1,1,24047.0,11.78,-1.0539,False,O,▲,36845,▼,X,X,0.0,250,0,1,1,1,56700.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.09,6.0,3.2,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,기타 전문 도매업,2.7627678571428573,-0.4638392857142856,5.0,0.19517884914463451,0.10158109424600206,0.2804878048780488,OK,88.1,OK,17.977675855886023,17.977675855886023,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522,,80.7,80.7,80.7,31.46,-0.33,FRESH,0.458,,False,0.566,False,MATURE,6926.0,3.237,1.031,1.031,0.0721,721493.0,22.0,v22_calibrated,,,,,,,,True,48.8,,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,70.0,BUY,1,전일 -6.3% · POC 74↑,0,0,0,0,,0.0,T=32<70 · S=100≥50
7,006340,대원전선,KOSPI,기타,14610,833.15,11456.3,46.0,67.8,ARMED,ARMED,2,True,1,False,80.4,80.4,100.0,30.6,88.9,0.0,54.5,73.2,69.4,13.2,2.59,0.0,RR2.6 + 진입적정 + 대기,0,14610.0,12410.0,20300.0,23500.0,,-0.18,0.16,9894,272.79,특이사항 없음,0,91.96,48.5,1.96,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,85.2,절연선 및 케이블 제조업,83315427710.0,67.4,82.27,0,0,-4.01,3.03,-18.88,126.86,124.42,300.82,104.58,92.96,196.77,0.147,0.103,1,12.0,0,0,4.84,0.58,0,0,0,1,1,12529.0,47.65,-0.466,False,O,▲,14669,▼,X,X,1.31,250,0,1,1,1,24550.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.06,5.0,2.6,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,절연선 및 케이블 제조업,2.7627678571428573,-0.4638392857142856,5.0,0.17360907401975165,0.04291174332816505,0.010309278350515464,OK,88.9,OK,17.5,17.5,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522,,80.4,80.4,80.4,31.46,-0.33,FRESH,0.458,,False,0.563,False,MATURE,6926.0,2.586,1.021,1.021,0.0678,677553.0,46.0,v22_calibrated,,,,,,,,True,38.9,,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,50.0,WATCH,0,VWAP 48↑ · POC 273↑,0,1,1,0,,0.0,T=31<70 · S=100≥50
8,381620,제닉스로보틱스,KOSDAQ,조선·기계·설비,11670,53.62,1530.9,0.0,,ARMED,ARMED,2,True,1,False,61.9,61.9,61.0,44.8,85.9,0.0,53.8,63.9,41.1,48.6,1.3,0.0,RR1.3 + 진입적정 + 대기,0,11670.0,9910.0,13960.0,14730.0,,1.54,0.3,11215,6.22,특이사항 없음,0,1.91,58.8,7.71,AI 강점,STRUCT 보조,,스퀴즈/품질 대기,CRITICAL,85.2,특수 목적용 기계 제조업,5361652780.0,86.7,45.44,0,0,-2.75,3.09,-0.34,26.85,-6.19,-18.45,28.54,-5.86,-54.03,0.732,0.295,1,12.0,0,0,3.41,0.55,0,0,0,1,1,9001.0,4.05,-0.1826,False,O,▼,11839,▼,X,X,-0.08,250,0,-1,-1,1,17020.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.08,6.0,1.3,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,특수 목적용 기계 제조업,4.018888888888889,6.95968253968254,3.0,0.13079936344717835,0.09408042883821292,0.15789473684210525,OK,85.9,OK,28.608005388327356,28.608005388327356,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522,,61.9,61.9,61.9,31.46,-0.33,FRESH,0.458,,False,0.415,True,MATURE,6926.0,1.301,0.845,0.845,0.0,0.0,,v22_calibrated,,,,,,,,True,19.6,,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,85.0,BUY,1,,0,0,0,0,,0.0,T=45<70 · S=61≥50
9,012200,계양전기,KOSPI,조선·기계·설비,8570,126.98,2333.0,27.0,23.5,ARMED,ARMED,2,True,1,False,77.6,77.6,99.4,30.3,76.7,0.0,51.8,68.8,69.1,13.6,4.13,0.0,RR4.1 + 진입적정 + 대기,0,8570.0,7280.0,13900.0,14270.0,,0.14,0.23,9250,19.84,특이사항 없음,0,12.73,56.7,3.72,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,85.2,일반 목적용 기계 제조업,12697563425.0,81.9,74.81,0,0,-4.14,-4.88,1.06,34.33,21.39,514.34,12.05,-10.07,410.29,0.421,0.195,1,12.0,1,0,5.54,0.29,0,0,0,1,-1,13224.0,-7.35,-0.7957,False,O,▲,9625,▼,X,X,0.0,247,0,1,1,1,16210.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.05,6.0,4.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_120D,45,FIBO_1.272,40,0.0,일반 목적용 기계 제조업,4.018888888888889,6.95968253968254,3.0,0.165944324054009,0.09758050160690122,0.29545454545454547,OK,76.7,OK,20.06216544636875,20.06216544636875,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522,,77.6,77.6,77.6,31.46,-0.33,FRESH,0.458,,False,0.541,False,MATURE,6926.0,4.132,0.93,0.93,0.0235,235018.0,27.0,v22_calibrated,,,,,,,,True,62.2,,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,90.0,BUY,1,,0,0,0,0,,0.0,T=30<70 · S=99≥50
10,059120,아진엑스텍,KOSDAQ,반도체,10550,61.41,1931.7,0.0,,ARMED,ARMED,2,True,1,False,73.6,73.6,100.0,48.0,32.8,0.0,49.8,60.3,67.2,16.0,2.48,0.0,RR2.5 + 진입적정 + 대기,0,10550.0,8960.0,14500.0,16260.0,,0.22,0.17,10049,28.46,특이사항 없음,0,14.87,57.4,3.56,STRUCT 강점,,,스퀴즈/품질 대기,CRITICAL,85.2,반도체 제조업,6140720470.0,85.6,78.09,0,0,0.48,-0.75,-18.72,42.57,39.55,189.28,44.26,39.88,153.7,0.172,0.12,1,12.0,0,0,3.15,0.46,0,0,0,1,-1,13891.0,4.98,-0.3584,False,O,▲,10294,▼,O,X,0.0,250,0,1,1,1,16790.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.07,6.0,2.5,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,반도체 제조업,10.464242424242425,43.36303030303031,1.0,0.15457007447528776,0.15519458184406298,0.21428571428571427,OK,32.8,OK,35.0,35.0,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260522,20260522,,73.6,73.6,73.6,31.46,-0.33,FRESH,0.458,,False,0.509,False,MATURE,6926.0,2.484,0.845,0.845,0.0,0.0,,v22_calibrated,,,,,,,,True,37.4,,ELITE_SCORE,MATURE,6926,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,85.0,BUY,1,,0,0,0,0,,0.0,T=48<70 · S=100≥50
