LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,STRATEGY_SCORE,STRATEGY_HORIZON,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON,ENTRY_RISK_FLAG,ENTRY_RISK_LEVEL,ENTRY_RISK_RULE,ENTRY_RISK_REASON,BUY_NOW_SCORE,BUY_NOW_GRADE,BUY_NOW_PASS,BUY_NOW_REASON,BUY_NOW_ELIGIBLE,NO_CHASE_FLAG,PULLBACK_WAIT_FLAG,ANTI_STRUCT_REVERSAL_FLAG,ANTI_STRUCT_REVERSAL_TYPE,ANTI_STRUCT_REVERSAL_SCORE,ANTI_STRUCT_REVERSAL_REASON,ENTRY_EDGE_SCORE,ENTRY_EDGE_LEVEL,ENTRY_EDGE_RULE,ENTRY_EDGE_REASON,ENTRY_EDGE_SHADOW_FLAG,EST_WIN_RATE_REALIZED_CAP,STRICT_OFFICIAL_BUY_ELIGIBLE,OFFICIAL_FUNNEL_STAGE,OFFICIAL_BLOCK_REASON_1,OFFICIAL_BLOCK_REASON_2,OFFICIAL_NEAR_MISS_SCORE,OFFICIAL_NEAR_MISS_TYPE,CANDIDATE_TRIAGE_TYPE,MACRO_REGIME_MODE,FX_HIGH_REGIME_FLAG,FX_STALE_FLAG,MARKET_INTERNAL_WEAK_FLAG,MACRO_HARD_BLOCK_SHADOW,MACRO_RELAXED_SHADOW_PASS,SHADOW_MACRO_RELAXED_ELIGIBLE,SHADOW_ENTRY_RELAXED_ELIGIBLE,SHADOW_SCORE_RELAXED_ELIGIBLE
1,018880,한온시스템,KOSPI,조선·기계·설비,5100,1571.2,52339.4,81.0,41.5,ATTACK,ATTACK,1,True,1,False,78.6,78.6,96.0,65.6,47.2,0.0,61.6,69.6,48.8,39.0,1.1,0.0,RR1.1 + 진입적정 + 돌입,0,5100.0,4335.0,5940.0,6940.0,,0.78,0.65,4775,0.33,특이사항 없음,0,2.77,52.7,3.85,STRUCT 강점,TIMING 보조,5일 급등,기술적 돌파 조건 충족,CRITICAL,23.8,일반 목적용 기계 제조업,157120130429.0,65.4,31.43,0,0,-3.41,17.11,1.19,19.72,9.91,37.84,-4.02,-21.18,-67.46,0.117,0.117,1,12.0,0,0,1.83,0.53,0,0,0,1,1,4178.0,6.79,0.3073,False,O,▲,4949,▲,O,X,-0.95,250,0,1,1,1,7400.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.0,4.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,일반 목적용 기계 제조업,6.761406249999999,-0.21828125000000018,4.0,0.1027310924369748,0.13052601635470212,0.4,OK,47.2,OK,44.37791905453895,44.37791905453895,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528,,78.6,78.6,78.6,31.09,-7.41,FRESH,0.457,,False,0.549,False,MATURE,7573.0,1.098,0.969,0.969,0.0415,415384.0,81.0,v22_calibrated,,,,,,,,True,16.5,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,75.0,BUY,1,,0,0,0,0,,0.0,T=66<70 · S=96≥50,100.0,GREEN,,,0,True,0,BELOW_OFFICIAL_BAR,TOP_PICK=0,,60.0,IGNORE,IGNORE,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,1,1
2,033160,엠케이전자,KOSDAQ,IT/전기전자,29650,201.88,7170.9,48.0,143.4,ARMED,ARMED,2,True,1,False,86.8,86.8,97.6,69.0,79.2,0.0,74.4,81.9,28.6,64.2,1.65,0.0,RR1.6 + 진입적정 + 3축고점 + 대기,0,29650.0,25200.0,37000.0,37850.0,,0.28,0.66,21122,69.76,특이사항 없음,4,3.12,55.9,1.32,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,23.8,전자부품 제조업,20187965775.0,59.7,34.93,1,0,-1.5,1.89,11.47,1.54,196.2,262.03,11.47,203.61,236.54,0.055,0.055,1,12.0,1,0,2.05,0.43,0,0,0,1,1,21955.0,40.37,-0.2317,False,O,▲,32878,▲,X,X,0.0,250,0,1,1,1,44000.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.01,5.0,1.7,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,전자부품 제조업,11.376458333333334,6.552812500000001,3.0,0.1381594796434594,0.04181139132376375,0.016666666666666666,OK,79.2,OK,36.14278458176047,36.14278458176047,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528,,86.8,86.8,86.8,31.09,-7.41,FRESH,0.473,,False,0.614,False,MATURE,7573.0,1.652,1.177,1.177,0.1434,1434215.0,48.0,v22_calibrated,,,,,,,,True,24.8,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,65.0,WATCH,0,VWAP 40↑ · POC 70↑,0,1,1,0,,0.0,T=69<70 · S=98≥50,100.0,GREEN,,,0,True,0,ROUTE_ACTIVE_BUT_CHASE_RISK,TOP_PICK=0,VWAP/POC 과열,45.0,CHASE_RISK,CHASE_RISK,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,1,0
3,187870,디바이스,KOSDAQ,조선·기계·설비,24950,125.65,3435.6,86.0,215.9,ARMED,ARMED,2,True,1,False,96.6,87.6,100.0,60.7,87.2,9.0,71.3,82.6,39.3,50.9,1.27,0.0,RR1.3 + 진입적정 + 3축고점 + 대기,0,24950.0,21200.0,29700.0,32100.0,,0.66,1.09,18617,116.95,"[공시]최근 매출액 대비 31.35%에 달하는 26,361,686,000원 규모의 디스플레이 제조장비 단일판매ㆍ공급계약 체결은 매출 성장에 긍정적인 영향을 미칠 것으로 예상되어 주가에 매우 긍정적입니다.",0,19.22,61.3,7.91,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,23.8,특수 목적용 기계 제조업,12565262325.0,68.5,52.44,0,0,-2.92,5.72,-10.73,27.43,152.1,236.62,37.36,159.51,211.13,0.114,0.114,1,12.0,0,0,2.11,0.6,0,0,0,1,1,19281.0,34.02,-0.1961,False,O,▲,25354,▼,X,X,0.97,250,0,1,1,1,37450.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.03,6.0,1.3,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,특수 목적용 기계 제조업,6.761406249999999,-0.21828125000000018,4.0,0.14285714285714285,0.056081895126082554,0.0,OK,87.2,OK,43.40510965159597,43.40510965159597,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528," 📢재료: [공시]최근 매출액 대비 31.35%에 달하는 26,361,686,000원 규모의 디스플레이 제조장비 단일판매ㆍ공급계약 체결은 매출 성장에 긍정적인 영향을 미칠 것으로 예상되어 주가에 매우 긍정적입니다.",96.6,96.6,96.6,31.09,-7.41,FRESH,0.473,,False,0.693,False,MATURE,7573.0,1.267,1.177,1.177,0.2159,2159208.0,86.0,v22_calibrated,,,,,,,,True,19.0,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,65.0,WATCH,0,VWAP 34↑ · POC 117↑,0,1,1,0,,0.0,T=61<70 · S=100≥50,100.0,GREEN,,,0,True,0,ROUTE_ACTIVE_BUT_CHASE_RISK,TOP_PICK=0,VWAP/POC 과열,45.0,CHASE_RISK,CHASE_RISK,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,1,0
4,321260,프로이천,KOSDAQ,반도체,4040,82.38,1139.0,246.0,99.7,ARMED,ARMED,2,True,1,False,82.6,82.6,98.5,57.4,70.2,0.0,65.4,75.4,41.1,48.6,2.57,0.0,RR2.6 + 진입적정 + 대기,0,4040.0,3430.0,5610.0,6440.0,,1.48,0.34,3244,40.59,특이사항 없음,0,33.33,58.7,9.16,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,23.8,반도체 제조업,8237596236.0,87.1,73.32,0,0,-9.01,8.46,-8.8,51.88,133.8,124.69,61.81,141.21,99.2,0.075,0.075,1,12.0,1,0,2.54,0.51,0,0,0,1,1,3127.0,24.53,0.2075,False,O,▲,4297,▲,X,X,-4.28,250,0,1,1,1,6750.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.1,6.0,2.6,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,반도체 제조업,4.2303030303030305,23.625454545454545,1.0,0.1691124469589816,0.15506999475783043,0.2076923076923077,OK,70.2,OK,35.5,35.5,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528,,82.6,82.6,82.6,31.09,-7.41,FRESH,0.463,,False,0.581,False,MATURE,7573.0,2.574,1.099,1.099,0.0997,996908.0,246.0,v22_calibrated,,,,,,,,True,38.9,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,45.0,AVOID,0,전일 -9.0% · VWAP 25↑ · POC 41↑,0,0,1,0,,0.0,T=57<70 · S=98≥50,100.0,GREEN,,,0,True,0,BELOW_OFFICIAL_BAR,TOP_PICK=0,,45.0,IGNORE,IGNORE,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,1,0
5,142210,유니트론텍,KOSDAQ,자동차·모빌리티,7890,130.45,1637.3,122.0,96.6,ARMED,ARMED,2,True,1,False,85.0,85.0,99.5,49.9,89.2,0.0,65.4,79.5,49.6,38.0,0.98,0.0,진입적정 + 대기,0,7890.0,6700.0,9060.0,9280.0,,1.64,0.72,7386,-2.77,특이사항 없음,0,14.56,63.8,10.42,STRUCT 강점,AI 보조,5일 급등,스퀴즈/품질 대기,CRITICAL,23.8,자동차 부품 및 내장품 판매업,13044962635.0,80.5,59.61,0,0,-9.21,19.0,-2.47,35.33,29.98,49.43,45.26,37.39,23.94,0.212,0.212,0,12.0,0,0,3.57,0.66,0,0,0,1,1,6120.0,6.82,0.0295,False,O,▲,8419,▲,X,X,4.26,250,0,1,1,1,9860.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.08,6.0,1.0,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,ATR_2x,70,0.0,자동차 부품 및 내장품 판매업,17.25578947368421,2.6726315789473687,2.0,0.12429838855694368,0.2971146320667155,0.0,OK,89.2,OK,44.05864165814417,44.05864165814417,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528,,85.0,85.0,85.0,31.09,-7.41,FRESH,0.463,,False,0.6,False,MATURE,7573.0,0.983,1.177,0.983,0.0966,965811.0,122.0,v22_calibrated,,,,,,,,True,14.8,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,0.0,AVOID,0,RR 0.98 · 전일 -9.2%,0,0,0,0,,0.0,T=50<70 · S=100≥50,100.0,GREEN,,,0,True,0,ROUTE_ACTIVE_BUT_CHASE_RISK,TOP_PICK=0,RR_NOW_TP1 부족,35.0,CHASE_RISK,CHASE_RISK,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,0,0
6,452280,한선엔지니어링,KOSDAQ,기타,28150,98.58,5418.2,33.0,94.3,ARMED,ARMED,2,True,1,False,82.2,82.2,97.5,44.9,86.7,0.0,61.8,76.4,52.6,34.2,2.15,0.0,RR2.1 + 진입적정 + 대기,0,28150.0,23900.0,37300.0,44000.0,,-0.72,0.32,19156,71.64,특이사항 없음,0,27.62,63.8,10.42,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,23.8,기타 금속 가공제품 제조업,9857855750.0,88.2,88.48,0,0,-9.19,-10.92,20.82,56.74,173.57,219.89,66.67,180.98,194.4,0.073,0.005,1,12.0,1,0,2.16,0.53,0,0,0,1,1,20291.0,46.95,-0.7626,False,O,▲,34742,▲,X,X,0.0,250,0,1,1,1,45350.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.1,5.0,2.2,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,기타 금속 가공제품 제조업,5.0027027027027025,-6.766126126126127,5.0,0.16041613803603144,0.0683845957863101,0.1794871794871795,OK,86.7,OK,25.0,25.0,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528,,82.2,82.2,82.2,31.09,-7.41,FRESH,0.457,,False,0.578,False,MATURE,7573.0,2.153,1.086,1.086,0.0943,943305.0,33.0,v22_calibrated,,,,,,,,True,32.5,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,5.0,AVOID,0,전일 -9.2% · VWAP 47↑ · POC 72↑,0,1,0,0,,0.0,T=45<70 · S=98≥50,100.0,GREEN,,,0,True,0,ROUTE_ACTIVE_BUT_CHASE_RISK,TOP_PICK=0,VWAP/POC 과열,45.0,CHASE_RISK,CHASE_RISK,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,1,0
7,295310,에이치브이엠,KOSDAQ,철강·금속,114300,271.23,13747.2,3.0,35.1,ARMED,ARMED,2,True,1,False,78.2,78.2,95.6,55.5,58.9,0.0,61.5,70.0,40.1,49.9,1.73,0.0,RR1.7 + 진입적정 + 대기,0,114300.0,97100.0,144000.0,148500.0,,1.17,0.6,98727,31.76,특이사항 없음,0,11.51,60.2,12.13,STRUCT 강점,AI 보조,5일 급등,스퀴즈/품질 대기,CRITICAL,23.8,1차 비철금속 제조업,27122989300.0,69.9,55.9,0,0,-4.51,21.34,19.06,31.23,52.4,411.41,41.16,59.81,385.92,0.017,0.017,1,12.0,1,0,2.15,0.52,0,0,0,1,1,80360.0,15.77,0.1303,False,O,▲,121047,▲,X,X,1.92,250,0,1,1,1,174200.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.05,5.0,1.7,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,1차 비철금속 제조업,0.8984615384615385,-12.994615384615383,8.0,0.14954380702412198,0.0351122812502253,0.10204081632653061,OK,58.9,OK,36.20171002227126,36.20171002227126,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528,,78.2,78.2,78.2,31.09,-7.41,FRESH,0.457,,False,0.546,False,MATURE,7573.0,1.727,0.956,0.956,0.0351,350913.0,3.0,v22_calibrated,,,,,,,,True,26.0,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,60.0,WATCH,0,,0,0,1,0,,0.0,T=56<70 · S=96≥50,100.0,GREEN,,,0,True,0,BELOW_OFFICIAL_BAR,TOP_PICK=0,,45.0,IGNORE,IGNORE,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,1,0
8,144960,뉴파워프라즈마,KOSDAQ,조선·기계·설비,9460,79.96,4133.3,98.0,93.0,ARMED,ARMED,2,True,1,False,82.1,82.1,100.0,41.6,83.3,0.0,59.4,75.0,58.4,27.0,4.89,0.0,RR4.9 + 진입적정 + 대기,0,9460.0,8850.0,12440.0,13220.0,,-0.84,0.45,8929,53.36,특이사항 없음,0,40.25,61.3,5.98,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,23.8,특수 목적용 기계 제조업,7995977295.0,78.6,74.05,0,0,-4.64,0.11,-15.16,41.41,56.11,90.73,51.34,63.52,65.24,0.295,0.295,1,12.0,0,0,2.75,0.5,0,0,0,1,1,8991.5,5.95,-0.4145,True,O,▲,10540,▼,X,X,0.5,250,0,1,1,1,14480.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,6.45,6.0,4.9,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,특수 목적용 기계 제조업,6.761406249999999,-0.21828125000000018,4.0,0.11333434007852612,0.3315981399078694,0.0,OK,83.3,OK,29.34057446083454,29.34057446083454,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528,,82.1,82.1,82.1,31.09,-7.41,FRESH,0.457,,False,0.577,False,MATURE,7573.0,4.885,1.083,1.083,0.093,929763.0,98.0,v22_calibrated,,,,,,,,True,31.5,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,90.0,BUY,1,POC 53↑,0,0,0,0,,0.0,T=42<70 · S=100≥50,100.0,GREEN,,,0,True,0,BELOW_OFFICIAL_BAR,TOP_PICK=0,,65.0,IGNORE,IGNORE,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,1,1
9,381620,제닉스로보틱스,KOSDAQ,조선·기계·설비,12260,163.01,1608.3,0.0,,ARMED,ARMED,2,True,1,False,61.5,61.5,55.0,56.7,85.4,0.0,58.5,65.7,30.4,62.0,1.58,0.0,RR1.6 + 진입적정 + 대기,0,12260.0,10420.0,15170.0,15750.0,,0.35,0.61,11714,11.59,특이사항 없음,0,-2.68,58.0,7.84,AI 강점,TIMING 보조,,스퀴즈/품질 대기,CRITICAL,23.8,특수 목적용 기계 제조업,16300912610.0,87.0,45.15,0,0,-5.11,6.7,-2.39,26.78,-0.65,-20.95,36.71,6.76,-46.44,0.621,0.309,1,12.0,0,0,2.31,0.52,0,0,0,1,1,9024.0,4.65,0.2239,False,O,▲,12308,▲,X,X,1.39,250,0,1,-1,1,17280.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.01,6.0,1.6,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,SWING_120D,45,0.0,특수 목적용 기계 제조업,6.761406249999999,-0.21828125000000018,4.0,0.14233278955954323,0.09220687734320314,0.44571428571428573,OK,85.4,OK,42.911284148055216,42.911284148055216,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528,,61.5,61.5,61.5,31.09,-7.41,FRESH,0.457,,False,0.412,True,MATURE,7573.0,1.582,0.852,0.852,0.0,0.0,,v22_calibrated,,,,,,,,True,23.7,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,65.0,WATCH,0,전일 -5.1%,0,0,1,0,,0.0,T=57<70 · S=55≥50,100.0,GREEN,,,0,True,0,BELOW_OFFICIAL_BAR,TOP_PICK=0,,30.0,IGNORE,IGNORE,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,0,0
10,004710,한솔테크닉스,KOSPI,IT/전기전자,12550,207.62,3942.9,25.0,31.8,ARMED,ARMED,2,True,1,False,78.0,78.0,100.0,43.8,60.2,0.0,55.7,68.0,56.2,29.8,2.92,0.0,RR2.9 + 진입적정 + 대기,0,12550.0,11360.0,16020.0,17940.0,,-1.04,0.63,10006,68.8,특이사항 없음,0,53.6,64.3,2.13,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,23.8,전자부품 제조업,20761873660.0,80.4,91.99,0,0,-13.09,-10.29,-15.32,44.42,102.42,113.44,20.68,71.33,8.14,0.284,0.263,1,12.0,1,0,4.52,0.59,0,0,0,1,1,10702.0,25.42,-0.7153,False,O,▲,15335,▼,X,X,0.28,250,0,1,1,1,18930.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,9.48,6.0,2.9,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,BB_UPPER,75,ATR_3.5x,45,0.0,전자부품 제조업,11.376458333333334,6.552812500000001,3.0,0.14507683551508252,0.18464079657908114,0.0,OK,60.2,OK,27.7109418231892,27.7109418231892,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260528,20260528,,78.0,78.0,78.0,31.09,-7.41,FRESH,0.457,,False,0.544,False,MATURE,7573.0,2.916,0.949,0.949,0.0318,318179.0,25.0,v22_calibrated,,,,,,,,True,27.6,,ELITE_SCORE,MATURE,7573,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,,60.0,WATCH,0,전일 -13.1% · VWAP 25↑ · POC 69↑,0,0,1,0,,0.0,T=44<70 · S=100≥50,100.0,GREEN,,,0,True,0,BELOW_OFFICIAL_BAR,TOP_PICK=0,,45.0,IGNORE,IGNORE,FX_HIGH_AND_INTERNAL_WEAK,1,0,1,1,0,0,1,0
