시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,괴리_%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,근거,RS_slope20,RS_high50,VCP_ok,Pivot_near,Vol_breakout,UDVR_50,UDVR_ok,OBV_high,Weekly_pos,Regime_good,EBS_PLUS,HitProb_%(heuristic),추천매수가,추천매도가1,추천매도가2,손절가
KOSDAQ,넥스틴,348210,64600,165.65,6768.1,81.1,17.54,697.3488,191.32276,1.21,8.39,25.93,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0908,True,False,True,True,2.69,True,True,True,True,82.8,64.5,56510,59620,62110,53310
KOSDAQ,케이엠더블유,032500,18700,312.94,7619.2,82.3,40.43,557.5742,195.80273,2.12,41.88,36.3,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.3213,True,False,True,True,3.16,True,True,True,True,80.6,62.5,13860,14950,15830,12920
KOSDAQ,오름테라퓨틱,475830,45500,186.0,9627.1,73.8,27.44,910.2262,272.39676,1.61,27.99,39.78,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.2114,True,False,True,True,1.65,True,True,True,True,80.6,62.5,37030,39700,41830,34630
KOSPI,한화오션,042660,141000,9541.17,432042.9,74.6,18.97,2665.4583,103.46579,1.92,4.52,29.24,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0927,False,False,True,True,1.54,True,True,True,True,72.5,55.2,123050,132120,139370,114960
KOSPI,현대차,005380,265000,8084.43,542608.1,82.4,11.7,2246.4908,140.91405,2.97,5.16,9.5,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0372,False,False,True,True,2.57,True,True,True,True,72.5,55.2,242730,253700,262470,230130
KOSPI,삼성전자우,005935,82500,6234.82,673179.1,70.0,11.03,261.2505,114.97184,1.73,7.98,10.15,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0396,False,False,True,True,2.77,True,True,True,True,72.5,55.2,75540,78020,80010,72080
KOSPI,현대차2우B,005387,206500,864.25,72200.5,88.5,14.62,2425.6835,529.88877,2.6,8.51,14.53,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0427,False,False,True,True,1.37,True,True,True,True,72.5,55.2,182940,188500,192940,174760
KOSPI,현대차우,005385,202000,584.14,47148.7,88.4,13.54,2114.5851,398.85068,2.38,7.33,12.47,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0379,False,False,True,True,1.61,True,True,True,True,72.5,55.2,180680,186210,190630,172580
KOSPI,현대차3우B,005389,201000,123.26,4678.2,93.2,13.28,2117.1232,356.56057,2.73,7.09,12.48,5,"MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",0.0334,False,False,True,True,1.89,True,True,True,True,72.5,55.2,180270,185950,190490,172110
KOSDAQ,우리기술,032820,5240,4305.18,8712.6,72.7,20.17,82.8137,28.20562,3.19,26.27,19.77,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0386,False,False,True,True,2.99,True,True,True,True,70.3,53.3,4510,4810,5060,4230
KOSDAQ,범한퓨얼셀,382900,36750,1569.71,3219.7,78.3,22.27,727.6049,87.50606,1.48,19.51,27.83,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0069,False,False,True,True,4.97,True,True,True,True,70.3,53.3,31680,34930,37530,29160
KOSPI,대원전선,006340,3640,941.76,2729.2,68.7,15.48,40.6741,19.60218,2.47,17.04,13.57,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0322,False,False,True,True,2.8,True,True,True,True,70.3,53.3,3250,3440,3590,3060
KOSDAQ,에치에프알,230240,18110,163.47,2410.3,64.8,13.44,244.1602,73.94639,1.25,16.09,4.14,4,"RSI 45~65, MACD↑, 거래량↑, MACD>0",0.0133,False,False,True,True,3.26,True,True,True,True,70.3,53.3,16650,18010,19100,15490
KOSPI,삼성중공업,010140,30300,3982.56,266640.0,86.9,26.65,840.1928,18.83825,0.8,26.78,35.87,3,"MACD↑, 상승구조, MACD>0",0.1724,False,False,True,True,3.18,True,True,True,True,68.1,51.3,24660,26120,27280,23210
KOSDAQ,강원에너지,114190,16350,909.39,4271.1,78.3,32.96,549.3677,42.409,0.53,41.31,38.68,3,"MACD↑, 상승구조, MACD>0",0.2499,False,False,True,True,3.88,True,True,True,True,68.1,51.3,13000,14410,15540,11930
KOSDAQ,LS마린솔루션,060370,28450,343.06,14862.0,64.5,15.93,521.1262,67.47518,0.84,13.57,16.6,3,"RSI 45~65, MACD↑, MACD>0",0.0645,False,False,True,True,1.57,True,True,True,True,68.1,51.3,25250,26670,27800,23800
KOSPI,가온전선,000500,74000,277.63,12241.9,90.2,26.91,1836.6786,527.03052,2.71,23.95,27.15,3,"MACD↑, 거래량↑, MACD>0",0.0874,False,False,True,True,2.42,True,True,True,True,68.1,51.3,60000,63370,66060,56560
KOSDAQ,자람테크놀로지,389020,46400,173.88,2875.7,75.2,20.79,781.5853,366.91203,0.96,26.95,22.43,3,"MACD↑, 상승구조, MACD>0",0.0467,False,False,True,True,2.5,True,True,True,True,68.1,51.3,39630,42080,44030,37260
KOSDAQ,오이솔루션,138080,15030,87.01,1596.8,66.3,18.35,123.5566,47.5994,0.45,14.73,6.82,3,"MACD↑, 상승구조, MACD>0",0.202,False,False,True,True,3.53,True,True,True,True,68.1,51.3,13340,14610,15630,12320
KOSPI,이구산업,025820,5040,61.5,1685.5,53.8,3.23,7.4284,3.80397,1.79,2.65,2.44,7,"RSI 45~65, MACD↑, MA20근접, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.1045,False,False,True,True,2.03,True,True,True,True,66.7,50.0,4960,5100,5220,4740
KOSDAQ,로보티즈,108490,222500,6265.45,29415.7,67.1,20.09,-234.8605,1319.02071,0.88,18.98,13.29,2,"MACD↑, 상승구조",0.3301,False,False,True,True,2.65,True,True,True,True,65.9,49.3,193850,210970,224660,179730
KOSPI,HD현대,267250,210000,831.07,165885.5,81.4,21.74,4596.8022,-141.73765,1.16,19.66,31.25,2,"상승구조, MACD>0",0.1734,False,False,True,True,2.09,True,True,True,True,65.9,49.3,178490,190460,200030,167320
KOSPI,SK하이닉스,000660,568000,27646.14,4135053.4,81.8,26.22,8336.3295,424.50015,0.54,18.7,25.52,3,"MACD↑, 상승구조, MACD>0",0.3532,True,False,True,False,1.86,True,True,True,True,65.6,49.0,462930,488790,509470,436500
KOSPI,HD현대일렉트릭,267260,885000,1873.05,319017.1,87.1,27.24,18687.9138,1488.27784,0.48,18.63,29.2,3,"MACD↑, 상승구조, MACD>0",0.2805,True,False,True,False,2.43,True,True,True,True,65.6,49.0,713640,749820,778760,674680
KOSPI,두산퓨얼셀,336260,43900,1809.1,28751.7,74.0,32.85,1107.1656,317.17367,0.23,44.41,27.25,3,"MACD↑, 상승구조, MACD>0",0.2791,True,False,True,False,3.14,True,True,True,True,65.6,49.0,34490,37370,39680,32050
KOSPI,LS ELECTRIC,010120,439500,1410.25,131850.0,89.0,34.81,13530.2239,1834.66098,0.03,19.75,44.1,3,"MACD↑, 상승구조, MACD>0",0.3403,True,False,True,False,1.86,True,True,True,True,65.6,49.0,336690,358030,375110,316240
KOSPI,효성중공업,298040,2100000,1287.3,195815.5,86.0,28.11,42890.6061,3950.42815,0.69,13.45,30.11,3,"MACD↑, 상승구조, MACD>0",0.3182,True,False,True,False,1.86,True,True,True,True,65.6,49.0,1691070,1794710,1877630,1590070
KOSPI,해성디에스,195870,51900,212.45,8823.0,76.2,26.1,712.5128,91.69415,0.01,15.98,25.67,3,"MACD↑, 상승구조, MACD>0",0.4743,True,False,True,False,3.22,True,True,True,True,65.6,49.0,42700,45780,48240,39920
KOSDAQ,씨어스테크놀로지,458870,82800,83.09,10487.3,68.9,16.91,531.4139,256.54489,-0.36,19.48,12.96,3,"MACD↑, 상승구조, MACD>0",0.174,True,False,True,False,2.48,True,True,True,True,65.6,49.0,73430,78640,82800,68700
KOSPI,엔케이,085310,1560,591.54,1230.5,63.1,13.79,19.8456,1.33167,2.05,7.51,22.45,6,"RSI 45~65, MACD↑, 거래량↑, 상승구조, MACD>0, 5d<10%",-0.0112,False,False,True,True,3.21,True,True,True,True,64.5,48.1,1440,1570,1680,1330
KOSPI,산일전기,062040,158900,1532.89,48377.4,77.0,24.23,3727.9528,-4.92265,0.0,16.33,14.73,2,"상승구조, MACD>0",0.1715,True,False,True,False,1.81,True,True,True,True,63.4,47.1,133310,144120,152760,124070
KOSDAQ,브이엠,089970,25450,90.25,6132.3,82.7,18.05,167.6347,-12.87877,-0.9,11.62,15.42,2,"상승구조, MACD>0",0.2191,True,False,True,False,2.74,True,True,True,True,63.4,47.1,22400,24090,25440,20910
KOSDAQ,LS머트리얼즈,417200,12040,279.21,8145.4,87.0,16.76,234.4796,8.82347,2.47,13.69,20.52,4,"MACD↑, 거래량↑, 상승구조, MACD>0",0.0288,False,False,True,True,1.87,True,False,True,True,62.6,46.3,10610,11210,11690,10000
KOSDAQ,JYP Ent.,035900,81200,649.16,28852.4,64.9,7.33,776.9929,114.20332,1.81,5.45,11.69,5,"RSI 45~65, MACD↑, 거래량↑, MACD>0, 5d<10%",-0.0705,False,False,True,True,1.52,True,True,True,True,62.3,46.1,76890,79360,81340,73390
KOSDAQ,코닉오토메이션,391710,2750,393.46,1156.8,60.6,8.45,-4.1515,14.76921,2.81,7.21,8.91,5,"RSI 45~65, MACD↑, 거래량↑, 상승구조, 5d<10%",-0.0912,False,False,True,True,5.31,True,True,True,True,62.3,46.1,2670,2950,3160,2460
KOSPI,하이브,352820,324500,2454.11,136608.1,76.0,14.71,5275.8311,845.28938,1.52,12.48,18.86,3,"MACD↑, 거래량↑, MACD>0",0.0151,False,False,True,True,1.26,False,True,True,True,60.4,44.4,288870,300850,310430,274390
KOSDAQ,쏠리드,050890,8670,349.72,5267.6,69.7,23.23,180.177,45.59001,0.44,23.15,21.6,3,"MACD↑, 상승구조, MACD>0",0.1259,False,False,True,True,2.3,True,False,True,True,60.4,44.4,7240,7660,7990,6820
KOSDAQ,대창솔루션,096350,2780,59.05,1024.6,84.2,18.22,63.9425,5.79131,0.44,23.01,23.01,3,"MACD↑, 상승구조, MACD>0",0.0757,False,False,True,True,1.38,True,False,True,True,60.4,44.4,2410,2530,2620,2280
KOSPI,기아,000270,116200,3290.33,457583.1,81.7,6.78,651.2181,-114.60153,2.77,1.04,4.4,4,"거래량↑, 상승구조, MACD>0, 5d<10%",-0.0324,False,False,True,True,1.5,True,True,True,True,60.1,44.1,110910,115090,118440,105560
KOSDAQ,원일티엔아이,136150,23900,1654.21,2003.1,69.0,9.52,268.4901,100.96664,4.25,8.39,12.47,4,"MACD↑, 거래량↑, MACD>0, 5d<10%",-0.1077,False,False,True,True,5.35,True,True,True,True,60.1,44.1,22580,24080,25290,21170
KOSPI,삼영,003720,5270,136.95,1791.8,63.3,9.57,66.7245,14.4639,1.42,14.32,11.06,4,"RSI 45~65, MACD↑, 거래량↑, MACD>0",-0.0819,False,False,True,True,2.64,True,True,True,True,60.1,44.1,4960,5260,5510,4670
KOSDAQ,이노와이어리스,073490,24300,56.68,1847.7,68.1,11.09,213.7913,60.89566,1.68,11.47,7.28,4,"MACD↑, 거래량↑, 상승구조, MACD>0",-0.0219,False,False,True,True,1.99,True,True,True,True,60.1,44.1,22480,23700,24680,21220
KOSDAQ,청담글로벌,362320,8480,471.24,1785.1,58.8,2.86,26.267,26.97697,3.57,5.08,5.21,6,"RSI 45~65, MACD↑, MA20근접, 거래량↑, MACD>0, 5d<10%",-0.2231,False,True,False,True,1.77,True,True,False,True,59.3,43.4,8410,8730,8980,8000
KOSPI,삼성SDI,006400,325500,5977.85,262305.9,87.6,31.22,9515.8489,-115.35953,0.8,26.16,37.92,2,"상승구조, MACD>0",0.3133,False,False,True,True,1.7,True,False,True,True,58.2,42.4,257800,277300,292900,240610
