LDY_RANK,종목코드,종목명,ROUTE,TOP_PICK,BUY_NOW_ELIGIBLE,BUY_NOW_PASS,BUY_NOW_GRADE,FINAL_SCORE,ELITE_SCORE,STRUCT_SCORE,TIMING_SCORE,RR_NOW_TP1,MARKET_BREADTH,ret_5d_%,VWAP_GAP,POC_GAP,Vol_Quality,JULY_PROFIT_DEFENSE_SCORE,JULY_PROFIT_DEFENSE_LEVEL,JULY_PROFIT_PROFILE_PASS,JULY_PROFIT_BLOCK_FLAG,JULY_PROFIT_DEFENSE_REASON,NEW_ENTRY_BLOCKED
1,347850,디앤디파마텍,WAIT,0,0,1,BUY,75.3,52.8,99.1,42.4,1.41,7.2,4.91,7.42,8.75,1.62,89.0,CAUTION,0,0,시장폭 약함 7.2,False
2,084370,유진테크,WAIT,0,0,1,BUY,73.8,53.6,95.2,60.9,1.63,7.2,-8.32,13.38,24.33,1.36,83.0,CAUTION,0,0,시장폭 약함 7.2,False
3,067310,하나마이크론,WAIT,0,0,0,AVOID,92.0,85.0,98.4,86.2,0.99,7.2,-0.9,13.66,41.58,1.67,79.0,CAUTION,0,0,시장폭 약함 7.2,False
4,482630,삼양엔씨켐,WAIT,0,0,0,WATCH,73.8,57.7,88.1,46.1,1.88,7.2,-0.06,-4.27,-10.4,1.31,79.0,CAUTION,0,0,시장폭 약함 7.2,False
5,010690,화신,WAIT,0,0,1,BUY,71.7,46.8,95.0,26.9,2.62,7.2,-14.35,-6.85,-13.29,1.57,79.0,CAUTION,0,0,시장폭 약함 7.2,False
6,462870,시프트업,WAIT,0,0,0,AVOID,77.1,20.6,83.5,61.9,0.76,7.2,3.26,3.42,-1.59,0.94,77.0,CAUTION,0,0,시장폭 약함 7.2,False
7,330350,위더스제약,WAIT,0,0,1,BUY,69.1,61.2,70.2,53.4,1.88,7.2,3.26,-9.61,-12.65,1.52,75.0,CAUTION,0,0,시장폭 약함 7.2,False
8,031980,피에스케이홀딩스,WAIT,0,0,1,BUY,51.1,43.7,59.4,38.2,3.43,7.2,-4.63,-2.41,9.42,1.5,75.0,CAUTION,0,0,시장폭 약함 7.2,False
9,074600,원익QnC,WAIT,0,0,1,BUY,49.6,39.5,60.5,30.0,3.65,7.2,-13.88,-4.85,-2.03,1.28,75.0,CAUTION,0,0,시장폭 약함 7.2,False
10,079550,LIG디펜스앤에어로스페이스,WAIT,0,0,1,BUY,52.6,37.0,60.3,13.9,2.37,7.2,-19.26,-6.83,-2.77,1.52,75.0,CAUTION,0,0,시장폭 약함 7.2,False
11,000815,삼성화재우,WAIT,0,0,0,AVOID,72.1,14.9,95.6,63.5,0.64,7.2,-0.35,10.03,12.58,1.15,75.0,CAUTION,0,0,시장폭 약함 7.2,False
12,200470,에이팩트,WAIT,0,0,1,BUY,62.2,50.4,68.6,36.1,2.32,7.2,-17.49,7.79,9.29,1.8,71.0,CAUTION,0,0,시장폭 약함 7.2,False
13,102710,이엔에프테크놀로지,WAIT,0,0,1,BUY,68.6,49.5,84.4,30.2,1.33,7.2,-7.0,-7.85,-18.82,0.96,71.0,CAUTION,0,0,시장폭 약함 7.2,False
14,098460,고영,WAIT,0,0,1,BUY,52.4,41.0,59.0,24.9,4.66,7.2,-12.17,-15.64,6.7,2.65,71.0,CAUTION,0,0,시장폭 약함 7.2,False
15,039030,이오테크닉스,WAIT,0,0,1,BUY,51.4,40.8,57.3,25.7,2.36,7.2,-7.07,-4.75,-3.42,1.2,71.0,CAUTION,0,0,시장폭 약함 7.2,False
16,145020,휴젤,WAIT,0,0,1,BUY,42.3,37.8,47.6,52.4,1.94,7.2,1.04,-6.76,-8.72,1.23,71.0,CAUTION,0,0,시장폭 약함 7.2,False
17,089030,테크윙,WAIT,0,0,1,BUY,56.5,37.7,65.9,11.2,11.94,7.2,-12.35,-9.58,-12.72,1.85,71.0,CAUTION,0,0,시장폭 약함 7.2,False
18,039440,에스티아이,WAIT,0,0,1,BUY,35.8,35.3,28.0,33.0,6.92,7.2,-16.98,-20.89,-24.76,1.42,71.0,CAUTION,0,0,시장폭 약함 7.2,False
19,037350,성도이엔지,WAIT,0,0,1,BUY,59.9,34.2,87.8,10.5,1.57,7.2,2.97,-13.56,-13.23,0.98,71.0,CAUTION,0,0,시장폭 약함 7.2,False
20,056090,시지메드텍,WAIT,0,0,1,BUY,45.5,33.1,52.8,13.0,1.76,7.2,-0.49,-18.99,1.3,2.28,71.0,CAUTION,0,0,시장폭 약함 7.2,False
21,003490,대한항공,WAIT,0,0,1,BUY,34.3,31.9,37.7,41.3,2.08,7.2,-11.6,-0.81,6.65,1.29,71.0,CAUTION,0,0,시장폭 약함 7.2,False
22,092790,넥스틸,WAIT,0,0,1,BUY,41.9,29.6,58.7,28.0,1.72,7.2,-1.62,-14.12,-10.04,4.45,71.0,CAUTION,0,0,시장폭 약함 7.2,False
23,081660,미스토홀딩스,WAIT,0,0,1,BUY,36.2,27.1,34.9,7.1,2.8,7.2,-7.95,-4.23,-10.36,1.27,71.0,CAUTION,0,0,시장폭 약함 7.2,False
24,005440,현대지에프홀딩스,WAIT,0,0,1,BUY,41.0,25.7,62.1,14.0,1.57,7.2,-7.46,-7.03,-1.14,1.21,71.0,CAUTION,0,0,시장폭 약함 7.2,False
25,064350,현대로템,WAIT,0,0,1,BUY,31.9,21.1,47.0,10.9,2.29,7.2,-14.53,-10.86,-12.56,1.33,71.0,CAUTION,0,0,시장폭 약함 7.2,False
26,252990,샘씨엔에스,WAIT,0,0,1,BUY,56.3,54.2,56.7,51.5,6.03,7.2,-13.27,-1.97,13.15,1.3,67.0,CAUTION,0,0,시장폭 약함 7.2,False
27,383220,F&F,WAIT,0,0,1,BUY,59.4,53.2,56.6,46.2,4.05,7.2,-8.61,-1.97,1.89,1.46,67.0,CAUTION,0,0,시장폭 약함 7.2,False
28,195870,해성디에스,WAIT,0,0,1,BUY,58.0,53.0,55.4,47.3,12.1,7.2,-13.52,-7.73,31.65,1.2,67.0,CAUTION,0,0,시장폭 약함 7.2,False
29,161890,한국콜마,WAIT,0,0,1,BUY,48.0,39.8,58.1,55.2,2.2,7.2,-2.68,-4.11,9.69,1.61,67.0,CAUTION,0,0,시장폭 약함 7.2,False
30,003690,코리안리,WAIT,0,0,1,BUY,38.4,38.2,37.1,37.5,4.09,7.2,-9.43,-3.07,5.05,1.49,67.0,CAUTION,0,0,시장폭 약함 7.2,False
31,001740,SK네트웍스,WAIT,0,0,1,BUY,51.2,38.1,56.8,18.6,18.19,7.2,-19.25,-9.53,9.37,1.23,67.0,CAUTION,0,0,시장폭 약함 7.2,False
32,024840,KBI메탈,WAIT,0,0,1,BUY,50.2,37.2,57.1,17.8,9.36,7.2,-7.47,-25.08,-7.1,1.38,67.0,CAUTION,0,0,시장폭 약함 7.2,False
33,090360,로보스타,WAIT,0,0,1,BUY,44.8,32.2,54.9,11.9,30.1,7.2,-20.85,-23.81,5.61,1.69,67.0,CAUTION,0,0,시장폭 약함 7.2,False
34,950160,코오롱티슈진,WAIT,0,0,1,BUY,44.2,32.0,54.3,12.4,6.68,7.2,-9.42,-13.77,-8.67,1.25,67.0,CAUTION,0,0,시장폭 약함 7.2,False
35,144960,뉴파워프라즈마,WAIT,0,0,1,BUY,33.8,30.6,26.9,21.0,15.52,7.2,-17.3,-18.68,22.02,1.94,67.0,CAUTION,0,0,시장폭 약함 7.2,False
36,005290,동진쎄미켐,WAIT,0,0,1,BUY,43.3,28.6,63.3,19.5,1.78,7.2,-5.47,1.89,-4.68,1.43,67.0,CAUTION,0,0,시장폭 약함 7.2,False
37,272110,케이엔제이,WAIT,0,0,1,BUY,33.6,26.8,43.4,26.1,10.25,7.2,-17.27,-16.36,-6.17,1.29,67.0,CAUTION,0,0,시장폭 약함 7.2,False
38,014680,한솔케미칼,WAIT,0,0,1,BUY,41.1,26.3,51.8,0.0,1.79,7.2,-14.38,-10.03,-11.25,1.22,67.0,CAUTION,0,0,시장폭 약함 7.2,False
39,232140,와이씨,WAIT,0,0,1,BUY,27.6,26.0,13.2,15.4,12.46,7.2,-14.2,-30.1,-36.04,1.35,67.0,CAUTION,0,0,시장폭 약함 7.2,False
40,005950,이수화학,WAIT,0,0,1,BUY,42.1,25.7,63.1,10.6,11.74,7.2,-17.84,-8.65,20.12,2.6,67.0,CAUTION,0,0,시장폭 약함 7.2,False
41,001450,현대해상,WAIT,0,0,1,BUY,42.3,24.3,67.4,11.3,5.18,7.2,-12.73,3.57,18.4,2.09,67.0,CAUTION,0,0,시장폭 약함 7.2,False
42,071970,HD현대마린엔진,WAIT,0,0,1,BUY,16.9,21.8,0.0,27.7,13.17,7.2,-16.94,-31.59,-34.92,1.76,67.0,CAUTION,0,0,시장폭 약함 7.2,False
43,005690,파미셀,WAIT,0,0,1,BUY,14.9,19.3,0.0,23.2,12.63,7.2,-17.37,-29.71,-25.94,1.65,67.0,CAUTION,0,0,시장폭 약함 7.2,False
44,029780,삼성카드,WAIT,0,0,1,BUY,20.8,17.3,13.6,0.0,2.52,7.2,-12.66,-7.87,-12.62,1.6,67.0,CAUTION,0,0,시장폭 약함 7.2,False
45,088350,한화생명,WAIT,0,0,1,BUY,24.8,15.2,36.6,0.0,3.86,7.2,-13.42,-7.32,-0.46,1.74,67.0,CAUTION,0,0,시장폭 약함 7.2,False
46,358570,지아이이노베이션,WAIT,0,0,1,BUY,8.4,10.2,0.0,5.1,5.54,7.2,-8.13,-17.47,-23.64,1.26,67.0,CAUTION,0,0,시장폭 약함 7.2,False
47,030000,제일기획,WAIT,0,0,1,BUY,13.0,8.3,19.3,0.0,2.67,7.2,-11.9,-4.25,-11.19,1.59,67.0,CAUTION,0,0,시장폭 약함 7.2,False
48,028670,팬오션,WAIT,0,0,1,BUY,10.4,8.2,11.8,1.6,9.19,7.2,-12.55,-15.19,-8.63,1.36,67.0,CAUTION,0,0,시장폭 약함 7.2,False
49,053610,프로텍,WAIT,0,0,0,WATCH,45.1,39.7,52.0,42.6,3.47,7.2,-10.6,-0.1,46.33,1.21,65.0,CAUTION,0,0,시장폭 약함 7.2,False
50,281820,케이씨텍,WAIT,0,0,1,BUY,82.1,71.4,90.9,88.0,1.57,7.2,-10.77,18.77,78.04,1.19,63.0,CAUTION,0,0,시장폭 약함 7.2 · POC 78.0 > 60,False
