LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,ROUTE,상태,TOP_PICK,BUY_NOW_ELIGIBLE,BUY_NOW_GRADE,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,ELITE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ret_1d_%,ret_5d_%,VWAP_GAP,POC_GAP,Vol_Quality,MARKET_BREADTH,JULY_PROFIT_DEFENSE_SCORE,JULY_PROFIT_DEFENSE_LEVEL,JULY_PROFIT_BLOCK_FLAG,PROFIT_RECOVERY_SCORE,PROFIT_RECOVERY_TIER,PROFIT_RECOVERY_SETUP,PROFIT_RECOVERY_BLOCK_FLAG,PROFIT_RECOVERY_SIZE_MULT,PROFIT_RECOVERY_ACTION,PROFIT_RECOVERY_REASON,BUY_NOW_REASON
1,067310,하나마이크론,KOSDAQ,반도체,48250,WAIT,WAIT,0,0,BUY,83.0,83.0,98.6,64.4,67.8,1.21,0.0,-2.82,-4.83,9.91,53.87,1.63,54.2,100.0,PASS,0,100.0,A,PULLBACK_BREADTH,0,0.7,최우선 관찰,회복형 눌림+시장폭 · 섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -4.8%,POC 54↑
2,084370,유진테크,KOSDAQ,조선·기계·설비,161800,WAIT,WAIT,0,0,BUY,71.1,71.1,94.0,46.3,50.7,2.7,0.0,-0.12,-7.6,12.86,24.18,1.36,54.2,100.0,PASS,0,100.0,A,PULLBACK_BREADTH,0,0.7,최우선 관찰,회복형 눌림+시장폭 · 섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -7.6%,
3,010690,화신,KOSPI,자동차·모빌리티,12100,WAIT,WAIT,0,0,BUY,68.6,68.6,94.6,20.5,42.3,2.54,0.0,0.83,-9.09,-5.98,-12.57,1.61,54.2,100.0,PASS,0,100.0,A,PULLBACK_BREADTH,0,0.7,최우선 관찰,회복형 눌림+시장폭 · 시장폭 54.2 · 5일 -9.1%,
4,005440,현대지에프홀딩스,KOSPI,금융,13610,WAIT,WAIT,0,0,AVOID,72.4,72.4,95.0,67.8,15.1,0.77,0.0,2.48,-1.73,-4.58,1.31,1.22,54.2,100.0,PASS,0,94.0,B,REALISTIC_RR,0,0.35,관찰 후보,현실형 RR · 시장폭 54.2 · 5일 -1.7%,RR 0.77
5,079550,LIG디펜스앤에어로스페이스,KOSPI,기타,824000,WAIT,WAIT,0,0,BUY,69.3,69.3,89.7,19.7,45.0,2.21,0.0,1.85,-13.26,-5.34,-1.01,1.4,54.2,100.0,PASS,0,88.0,A,PULLBACK_BREADTH,0,0.7,최우선 관찰,회복형 눌림+시장폭 · 시장폭 54.2 · 5일 -13.3%,
6,383220,F&F,KOSPI,유통·소비재,73500,WAIT,WAIT,0,0,BUY,52.0,52.0,54.8,37.4,45.8,3.3,0.0,0.41,-11.45,-1.7,2.3,1.44,54.2,96.0,CAUTION,0,82.0,C,WATCH,0,0.2,관찰,시장폭 54.2 · 5일 -11.4%,
7,000815,삼성화재우,KOSPI,기타,408000,WAIT,WAIT,0,0,BUY,68.1,68.1,89.9,56.9,48.2,1.36,0.0,-4.0,-2.04,5.5,9.25,1.16,54.2,92.0,CAUTION,0,96.0,A,PULLBACK_BREADTH,0,0.5,소액 후보,회복형 눌림+시장폭 · 시장폭 54.2 · 5일 -2.0%,
8,101530,해태제과식품,KOSPI,유통·소비재,6010,WAIT,WAIT,0,0,BUY,16.6,16.6,20.8,7.4,13.3,1.45,0.0,-3.38,2.39,-4.38,-5.31,0.83,54.2,92.0,CAUTION,0,81.0,C,WATCH,0,0.2,관찰,시장폭 54.2 · 5일 2.4%,
9,064350,현대로템,KOSPI,기타,195500,WAIT,WAIT,0,0,BUY,31.9,31.9,47.8,8.1,20.3,1.51,0.0,0.98,-10.73,-10.04,-11.7,1.32,54.2,92.0,CAUTION,0,76.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -10.7%,
10,347850,디앤디파마텍,KOSDAQ,기타,92000,WAIT,WAIT,0,0,BUY,58.2,58.2,66.8,38.5,48.4,1.78,0.0,-4.27,-14.89,2.55,4.11,1.53,54.2,92.0,CAUTION,0,73.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -14.9%,
11,005290,동진쎄미켐,KOSDAQ,화학·소재,57400,WAIT,WAIT,0,0,BUY,40.1,40.1,63.8,8.3,22.8,1.31,0.0,0.7,-11.01,2.48,-4.02,1.51,54.2,92.0,CAUTION,0,73.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -11.0%,
12,001450,현대해상,KOSPI,금융,35150,WAIT,WAIT,0,0,BUY,41.7,41.7,64.0,16.3,25.8,4.76,0.0,-2.36,-12.45,0.98,15.6,2.07,54.2,92.0,CAUTION,0,71.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -12.4%,
13,006220,제주은행,KOSPI,금융,10490,WAIT,WAIT,0,0,BUY,36.8,36.8,38.0,2.2,25.7,4.84,0.0,0.0,-13.31,-12.14,-15.98,1.52,54.2,92.0,CAUTION,0,71.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -13.3%,
14,074600,원익QnC,KOSDAQ,기타,34000,WAIT,WAIT,0,0,BUY,40.8,40.8,60.1,6.2,24.8,4.47,0.0,-1.31,-15.53,-6.13,-3.5,1.27,54.2,92.0,CAUTION,0,71.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -15.5%,
15,058430,포스코스틸리온,KOSPI,철강·금속,5290,WAIT,WAIT,0,0,BUY,46.7,46.7,57.2,12.8,33.5,3.46,0.0,1.54,-19.6,-27.83,-36.61,2.18,54.2,92.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -19.6%,
16,014680,한솔케미칼,KOSPI,화학·소재,261500,WAIT,WAIT,0,0,BUY,41.9,41.9,50.9,2.5,27.8,2.27,0.0,2.15,-13.12,-8.02,-9.36,1.21,54.2,92.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -13.1%,
17,081660,미스토홀딩스,KOSPI,기타,38700,WAIT,WAIT,0,0,BUY,30.4,30.4,23.7,5.2,24.0,2.53,0.0,-0.26,-3.97,-4.41,-10.59,1.31,54.2,92.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -4.0%,
18,029780,삼성카드,KOSPI,금융,45800,WAIT,WAIT,0,0,BUY,22.3,22.3,12.8,0.0,18.5,3.54,0.0,-1.61,-7.75,-9.16,-13.34,1.62,54.2,92.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -7.8%,
19,098460,고영,KOSDAQ,조선·기계·설비,31050,WAIT,WAIT,0,0,BUY,50.2,50.2,57.6,17.4,37.1,5.65,0.0,-1.11,-12.54,-16.64,5.51,2.72,54.2,92.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -12.5%,
20,170920,엘티씨,KOSDAQ,화학·소재,45750,WAIT,WAIT,0,0,BUY,45.9,45.9,59.1,17.0,32.9,7.87,0.0,-6.15,-7.48,4.25,-1.18,1.31,54.2,92.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -7.5%,전일 -6.2%
21,089030,테크윙,KOSDAQ,조선·기계·설비,49900,WAIT,WAIT,0,0,BUY,52.0,52.0,63.2,0.0,32.4,13.39,0.0,-4.95,-19.65,-13.99,-17.04,1.82,54.2,92.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -19.6%,
22,005950,이수화학,KOSPI,화학·소재,11580,WAIT,WAIT,0,0,BUY,42.6,42.6,63.3,14.6,26.9,7.82,0.0,-0.6,-16.75,-9.2,19.4,2.59,54.2,92.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -16.8%,
23,088350,한화생명,KOSPI,금융,4660,WAIT,WAIT,0,0,BUY,21.1,21.1,26.0,7.9,16.6,6.04,0.0,-3.02,-18.25,-10.06,-3.47,1.71,54.2,92.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -18.2%,
24,030000,제일기획,KOSPI,미디어·콘텐츠,18240,WAIT,WAIT,0,0,BUY,20.4,20.4,29.3,0.0,13.2,5.43,0.0,-1.88,-8.75,-5.95,-12.92,1.61,54.2,92.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -8.8%,
25,192080,더블유게임즈,KOSPI,IT/전기전자,61600,WAIT,WAIT,0,0,BUY,20.6,20.6,11.3,27.0,23.4,4.97,0.0,0.49,-10.6,-0.49,0.22,1.46,54.2,88.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -10.6%,
26,071970,HD현대마린엔진,KOSPI,조선·기계·설비,60600,WAIT,WAIT,0,0,BUY,16.2,16.2,0.0,14.5,18.7,4.84,0.0,1.34,-19.52,-30.64,-35.95,1.76,54.2,88.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -19.5%,
27,005490,POSCO홀딩스,KOSPI,철강·금속,331500,WAIT,WAIT,0,0,BUY,9.6,9.6,0.0,13.0,12.7,4.51,0.0,2.95,-13.78,-21.17,-5.15,1.2,54.2,88.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -13.8%,
28,034020,두산에너빌리티,KOSPI,조선·기계·설비,90600,WAIT,WAIT,0,0,BUY,8.9,8.9,3.4,15.9,11.6,3.06,0.0,1.57,-12.21,-17.08,-5.25,1.2,54.2,88.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -12.2%,
29,028670,팬오션,KOSPI,기타,4800,WAIT,WAIT,0,0,BUY,8.4,8.4,4.5,13.3,10.3,3.47,0.0,2.78,-10.61,-12.79,-6.09,1.29,54.2,88.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -10.6%,
30,078930,GS,KOSPI,금융,66100,WAIT,WAIT,0,0,BUY,4.5,4.5,0.0,1.3,5.6,2.66,0.0,1.69,-9.33,-10.09,-8.32,1.24,54.2,88.0,CAUTION,0,68.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -9.3%,
31,059090,미코,KOSDAQ,반도체,18390,WAIT,WAIT,0,0,BUY,46.0,46.0,40.9,27.4,39.1,6.35,0.0,-7.68,-10.73,-14.4,-12.81,1.92,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -10.7%,전일 -7.7%
32,252990,샘씨엔에스,KOSDAQ,IT/전기전자,12320,WAIT,WAIT,0,0,BUY,46.2,46.2,54.4,21.1,36.2,6.54,0.0,-2.84,-14.56,-5.14,9.93,1.36,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -14.6%,
33,195870,해성디에스,KOSPI,IT/전기전자,69600,WAIT,WAIT,0,0,BUY,33.9,33.9,31.2,12.8,27.7,5.75,0.0,-1.97,-14.29,-9.68,29.05,1.24,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -14.3%,
34,457190,이수스페셜티케미컬,KOSPI,화학·소재,72200,WAIT,WAIT,0,0,BUY,23.3,23.3,2.2,21.0,24.9,6.52,0.0,1.69,-17.11,-31.46,-29.83,1.64,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -17.1%,
35,028050,삼성E&A,KOSPI,서비스 기타,43950,WAIT,WAIT,0,0,BUY,25.9,25.9,15.4,13.5,24.3,6.78,0.0,-2.01,-16.29,-13.13,-15.57,1.47,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -16.3%,
36,030530,원익홀딩스,KOSDAQ,화학·소재,21700,WAIT,WAIT,0,0,BUY,33.9,33.9,35.3,0.0,23.5,13.62,0.0,-1.14,-21.38,-28.53,-45.69,1.79,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -21.4%,
37,009830,한화솔루션,KOSPI,화학·소재,33600,WAIT,WAIT,0,0,BUY,28.3,28.3,22.1,3.7,22.4,5.26,0.0,-1.32,-18.64,-17.55,-12.23,2.48,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -18.6%,
38,046970,우리로,KOSDAQ,기타,6050,WAIT,WAIT,0,0,BUY,37.5,37.5,56.7,5.1,22.3,9.77,0.0,0.0,-3.51,-34.15,-29.78,2.56,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -3.5%,
39,006360,GS건설,KOSPI,건설·부동산,25050,WAIT,WAIT,0,0,BUY,27.3,27.3,19.2,0.0,21.4,6.0,0.0,1.83,-14.94,-28.67,-29.16,2.42,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -14.9%,
40,047050,포스코인터내셔널,KOSPI,기타,50500,WAIT,WAIT,0,0,BUY,19.8,19.8,3.6,11.6,20.5,5.48,0.0,0.4,-15.41,-30.17,-32.47,1.38,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -15.4%,
41,006910,보성파워텍,KOSDAQ,기타,7280,WAIT,WAIT,0,0,BUY,20.6,20.6,11.1,11.9,20.4,9.24,0.0,0.69,-20.35,-41.13,-10.97,5.11,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -20.4%,
42,078150,HB테크놀러지,KOSDAQ,조선·기계·설비,2440,WAIT,WAIT,0,0,BUY,20.7,20.7,8.4,8.6,20.1,10.89,0.0,1.24,-14.39,-34.78,-45.64,1.25,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -14.4%,
43,001510,SK증권,KOSPI,서비스 기타,2565,WAIT,WAIT,0,0,BUY,26.2,26.2,24.1,0.0,19.6,10.5,0.0,1.18,-18.83,-44.84,-49.62,6.12,54.2,88.0,CAUTION,0,64.0,C,WATCH,0,0.2,관찰,섹터 약세+RSI 약함 · 시장폭 54.2 · 5일 -18.8%,
