signal_date,code,name,entry,rank_score,breadth,fill_status,fill_date,exit_date,exit_type,net_return_pct,fill_price,stop_price,target_price,exit_price
20260410,008770,호텔신라,50100.0,78.14,73.9,FILLED,20260413,20260421,TARGET,12.7103,48800.0,47094.0,55110.0,55110.0
20260413,028300,HLB,58300.0,76.08,54.8,UNFILLED,,,UNFILLED,0.0,,,,
20260414,025820,이구산업,5500.0,80.04,75.0,UNFILLED,,,UNFILLED,0.0,,,,
20260415,000990,DB하이텍,98600.0,76.34,70.0,FILLED,20260416,20260420,TARGET,9.8917,98500.0,92684.0,108460.0,108460.0
20260416,017800,현대엘리베이터,99500.0,79.06,67.8,FILLED,20260417,20260430,TIME,-1.024,99500.0,93530.0,109450.0,98700.0
20260417,017800,현대엘리베이터,101800.0,83.07,52.1,FILLED,20260420,20260424,STOP,-5.0987,100600.0,95692.0,111980.0,95692.0
20260420,373220,LG에너지솔루션,429000.0,82.57,50.5,UNFILLED,,,UNFILLED,0.0,,,,
20260421,102120,어보브반도체,12890.0,79.12,56.5,FILLED,20260422,20260424,TARGET,10.467,12810.0,12116.6,14179.0,14179.0
20260422,060370,LS마린솔루션,33750.0,78.49,60.6,UNFILLED,,,UNFILLED,0.0,,,,
20260423,399720,가온칩스,68700.0,79.92,45.3,FILLED,20260424,20260427,TARGET,9.78,68700.0,64578.0,75570.0,75570.0
20260424,439260,대한조선,95300.0,72.98,70.2,FILLED,20260427,20260429,STOP,-6.22,95300.0,89582.0,104830.0,89582.0
20260427,437730,삼현,56500.0,78.73,66.5,FILLED,20260429,20260430,STOP,-5.8861,56300.0,53110.0,62150.0,53110.0
20260428,001740,SK네트웍스,5880.0,78.27,49.2,FILLED,20260429,20260504,TARGET,9.78,5880.0,5527.2,6468.0,6468.0
20260429,001740,SK네트웍스,5940.0,79.04,52.0,FILLED,20260430,20260504,TARGET,9.78,5940.0,5583.6,6534.0,6534.0
20260430,010950,S-Oil,134500.0,84.58,36.0,FILLED,20260504,20260504,STOP,-4.8011,132500.0,126430.0,147950.0,126430.0
